"","Time","Milwaukee","","Score","","Boston"
"2","12:00.0","Jump ball: B. Lopez vs. R. Williams (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. R. Williams (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. R. Williams (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. R. Williams (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. R. Williams (G. Antetokounmpo gains possession)"
"3","11:40.0","Turnover by G. Antetokounmpo (step out of bounds)","","0-0","",""
"4","11:23.0","","","0-3","+3","A. Horford makes 3-pt jump shot from 24 ft (assist by J. Tatum)"
"5","11:12.0","G. Antetokounmpo makes 2-pt dunk from 4 ft (assist by J. Holiday)","+2","2-3","",""
"6","10:57.0","","","2-3","","J. Brown misses 3-pt jump shot from 25 ft"
"7","10:55.0","Defensive rebound by B. Portis","","2-3","",""
"8","10:46.0","B. Lopez misses 2-pt jump shot from 7 ft","","2-3","",""
"9","10:43.0","","","2-3","","Defensive rebound by J. Brown"
"10","10:36.0","","","2-6","+3","M. Smart makes 3-pt jump shot from 24 ft (assist by J. Brown)"
"11","10:18.0","W. Matthews misses 3-pt jump shot from 27 ft","","2-6","",""
"12","10:15.0","","","2-6","","Defensive rebound by A. Horford"
"13","10:07.0","","","2-6","","Turnover by J. Brown (bad pass; steal by J. Holiday)"
"14","10:04.0","J. Holiday makes 3-pt jump shot from 27 ft","+3","5-6","",""
"15","9:51.0","","","5-6","","A. Horford misses 2-pt layup from 3 ft"
"16","9:50.0","","","5-6","","Offensive rebound by R. Williams"
"17","9:50.0","","","5-8","+2","R. Williams makes 2-pt dunk at rim"
"18","9:39.0","J. Holiday makes 3-pt jump shot from 25 ft","+3","8-8","",""
"19","9:24.0","","","8-8","","Personal foul by J. Holiday (drawn by J. Tatum)"
"20","9:16.0","","","8-8","","A. Horford misses 3-pt jump shot from 24 ft"
"21","9:12.0","Defensive rebound by G. Antetokounmpo","","8-8","",""
"22","9:00.0","Personal foul by J. Tatum (drawn by B. Portis)","","8-8","",""
"23","8:51.0","Turnover by G. Antetokounmpo (bad pass; steal by J. Tatum)","","8-8","",""
