"","Time","Boston","","Score","","Milwaukee"
"2","12:00.0","Jump ball: A. Horford vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: A. Horford vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: A. Horford vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: A. Horford vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: A. Horford vs. B. Lopez (G. Antetokounmpo gains possession)"
"3","11:42.0","","","0-2","+2","G. Allen makes 2-pt layup from 2 ft"
"4","11:21.0","G. Williams misses 2-pt jump shot from 5 ft","","0-2","",""
"5","11:18.0","","","0-2","","Defensive rebound by B. Lopez"
"6","11:16.0","","","0-2","","G. Antetokounmpo misses 2-pt layup from 2 ft (block by M. Smart)"
"7","11:16.0","Defensive rebound by Team","","0-2","",""
"8","11:03.0","J. Tatum misses 3-pt jump shot from 26 ft","","0-2","",""
"9","11:00.0","","","0-2","","Defensive rebound by J. Holiday"
"10","10:51.0","","","0-2","","Turnover by J. Holiday (bad pass)"
"11","10:39.0","Offensive foul by G. Williams (drawn by W. Matthews)","","0-2","",""
"12","10:39.0","Turnover by G. Williams (offensive foul)","","0-2","",""
"13","10:30.0","","","0-4","+2","B. Lopez makes 2-pt dunk from 2 ft (assist by J. Holiday)"
"14","10:18.0","J. Brown misses 3-pt jump shot from 28 ft","","0-4","",""
"15","10:15.0","","","0-4","","Defensive rebound by G. Antetokounmpo"
"16","10:06.0","","","0-4","","Shooting foul by J. Brown (drawn by G. Antetokounmpo)"
"17","10:06.0","","","0-4","","Instant Replay (Request: Stands)"
"18","10:06.0","","","0-5","+1","G. Antetokounmpo makes free throw 1 of 2"
"19","10:06.0","","","0-6","+1","G. Antetokounmpo makes free throw 2 of 2"
"20","9:52.0","A. Horford makes 2-pt jump shot from 14 ft (assist by M. Smart)","+2","2-6","",""
"21","9:36.0","","","2-6","","B. Lopez misses 2-pt jump shot from 16 ft"
"22","9:33.0","Defensive rebound by J. Tatum","","2-6","",""
"23","9:28.0","Turnover by J. Brown (lost ball; steal by W. Matthews)","","2-6","",""
"24","9:16.0","","","2-6","","J. Holiday misses 2-pt layup from 2 ft"
"25","9:14.0","Defensive rebound by J. Tatum","","2-6","",""
"26","9:04.0","G. Williams misses 3-pt jump shot from 26 ft","","2-6","",""
"27","9:00.0","","","2-6","","Defensive rebound by G. Antetokounmpo"
"28","8:49.0","Jump ball: G. Antetokounmpo vs. J. Tatum (G. Allen gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (G. Allen gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (G. Allen gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (G. Allen gains possession)","Jump ball: G. Antetokounmpo vs. J. Tatum (G. Allen gains possession)"
"29","8:43.0","","","2-8","+2","J. Holiday makes 2-pt layup from 3 ft (assist by G. Allen)"
"30","8:29.0","M. Smart misses 3-pt jump shot from 27 ft","","2-8","",""
"31","8:26.0","","","2-8","","Defensive rebound by G. Antetokounmpo"
"32","8:16.0","","","2-8","","G. Allen misses 3-pt jump shot from 23 ft"
"33","8:13.0","Defensive rebound by A. Horford","","2-8","",""
"34","8:03.0","M. Smart misses 2-pt layup from 2 ft","","2-8","",""
"35","8:00.0","","","2-8","","Defensive rebound by B. Lopez"
"36","7:55.0","","","2-8","","W. Matthews misses 3-pt jump shot from 23 ft"
"37","7:52.0","Defensive rebound by M. Smart","","2-8","",""
"38","7:48.0","J. Tatum makes 2-pt dunk from 2 ft (assist by M. Smart)","+2","4-8","",""
"39","7:35.0","","","4-8","","Personal foul by J. Tatum (drawn by B. Lopez)"
"40","7:35.0","","","4-8","","P. Connaughton enters the game for G. Allen"
"41","7:35.0","","","4-8","","B. Portis enters the game for B. Lopez"
"42","7:25.0","","","4-8","","G. Antetokounmpo misses 2-pt layup from 8 ft (block by A. Horford)"
"43","7:25.0","Defensive rebound by Team","","4-8","",""
"44","7:08.0","M. Smart makes 2-pt jump shot from 6 ft","+2","6-8","",""
"45","6:54.0","","","6-8","","G. Antetokounmpo misses 3-pt jump shot from 26 ft"
"46","6:52.0","","","6-8","","Offensive rebound by G. Antetokounmpo"
"47","6:44.0","","","6-10","+2","B. Portis makes 2-pt jump shot from 9 ft"
"48","6:27.0","Offensive foul by A. Horford (drawn by W. Matthews)","","6-10","",""
"49","6:27.0","Turnover by A. Horford (offensive foul)","","6-10","",""
"50","6:27.0","","","6-10","","Milwaukee full timeout"
"51","6:13.0","","","6-10","","P. Connaughton misses 3-pt jump shot from 26 ft"
"52","6:10.0","","","6-10","","Offensive rebound by J. Holiday"
"53","6:03.0","","","6-13","+3","P. Connaughton makes 3-pt jump shot from 27 ft (assist by J. Holiday)"
"54","5:49.0","A. Horford makes 2-pt jump shot from 12 ft (assist by J. Brown)","+2","8-13","",""
"55","5:39.0","","","8-16","+3","J. Holiday makes 3-pt jump shot from 28 ft"
"56","5:25.0","J. Brown makes 3-pt jump shot from 30 ft","+3","11-16","",""
"57","5:12.0","","","11-16","","G. Antetokounmpo misses 2-pt jump shot from 8 ft"
"58","5:10.0","Defensive rebound by G. Williams","","11-16","",""
"59","5:09.0","M. Smart misses 2-pt layup from 4 ft (block by W. Matthews)","","11-16","",""
"60","5:09.0","Offensive rebound by Team","","11-16","",""
"61","5:09.0","D. Theis enters the game for A. Horford","","11-16","",""
"62","5:09.0","D. White enters the game for J. Tatum","","11-16","",""
"63","4:59.0","G. Williams misses 3-pt jump shot from 25 ft (block by P. Connaughton)","","11-16","",""
"64","4:57.0","","","11-16","","Defensive rebound by G. Antetokounmpo"
"65","4:34.0","","","11-19","+3","W. Matthews makes 3-pt jump shot from 23 ft (assist by B. Portis)"
"66","4:17.0","D. Theis misses 2-pt jump shot from 9 ft","","11-19","",""
"67","4:15.0","","","11-19","","Defensive rebound by B. Portis"
"68","4:06.0","","","11-19","","B. Portis misses 2-pt jump shot from 5 ft"
"69","4:04.0","","","11-19","","Offensive rebound by B. Portis"
"70","4:04.0","","","11-19","","B. Portis misses 2-pt layup at rim"
"71","4:03.0","Defensive rebound by J. Brown","","11-19","",""
"72","3:57.0","Personal foul by W. Matthews (drawn by J. Brown)","","11-19","",""
"73","3:57.0","","","11-19","","G. Allen enters the game for G. Antetokounmpo"
"74","3:57.0","","","11-19","","B. Lopez enters the game for W. Matthews"
