"","Time","Chicago","","Score","","Milwaukee"
"2","12:00.0","Jump ball: N. Vucevic vs. B. Lopez (P. Williams gains possession)","Jump ball: N. Vucevic vs. B. Lopez (P. Williams gains possession)","Jump ball: N. Vucevic vs. B. Lopez (P. Williams gains possession)","Jump ball: N. Vucevic vs. B. Lopez (P. Williams gains possession)","Jump ball: N. Vucevic vs. B. Lopez (P. Williams gains possession)"
"3","11:56.0","","","0-0","","Turnover by K. Middleton (bad pass; steal by A. Caruso)"
"4","11:45.0","D. DeRozan misses 2-pt jump shot from 12 ft","","0-0","",""
"5","11:43.0","","","0-0","","Defensive rebound by G. Antetokounmpo"
"6","11:26.0","","","0-0","","Turnover by G. Antetokounmpo (bad pass; steal by D. DeRozan)"
"7","11:22.0","D. DeRozan makes 2-pt layup from 1 ft","+2","2-0","",""
"8","11:11.0","","","2-0","","Turnover by K. Middleton (bad pass; steal by P. Williams)"
"9","11:07.0","P. Williams makes 2-pt dunk from 2 ft (assist by A. Caruso)","+2","4-0","",""
"10","10:50.0","","","4-0","","J. Holiday misses 3-pt jump shot from 28 ft"
"11","10:48.0","Defensive rebound by Z. LaVine","","4-0","",""
"12","10:37.0","N. Vucevic makes 2-pt jump shot from 15 ft (assist by Z. LaVine)","+2","6-0","",""
"13","10:28.0","","","6-0","","G. Antetokounmpo misses 2-pt jump shot from 19 ft"
"14","10:26.0","Defensive rebound by P. Williams","","6-0","",""
"15","10:14.0","N. Vucevic makes 3-pt jump shot from 29 ft (assist by D. DeRozan)","+3","9-0","",""
"16","10:13.0","","","9-0","","Milwaukee full timeout"
"17","10:01.0","","","9-0","","Turnover by J. Holiday (bad pass)"
"18","9:38.0","D. DeRozan misses 2-pt jump shot from 20 ft","","9-0","",""
"19","9:36.0","","","9-0","","Defensive rebound by J. Holiday"
"20","9:31.0","","","9-3","+3","K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)"
"21","9:12.0","P. Williams misses 3-pt jump shot from 24 ft","","9-3","",""
"22","9:10.0","","","9-3","","Defensive rebound by W. Matthews"
"23","9:03.0","","","9-5","+2","B. Lopez makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo)"
"24","8:40.0","P. Williams makes 2-pt jump shot from 16 ft (assist by A. Caruso)","+2","11-5","",""
"25","8:30.0","","","11-7","+2","G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by J. Holiday)"
"26","8:11.0","Z. LaVine makes 3-pt jump shot from 26 ft (assist by P. Williams)","+3","14-7","",""
"27","7:57.0","","","14-10","+3","B. Lopez makes 3-pt jump shot from 25 ft (assist by K. Middleton)"
"28","7:41.0","Z. LaVine misses 2-pt layup from 5 ft","","14-10","",""
"29","7:38.0","","","14-10","","Defensive rebound by J. Holiday"
"30","7:33.0","","","14-13","+3","W. Matthews makes 3-pt jump shot from 23 ft (assist by J. Holiday)"
"31","7:19.0","Z. LaVine misses 3-pt jump shot from 26 ft","","14-13","",""
"32","7:17.0","Offensive rebound by N. Vucevic","","14-13","",""
"33","7:03.0","D. DeRozan misses 2-pt jump shot from 17 ft","","14-13","",""
"34","7:00.0","","","14-13","","Defensive rebound by G. Antetokounmpo"
"35","6:51.0","","","14-13","","G. Antetokounmpo misses 3-pt jump shot from 27 ft"
"36","6:49.0","Defensive rebound by D. DeRozan","","14-13","",""
"37","6:40.0","D. DeRozan makes 2-pt layup from 3 ft","+2","16-13","",""
"38","6:20.0","","","16-16","+3","W. Matthews makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo)"
"39","5:55.0","Chicago full timeout","","16-16","",""
"40","5:55.0","T. Thompson enters the game for N. Vucevic","","16-16","",""
"41","5:55.0","","","16-16","","G. Allen enters the game for B. Lopez"
"42","5:55.0","","","16-16","","B. Portis enters the game for K. Middleton"
"43","5:51.0","T. Thompson misses 2-pt hook shot from 8 ft","","16-16","",""
"44","5:49.0","","","16-16","","Defensive rebound by G. Antetokounmpo"
"45","5:46.0","","","16-16","","Shooting foul by T. Thompson (drawn by G. Antetokounmpo)"
"46","5:46.0","","","16-17","+1","G. Antetokounmpo makes free throw 1 of 2"
"47","5:46.0","","","16-18","+1","G. Antetokounmpo makes free throw 2 of 2"
"48","5:30.0","Z. LaVine misses 2-pt layup from 4 ft","","16-18","",""
"49","5:27.0","","","16-18","","Defensive rebound by B. Portis"
"50","5:19.0","","","16-18","","W. Matthews misses 3-pt jump shot from 27 ft"
"51","5:17.0","Defensive rebound by P. Williams","","16-18","",""
"52","5:07.0","A. Caruso makes 3-pt jump shot from 24 ft (assist by P. Williams)","+3","19-18","",""
"53","4:49.0","","","19-20","+2","G. Allen makes 2-pt jump shot from 18 ft (assist by W. Matthews)"
"54","4:31.0","D. DeRozan makes 2-pt jump shot from 15 ft","+2","21-20","",""
"55","4:15.0","","","21-22","+2","J. Holiday makes 2-pt jump shot from 1 ft (assist by G. Allen)"
"56","3:57.0","A. Caruso misses 3-pt jump shot from 26 ft","","21-22","",""
"57","3:53.0","","","21-22","","Defensive rebound by J. Holiday"
"58","3:40.0","","","21-22","","J. Holiday misses 2-pt jump shot from 18 ft"
"59","3:38.0","","","21-22","","Offensive rebound by G. Antetokounmpo"
"60","3:36.0","","","21-24","+2","G. Antetokounmpo makes 2-pt layup at rim"
"61","3:22.0","Shooting foul by W. Matthews (drawn by D. DeRozan)","","21-24","",""
"62","3:22.0","D. DeRozan makes free throw 1 of 2","+1","22-24","",""
"63","3:22.0","A. Dosunmu enters the game for A. Caruso","","22-24","",""
"64","3:22.0","D. Jones enters the game for Z. LaVine","","22-24","",""
"65","3:22.0","C. White enters the game for P. Williams","","22-24","",""
"66","3:22.0","","","22-24","","B. Lopez enters the game for G. Antetokounmpo"
"67","3:22.0","","","22-24","","K. Middleton enters the game for W. Matthews"
"68","3:22.0","D. DeRozan makes free throw 2 of 2","+1","23-24","",""
"69","3:08.0","","","23-24","","B. Lopez misses 2-pt jump shot from 14 ft"
"70","3:06.0","Defensive rebound by T. Thompson","","23-24","",""
"71","2:46.0","Turnover by C. White (traveling)","","23-24","",""
"72","2:26.0","","","23-24","","Turnover by B. Portis (bad pass; steal by T. Thompson)"
"73","2:13.0","C. White makes 3-pt jump shot from 27 ft (assist by D. DeRozan)","+3","26-24","",""
"74","1:45.0","","","26-24","","B. Portis misses 3-pt jump shot from 25 ft"
"75","1:45.0","","","26-24","","Offensive rebound by B. Portis"
"76","1:45.0","","","26-24","","Shooting foul by D. DeRozan (drawn by B. Portis)"
"77","1:45.0","","","26-25","+1","B. Portis makes free throw 1 of 2"
