"","Time","Milwaukee","","Score","","Chicago"
"2","12:00.0","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)"
"3","11:40.0","J. Holiday misses 3-pt jump shot from 25 ft","","0-0","",""
"4","11:34.0","","","0-0","","Defensive rebound by A. Caruso"
"5","11:19.0","","","0-0","","D. DeRozan misses 2-pt jump shot from 6 ft"
"6","11:17.0","","","0-0","","Offensive rebound by P. Williams"
"7","11:14.0","","","0-0","","P. Williams misses 3-pt jump shot from 26 ft"
"8","11:10.0","Defensive rebound by G. Antetokounmpo","","0-0","",""
"9","11:00.0","J. Holiday makes 2-pt layup from 1 ft","+2","2-0","",""
"10","10:46.0","","","2-3","+3","N. Vucevic makes 3-pt jump shot from 26 ft (assist by D. DeRozan)"
"11","10:31.0","Turnover by W. Matthews (bad pass; steal by D. DeRozan)","","2-3","",""
"12","10:21.0","","","2-3","","Z. LaVine misses 3-pt jump shot from 23 ft"
"13","10:17.0","Defensive rebound by B. Portis","","2-3","",""
"14","10:05.0","B. Lopez makes 3-pt jump shot from 23 ft","+3","5-3","",""
"15","9:44.0","","","5-3","","P. Williams misses 2-pt jump shot from 17 ft"
"16","9:42.0","Defensive rebound by J. Holiday","","5-3","",""
"17","9:36.0","B. Portis misses 2-pt layup from 1 ft (block by N. Vucevic)","","5-3","",""
"18","9:32.0","Offensive rebound by B. Portis","","5-3","",""
"19","9:30.0","B. Portis makes 2-pt jump shot from 16 ft (assist by W. Matthews)","+2","7-3","",""
"20","9:07.0","","","7-6","+3","N. Vucevic makes 3-pt jump shot from 26 ft (assist by Z. LaVine)"
"21","8:57.0","B. Portis makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo)","+3","10-6","",""
"22","8:39.0","","","10-6","","N. Vucevic misses 3-pt jump shot from 26 ft"
"23","8:37.0","Defensive rebound by G. Antetokounmpo","","10-6","",""
"24","8:32.0","G. Antetokounmpo makes 2-pt layup from 1 ft","+2","12-6","",""
"25","8:32.0","Shooting foul by Z. LaVine (drawn by G. Antetokounmpo)","","12-6","",""
"26","8:32.0","G. Antetokounmpo misses free throw 1 of 1","","12-6","",""
"27","8:29.0","","","12-6","","Defensive rebound by N. Vucevic"
"28","8:06.0","","","12-6","","D. DeRozan misses 2-pt jump shot from 10 ft"
"29","8:02.0","Defensive rebound by G. Antetokounmpo","","12-6","",""
"30","7:57.0","B. Portis makes 3-pt jump shot from 27 ft (assist by J. Holiday)","+3","15-6","",""
"31","7:44.0","","","15-9","+3","A. Caruso makes 3-pt jump shot from 25 ft"
"32","7:35.0","J. Holiday makes 2-pt layup from 1 ft","+2","17-9","",""
"33","7:34.0","","","17-9","","Chicago full timeout"
"34","7:18.0","","","17-9","","D. DeRozan misses 2-pt jump shot from 15 ft"
"35","7:18.0","Defensive rebound by Team","","17-9","",""
"36","7:02.0","B. Portis misses 3-pt jump shot from 25 ft","","17-9","",""
"37","6:59.0","","","17-9","","Defensive rebound by P. Williams"
"38","6:48.0","","","17-9","","Turnover by D. DeRozan (lost ball; steal by J. Holiday)"
"39","6:45.0","J. Holiday makes 2-pt layup from 1 ft","+2","19-9","",""
"40","6:29.0","","","19-9","","N. Vucevic misses 2-pt jump shot from 21 ft"
"41","6:27.0","Defensive rebound by B. Portis","","19-9","",""
"42","6:12.0","W. Matthews misses 3-pt jump shot from 23 ft","","19-9","",""
"43","6:09.0","Offensive rebound by W. Matthews","","19-9","",""
"44","6:02.0","Offensive foul by G. Antetokounmpo (drawn by D. DeRozan)","","19-9","",""
"45","6:02.0","Turnover by G. Antetokounmpo (offensive foul)","","19-9","",""
"46","6:02.0","G. Allen enters the game for G. Antetokounmpo","","19-9","",""
"47","5:47.0","","","19-9","","Z. LaVine misses 2-pt jump shot from 20 ft"
"48","5:44.0","Defensive rebound by G. Allen","","19-9","",""
"49","5:29.0","J. Holiday misses 2-pt jump shot from 15 ft","","19-9","",""
"50","5:25.0","","","19-9","","Defensive rebound by D. DeRozan"
"51","5:13.0","","","19-9","","N. Vucevic misses 2-pt hook shot from 6 ft (block by B. Lopez)"
"52","5:10.0","Defensive rebound by B. Portis","","19-9","",""
"53","5:05.0","B. Portis misses 2-pt jump shot from 16 ft","","19-9","",""
"54","5:01.0","","","19-9","","Defensive rebound by N. Vucevic"
"55","4:42.0","","","19-9","","N. Vucevic misses 3-pt jump shot from 26 ft"
"56","4:38.0","Defensive rebound by B. Portis","","19-9","",""
"57","4:33.0","J. Holiday misses 3-pt jump shot from 25 ft","","19-9","",""
"58","4:30.0","","","19-9","","Defensive rebound by N. Vucevic"
"59","4:22.0","","","19-11","+2","D. DeRozan makes 2-pt layup from 2 ft"
"60","4:01.0","G. Allen misses 2-pt layup from 2 ft","","19-11","",""
"61","3:59.0","","","19-11","","Defensive rebound by Z. LaVine"
"62","3:42.0","","","19-11","","Turnover by Z. LaVine (traveling)"
"63","3:42.0","Milwaukee full timeout","","19-11","",""
"64","3:42.0","G. Antetokounmpo enters the game for B. Lopez","","19-11","",""
"65","3:42.0","J. Carter enters the game for W. Matthews","","19-11","",""
"66","3:42.0","P. Connaughton enters the game for B. Portis","","19-11","",""
"67","3:42.0","","","19-11","","D. Jones enters the game for Z. LaVine"
"68","3:42.0","","","19-11","","T. Thompson enters the game for N. Vucevic"
"69","3:42.0","","","19-11","","C. White enters the game for P. Williams"
"70","3:30.0","G. Allen makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo)","+3","22-11","",""
"71","3:15.0","","","22-13","+2","D. DeRozan makes 2-pt jump shot from 17 ft"
"72","2:57.0","G. Allen makes 3-pt jump shot from 26 ft (assist by J. Carter)","+3","25-13","",""
