"","Time","Dallas","","Score","","Golden State"
"2","12:00.0","Jump ball: D. Powell vs. K. Looney (K. Thompson gains possession)","Jump ball: D. Powell vs. K. Looney (K. Thompson gains possession)","Jump ball: D. Powell vs. K. Looney (K. Thompson gains possession)","Jump ball: D. Powell vs. K. Looney (K. Thompson gains possession)","Jump ball: D. Powell vs. K. Looney (K. Thompson gains possession)"
"3","11:43.0","","","0-0","","K. Thompson misses 2-pt jump shot from 18 ft"
"4","11:40.0","Defensive rebound by L. Doncic","","0-0","",""
"5","11:18.0","L. Doncic makes 2-pt jump shot from 9 ft","+2","2-0","",""
"6","11:04.0","","","2-0","","A. Wiggins misses 2-pt jump shot from 9 ft"
"7","11:01.0","Defensive rebound by D. Powell","","2-0","",""
"8","10:55.0","L. Doncic makes 3-pt jump shot from 28 ft","+3","5-0","",""
"9","10:35.0","","","5-0","","Shooting foul by J. Brunson (drawn by A. Wiggins)"
"10","10:35.0","","","5-0","","A. Wiggins misses free throw 1 of 2"
"11","10:35.0","","","5-0","","Offensive rebound by Team"
"12","10:35.0","","","5-0","","A. Wiggins misses free throw 2 of 2"
"13","10:33.0","Defensive rebound by R. Bullock","","5-0","",""
"14","10:25.0","D. Powell misses 2-pt layup from 6 ft","","5-0","",""
"15","10:23.0","","","5-0","","Defensive rebound by S. Curry"
"16","10:15.0","","","5-2","+2","K. Thompson makes 2-pt jump shot from 11 ft (assist by S. Curry)"
"17","10:05.0","J. Brunson makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith)","+3","8-2","",""
"18","9:57.0","","","8-2","","Golden State full timeout"
"19","9:52.0","","","8-2","","K. Thompson misses 3-pt jump shot from 26 ft"
"20","9:50.0","Defensive rebound by R. Bullock","","8-2","",""
"21","9:37.0","J. Brunson misses 3-pt jump shot from 25 ft","","8-2","",""
"22","9:34.0","","","8-2","","Defensive rebound by K. Looney"
"23","9:27.0","","","8-2","","Turnover by S. Curry (bad pass; steal by L. Doncic)"
"24","9:21.0","J. Brunson makes 2-pt layup from 6 ft (assist by L. Doncic)","+2","10-2","",""
"25","8:57.0","","","10-5","+3","S. Curry makes 3-pt jump shot from 29 ft (assist by D. Green)"
"26","8:33.0","Loose ball foul by J. Brunson (drawn by A. Wiggins)","","10-5","",""
"27","8:33.0","Turnover by J. Brunson (lost ball)","","10-5","",""
"28","8:23.0","","","10-5","","S. Curry misses 3-pt jump shot from 28 ft"
"29","8:20.0","Defensive rebound by D. Finney-Smith","","10-5","",""
"30","8:10.0","L. Doncic misses 2-pt jump shot from 11 ft","","10-5","",""
"31","8:08.0","","","10-5","","Defensive rebound by S. Curry"
"32","8:02.0","","","10-8","+3","A. Wiggins makes 3-pt jump shot from 28 ft (assist by S. Curry)"
"33","7:50.0","J. Brunson makes 3-pt jump shot from 27 ft","+3","13-8","",""
"34","7:39.0","","","13-8","","Turnover by D. Green (bad pass; steal by L. Doncic)"
"35","7:37.0","Personal take foul by S. Curry (drawn by L. Doncic)","","13-8","",""
"36","7:37.0","M. Kleber enters the game for D. Powell","","13-8","",""
"37","7:29.0","Shooting foul by D. Green (drawn by L. Doncic)","","13-8","",""
"38","7:29.0","L. Doncic misses free throw 1 of 2","","13-8","",""
"39","7:29.0","Offensive rebound by Team","","13-8","",""
"40","7:29.0","L. Doncic makes free throw 2 of 2","+1","14-8","",""
"41","7:07.0","","","14-8","","A. Wiggins misses 3-pt jump shot from 26 ft"
"42","7:04.0","Defensive rebound by J. Brunson","","14-8","",""
"43","6:55.0","D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by L. Doncic)","+3","17-8","",""
"44","6:39.0","","","17-8","","Turnover by D. Green (bad pass; steal by M. Kleber)"
"45","6:27.0","L. Doncic makes 2-pt jump shot from 7 ft","+2","19-8","",""
"46","6:27.0","Shooting foul by A. Wiggins (drawn by L. Doncic)","","19-8","",""
"47","6:27.0","S. Dinwiddie enters the game for J. Brunson","","19-8","",""
"48","6:27.0","","","19-8","","J. Poole enters the game for K. Looney"
"49","6:27.0","","","19-8","","O. Porter enters the game for K. Thompson"
"50","6:27.0","L. Doncic makes free throw 1 of 1","+1","20-8","",""
"51","6:16.0","","","20-8","","S. Curry misses 2-pt jump shot from 9 ft"
"52","6:14.0","Defensive rebound by L. Doncic","","20-8","",""
"53","6:01.0","M. Kleber misses 3-pt jump shot from 25 ft","","20-8","",""
"54","5:58.0","Offensive rebound by D. Finney-Smith","","20-8","",""
"55","5:56.0","R. Bullock makes 3-pt jump shot from 30 ft (assist by D. Finney-Smith)","+3","23-8","",""
"56","5:43.0","","","23-8","","Turnover by D. Green (bad pass)"
"57","5:30.0","D. Finney-Smith misses 3-pt jump shot from 22 ft","","23-8","",""
"58","5:28.0","","","23-8","","Defensive rebound by D. Green"
"59","5:20.0","","","23-10","+2","A. Wiggins makes 2-pt dunk from 3 ft (assist by O. Porter)"
"60","5:20.0","Dallas full timeout","","23-10","",""
"61","5:20.0","F. Ntilikina enters the game for D. Finney-Smith","","23-10","",""
"62","5:00.0","L. Doncic makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie)","+3","26-10","",""
"63","4:42.0","","","26-10","","Shooting foul by F. Ntilikina (drawn by D. Green)"
"64","4:42.0","","","26-11","+1","D. Green makes free throw 1 of 2"
"65","4:42.0","","","26-11","","D. Green misses free throw 2 of 2"
"66","4:40.0","Defensive rebound by L. Doncic","","26-11","",""
"67","4:30.0","F. Ntilikina misses 3-pt jump shot from 22 ft","","26-11","",""
"68","4:27.0","","","26-11","","Defensive rebound by S. Curry"
"69","4:21.0","","","26-14","+3","S. Curry makes 3-pt jump shot from 28 ft"
"70","4:02.0","S. Dinwiddie misses 3-pt jump shot from 28 ft","","26-14","",""
"71","4:00.0","","","26-14","","Defensive rebound by S. Curry"
"72","3:46.0","","","26-17","+3","S. Curry makes 3-pt jump shot from 26 ft (assist by A. Wiggins)"
"73","3:25.0","F. Ntilikina misses 2-pt jump shot from 22 ft","","26-17","",""
"74","3:22.0","","","26-17","","Defensive rebound by O. Porter"
"75","3:17.0","","","26-17","","Personal foul by S. Dinwiddie (drawn by S. Curry)"
"76","3:17.0","D. Finney-Smith enters the game for R. Bullock","","26-17","",""
"77","3:17.0","","","26-17","","K. Looney enters the game for D. Green"
"78","3:12.0","","","26-17","","Turnover by O. Porter (bad pass)"
"79","2:57.0","L. Doncic misses 3-pt jump shot from 29 ft","","26-17","",""
"80","2:54.0","","","26-17","","Defensive rebound by O. Porter"
"81","2:47.0","","","26-19","+2","S. Curry makes 2-pt layup from 7 ft"
"82","2:37.0","M. Kleber misses 3-pt jump shot from 26 ft","","26-19","",""
"83","2:34.0","","","26-19","","Defensive rebound by K. Looney"
"84","2:25.0","","","26-19","","S. Curry misses 2-pt jump shot from 21 ft"
"85","2:22.0","Defensive rebound by D. Finney-Smith","","26-19","",""
"86","2:18.0","F. Ntilikina misses 3-pt jump shot from 23 ft","","26-19","",""
"87","2:15.0","","","26-19","","Defensive rebound by O. Porter"
"88","2:07.0","","","26-19","","A. Wiggins misses 2-pt layup from 6 ft"
"89","2:05.0","","","26-19","","Offensive rebound by A. Wiggins"
"90","2:03.0","","","26-19","","A. Wiggins misses 2-pt layup at rim"
"91","2:02.0","","","26-19","","Offensive rebound by K. Looney"
"92","2:02.0","","","26-21","+2","K. Looney makes 2-pt layup at rim"
"93","1:54.0","S. Dinwiddie misses 2-pt layup from 5 ft","","26-21","",""
"94","1:52.0","","","26-21","","Defensive rebound by O. Porter"
"95","1:48.0","","","26-23","+2","A. Wiggins makes 2-pt jump shot from 9 ft (assist by O. Porter)"
"96","1:48.0","Dallas full timeout","","26-23","",""
"97","1:48.0","R. Bullock enters the game for F. Ntilikina","","26-23","",""
"98","1:48.0","","","26-23","","K. Thompson enters the game for A. Wiggins"
"99","1:33.0","L. Doncic makes 2-pt dunk from 4 ft","+2","28-23","",""
"100","1:17.0","","","28-23","","Personal foul by L. Doncic (drawn by O. Porter)"
"101","1:17.0","","","28-24","+1","O. Porter makes free throw 1 of 2"
"102","1:17.0","","","28-25","+1","O. Porter makes free throw 2 of 2"
"103","1:04.0","L. Doncic makes 2-pt layup from 4 ft","+2","30-25","",""
"104","1:04.0","","","30-25","","A. Wiggins enters the game for K. Looney"
"105","0:50.0","Jump ball: S. Dinwiddie vs. J. Poole (M. Kleber gains possession)","Jump ball: S. Dinwiddie vs. J. Poole (M. Kleber gains possession)","Jump ball: S. Dinwiddie vs. J. Poole (M. Kleber gains possession)","Jump ball: S. Dinwiddie vs. J. Poole (M. Kleber gains possession)","Jump ball: S. Dinwiddie vs. J. Poole (M. Kleber gains possession)"
"106","0:50.0","","","30-25","","Turnover by J. Poole (lost ball; steal by S. Dinwiddie)"
"107","0:50.0","","","30-25","","K. Looney enters the game for J. Poole"
"108","0:31.0","Shooting foul by S. Curry (drawn by L. Doncic)","","30-25","",""
"109","0:31.0","L. Doncic makes free throw 1 of 2","+1","31-25","",""
"110","0:31.0","L. Doncic makes free throw 2 of 2","+1","32-25","",""
"111","0:20.0","","","32-25","","S. Curry misses 2-pt jump shot from 8 ft"
"112","0:18.0","Defensive rebound by R. Bullock","","32-25","",""
"113","0:00.0","L. Doncic misses 3-pt jump shot from 28 ft","","32-25","",""
"114","0:00.0","Offensive rebound by Team","","32-25","",""
"115","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"116","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"117","Time","Dallas","","Score","","Golden State"
"118","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"119","11:45.0","Turnover by D. Finney-Smith (bad pass; steal by J. Poole)","","32-25","",""
"120","11:38.0","","","32-25","","D. Lee misses 3-pt jump shot from 26 ft"
"121","11:35.0","Defensive rebound by D. Finney-Smith","","32-25","",""
"122","11:27.0","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie)","+3","35-25","",""
"123","11:11.0","","","35-27","+2","O. Porter makes 2-pt jump shot from 16 ft (assist by D. Lee)"
"124","11:02.0","R. Bullock makes 3-pt jump shot from 27 ft (assist by J. Brunson)","+3","38-27","",""
"125","10:42.0","","","38-30","+3","J. Poole makes 3-pt jump shot from 25 ft (assist by K. Thompson)"
"126","10:19.0","J. Brunson misses 2-pt jump shot from 8 ft","","38-30","",""
"127","10:16.0","","","38-30","","Defensive rebound by D. Green"
"128","10:13.0","","","38-30","","Offensive foul by D. Green (drawn by D. Bertans)"
"129","10:13.0","","","38-30","","Turnover by D. Green (offensive foul)"
"130","10:02.0","Turnover by S. Dinwiddie (out of bounds lost ball)","","38-30","",""
"131","9:49.0","","","38-30","","Offensive foul by D. Lee (drawn by J. Brunson)"
"132","9:49.0","","","38-30","","Turnover by D. Lee (offensive foul)"
"133","9:49.0","","","38-30","","Technical foul by D. Green"
"134","9:49.0","R. Bullock makes technical free throw","+1","39-30","",""
"135","9:32.0","Turnover by S. Dinwiddie (traveling)","","39-30","",""
"136","9:25.0","","","39-30","","D. Lee misses 3-pt jump shot from 25 ft"
"137","9:23.0","Defensive rebound by S. Dinwiddie","","39-30","",""
"138","9:20.0","J. Brunson makes 2-pt layup from 7 ft (assist by S. Dinwiddie)","+2","41-30","",""
"139","9:20.0","","","41-30","","Violation by Team (def goaltending)"
"140","9:20.0","Shooting foul by D. Lee (drawn by J. Brunson)","","41-30","",""
"141","9:20.0","J. Brunson makes free throw 1 of 1","+1","42-30","",""
"142","9:00.0","","","42-32","+2","J. Poole makes 2-pt layup from 6 ft"
"143","8:50.0","J. Brunson makes 2-pt jump shot from 9 ft","+2","44-32","",""
"144","8:39.0","","","44-32","","Turnover by J. Poole (traveling)"
"145","8:29.0","Turnover by J. Brunson (lost ball; steal by J. Poole)","","44-32","",""
"146","8:25.0","","","44-34","+2","K. Thompson makes 2-pt layup from 4 ft (assist by J. Poole)"
"147","8:19.0","R. Bullock misses 3-pt jump shot from 27 ft","","44-34","",""
"148","8:17.0","Offensive rebound by D. Bertans","","44-34","",""
"149","8:06.0","D. Bertans makes 3-pt jump shot from 23 ft (assist by J. Brunson)","+3","47-34","",""
"150","8:03.0","Instant Replay","","47-34","",""
"151","8:03.0","","","47-34","","Technical foul by D. Lee"
"152","8:03.0","Technical foul by D. Bertans","","47-34","",""
"153","7:50.0","","","47-34","","Turnover by J. Poole (bad pass; steal by D. Bertans)"
"154","7:48.0","R. Bullock misses 2-pt layup from 5 ft (block by O. Porter)","","47-34","",""
"155","7:47.0","Offensive rebound by Team","","47-34","",""
"156","7:47.0","","","47-34","","Loose ball foul by K. Thompson (drawn by D. Finney-Smith)"
"157","7:47.0","J. Green enters the game for R. Bullock","","47-34","",""
"158","7:42.0","Away from play foul by O. Porter (drawn by D. Bertans)","","47-34","",""
"159","7:42.0","D. Bertans makes free throw 1 of 1","+1","48-34","",""
"160","7:38.0","D. Bertans makes 2-pt jump shot from 13 ft (assist by J. Brunson)","+2","50-34","",""
"161","7:22.0","","","50-34","","K. Thompson misses 3-pt jump shot from 26 ft"
"162","7:20.0","Defensive rebound by D. Bertans","","50-34","",""
"163","7:09.0","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by J. Brunson)","+3","53-34","",""
"164","7:08.0","","","53-34","","Golden State full timeout"
"165","7:08.0","","","53-34","","S. Curry enters the game for D. Green"
"166","7:08.0","","","53-34","","K. Looney enters the game for D. Lee"
"167","7:08.0","","","53-34","","A. Wiggins enters the game for K. Thompson"
"168","6:51.0","","","53-36","+2","J. Poole makes 2-pt layup from 5 ft (assist by O. Porter)"
"169","6:38.0","D. Bertans misses 3-pt jump shot from 25 ft","","53-36","",""
"170","6:35.0","","","53-36","","Defensive rebound by A. Wiggins"
"171","6:25.0","","","53-36","","K. Looney misses 2-pt layup from 6 ft"
"172","6:23.0","","","53-36","","Offensive rebound by Team"
"173","6:23.0","L. Doncic enters the game for D. Bertans","","53-36","",""
"174","6:23.0","M. Kleber enters the game for S. Dinwiddie","","53-36","",""
"175","6:23.0","","","53-36","","K. Thompson enters the game for J. Poole"
"176","6:13.0","","","53-36","","A. Wiggins misses 2-pt layup from 6 ft (block by M. Kleber)"
"177","6:13.0","","","53-36","","Offensive rebound by Team"
"178","6:13.0","","","53-36","","Turnover by Team (shot clock)"
"179","6:13.0","R. Bullock enters the game for D. Finney-Smith","","53-36","",""
"180","5:58.0","M. Kleber misses 3-pt jump shot from 23 ft","","53-36","",""
"181","5:56.0","","","53-36","","Defensive rebound by S. Curry"
"182","5:44.0","","","53-38","+2","K. Looney makes 2-pt layup from 3 ft (assist by O. Porter)"
"183","5:26.0","J. Brunson makes 3-pt jump shot from 27 ft (assist by L. Doncic)","+3","56-38","",""
"184","5:13.0","","","56-41","+3","A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Thompson)"
"185","4:52.0","L. Doncic misses 2-pt jump shot from 6 ft","","56-41","",""
"186","4:48.0","","","56-41","","Defensive rebound by A. Wiggins"
"187","4:44.0","","","56-41","","A. Wiggins misses 2-pt layup from 4 ft"
"188","4:42.0","","","56-41","","Offensive rebound by K. Looney"
"189","4:42.0","","","56-41","","K. Looney misses 2-pt layup at rim"
"190","4:42.0","Defensive rebound by J. Green","","56-41","",""
"191","4:42.0","Personal take foul by S. Curry (drawn by J. Brunson)","","56-41","",""
"192","4:42.0","D. Finney-Smith enters the game for J. Green","","56-41","",""
"193","4:42.0","","","56-41","","D. Green enters the game for O. Porter"
"194","4:28.0","R. Bullock makes 3-pt jump shot from 28 ft (assist by L. Doncic)","+3","59-41","",""
