"","Time","Golden State","","Score","","Dallas"
"2","12:00.0","Jump ball: K. Looney vs. D. Powell (D. Green gains possession)","Jump ball: K. Looney vs. D. Powell (D. Green gains possession)","Jump ball: K. Looney vs. D. Powell (D. Green gains possession)","Jump ball: K. Looney vs. D. Powell (D. Green gains possession)","Jump ball: K. Looney vs. D. Powell (D. Green gains possession)"
"3","11:48.0","K. Thompson misses 3-pt jump shot from 25 ft","","0-0","",""
"4","11:45.0","Offensive rebound by K. Looney","","0-0","",""
"5","11:37.0","D. Green misses 2-pt jump shot from 8 ft","","0-0","",""
"6","11:35.0","","","0-0","","Defensive rebound by D. Finney-Smith"
"7","11:24.0","","","0-0","","L. Doncic misses 3-pt jump shot from 22 ft"
"8","11:20.0","Defensive rebound by S. Curry","","0-0","",""
"9","11:09.0","K. Looney misses 2-pt layup from 2 ft","","0-0","",""
"10","11:07.0","","","0-0","","Defensive rebound by L. Doncic"
"11","10:54.0","","","0-0","","J. Brunson misses 2-pt jump shot from 5 ft"
"12","10:52.0","Defensive rebound by K. Looney","","0-0","",""
"13","10:43.0","D. Green misses 3-pt jump shot from 24 ft","","0-0","",""
"14","10:40.0","","","0-0","","Defensive rebound by L. Doncic"
"15","10:29.0","","","0-2","+2","J. Brunson makes 2-pt jump shot from 5 ft"
"16","10:29.0","","","0-2","","Shooting foul by S. Curry (drawn by J. Brunson)"
"17","10:29.0","","","0-3","+1","J. Brunson makes free throw 1 of 1"
"18","10:16.0","K. Looney makes 2-pt layup from 3 ft (assist by S. Curry)","+2","2-3","",""
"19","10:16.0","Shooting foul by L. Doncic (drawn by K. Looney)","","2-3","",""
"20","10:16.0","K. Looney misses free throw 1 of 1","","2-3","",""
"21","10:14.0","","","2-3","","Defensive rebound by L. Doncic"
"22","9:56.0","","","2-3","","L. Doncic misses 2-pt jump shot from 13 ft"
"23","9:52.0","Defensive rebound by D. Green","","2-3","",""
"24","9:44.0","A. Wiggins makes 2-pt jump shot from 10 ft","+2","4-3","",""
"25","9:33.0","","","4-3","","J. Brunson misses 3-pt jump shot from 25 ft"
"26","9:30.0","Defensive rebound by S. Curry","","4-3","",""
"27","9:24.0","D. Green makes 2-pt layup from 1 ft (assist by S. Curry)","+2","6-3","",""
"28","8:58.0","","","6-3","","L. Doncic misses 2-pt jump shot from 4 ft"
"29","8:57.0","Defensive rebound by K. Looney","","6-3","",""
"30","8:54.0","A. Wiggins misses 2-pt layup from 2 ft","","6-3","",""
"31","8:48.0","Offensive rebound by A. Wiggins","","6-3","",""
"32","8:48.0","A. Wiggins misses 2-pt layup at rim","","6-3","",""
"33","8:47.0","","","6-3","","Defensive rebound by R. Bullock"
