"","Time","Utah","","Score","","Dallas"
"2","12:00.0","Jump ball: R. Gobert vs. D. Powell (R. Bullock gains possession)","Jump ball: R. Gobert vs. D. Powell (R. Bullock gains possession)","Jump ball: R. Gobert vs. D. Powell (R. Bullock gains possession)","Jump ball: R. Gobert vs. D. Powell (R. Bullock gains possession)","Jump ball: R. Gobert vs. D. Powell (R. Bullock gains possession)"
"3","11:46.0","","","0-0","","Turnover by S. Dinwiddie (out of bounds lost ball)"
"4","11:29.0","D. Mitchell makes 2-pt jump shot from 11 ft (assist by R. Gobert)","+2","2-0","",""
"5","11:08.0","","","2-2","+2","J. Brunson makes 2-pt hook shot from 5 ft"
"6","10:55.0","R. Gobert makes 2-pt dunk at rim (assist by D. Mitchell)","+2","4-2","",""
"7","10:40.0","","","4-2","","S. Dinwiddie misses 2-pt jump shot from 6 ft"
"8","10:36.0","Defensive rebound by R. O'Neale","","4-2","",""
"9","10:26.0","D. Mitchell misses 2-pt layup from 4 ft (block by D. Powell)","","4-2","",""
"10","10:24.0","","","4-2","","Defensive rebound by D. Powell"
"11","10:18.0","","","4-2","","S. Dinwiddie misses 2-pt jump shot from 4 ft"
"12","10:16.0","Defensive rebound by R. Gobert","","4-2","",""
"13","10:02.0","M. Conley misses 2-pt jump shot from 6 ft","","4-2","",""
"14","10:01.0","Offensive rebound by M. Conley","","4-2","",""
"15","9:54.0","Turnover by R. Gobert (lost ball; steal by J. Brunson)","","4-2","",""
"16","9:48.0","","","4-5","+3","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)"
"17","9:31.0","D. Mitchell misses 3-pt jump shot from 25 ft","","4-5","",""
"18","9:31.0","","","4-5","","Defensive rebound by Team"
"19","9:14.0","","","4-5","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"20","9:11.0","Defensive rebound by R. Gobert","","4-5","",""
"21","9:01.0","Turnover by R. Gobert (bad pass; steal by S. Dinwiddie)","","4-5","",""
"22","8:53.0","","","4-5","","Turnover by S. Dinwiddie (bad pass; steal by M. Conley)"
"23","8:53.0","Personal foul by D. Powell (drawn by M. Conley)","","4-5","",""
"24","8:29.0","R. O'Neale misses 3-pt jump shot from 23 ft","","4-5","",""
"25","8:26.0","","","4-5","","Defensive rebound by S. Dinwiddie"
"26","8:09.0","","","4-8","+3","J. Brunson makes 3-pt jump shot from 25 ft (assist by R. Bullock)"
"27","7:55.0","D. Mitchell makes 2-pt jump shot from 11 ft","+2","6-8","",""
"28","7:34.0","","","6-11","+3","J. Brunson makes 3-pt jump shot from 25 ft"
"29","7:19.0","R. Gobert misses 2-pt layup from 3 ft","","6-11","",""
"30","7:17.0","","","6-11","","Defensive rebound by J. Brunson"
"31","7:14.0","","","6-14","+3","J. Brunson makes 3-pt jump shot from 25 ft"
"32","7:12.0","Utah full timeout","","6-14","",""
"33","6:50.0","Turnover by B. Bogdanovic (lost ball; steal by J. Brunson)","","6-14","",""
"34","6:49.0","","","6-14","","Personal take foul by M. Conley (drawn by J. Brunson)"
"35","6:49.0","D. House enters the game for M. Conley","","6-14","",""
"36","6:49.0","H. Whiteside enters the game for R. Gobert","","6-14","",""
"37","6:39.0","Loose ball foul by H. Whiteside (drawn by D. Powell)","","6-14","",""
"38","6:37.0","","","6-14","","D. Finney-Smith misses 3-pt jump shot from 27 ft"
"39","6:33.0","Defensive rebound by H. Whiteside","","6-14","",""
"40","6:25.0","R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. House)","+3","9-14","",""
"41","5:58.0","","","9-16","+2","J. Brunson makes 2-pt jump shot from 16 ft"
"42","5:47.0","D. Mitchell misses 3-pt jump shot from 27 ft","","9-16","",""
"43","5:44.0","","","9-16","","Defensive rebound by D. Finney-Smith"
"44","5:41.0","","","9-16","","J. Brunson misses 3-pt jump shot from 26 ft"
"45","5:41.0","","","9-16","","Offensive rebound by Team"
"46","5:41.0","Loose ball foul by D. Mitchell (drawn by D. Powell)","","9-16","",""
"47","5:41.0","","","9-16","","M. Kleber enters the game for D. Powell"
"48","5:28.0","","","9-16","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"49","5:24.0","Defensive rebound by R. O'Neale","","9-16","",""
"50","5:14.0","B. Bogdanovic misses 2-pt jump shot from 11 ft","","9-16","",""
"51","5:09.0","Offensive rebound by H. Whiteside","","9-16","",""
"52","5:09.0","H. Whiteside makes 2-pt layup from 1 ft","+2","11-16","",""
"53","4:50.0","","","11-16","","D. Finney-Smith misses 2-pt dunk at rim (block by H. Whiteside)"
"54","4:48.0","Defensive rebound by H. Whiteside","","11-16","",""
"55","4:45.0","R. O'Neale misses 3-pt jump shot from 26 ft","","11-16","",""
"56","4:41.0","","","11-16","","Defensive rebound by S. Dinwiddie"
"57","4:37.0","","","11-16","","S. Dinwiddie misses 2-pt jump shot from 3 ft"
"58","4:35.0","Defensive rebound by H. Whiteside","","11-16","",""
"59","4:28.0","Turnover by D. House (bad pass; steal by S. Dinwiddie)","","11-16","",""
"60","4:21.0","","","11-18","+2","J. Brunson makes 2-pt layup from 3 ft"
"61","3:56.0","D. Mitchell makes 3-pt jump shot from 25 ft (assist by D. House)","+3","14-18","",""
"62","3:40.0","","","14-18","","M. Kleber misses 3-pt jump shot from 24 ft"
"63","3:37.0","Defensive rebound by R. O'Neale","","14-18","",""
"64","3:30.0","D. Mitchell makes 2-pt jump shot from 3 ft","+2","16-18","",""
"65","3:08.0","","","16-21","+3","M. Kleber makes 3-pt jump shot from 27 ft (assist by D. Finney-Smith)"
"66","2:57.0","B. Bogdanovic makes 2-pt jump shot from 13 ft (assist by D. Mitchell)","+2","18-21","",""
"67","2:40.0","","","18-21","","S. Dinwiddie misses 3-pt jump shot from 23 ft"
"68","2:38.0","Defensive rebound by R. O'Neale","","18-21","",""
"69","2:28.0","D. Mitchell misses 2-pt layup from 2 ft","","18-21","",""
"70","2:26.0","","","18-21","","Defensive rebound by D. Finney-Smith"
"71","2:18.0","","","18-21","","D. Finney-Smith misses 2-pt layup from 4 ft (block by H. Whiteside)"
"72","2:15.0","Defensive rebound by R. O'Neale","","18-21","",""
"73","2:12.0","Shooting foul by S. Dinwiddie (drawn by B. Bogdanovic)","","18-21","",""
"74","2:12.0","","","18-21","","Dallas full timeout"
"75","2:12.0","J. Clarkson enters the game for D. Mitchell","","18-21","",""
"76","2:12.0","M. Conley enters the game for R. O'Neale","","18-21","",""
"77","2:12.0","R. Gobert enters the game for H. Whiteside","","18-21","",""
"78","2:12.0","","","18-21","","T. Burke enters the game for J. Brunson"
"79","2:12.0","","","18-21","","J. Green enters the game for R. Bullock"
"80","2:12.0","B. Bogdanovic misses free throw 1 of 2","","18-21","",""
"81","2:12.0","Offensive rebound by Team","","18-21","",""
"82","2:12.0","B. Bogdanovic makes free throw 2 of 2","+1","19-21","",""
"83","1:56.0","","","19-24","+3","T. Burke makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)"
"84","1:36.0","Turnover by R. Gobert (lost ball)","","19-24","",""
"85","1:36.0","Loose ball foul by R. Gobert (drawn by M. Kleber)","","19-24","",""
"86","1:36.0","J. Hernangómez enters the game for B. Bogdanovic","","19-24","",""
"87","1:36.0","","","19-24","","D. Bertans enters the game for D. Finney-Smith"
"88","1:18.0","","","19-24","","J. Green misses 3-pt jump shot from 23 ft"
"89","1:15.0","Defensive rebound by M. Conley","","19-24","",""
"90","1:03.0","J. Hernangómez misses 2-pt layup from 3 ft","","19-24","",""
"91","1:00.0","Offensive rebound by R. Gobert","","19-24","",""
"92","1:00.0","R. Gobert makes 2-pt dunk at rim","+2","21-24","",""
"93","0:39.0","","","21-24","","J. Green misses 2-pt layup from 1 ft (block by R. Gobert)"
"94","0:37.0","Defensive rebound by D. House","","21-24","",""
"95","0:24.0","J. Clarkson makes 3-pt jump shot from 22 ft (assist by J. Hernangómez)","+3","24-24","",""
"96","0:03.0","","","24-24","","D. Bertans misses 3-pt jump shot from 25 ft"
"97","0:00.0","Defensive rebound by R. Gobert","","24-24","",""
"98","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"99","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"100","Time","Utah","","Score","","Dallas"
"101","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"102","11:43.0","J. Clarkson misses 2-pt jump shot from 9 ft","","24-24","",""
"103","11:41.0","Offensive rebound by Team","","24-24","",""
"104","11:41.0","","","24-24","","Loose ball foul by D. Bertans (drawn by R. Gobert)"
"105","11:28.0","J. Clarkson makes 2-pt jump shot from 5 ft","+2","26-24","",""
"106","11:12.0","","","26-24","","Shooting foul by M. Conley (drawn by J. Brunson)"
"107","11:12.0","","","26-24","","J. Brunson misses free throw 1 of 2"
"108","11:12.0","","","26-24","","Offensive rebound by Team"
"109","11:12.0","","","26-25","+1","J. Brunson makes free throw 2 of 2"
"110","10:57.0","Shooting foul by D. Finney-Smith (drawn by R. Gobert)","","26-25","",""
"111","10:57.0","R. Gobert makes free throw 1 of 2","+1","27-25","",""
"112","10:57.0","R. Gobert makes free throw 2 of 2","+1","28-25","",""
"113","10:45.0","","","28-25","","T. Burke misses 3-pt jump shot from 26 ft"
"114","10:42.0","Defensive rebound by R. Gobert","","28-25","",""
"115","10:22.0","M. Conley misses 2-pt jump shot from 17 ft","","28-25","",""
"116","10:18.0","","","28-25","","Defensive rebound by T. Burke"
"117","10:11.0","","","28-25","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"118","10:08.0","Defensive rebound by D. House","","28-25","",""
"119","10:00.0","Turnover by D. House (bad pass; steal by R. Bullock)","","28-25","",""
"120","10:00.0","","","28-25","","Personal take foul by J. Clarkson (drawn by R. Bullock)"
"121","9:46.0","","","28-25","","T. Burke misses 2-pt jump shot from 7 ft"
"122","9:44.0","Defensive rebound by J. Hernangómez","","28-25","",""
"123","9:44.0","H. Whiteside enters the game for R. Gobert","","28-25","",""
"124","9:44.0","","","28-25","","D. Powell enters the game for T. Burke"
"125","9:28.0","H. Whiteside misses 2-pt layup from 2 ft","","28-25","",""
"126","9:26.0","Offensive rebound by H. Whiteside","","28-25","",""
"127","9:26.0","H. Whiteside misses 2-pt layup from 3 ft","","28-25","",""
"128","9:26.0","","","28-25","","Defensive rebound by R. Bullock"
"129","9:11.0","","","28-25","","J. Brunson misses 2-pt jump shot from 20 ft"
"130","9:07.0","Defensive rebound by J. Hernangómez","","28-25","",""
"131","8:56.0","M. Conley misses 3-pt jump shot from 27 ft","","28-25","",""
"132","8:53.0","","","28-25","","Defensive rebound by D. Bertans"
