"","Time","Dallas","","Score","","Utah"
"2","12:00.0","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)"
"3","11:41.0","","","0-2","+2","D. Mitchell makes 2-pt jump shot from 6 ft (assist by B. Bogdanovic)"
"4","11:15.0","J. Brunson misses 2-pt jump shot from 14 ft","","0-2","",""
"5","11:12.0","","","0-2","","Defensive rebound by B. Bogdanovic"
"6","11:10.0","","","0-2","","Shooting foul by D. Finney-Smith (drawn by D. Mitchell)"
"7","11:10.0","","","0-3","+1","D. Mitchell makes free throw 1 of 2"
"8","11:10.0","","","0-3","","D. Mitchell misses free throw 2 of 2"
"9","11:07.0","Defensive rebound by D. Powell","","0-3","",""
"10","10:51.0","S. Dinwiddie misses 3-pt jump shot from 25 ft","","0-3","",""
"11","10:48.0","","","0-3","","Defensive rebound by R. O'Neale"
"12","10:39.0","","","0-3","","D. Mitchell misses 2-pt jump shot from 10 ft"
"13","10:36.0","Defensive rebound by R. Bullock","","0-3","",""
"14","10:16.0","J. Brunson makes 2-pt jump shot from 8 ft","+2","2-3","",""
"15","10:01.0","","","2-3","","M. Conley misses 2-pt jump shot from 9 ft"
"16","9:58.0","Defensive rebound by R. Bullock","","2-3","",""
"17","9:53.0","J. Brunson misses 2-pt jump shot from 8 ft","","2-3","",""
"18","9:50.0","","","2-3","","Defensive rebound by R. Gobert"
"19","9:41.0","","","2-3","","M. Conley misses 2-pt jump shot from 10 ft"
"20","9:41.0","","","2-3","","Offensive rebound by Team"
"21","9:41.0","Loose ball foul by D. Powell (drawn by R. Gobert)","","2-3","",""
"22","9:34.0","","","2-3","","M. Conley misses 3-pt jump shot from 25 ft"
"23","9:32.0","Defensive rebound by D. Powell","","2-3","",""
"24","9:24.0","Personal foul by M. Conley (drawn by D. Powell)","","2-3","",""
"25","9:16.0","S. Dinwiddie misses 2-pt jump shot from 11 ft","","2-3","",""
"26","9:14.0","","","2-3","","Defensive rebound by R. O'Neale"
"27","9:05.0","","","2-5","+2","R. Gobert makes 2-pt dunk from 1 ft (assist by M. Conley)"
"28","8:50.0","D. Finney-Smith makes 2-pt jump shot from 19 ft (assist by S. Dinwiddie)","+2","4-5","",""
"29","8:38.0","","","4-5","","D. Mitchell misses 2-pt jump shot from 11 ft"
"30","8:36.0","Defensive rebound by J. Brunson","","4-5","",""
"31","8:33.0","Offensive foul by D. Powell (drawn by R. O'Neale)","","4-5","",""
"32","8:33.0","Turnover by D. Powell (offensive foul)","","4-5","",""
"33","8:13.0","","","4-5","","B. Bogdanovic misses 2-pt jump shot from 6 ft"
"34","8:10.0","Defensive rebound by D. Finney-Smith","","4-5","",""
"35","8:05.0","Personal foul by B. Bogdanovic (drawn by D. Powell)","","4-5","",""
"36","7:51.0","J. Brunson makes 2-pt jump shot from 9 ft","+2","6-5","",""
"37","7:34.0","","","6-5","","Turnover by B. Bogdanovic (lost ball; steal by S. Dinwiddie)"
"38","7:22.0","J. Brunson makes 2-pt jump shot from 7 ft","+2","8-5","",""
"39","7:19.0","","","8-5","","Utah full timeout"
"40","7:19.0","","","8-5","","J. Clarkson enters the game for M. Conley"
"41","7:19.0","","","8-5","","H. Whiteside enters the game for R. Gobert"
"42","6:55.0","","","8-5","","D. Mitchell misses 3-pt jump shot from 26 ft"
"43","6:51.0","Defensive rebound by S. Dinwiddie","","8-5","",""
"44","6:34.0","D. Powell misses 3-pt jump shot from 23 ft","","8-5","",""
"45","6:31.0","","","8-5","","Defensive rebound by J. Clarkson"
"46","6:23.0","","","8-7","+2","J. Clarkson makes 2-pt jump shot from 5 ft"
"47","6:02.0","S. Dinwiddie misses 2-pt layup from 3 ft","","8-7","",""
"48","6:01.0","","","8-7","","Defensive rebound by H. Whiteside"
"49","5:53.0","","","8-9","+2","J. Clarkson makes 2-pt jump shot from 10 ft"
"50","5:35.0","J. Brunson misses 3-pt jump shot from 26 ft","","8-9","",""
"51","5:32.0","Offensive rebound by D. Powell","","8-9","",""
"52","5:30.0","D. Finney-Smith misses 3-pt jump shot from 26 ft","","8-9","",""
"53","5:28.0","","","8-9","","Defensive rebound by J. Clarkson"
"54","5:20.0","","","8-9","","J. Clarkson misses 2-pt layup from 5 ft"
"55","5:20.0","Defensive rebound by Team","","8-9","",""
"56","5:20.0","M. Kleber enters the game for D. Powell","","8-9","",""
"57","5:05.0","M. Kleber makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie)","+3","11-9","",""
"58","4:50.0","","","11-11","+2","H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Clarkson)"
"59","4:29.0","S. Dinwiddie misses 2-pt layup from 6 ft (block by D. Mitchell)","","11-11","",""
"60","4:26.0","Offensive rebound by S. Dinwiddie","","11-11","",""
"61","4:25.0","M. Kleber makes 3-pt jump shot from 28 ft (assist by S. Dinwiddie)","+3","14-11","",""
"62","4:11.0","","","14-11","","D. Mitchell misses 2-pt jump shot from 18 ft"
"63","4:09.0","Defensive rebound by R. Bullock","","14-11","",""
"64","4:03.0","Personal foul by D. Mitchell (drawn by J. Brunson)","","14-11","",""
"65","4:03.0","J. Green enters the game for S. Dinwiddie","","14-11","",""
"66","4:03.0","","","14-11","","D. House enters the game for R. O'Neale"
"67","3:52.0","D. Finney-Smith makes 2-pt dunk from 3 ft (assist by J. Green)","+2","16-11","",""
"68","3:27.0","","","16-11","","J. Clarkson misses 3-pt jump shot from 25 ft"
"69","3:26.0","","","16-11","","Offensive rebound by Team"
"70","3:26.0","Loose ball foul by M. Kleber (drawn by H. Whiteside)","","16-11","",""
"71","3:20.0","","","16-14","+3","B. Bogdanovic makes 3-pt jump shot from 26 ft (assist by D. Mitchell)"
"72","3:06.0","M. Kleber makes 3-pt jump shot from 25 ft (assist by J. Green)","+3","19-14","",""
"73","2:49.0","","","19-14","","Personal foul by J. Brunson (drawn by D. Mitchell)"
"74","2:49.0","Dallas full timeout","","19-14","",""
"75","2:49.0","","","19-14","","M. Conley enters the game for B. Bogdanovic"
"76","2:49.0","","","19-14","","R. Gobert enters the game for D. Mitchell"
"77","2:49.0","","","19-14","","J. Hernangómez enters the game for H. Whiteside"
"78","2:38.0","","","19-14","","Shooting foul by J. Green (drawn by J. Clarkson)"
"79","2:38.0","","","19-15","+1","J. Clarkson makes free throw 1 of 2"
"80","2:38.0","","","19-16","+1","J. Clarkson makes free throw 2 of 2"
"81","2:22.0","J. Green makes 3-pt jump shot from 23 ft (assist by R. Bullock)","+3","22-16","",""
"82","2:05.0","","","22-16","","Turnover by D. House (bad pass; steal by J. Green)"
"83","2:03.0","Shooting foul by J. Hernangómez (drawn by J. Brunson)","","22-16","",""
"84","2:03.0","J. Brunson makes free throw 1 of 2","+1","23-16","",""
"85","2:03.0","D. Bertans enters the game for D. Finney-Smith","","23-16","",""
"86","2:03.0","J. Brunson makes free throw 2 of 2","+1","24-16","",""
"87","1:55.0","","","24-18","+2","D. House makes 2-pt dunk from 2 ft (assist by J. Hernangómez)"
"88","1:34.0","J. Green makes 3-pt jump shot from 25 ft (assist by J. Brunson)","+3","27-18","",""
"89","1:16.0","","","27-18","","Personal foul by M. Kleber (drawn by R. Gobert)"
"90","1:16.0","","","27-19","+1","R. Gobert makes free throw 1 of 2"
"91","1:16.0","S. Dinwiddie enters the game for J. Brunson","","27-19","",""
"92","1:16.0","D. Finney-Smith enters the game for M. Kleber","","27-19","",""
"93","1:16.0","","","27-20","+1","R. Gobert makes free throw 2 of 2"
"94","1:03.0","R. Bullock misses 3-pt jump shot from 25 ft","","27-20","",""
"95","1:01.0","Offensive rebound by Team","","27-20","",""
"96","1:01.0","","","27-20","","Loose ball foul by J. Hernangómez (drawn by J. Green)"
"97","1:01.0","J. Green misses free throw 1 of 2","","27-20","",""
"98","1:01.0","Offensive rebound by Team","","27-20","",""
"99","1:01.0","J. Green misses free throw 2 of 2","","27-20","",""
"100","1:00.0","","","27-20","","Defensive rebound by R. Gobert"
"101","0:43.0","","","27-20","","Turnover by D. House (lost ball; steal by J. Green)"
"102","0:34.0","D. Finney-Smith misses 2-pt layup from 7 ft (block by M. Conley)","","27-20","",""
"103","0:34.0","Offensive rebound by Team","","27-20","",""
"104","0:33.0","D. Bertans misses 3-pt jump shot from 24 ft","","27-20","",""
"105","0:31.0","","","27-20","","Defensive rebound by D. House"
"106","0:26.0","","","27-20","","J. Hernangómez misses 2-pt layup from 1 ft (block by D. Bertans)"
"107","0:23.0","Defensive rebound by S. Dinwiddie","","27-20","",""
"108","0:02.0","J. Green misses 3-pt jump shot from 23 ft","","27-20","",""
"109","0:02.0","","","27-20","","Defensive rebound by J. Clarkson"
"110","0:00.0","","","27-20","","Instant Replay (Request: Ruling Stands)"
"111","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"112","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"113","Time","Dallas","","Score","","Utah"
"114","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"115","11:41.0","D. Bertans makes 3-pt jump shot from 25 ft (assist by J. Green)","+3","30-20","",""
"116","11:41.0","Shooting foul by J. Clarkson (drawn by D. Bertans)","","30-20","",""
"117","11:41.0","D. Bertans makes free throw 1 of 1","+1","31-20","",""
"118","11:20.0","","","31-20","","Turnover by J. Clarkson (bad pass; steal by D. Finney-Smith)"
"119","11:09.0","Offensive foul by D. Bertans (drawn by M. Conley)","","31-20","",""
"120","11:09.0","Turnover by D. Bertans (offensive foul)","","31-20","",""
"121","10:56.0","","","31-20","","Personal foul by T. Burke (drawn by R. Gobert)"
"122","10:46.0","","","31-22","+2","M. Conley makes 2-pt jump shot from 11 ft"
"123","10:31.0","Personal foul by J. Clarkson (drawn by J. Green)","","31-22","",""
"124","10:19.0","S. Dinwiddie misses 2-pt jump shot from 9 ft","","31-22","",""
"125","10:16.0","Offensive rebound by S. Dinwiddie","","31-22","",""
"126","10:15.0","Flagrant foul type 1 by M. Conley (drawn by T. Burke)","","31-22","",""
"127","10:15.0","Instant Replay (Request: Ruling Stands)","","31-22","",""
"128","10:15.0","T. Burke makes flagrant free throw 1 of 3","+1","32-22","",""
"129","10:15.0","T. Burke makes flagrant free throw 2 of 3","+1","33-22","",""
"130","10:15.0","T. Burke makes flagrant free throw 3 of 3","+1","34-22","",""
"131","10:00.0","J. Green makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)","+3","37-22","",""
"132","9:33.0","","","37-24","+2","M. Conley makes 2-pt layup from 6 ft (assist by D. House)"
"133","9:15.0","T. Burke misses 2-pt layup from 1 ft (block by R. Gobert)","","37-24","",""
"134","9:09.0","Offensive rebound by D. Bertans","","37-24","",""
"135","9:07.0","D. Bertans misses 3-pt jump shot from 25 ft","","37-24","",""
"136","9:04.0","","","37-24","","Defensive rebound by D. House"
"137","8:54.0","","","37-24","","J. Clarkson misses 2-pt jump shot from 4 ft"
"138","8:51.0","Defensive rebound by J. Green","","37-24","",""
"139","8:47.0","D. Finney-Smith misses 3-pt jump shot from 28 ft","","37-24","",""
"140","8:44.0","","","37-24","","Defensive rebound by M. Conley"
"141","8:34.0","","","37-24","","J. Hernangómez misses 3-pt jump shot from 26 ft"
"142","8:29.0","","","37-24","","Offensive rebound by Team"
"143","8:29.0","Loose ball foul by T. Burke (drawn by M. Conley)","","37-24","",""
"144","8:29.0","J. Brunson enters the game for D. Bertans","","37-24","",""
"145","8:29.0","R. Bullock enters the game for T. Burke","","37-24","",""
"146","8:29.0","D. Powell enters the game for J. Green","","37-24","",""
"147","8:29.0","","","37-24","","B. Bogdanovic enters the game for M. Conley"
"148","8:29.0","","","37-24","","D. Mitchell enters the game for R. Gobert"
"149","8:29.0","","","37-24","","H. Whiteside enters the game for J. Hernangómez"
"150","8:17.0","","","37-26","+2","J. Clarkson makes 2-pt jump shot from 9 ft"
"151","7:59.0","S. Dinwiddie misses 2-pt jump shot from 8 ft (block by H. Whiteside)","","37-26","",""
"152","7:57.0","","","37-26","","Defensive rebound by B. Bogdanovic"
"153","7:55.0","","","37-26","","Shooting foul by D. Powell (drawn by B. Bogdanovic)"
"154","7:55.0","Dallas full timeout","","37-26","",""
"155","7:55.0","M. Kleber enters the game for D. Powell","","37-26","",""
"156","7:55.0","","","37-26","","R. O'Neale enters the game for D. House"
"157","7:55.0","","","37-27","+1","B. Bogdanovic makes free throw 1 of 2"
"158","7:55.0","","","37-28","+1","B. Bogdanovic makes free throw 2 of 2"
"159","7:39.0","J. Brunson makes 2-pt layup from 3 ft","+2","39-28","",""
"160","7:30.0","","","39-30","+2","B. Bogdanovic makes 2-pt jump shot from 9 ft (assist by D. Mitchell)"
"161","7:14.0","J. Brunson makes 2-pt layup from 7 ft","+2","41-30","",""
"162","7:14.0","Shooting foul by B. Bogdanovic (drawn by J. Brunson)","","41-30","",""
"163","7:14.0","J. Brunson makes free throw 1 of 1","+1","42-30","",""
"164","7:03.0","","","42-32","+2","B. Bogdanovic makes 2-pt jump shot from 15 ft (assist by D. Mitchell)"
"165","6:48.0","D. Finney-Smith misses 3-pt jump shot from 25 ft","","42-32","",""
"166","6:46.0","Offensive rebound by Team","","42-32","",""
"167","6:46.0","","","42-32","","Loose ball foul by B. Bogdanovic (drawn by M. Kleber)"
"168","6:46.0","M. Kleber misses free throw 1 of 2","","42-32","",""
"169","6:46.0","Offensive rebound by Team","","42-32","",""
"170","6:46.0","","","42-32","","M. Conley enters the game for B. Bogdanovic"
"171","6:46.0","","","42-32","","R. Gobert enters the game for H. Whiteside"
"172","6:46.0","M. Kleber makes free throw 2 of 2","+1","43-32","",""
"173","6:39.0","","","43-32","","Offensive foul by R. O'Neale (drawn by J. Brunson)"
"174","6:39.0","","","43-32","","Turnover by R. O'Neale (offensive foul)"
"175","6:21.0","J. Brunson makes 2-pt jump shot from 8 ft","+2","45-32","",""
"176","6:08.0","","","45-32","","D. Mitchell misses 3-pt jump shot from 26 ft"
"177","6:06.0","Defensive rebound by Team","","45-32","",""
"178","5:44.0","M. Kleber makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith)","+3","48-32","",""
"179","5:28.0","","","48-32","","Shooting foul by S. Dinwiddie (drawn by M. Conley)"
"180","5:28.0","","","48-33","+1","M. Conley makes free throw 1 of 2"
"181","5:28.0","","","48-34","+1","M. Conley makes free throw 2 of 2"
"182","5:18.0","Shooting foul by D. Mitchell (drawn by S. Dinwiddie)","","48-34","",""
"183","5:18.0","S. Dinwiddie makes free throw 1 of 2","+1","49-34","",""
"184","5:18.0","S. Dinwiddie makes free throw 2 of 2","+1","50-34","",""
"185","5:10.0","","","50-37","+3","M. Conley makes 3-pt jump shot from 25 ft"
"186","4:45.0","S. Dinwiddie misses 3-pt jump shot from 27 ft","","50-37","",""
"187","4:41.0","","","50-37","","Defensive rebound by R. Gobert"
"188","4:38.0","","","50-37","","Personal take foul by J. Brunson (drawn by M. Conley)"
"189","4:38.0","Technical foul by J. Brunson","","50-37","",""
"190","4:38.0","","","50-38","+1","D. Mitchell makes technical free throw"
"191","4:38.0","D. Bertans enters the game for J. Brunson","","50-38","",""
"192","4:38.0","","","50-39","+1","M. Conley makes free throw 1 of 2"
"193","4:38.0","","","50-39","","D. House enters the game for J. Clarkson"
"194","4:38.0","","","50-39","","M. Conley misses free throw 2 of 2"
