"","Time","Phoenix","","Score","","Dallas"
"2","12:00.0","Jump ball: D. Ayton vs. D. Powell (L. Doncic gains possession)","Jump ball: D. Ayton vs. D. Powell (L. Doncic gains possession)","Jump ball: D. Ayton vs. D. Powell (L. Doncic gains possession)","Jump ball: D. Ayton vs. D. Powell (L. Doncic gains possession)","Jump ball: D. Ayton vs. D. Powell (L. Doncic gains possession)"
"3","11:39.0","","","0-0","","L. Doncic misses 2-pt layup from 1 ft"
"4","11:37.0","Defensive rebound by D. Ayton","","0-0","",""
"5","11:22.0","J. Crowder misses 2-pt jump shot from 13 ft","","0-0","",""
"6","11:20.0","Offensive rebound by D. Ayton","","0-0","",""
"7","11:18.0","D. Ayton makes 2-pt hook shot from 5 ft","+2","2-0","",""
"8","11:07.0","","","2-0","","J. Brunson misses 2-pt jump shot from 6 ft"
"9","11:05.0","Defensive rebound by D. Ayton","","2-0","",""
"10","10:57.0","Turnover by C. Paul (bad pass; steal by J. Brunson)","","2-0","",""
"11","10:52.0","","","2-2","+2","J. Brunson makes 2-pt layup from 1 ft"
"12","10:26.0","D. Booker makes 2-pt layup from 5 ft","+2","4-2","",""
"13","10:09.0","","","4-2","","R. Bullock misses 2-pt jump shot from 4 ft"
"14","10:05.0","","","4-2","","Offensive rebound by R. Bullock"
"15","10:05.0","","","4-2","","R. Bullock misses 2-pt layup from 2 ft"
"16","10:04.0","","","4-2","","Offensive rebound by R. Bullock"
"17","10:04.0","","","4-4","+2","R. Bullock makes 2-pt layup at rim"
"18","9:53.0","M. Bridges misses 2-pt jump shot from 13 ft","","4-4","",""
"19","9:51.0","","","4-4","","Defensive rebound by D. Finney-Smith"
"20","9:43.0","","","4-4","","L. Doncic misses 2-pt jump shot from 8 ft"
"21","9:42.0","","","4-4","","Offensive rebound by L. Doncic"
"22","9:33.0","","","4-4","","L. Doncic misses 3-pt jump shot from 26 ft"
"23","9:29.0","Defensive rebound by M. Bridges","","4-4","",""
"24","9:13.0","D. Ayton makes 2-pt layup from 1 ft (assist by M. Bridges)","+2","6-4","",""
"25","8:57.0","","","6-6","+2","J. Brunson makes 2-pt jump shot from 17 ft"
"26","8:37.0","Shooting foul by D. Finney-Smith (drawn by J. Crowder)","","6-6","",""
"27","8:37.0","J. Crowder makes free throw 1 of 2","+1","7-6","",""
"28","8:37.0","","","7-6","","M. Kleber enters the game for D. Powell"
"29","8:37.0","J. Crowder makes free throw 2 of 2","+1","8-6","",""
"30","8:23.0","","","8-8","+2","L. Doncic makes 2-pt jump shot from 13 ft"
"31","8:07.0","J. Crowder makes 2-pt jump shot from 16 ft (assist by D. Booker)","+2","10-8","",""
"32","7:55.0","","","10-8","","M. Kleber misses 3-pt jump shot from 25 ft"
"33","7:52.0","Defensive rebound by M. Bridges","","10-8","",""
"34","7:42.0","D. Ayton misses 2-pt jump shot from 11 ft","","10-8","",""
"35","7:40.0","","","10-8","","Defensive rebound by J. Brunson"
"36","7:34.0","","","10-8","","R. Bullock misses 3-pt jump shot from 28 ft"
"37","7:32.0","","","10-8","","Offensive rebound by Team"
"38","7:30.0","","","10-11","+3","D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by L. Doncic)"
"39","7:06.0","D. Booker makes 2-pt jump shot from 11 ft","+2","12-11","",""
"40","6:56.0","","","12-11","","L. Doncic misses 3-pt jump shot from 27 ft"
"41","6:56.0","Defensive rebound by J. Crowder","","12-11","",""
"42","6:41.0","D. Booker misses 2-pt jump shot from 6 ft","","12-11","",""
"43","6:40.0","Offensive rebound by D. Booker","","12-11","",""
"44","6:40.0","Shooting foul by R. Bullock (drawn by D. Booker)","","12-11","",""
"45","6:40.0","","","12-11","","Dallas full timeout"
"46","6:40.0","D. Booker makes free throw 1 of 2","+1","13-11","",""
"47","6:40.0","D. Booker makes free throw 2 of 2","+1","14-11","",""
"48","6:30.0","","","14-11","","Shooting foul by J. Crowder (drawn by L. Doncic)"
"49","6:30.0","","","14-11","","L. Doncic misses free throw 1 of 2"
"50","6:30.0","","","14-11","","Offensive rebound by Team"
"51","6:30.0","","","14-12","+1","L. Doncic makes free throw 2 of 2"
"52","6:07.0","J. Crowder makes 3-pt jump shot from 23 ft (assist by D. Ayton)","+3","17-12","",""
"53","5:55.0","","","17-12","","Personal foul by M. Bridges (drawn by L. Doncic)"
"54","5:45.0","","","17-15","+3","M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"55","5:28.0","Turnover by D. Booker (lost ball; steal by L. Doncic)","","17-15","",""
"56","5:23.0","","","17-17","+2","L. Doncic makes 2-pt layup from 1 ft"
"57","5:02.0","D. Ayton makes 2-pt hook shot from 11 ft","+2","19-17","",""
"58","4:45.0","","","19-17","","J. Brunson misses 3-pt jump shot from 23 ft"
"59","4:41.0","Defensive rebound by D. Ayton","","19-17","",""
"60","4:30.0","D. Ayton misses 2-pt hook shot from 6 ft","","19-17","",""
"61","4:27.0","","","19-17","","Defensive rebound by M. Kleber"
"62","4:10.0","","","19-20","+3","L. Doncic makes 3-pt jump shot from 25 ft"
"63","3:57.0","Shooting foul by M. Kleber (drawn by D. Ayton)","","19-20","",""
"64","3:57.0","D. Ayton misses free throw 1 of 2","","19-20","",""
"65","3:57.0","Offensive rebound by Team","","19-20","",""
"66","3:57.0","C. Johnson enters the game for J. Crowder","","19-20","",""
"67","3:57.0","L. Shamet enters the game for C. Paul","","19-20","",""
"68","3:57.0","","","19-20","","D. Powell enters the game for M. Kleber"
"69","3:57.0","D. Ayton misses free throw 2 of 2","","19-20","",""
"70","3:55.0","","","19-20","","Defensive rebound by L. Doncic"
"71","3:45.0","","","19-22","+2","L. Doncic makes 2-pt jump shot from 7 ft"
"72","3:20.0","Turnover by L. Shamet (bad pass; steal by L. Doncic)","","19-22","",""
"73","3:15.0","","","19-22","","L. Doncic misses 2-pt layup from 3 ft"
"74","3:12.0","Defensive rebound by M. Bridges","","19-22","",""
"75","3:07.0","D. Booker makes 2-pt jump shot from 6 ft (assist by M. Bridges)","+2","21-22","",""
"76","2:51.0","","","21-22","","Shooting foul by C. Johnson (drawn by D. Powell)"
"77","2:51.0","Phoenix full timeout","","21-22","",""
"78","2:51.0","B. Biyombo enters the game for D. Ayton","","21-22","",""
"79","2:51.0","","","21-22","","D. Bertans enters the game for J. Brunson"
"80","2:51.0","","","21-22","","S. Dinwiddie enters the game for D. Finney-Smith"
"81","2:51.0","","","21-23","+1","D. Powell makes free throw 1 of 2"
"82","2:51.0","","","21-24","+1","D. Powell makes free throw 2 of 2"
"83","2:29.0","B. Biyombo makes 2-pt hook shot from 5 ft","+2","23-24","",""
"84","2:01.0","","","23-24","","L. Doncic misses 3-pt jump shot from 32 ft"
"85","1:57.0","Defensive rebound by D. Booker","","23-24","",""
"86","1:38.0","M. Bridges misses 2-pt jump shot from 13 ft","","23-24","",""
"87","1:37.0","","","23-24","","Defensive rebound by L. Doncic"
"88","1:27.0","","","23-24","","R. Bullock misses 3-pt jump shot from 23 ft"
"89","1:27.0","Defensive rebound by L. Shamet","","23-24","",""
"90","1:26.0","Personal foul by L. Doncic (drawn by L. Shamet)","","23-24","",""
"91","1:26.0","","","23-24","","F. Ntilikina enters the game for R. Bullock"
"92","1:16.0","Turnover by L. Shamet (bad pass; steal by F. Ntilikina)","","23-24","",""
"93","1:01.0","","","23-27","+3","S. Dinwiddie makes 3-pt jump shot from 26 ft"
"94","0:44.0","Shooting foul by D. Powell (drawn by M. Bridges)","","23-27","",""
"95","0:44.0","M. Bridges makes free throw 1 of 2","+1","24-27","",""
"96","0:44.0","M. Bridges makes free throw 2 of 2","+1","25-27","",""
"97","0:32.0","","","25-27","","L. Doncic misses 2-pt layup from 8 ft (block by M. Bridges)"
"98","0:32.0","Defensive rebound by Team","","25-27","",""
"99","0:07.0","M. Bridges misses 2-pt jump shot from 16 ft","","25-27","",""
"100","0:06.0","","","25-27","","Defensive rebound by L. Doncic"
"101","0:01.0","","","25-27","","Shooting foul by L. Shamet (drawn by L. Doncic)"
"102","0:01.0","","","25-27","","L. Doncic misses free throw 1 of 2"
"103","0:01.0","","","25-27","","Offensive rebound by Team"
"104","0:01.0","","","25-28","+1","L. Doncic makes free throw 2 of 2"
"105","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"106","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"107","Time","Phoenix","","Score","","Dallas"
"108","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"109","11:48.0","C. Paul makes 3-pt jump shot from 25 ft","+3","28-28","",""
"110","11:23.0","","","28-31","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)"
"111","11:02.0","L. Shamet misses 2-pt jump shot from 15 ft","","28-31","",""
"112","10:59.0","","","28-31","","Defensive rebound by D. Bertans"
"113","10:55.0","","","28-34","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft"
"114","10:30.0","C. Johnson makes 3-pt jump shot from 22 ft (assist by C. Paul)","+3","31-34","",""
"115","10:20.0","","","31-34","","D. Bertans misses 3-pt jump shot from 28 ft"
"116","10:17.0","Defensive rebound by C. Johnson","","31-34","",""
"117","10:07.0","J. Crowder misses 2-pt jump shot from 14 ft","","31-34","",""
"118","10:06.0","","","31-34","","Defensive rebound by S. Dinwiddie"
"119","10:03.0","","","31-34","","Shooting foul by C. Paul (drawn by D. Bertans)"
"120","10:03.0","","","31-34","","D. Bertans misses free throw 1 of 2"
"121","10:03.0","","","31-34","","Offensive rebound by Team"
"122","10:03.0","","","31-35","+1","D. Bertans makes free throw 2 of 2"
"123","9:52.0","Personal foul by D. Finney-Smith (drawn by C. Paul)","","31-35","",""
"124","9:39.0","L. Shamet makes 2-pt jump shot from 9 ft","+2","33-35","",""
"125","9:22.0","","","33-35","","Shooting foul by J. Crowder (drawn by J. Brunson)"
"126","9:22.0","","","33-36","+1","J. Brunson makes free throw 1 of 2"
"127","9:22.0","","","33-36","","M. Kleber enters the game for D. Bertans"
"128","9:22.0","","","33-37","+1","J. Brunson makes free throw 2 of 2"
"129","9:03.0","C. Paul makes 2-pt jump shot from 9 ft","+2","35-37","",""
"130","8:40.0","","","35-39","+2","J. Brunson makes 2-pt jump shot from 7 ft (assist by D. Finney-Smith)"
"131","8:21.0","B. Biyombo makes 2-pt layup from 1 ft (assist by J. Crowder)","+2","37-39","",""
"132","8:01.0","","","37-41","+2","J. Brunson makes 2-pt jump shot from 19 ft (assist by S. Dinwiddie)"
"133","7:37.0","C. Johnson misses 2-pt layup from 2 ft","","37-41","",""
"134","7:36.0","Offensive rebound by C. Johnson","","37-41","",""
"135","7:33.0","C. Johnson misses 2-pt layup from 3 ft","","37-41","",""
"136","7:31.0","","","37-41","","Defensive rebound by R. Bullock"
"137","7:26.0","","","37-41","","R. Bullock misses 3-pt jump shot from 29 ft"
"138","7:22.0","Defensive rebound by J. Crowder","","37-41","",""
"139","7:14.0","L. Shamet misses 2-pt layup from 3 ft","","37-41","",""
"140","7:11.0","","","37-41","","Defensive rebound by R. Bullock"
"141","7:07.0","","","37-41","","S. Dinwiddie misses 3-pt jump shot from 25 ft"
"142","7:04.0","Defensive rebound by C. Johnson","","37-41","",""
"143","7:01.0","Phoenix full timeout","","37-41","",""
"144","7:01.0","D. Ayton enters the game for B. Biyombo","","37-41","",""
"145","7:01.0","D. Booker enters the game for C. Johnson","","37-41","",""
"146","7:01.0","M. Bridges enters the game for L. Shamet","","37-41","",""
"147","7:01.0","","","37-41","","L. Doncic enters the game for J. Brunson"
"148","7:01.0","","","37-41","","F. Ntilikina enters the game for D. Finney-Smith"
"149","6:55.0","D. Booker misses 3-pt jump shot from 25 ft","","37-41","",""
"150","6:52.0","","","37-41","","Defensive rebound by M. Kleber"
"151","6:45.0","","","37-41","","Offensive foul by S. Dinwiddie (drawn by J. Crowder)"
"152","6:45.0","","","37-41","","Turnover by S. Dinwiddie (offensive foul)"
"153","6:27.0","D. Ayton makes 2-pt layup from 1 ft (assist by M. Bridges)","+2","39-41","",""
"154","6:11.0","","","39-41","","L. Doncic misses 3-pt jump shot from 25 ft"
"155","6:10.0","Defensive rebound by Team","","39-41","",""
"156","6:10.0","","","39-41","","Loose ball foul by F. Ntilikina (drawn by C. Paul)"
"157","5:48.0","Turnover by D. Booker (bad pass; steal by L. Doncic)","","39-41","",""
"158","5:46.0","","","39-41","","Shooting foul by D. Booker (drawn by L. Doncic)"
"159","5:46.0","","","39-41","","L. Doncic misses free throw 1 of 2"
"160","5:46.0","","","39-41","","Offensive rebound by Team"
"161","5:46.0","","","39-41","","D. Finney-Smith enters the game for R. Bullock"
"162","5:46.0","","","39-42","+1","L. Doncic makes free throw 2 of 2"
"163","5:25.0","Turnover by D. Booker (bad pass; steal by F. Ntilikina)","","39-42","",""
"164","5:17.0","","","39-42","","D. Finney-Smith misses 3-pt jump shot from 26 ft"
"165","5:12.0","Defensive rebound by D. Booker","","39-42","",""
"166","4:59.0","","","39-42","","Violation by Team (kicked ball)"
"167","4:53.0","","","39-42","","Violation by Team (kicked ball)"
"168","4:53.0","","","39-42","","J. Brunson enters the game for S. Dinwiddie"
"169","4:51.0","Personal foul by F. Ntilikina (drawn by D. Booker)","","39-42","",""
"170","4:43.0","M. Bridges misses 2-pt jump shot from 16 ft","","39-42","",""
"171","4:40.0","","","39-42","","Defensive rebound by M. Kleber"
