"","Time","Dallas","","Score","","Phoenix"
"2","12:00.0","Jump ball: D. Powell vs. D. Ayton (R. Bullock gains possession)","Jump ball: D. Powell vs. D. Ayton (R. Bullock gains possession)","Jump ball: D. Powell vs. D. Ayton (R. Bullock gains possession)","Jump ball: D. Powell vs. D. Ayton (R. Bullock gains possession)","Jump ball: D. Powell vs. D. Ayton (R. Bullock gains possession)"
"3","11:34.0","L. Doncic makes 2-pt jump shot from 12 ft","+2","2-0","",""
"4","11:14.0","","","2-0","","C. Paul misses 2-pt jump shot from 14 ft"
"5","11:14.0","Defensive rebound by L. Doncic","","2-0","",""
"6","11:03.0","J. Brunson misses 3-pt jump shot from 24 ft","","2-0","",""
"7","11:00.0","","","2-0","","Defensive rebound by D. Ayton"
"8","10:50.0","","","2-0","","D. Booker misses 2-pt jump shot from 13 ft"
"9","10:47.0","Defensive rebound by D. Powell","","2-0","",""
"10","10:35.0","L. Doncic makes 3-pt jump shot from 23 ft","+3","5-0","",""
"11","10:23.0","","","5-3","+3","J. Crowder makes 3-pt jump shot from 25 ft (assist by C. Paul)"
"12","10:06.0","J. Brunson misses 2-pt layup from 7 ft","","5-3","",""
"13","10:05.0","","","5-3","","Defensive rebound by D. Ayton"
"14","10:01.0","","","5-3","","J. Crowder misses 3-pt jump shot from 25 ft"
"15","9:58.0","Defensive rebound by L. Doncic","","5-3","",""
"16","9:47.0","L. Doncic makes 3-pt jump shot from 27 ft","+3","8-3","",""
"17","9:28.0","","","8-3","","J. Crowder misses 3-pt jump shot from 25 ft"
"18","9:26.0","Defensive rebound by L. Doncic","","8-3","",""
"19","9:06.0","L. Doncic misses 3-pt jump shot from 25 ft","","8-3","",""
"20","9:03.0","Offensive rebound by D. Powell","","8-3","",""
"21","8:51.0","Turnover by D. Powell (bad pass; steal by D. Booker)","","8-3","",""
"22","8:40.0","","","8-3","","D. Booker misses 3-pt jump shot from 25 ft"
"23","8:38.0","Defensive rebound by L. Doncic","","8-3","",""
"24","8:27.0","D. Finney-Smith misses 3-pt jump shot from 26 ft","","8-3","",""
"25","8:25.0","","","8-3","","Defensive rebound by M. Bridges"
"26","8:19.0","","","8-3","","M. Bridges misses 2-pt jump shot from 6 ft"
"27","8:15.0","Defensive rebound by R. Bullock","","8-3","",""
"28","8:01.0","Shooting foul by C. Paul (drawn by D. Finney-Smith)","","8-3","",""
"29","8:01.0","D. Finney-Smith makes free throw 1 of 2","+1","9-3","",""
"30","8:01.0","M. Kleber enters the game for D. Powell","","9-3","",""
"31","8:01.0","D. Finney-Smith makes free throw 2 of 2","+1","10-3","",""
"32","7:49.0","","","10-3","","J. Crowder misses 2-pt jump shot from 19 ft"
"33","7:47.0","Defensive rebound by D. Finney-Smith","","10-3","",""
"34","7:39.0","L. Doncic misses 3-pt jump shot from 27 ft","","10-3","",""
"35","7:37.0","","","10-3","","Defensive rebound by D. Booker"
"36","7:35.0","","","10-3","","Shooting foul by L. Doncic (drawn by D. Booker)"
"37","7:35.0","","","10-4","+1","D. Booker makes free throw 1 of 2"
"38","7:35.0","","","10-5","+1","D. Booker makes free throw 2 of 2"
"39","7:10.0","D. Finney-Smith misses 3-pt jump shot from 26 ft","","10-5","",""
"40","7:06.0","","","10-5","","Defensive rebound by C. Paul"
"41","6:46.0","","","10-5","","C. Paul misses 2-pt layup from 3 ft (block by M. Kleber)"
"42","6:43.0","Defensive rebound by L. Doncic","","10-5","",""
"43","6:37.0","Turnover by L. Doncic (bad pass; steal by J. Crowder)","","10-5","",""
"44","6:30.0","","","10-5","","D. Booker misses 2-pt jump shot from 9 ft"
"45","6:30.0","","","10-5","","Offensive rebound by Team"
"46","6:30.0","","","10-5","","Phoenix full timeout"
"47","6:18.0","","","10-5","","D. Booker misses 2-pt jump shot from 16 ft"
"48","6:14.0","Defensive rebound by J. Brunson","","10-5","",""
"49","5:58.0","M. Kleber makes 3-pt jump shot from 28 ft (assist by L. Doncic)","+3","13-5","",""
"50","5:39.0","","","13-5","","Turnover by J. Crowder (bad pass; steal by D. Finney-Smith)"
"51","5:30.0","L. Doncic makes 2-pt layup from 1 ft (assist by D. Finney-Smith)","+2","15-5","",""
"52","5:16.0","","","15-7","+2","J. Crowder makes 2-pt jump shot from 16 ft (assist by C. Paul)"
"53","4:51.0","Turnover by R. Bullock (bad pass; steal by C. Paul)","","15-7","",""
"54","4:44.0","","","15-7","","Turnover by J. Crowder (bad pass; steal by L. Doncic)"
"55","4:40.0","J. Brunson misses 3-pt jump shot from 23 ft","","15-7","",""
"56","4:37.0","Offensive rebound by J. Brunson","","15-7","",""
"57","4:37.0","J. Brunson misses 2-pt layup from 2 ft","","15-7","",""
"58","4:36.0","","","15-7","","Defensive rebound by J. Crowder"
"59","4:33.0","","","15-7","","M. Bridges misses 3-pt jump shot from 26 ft"
"60","4:30.0","Defensive rebound by L. Doncic","","15-7","",""
"61","4:14.0","R. Bullock misses 3-pt jump shot from 26 ft","","15-7","",""
"62","4:10.0","","","15-7","","Defensive rebound by J. Crowder"
"63","4:04.0","","","15-7","","D. Booker misses 2-pt layup from 3 ft"
"64","4:03.0","","","15-7","","Offensive rebound by Team"
"65","4:03.0","S. Dinwiddie enters the game for J. Brunson","","15-7","",""
