"","Time","Denver","","Score","","Golden State"
"2","12:00.0","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)"
"3","11:43.0","W. Barton makes 3-pt jump shot from 26 ft (assist by M. Morris)","+3","3-0","",""
"4","11:27.0","","","3-0","","K. Thompson misses 3-pt jump shot from 27 ft"
"5","11:24.0","Defensive rebound by W. Barton","","3-0","",""
"6","11:12.0","Shooting foul by K. Looney (drawn by N. Jokic)","","3-0","",""
"7","11:12.0","N. Jokic makes free throw 1 of 2","+1","4-0","",""
"8","11:12.0","N. Jokic makes free throw 2 of 2","+1","5-0","",""
"9","10:55.0","","","5-0","","D. Green misses 2-pt layup from 5 ft"
"10","10:53.0","Defensive rebound by N. Jokic","","5-0","",""
"11","10:47.0","W. Barton misses 3-pt jump shot from 24 ft","","5-0","",""
"12","10:43.0","Offensive rebound by M. Morris","","5-0","",""
"13","10:30.0","Shooting foul by K. Looney (drawn by N. Jokic)","","5-0","",""
"14","10:30.0","N. Jokic makes free throw 1 of 2","+1","6-0","",""
"15","10:30.0","N. Jokic makes free throw 2 of 2","+1","7-0","",""
"16","10:25.0","","","7-0","","Personal foul by M. Morris (drawn by J. Poole)"
"17","10:20.0","","","7-0","","A. Wiggins misses 3-pt jump shot from 28 ft"
"18","10:17.0","Defensive rebound by A. Gordon","","7-0","",""
"19","10:10.0","A. Gordon misses 2-pt jump shot from 11 ft","","7-0","",""
"20","10:07.0","","","7-0","","Defensive rebound by Team"
"21","10:00.0","","","7-0","","J. Poole misses 3-pt jump shot from 27 ft"
"22","9:57.0","","","7-0","","Offensive rebound by A. Wiggins"
"23","9:53.0","","","7-2","+2","A. Wiggins makes 2-pt layup from 6 ft (assist by J. Poole)"
"24","9:53.0","","","7-2","","Shooting foul by N. Jokic (drawn by A. Wiggins)"
"25","9:53.0","","","7-2","","A. Wiggins misses free throw 1 of 1"
"26","9:52.0","Defensive rebound by N. Jokic","","7-2","",""
"27","9:31.0","Turnover by M. Morris (bad pass; steal by A. Wiggins)","","7-2","",""
"28","9:26.0","","","7-2","","Personal foul by M. Morris (drawn by D. Green)"
"29","9:26.0","B. Hyland enters the game for M. Morris","","7-2","",""
"30","9:15.0","","","7-2","","D. Green misses 3-pt jump shot from 26 ft"
"31","9:13.0","","","7-2","","Offensive rebound by A. Wiggins"
"32","8:58.0","","","7-5","+3","J. Poole makes 3-pt jump shot from 28 ft"
"33","8:34.0","N. Jokic makes 2-pt hook shot from 5 ft","+2","9-5","",""
"34","8:20.0","","","9-5","","K. Thompson misses 3-pt jump shot from 23 ft"
"35","8:18.0","Defensive rebound by N. Jokic","","9-5","",""
"36","8:13.0","A. Gordon misses 2-pt layup from 3 ft","","9-5","",""
"37","8:10.0","","","9-5","","Defensive rebound by K. Looney"
"38","7:58.0","","","9-7","+2","J. Poole makes 2-pt layup from 5 ft"
"39","7:44.0","W. Barton misses 2-pt jump shot from 13 ft","","9-7","",""
"40","7:42.0","","","9-7","","Defensive rebound by D. Green"
"41","7:24.0","","","9-7","","K. Looney misses 2-pt layup from 6 ft (block by N. Jokic)"
"42","7:21.0","Defensive rebound by N. Jokic","","9-7","",""
"43","7:17.0","W. Barton misses 2-pt layup from 8 ft","","9-7","",""
"44","7:15.0","Offensive rebound by A. Gordon","","9-7","",""
"45","7:15.0","","","9-7","","O. Porter enters the game for K. Looney"
"46","7:08.0","N. Jokic misses 2-pt hook shot from 9 ft","","9-7","",""
"47","7:06.0","","","9-7","","Defensive rebound by A. Wiggins"
"48","6:57.0","","","9-7","","D. Green misses 3-pt jump shot from 26 ft"
"49","6:54.0","Defensive rebound by A. Gordon","","9-7","",""
"50","6:49.0","B. Hyland misses 2-pt layup from 7 ft","","9-7","",""
"51","6:46.0","Offensive rebound by N. Jokic","","9-7","",""
"52","6:44.0","N. Jokic makes 2-pt layup at rim","+2","11-7","",""
"53","6:32.0","","","11-7","","Turnover by J. Poole (bad pass; steal by N. Jokic)"
"54","6:32.0","Personal take foul by J. Poole (drawn by N. Jokic)","","11-7","",""
"55","6:32.0","Instant Replay (Request: Ruling Stands)","","11-7","",""
"56","6:32.0","","","11-7","","Golden State full timeout"
