"","Time","Golden State","","Score","","Denver"
"2","12:00.0","Jump ball: K. Looney vs. N. Jokic (A. Gordon gains possession)","Jump ball: K. Looney vs. N. Jokic (A. Gordon gains possession)","Jump ball: K. Looney vs. N. Jokic (A. Gordon gains possession)","Jump ball: K. Looney vs. N. Jokic (A. Gordon gains possession)","Jump ball: K. Looney vs. N. Jokic (A. Gordon gains possession)"
"3","11:42.0","","","0-2","+2","N. Jokic makes 2-pt hook shot from 5 ft"
"4","11:26.0","J. Poole makes 3-pt jump shot from 26 ft (assist by D. Green)","+3","3-2","",""
"5","11:11.0","","","3-4","+2","A. Gordon makes 2-pt dunk from 2 ft (assist by M. Morris)"
"6","10:50.0","K. Thompson makes 2-pt jump shot from 11 ft","+2","5-4","",""
"7","10:35.0","","","5-4","","J. Green misses 2-pt jump shot from 16 ft"
"8","10:33.0","Defensive rebound by D. Green","","5-4","",""
"9","10:29.0","Turnover by K. Thompson (lost ball; steal by J. Green)","","5-4","",""
"10","10:22.0","","","5-4","","Turnover by W. Barton (bad pass)"
"11","10:10.0","J. Poole makes 2-pt jump shot from 6 ft","+2","7-4","",""
"12","10:10.0","Shooting foul by A. Gordon (drawn by J. Poole)","","7-4","",""
"13","10:10.0","J. Poole misses free throw 1 of 1","","7-4","",""
"14","10:08.0","","","7-4","","Defensive rebound by J. Green"
"15","9:57.0","","","7-4","","Personal foul by K. Looney (drawn by N. Jokic)"
"16","9:42.0","","","7-4","","A. Gordon misses 2-pt layup from 5 ft"
"17","9:39.0","Defensive rebound by K. Looney","","7-4","",""
"18","9:26.0","D. Green makes 3-pt jump shot from 25 ft (assist by K. Thompson)","+3","10-4","",""
"19","9:10.0","","","10-6","+2","M. Morris makes 2-pt jump shot from 12 ft"
"20","9:01.0","J. Poole misses 3-pt jump shot from 23 ft","","10-6","",""
"21","8:59.0","","","10-6","","Defensive rebound by W. Barton"
"22","8:54.0","","","10-6","","A. Gordon misses 2-pt layup from 6 ft"
"23","8:53.0","","","10-6","","Offensive rebound by A. Gordon"
"24","8:52.0","","","10-6","","A. Gordon misses 2-pt layup from 3 ft"
"25","8:52.0","","","10-6","","Offensive rebound by A. Gordon"
"26","8:51.0","","","10-6","","A. Gordon misses 2-pt layup from 6 ft"
"27","8:47.0","Defensive rebound by J. Poole","","10-6","",""
"28","8:47.0","Turnover by J. Poole (bad pass)","","10-6","",""
"29","8:37.0","","","10-8","+2","M. Morris makes 2-pt jump shot from 23 ft"
"30","8:14.0","D. Green misses 3-pt jump shot from 25 ft","","10-8","",""
"31","8:11.0","","","10-8","","Defensive rebound by N. Jokic"
"32","8:03.0","","","10-8","","Turnover by J. Green (lost ball; steal by A. Wiggins)"
"33","7:55.0","K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green)","+3","13-8","",""
"34","7:32.0","","","13-8","","N. Jokic misses 2-pt jump shot from 14 ft"
"35","7:30.0","Defensive rebound by A. Wiggins","","13-8","",""
"36","7:16.0","K. Thompson makes 2-pt jump shot from 13 ft","+2","15-8","",""
"37","6:58.0","","","15-8","","Personal foul by K. Looney (drawn by N. Jokic)"
"38","6:58.0","","","15-8","","Denver full timeout"
"39","6:58.0","S. Curry enters the game for K. Looney","","15-8","",""
"40","6:51.0","","","15-11","+3","N. Jokic makes 3-pt jump shot from 26 ft (assist by A. Gordon)"
"41","6:34.0","A. Wiggins makes 2-pt layup from 3 ft (assist by J. Poole)","+2","17-11","",""
"42","6:22.0","","","17-13","+2","W. Barton makes 2-pt jump shot from 12 ft (assist by A. Gordon)"
"43","6:02.0","D. Green makes 2-pt layup from 4 ft (assist by A. Wiggins)","+2","19-13","",""
"44","5:48.0","","","19-13","","Personal foul by J. Poole (drawn by N. Jokic)"
"45","5:48.0","","","19-13","","A. Rivers enters the game for J. Green"
"46","5:43.0","","","19-15","+2","N. Jokic makes 2-pt jump shot from 17 ft (assist by M. Morris)"
"47","5:43.0","","","19-15","","Shooting foul by D. Green (drawn by N. Jokic)"
"48","5:43.0","","","19-16","+1","N. Jokic makes free throw 1 of 1"
