"","Time","Memphis","","Score","","Golden State"
"2","12:00.0","Jump ball: S. Adams vs. J. Kuminga (T. Jones gains possession)","Jump ball: S. Adams vs. J. Kuminga (T. Jones gains possession)","Jump ball: S. Adams vs. J. Kuminga (T. Jones gains possession)","Jump ball: S. Adams vs. J. Kuminga (T. Jones gains possession)","Jump ball: S. Adams vs. J. Kuminga (T. Jones gains possession)"
"3","11:44.0","S. Adams makes 2-pt dunk from 4 ft (assist by D. Bane)","+2","2-0","",""
"4","11:20.0","","","2-0","","S. Curry misses 3-pt jump shot from 23 ft"
"5","11:18.0","","","2-0","","Offensive rebound by A. Wiggins"
"6","11:11.0","","","2-0","","K. Thompson misses 3-pt jump shot from 28 ft"
"7","11:09.0","Defensive rebound by S. Adams","","2-0","",""
"8","11:03.0","D. Brooks misses 3-pt jump shot from 29 ft","","2-0","",""
"9","11:01.0","","","2-0","","Defensive rebound by S. Curry"
"10","10:52.0","","","2-0","","A. Wiggins misses 2-pt jump shot from 9 ft (block by D. Brooks)"
"11","10:51.0","Defensive rebound by S. Adams","","2-0","",""
"12","10:39.0","J. Jackson makes 2-pt layup from 4 ft (assist by D. Brooks)","+2","4-0","",""
"13","10:30.0","","","4-0","","K. Thompson misses 2-pt layup from 8 ft (block by J. Jackson)"
"14","10:27.0","","","4-0","","Offensive rebound by K. Thompson"
"15","10:25.0","","","4-2","+2","K. Thompson makes 2-pt layup at rim"
"16","10:18.0","D. Brooks makes 2-pt layup from 5 ft (assist by T. Jones)","+2","6-2","",""
"17","10:07.0","","","6-2","","Turnover by D. Green (bad pass; steal by J. Jackson)"
"18","10:02.0","S. Adams makes 2-pt dunk from 4 ft (assist by T. Jones)","+2","8-2","",""
"19","9:39.0","","","8-2","","Turnover by S. Curry (bad pass)"
"20","9:25.0","D. Brooks misses 3-pt jump shot from 22 ft","","8-2","",""
"21","9:23.0","","","8-2","","Defensive rebound by D. Green"
"22","9:16.0","","","8-4","+2","D. Green makes 2-pt layup from 6 ft"
"23","8:59.0","J. Jackson misses 2-pt layup from 7 ft (block by J. Kuminga)","","8-4","",""
"24","8:58.0","Offensive rebound by Team","","8-4","",""
"25","8:55.0","D. Bane misses 3-pt jump shot from 24 ft","","8-4","",""
"26","8:52.0","","","8-4","","Defensive rebound by K. Thompson"
"27","8:44.0","","","8-4","","K. Thompson misses 3-pt jump shot from 26 ft"
"28","8:42.0","Defensive rebound by S. Adams","","8-4","",""
"29","8:33.0","J. Jackson misses 3-pt jump shot from 27 ft","","8-4","",""
"30","8:31.0","","","8-4","","Defensive rebound by D. Green"
"31","8:26.0","","","8-4","","A. Wiggins misses 3-pt jump shot from 26 ft"
"32","8:24.0","Defensive rebound by D. Brooks","","8-4","",""
"33","8:17.0","D. Brooks misses 2-pt layup from 6 ft","","8-4","",""
"34","8:15.0","","","8-4","","Defensive rebound by J. Kuminga"
"35","8:10.0","","","8-6","+2","S. Curry makes 2-pt layup from 5 ft (assist by J. Kuminga)"
"36","7:43.0","S. Adams misses 2-pt jump shot from 19 ft","","8-6","",""
"37","7:41.0","","","8-6","","Defensive rebound by D. Green"
"38","7:28.0","","","8-6","","Offensive foul by S. Curry (drawn by D. Bane)"
"39","7:28.0","","","8-6","","Turnover by S. Curry (offensive foul)"
"40","7:14.0","T. Jones makes 3-pt jump shot from 28 ft (assist by D. Brooks)","+3","11-6","",""
"41","6:57.0","","","11-8","+2","K. Thompson makes 2-pt jump shot from 12 ft (assist by S. Curry)"
"42","6:40.0","J. Jackson makes 2-pt hook shot from 10 ft (assist by S. Adams)","+2","13-8","",""
"43","6:32.0","","","13-8","","Turnover by A. Wiggins (back court)"
"44","6:32.0","","","13-8","","Golden State full timeout"
"45","6:32.0","K. Anderson enters the game for J. Jackson","","13-8","",""
"46","6:32.0","","","13-8","","J. Poole enters the game for J. Kuminga"
"47","6:18.0","Turnover by S. Adams (bad pass)","","13-8","",""
"48","5:54.0","","","13-8","","S. Curry misses 3-pt jump shot from 24 ft"
"49","5:52.0","Defensive rebound by K. Anderson","","13-8","",""
"50","5:32.0","K. Anderson makes 2-pt hook shot from 7 ft","+2","15-8","",""
"51","5:25.0","","","15-8","","Personal foul by D. Brooks (drawn by J. Poole)"
"52","5:25.0","Z. Williams enters the game for D. Bane","","15-8","",""
"53","5:25.0","","","15-8","","O. Porter enters the game for K. Thompson"
"54","5:17.0","","","15-8","","J. Poole misses 3-pt jump shot from 26 ft"
"55","5:14.0","Defensive rebound by T. Jones","","15-8","",""
"56","5:02.0","S. Adams misses 2-pt layup from 3 ft","","15-8","",""
"57","5:00.0","","","15-8","","Defensive rebound by D. Green"
"58","4:50.0","","","15-8","","J. Poole misses 2-pt layup from 4 ft"
"59","4:47.0","Defensive rebound by S. Adams","","15-8","",""
"60","4:42.0","K. Anderson misses 3-pt jump shot from 23 ft","","15-8","",""
"61","4:40.0","","","15-8","","Defensive rebound by S. Curry"
"62","4:33.0","","","15-10","+2","J. Poole makes 2-pt layup from 4 ft (assist by S. Curry)"
"63","4:19.0","T. Jones misses 3-pt jump shot from 27 ft","","15-10","",""
"64","4:17.0","","","15-10","","Defensive rebound by D. Green"
"65","4:07.0","","","15-10","","Turnover by D. Green (bad pass)"
"66","4:07.0","B. Clarke enters the game for S. Adams","","15-10","",""
"67","4:07.0","","","15-10","","K. Looney enters the game for D. Green"
"68","3:53.0","B. Clarke misses 2-pt jump shot from 9 ft","","15-10","",""
"69","3:51.0","","","15-10","","Defensive rebound by K. Looney"
"70","3:37.0","","","15-12","+2","S. Curry makes 2-pt layup from 4 ft"
"71","3:28.0","K. Anderson makes 2-pt jump shot from 8 ft","+2","17-12","",""
"72","3:13.0","","","17-14","+2","A. Wiggins makes 2-pt jump shot from 10 ft (assist by J. Poole)"
"73","3:02.0","T. Jones makes 2-pt jump shot from 12 ft (assist by D. Brooks)","+2","19-14","",""
"74","2:43.0","","","19-16","+2","K. Looney makes 2-pt dunk from 3 ft (assist by J. Poole)"
"75","2:42.0","Memphis full timeout","","19-16","",""
"76","2:42.0","D. Melton enters the game for D. Brooks","","19-16","",""
"77","2:42.0","","","19-16","","K. Thompson enters the game for A. Wiggins"
"78","2:23.0","Z. Williams misses 3-pt jump shot from 25 ft","","19-16","",""
"79","2:20.0","","","19-16","","Defensive rebound by K. Looney"
"80","2:06.0","","","19-16","","K. Thompson misses 3-pt jump shot from 26 ft"
"81","2:04.0","Defensive rebound by K. Anderson","","19-16","",""
"82","1:57.0","Z. Williams makes 2-pt layup from 6 ft (assist by K. Anderson)","+2","21-16","",""
"83","1:47.0","","","21-16","","Shooting foul by B. Clarke (drawn by K. Looney)"
"84","1:47.0","","","21-17","+1","K. Looney makes free throw 1 of 2"
"85","1:47.0","D. Bane enters the game for T. Jones","","21-17","",""
"86","1:47.0","","","21-18","+1","K. Looney makes free throw 2 of 2"
"87","1:37.0","Z. Williams makes 3-pt jump shot from 26 ft (assist by B. Clarke)","+3","24-18","",""
"88","1:23.0","","","24-20","+2","S. Curry makes 2-pt layup from 4 ft (assist by O. Porter)"
"89","1:15.0","D. Melton misses 3-pt jump shot from 27 ft","","24-20","",""
"90","1:13.0","","","24-20","","Defensive rebound by J. Poole"
"91","1:07.0","","","24-20","","S. Curry misses 3-pt jump shot from 28 ft"
"92","1:05.0","","","24-20","","Offensive rebound by Team"
"93","1:05.0","J. Jackson enters the game for K. Anderson","","24-20","",""
"94","0:58.0","","","24-20","","S. Curry misses 3-pt jump shot from 26 ft"
"95","0:55.0","Defensive rebound by B. Clarke","","24-20","",""
"96","0:50.0","Z. Williams misses 3-pt jump shot from 22 ft","","24-20","",""
"97","0:48.0","","","24-20","","Defensive rebound by J. Poole"
"98","0:35.0","","","24-20","","K. Thompson misses 3-pt jump shot from 26 ft"
"99","0:33.0","","","24-20","","Offensive rebound by K. Looney"
"100","0:26.0","","","24-20","","Turnover by O. Porter (lost ball; steal by D. Bane)"
"101","0:25.0","Personal take foul by J. Poole (drawn by D. Melton)","","24-20","",""
"102","0:25.0","","","24-20","","A. Wiggins enters the game for S. Curry"
"103","0:21.0","J. Jackson misses 2-pt hook shot from 9 ft","","24-20","",""
"104","0:18.0","","","24-20","","Defensive rebound by O. Porter"
"105","0:01.0","","","24-20","","J. Poole misses 2-pt layup from 5 ft (block by B. Clarke)"
"106","0:01.0","Defensive rebound by B. Clarke","","24-20","",""
"107","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"108","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"109","Time","Memphis","","Score","","Golden State"
"110","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"111","11:41.0","","","24-20","","K. Looney misses 2-pt layup from 7 ft (block by J. Jackson)"
"112","11:40.0","Defensive rebound by Team","","24-20","",""
"113","11:27.0","J. Jackson misses 2-pt jump shot from 7 ft","","24-20","",""
"114","11:24.0","","","24-20","","Defensive rebound by J. Poole"
"115","11:05.0","","","24-20","","Turnover by J. Poole (bad pass; steal by D. Bane)"
"116","10:53.0","D. Bane misses 2-pt jump shot from 9 ft","","24-20","",""
"117","10:50.0","","","24-20","","Defensive rebound by K. Looney"
"118","10:33.0","","","24-20","","J. Poole misses 2-pt layup from 4 ft (block by J. Jackson)"
"119","10:32.0","","","24-20","","Offensive rebound by Team"
"120","10:30.0","","","24-20","","K. Looney misses 2-pt jump shot from 15 ft"
"121","10:28.0","Defensive rebound by B. Clarke","","24-20","",""
"122","10:19.0","D. Melton misses 2-pt jump shot from 9 ft","","24-20","",""
"123","10:17.0","","","24-20","","Defensive rebound by K. Looney"
"124","10:17.0","","","24-20","","Turnover by K. Looney (bad pass)"
"125","10:10.0","J. Jackson misses 3-pt jump shot from 26 ft","","24-20","",""
"126","10:07.0","","","24-20","","Defensive rebound by K. Thompson"
"127","9:51.0","","","24-20","","Turnover by J. Poole (lost ball; steal by D. Bane)"
"128","9:45.0","Turnover by D. Bane (bad pass; steal by K. Looney)","","24-20","",""
"129","9:39.0","","","24-22","+2","J. Poole makes 2-pt dunk from 3 ft (assist by O. Porter)"
"130","9:31.0","Z. Williams misses 3-pt jump shot from 29 ft","","24-22","",""
"131","9:29.0","","","24-22","","Defensive rebound by K. Thompson"
"132","9:22.0","","","24-22","","D. Lee misses 2-pt jump shot from 16 ft"
"133","9:20.0","Defensive rebound by Team","","24-22","",""
"134","9:06.0","Shooting foul by K. Looney (drawn by J. Jackson)","","24-22","",""
"135","9:06.0","J. Jackson makes free throw 1 of 2","+1","25-22","",""
"136","9:06.0","D. Brooks enters the game for D. Bane","","25-22","",""
"137","9:06.0","T. Jones enters the game for Z. Williams","","25-22","",""
"138","9:06.0","J. Jackson makes free throw 2 of 2","+1","26-22","",""
"139","8:50.0","","","26-22","","O. Porter misses 3-pt jump shot from 26 ft"
"140","8:47.0","Defensive rebound by T. Jones","","26-22","",""
"141","8:41.0","J. Jackson misses 3-pt jump shot from 28 ft","","26-22","",""
"142","8:39.0","","","26-22","","Defensive rebound by K. Looney"
"143","8:28.0","","","26-22","","Turnover by J. Poole (bad pass; steal by B. Clarke)"
"144","8:23.0","B. Clarke makes 2-pt jump shot from 9 ft (assist by T. Jones)","+2","28-22","",""
"145","8:23.0","","","28-22","","Golden State full timeout"
"146","8:23.0","S. Adams enters the game for B. Clarke","","28-22","",""
"147","8:23.0","","","28-22","","D. Green enters the game for K. Looney"
"148","8:23.0","","","28-22","","A. Wiggins enters the game for O. Porter"
"149","8:11.0","","","28-22","","J. Poole misses 2-pt layup from 6 ft"
"150","8:09.0","","","28-22","","Offensive rebound by D. Green"
"151","8:05.0","","","28-22","","A. Wiggins misses 3-pt jump shot from 23 ft"
"152","8:03.0","Defensive rebound by T. Jones","","28-22","",""
"153","7:54.0","D. Melton misses 3-pt jump shot from 27 ft","","28-22","",""
"154","7:52.0","","","28-22","","Defensive rebound by D. Green"
"155","7:39.0","","","28-22","","D. Green misses 2-pt layup from 4 ft"
"156","7:36.0","","","28-22","","Offensive rebound by A. Wiggins"
"157","7:34.0","","","28-24","+2","A. Wiggins makes 2-pt layup at rim"
"158","7:27.0","Turnover by D. Melton (bad pass; steal by A. Wiggins)","","28-24","",""
"159","7:07.0","","","28-24","","K. Thompson misses 2-pt jump shot from 5 ft"
"160","7:04.0","Defensive rebound by S. Adams","","28-24","",""
"161","6:52.0","Turnover by S. Adams (lost ball; steal by K. Thompson)","","28-24","",""
"162","6:47.0","","","28-24","","K. Thompson misses 3-pt jump shot from 28 ft"
"163","6:44.0","Defensive rebound by D. Melton","","28-24","",""
"164","6:36.0","T. Jones makes 2-pt jump shot from 9 ft","+2","30-24","",""
"165","6:16.0","","","30-24","","D. Lee misses 3-pt jump shot from 24 ft"
"166","6:14.0","Defensive rebound by S. Adams","","30-24","",""
"167","6:04.0","D. Brooks misses 2-pt jump shot from 15 ft","","30-24","",""
"168","6:01.0","","","30-24","","Defensive rebound by D. Lee"
"169","5:53.0","","","30-24","","J. Poole misses 3-pt jump shot from 27 ft"
"170","5:51.0","Defensive rebound by D. Brooks","","30-24","",""
"171","5:37.0","T. Jones misses 3-pt jump shot from 29 ft","","30-24","",""
"172","5:34.0","","","30-24","","Defensive rebound by D. Green"
"173","5:30.0","","","30-24","","Personal foul by J. Jackson (drawn by D. Green)"
"174","5:30.0","K. Anderson enters the game for J. Jackson","","30-24","",""
"175","5:30.0","D. Bane enters the game for D. Melton","","30-24","",""
"176","5:30.0","","","30-24","","S. Curry enters the game for D. Lee"
"177","5:30.0","","","30-24","","O. Porter enters the game for J. Poole"
"178","5:21.0","","","30-24","","Shooting foul by K. Anderson (drawn by K. Thompson)"
"179","5:21.0","","","30-25","+1","K. Thompson makes free throw 1 of 2"
"180","5:21.0","","","30-26","+1","K. Thompson makes free throw 2 of 2"
"181","5:08.0","Turnover by T. Jones (bad pass; steal by O. Porter)","","30-26","",""
"182","5:05.0","","","30-26","","Turnover by K. Thompson (bad pass)"
"183","4:48.0","Personal foul by S. Curry (drawn by D. Bane)","","30-26","",""
"184","4:40.0","S. Adams misses 2-pt dunk from 7 ft (block by K. Thompson)","","30-26","",""
"185","4:37.0","Offensive rebound by S. Adams","","30-26","",""
"186","4:35.0","S. Adams makes 2-pt dunk at rim","+2","32-26","",""
"187","4:29.0","","","32-26","","A. Wiggins misses 2-pt jump shot from 6 ft"
"188","4:26.0","Defensive rebound by S. Adams","","32-26","",""
"189","4:19.0","T. Jones makes 3-pt jump shot from 23 ft (assist by D. Bane)","+3","35-26","",""
"190","4:04.0","","","35-28","+2","K. Thompson makes 2-pt layup from 4 ft (assist by S. Curry)"
"191","3:43.0","T. Jones misses 2-pt jump shot from 22 ft","","35-28","",""
"192","3:40.0","","","35-28","","Defensive rebound by A. Wiggins"
"193","3:24.0","","","35-31","+3","O. Porter makes 3-pt jump shot from 25 ft (assist by K. Thompson)"
"194","3:23.0","Memphis full timeout","","35-31","",""
"195","3:12.0","D. Brooks misses 2-pt jump shot from 10 ft","","35-31","",""
"196","3:09.0","","","35-31","","Defensive rebound by A. Wiggins"
"197","2:59.0","","","35-31","","K. Thompson misses 3-pt jump shot from 28 ft (block by T. Jones)"
"198","2:57.0","Defensive rebound by K. Anderson","","35-31","",""
"199","2:50.0","Shooting foul by O. Porter (drawn by K. Anderson)","","35-31","",""
"200","2:50.0","K. Anderson misses free throw 1 of 2","","35-31","",""
"201","2:50.0","Offensive rebound by Team","","35-31","",""
"202","2:50.0","K. Anderson makes free throw 2 of 2","+1","36-31","",""
"203","2:40.0","","","36-31","","S. Curry misses 3-pt jump shot from 27 ft"
