"","Time","Golden State","","Score","","Memphis"
"2","12:00.0","Jump ball: J. Kuminga vs. S. Adams (T. Jones gains possession)","Jump ball: J. Kuminga vs. S. Adams (T. Jones gains possession)","Jump ball: J. Kuminga vs. S. Adams (T. Jones gains possession)","Jump ball: J. Kuminga vs. S. Adams (T. Jones gains possession)","Jump ball: J. Kuminga vs. S. Adams (T. Jones gains possession)"
"3","11:43.0","","","0-2","+2","J. Jackson makes 2-pt hook shot from 8 ft (assist by D. Brooks)"
"4","11:26.0","A. Wiggins misses 3-pt jump shot from 26 ft","","0-2","",""
"5","11:23.0","Offensive rebound by D. Green","","0-2","",""
"6","11:15.0","D. Green misses 3-pt jump shot from 26 ft","","0-2","",""
"7","11:13.0","","","0-2","","Defensive rebound by S. Adams"
"8","11:08.0","","","0-5","+3","D. Bane makes 3-pt jump shot from 25 ft (assist by T. Jones)"
"9","10:48.0","D. Green makes 2-pt jump shot from 12 ft (assist by J. Kuminga)","+2","2-5","",""
"10","10:39.0","","","2-7","+2","J. Jackson makes 2-pt jump shot from 11 ft (assist by T. Jones)"
"11","10:18.0","J. Kuminga misses 2-pt jump shot from 14 ft","","2-7","",""
"12","10:16.0","","","2-7","","Defensive rebound by S. Adams"
"13","10:08.0","","","2-7","","T. Jones misses 3-pt jump shot from 25 ft"
"14","10:06.0","Defensive rebound by D. Green","","2-7","",""
"15","9:59.0","J. Kuminga misses 2-pt layup from 1 ft (block by T. Jones)","","2-7","",""
"16","9:56.0","","","2-7","","Defensive rebound by J. Jackson"
"17","9:53.0","","","2-7","","Turnover by J. Jackson (lost ball; steal by K. Thompson)"
"18","9:39.0","K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green)","+3","5-7","",""
"19","9:22.0","","","5-10","+3","J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Bane)"
"20","8:57.0","K. Thompson makes 2-pt jump shot from 19 ft (assist by D. Green)","+2","7-10","",""
"21","8:39.0","","","7-10","","D. Brooks misses 2-pt layup from 2 ft"
"22","8:35.0","Defensive rebound by A. Wiggins","","7-10","",""
"23","8:29.0","K. Thompson misses 3-pt jump shot from 26 ft","","7-10","",""
"24","8:27.0","","","7-10","","Defensive rebound by J. Jackson"
"25","8:22.0","","","7-10","","D. Brooks misses 2-pt jump shot from 6 ft"
"26","8:18.0","Defensive rebound by D. Green","","7-10","",""
"27","8:16.0","Personal foul by D. Brooks (drawn by S. Curry)","","7-10","",""
"28","8:11.0","K. Thompson misses 3-pt jump shot from 24 ft","","7-10","",""
"29","8:08.0","","","7-10","","Defensive rebound by J. Jackson"
"30","8:01.0","Violation by Team (kicked ball)","","7-10","",""
"31","7:58.0","","","7-13","+3","D. Bane makes 3-pt jump shot from 25 ft (assist by T. Jones)"
"32","7:45.0","Personal foul by J. Jackson (drawn by S. Curry)","","7-13","",""
"33","7:34.0","J. Kuminga makes 2-pt jump shot from 13 ft","+2","9-13","",""
"34","7:16.0","","","9-16","+3","J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Bane)"
"35","7:08.0","K. Thompson makes 2-pt layup from 2 ft (assist by D. Green)","+2","11-16","",""
"36","6:54.0","","","11-18","+2","D. Brooks makes 2-pt hook shot from 6 ft (assist by T. Jones)"
"37","6:50.0","Offensive foul by K. Thompson (drawn by T. Jones)","","11-18","",""
"38","6:50.0","Turnover by K. Thompson (offensive foul)","","11-18","",""
"39","6:50.0","","","11-18","","Memphis full timeout"
"40","6:50.0","J. Poole enters the game for J. Kuminga","","11-18","",""
"41","6:50.0","O. Porter enters the game for K. Thompson","","11-18","",""
"42","6:36.0","","","11-21","+3","T. Jones makes 3-pt jump shot from 25 ft"
"43","6:13.0","J. Poole misses 2-pt jump shot from 21 ft","","11-21","",""
"44","6:11.0","","","11-21","","Defensive rebound by J. Jackson"
"45","6:03.0","","","11-21","","D. Bane misses 2-pt jump shot from 4 ft"
"46","5:59.0","Defensive rebound by J. Poole","","11-21","",""
"47","5:54.0","Offensive foul by A. Wiggins (drawn by D. Brooks)","","11-21","",""
"48","5:54.0","Turnover by A. Wiggins (offensive foul)","","11-21","",""
"49","5:45.0","","","11-21","","Personal foul by O. Porter (drawn by J. Jackson)"
"50","5:36.0","","","11-21","","Turnover by J. Jackson (bad pass; steal by J. Poole)"
"51","5:32.0","D. Green makes 2-pt dunk at rim (assist by S. Curry)","+2","13-21","",""
"52","5:12.0","","","13-21","","J. Jackson misses 3-pt jump shot from 29 ft"
"53","5:10.0","","","13-21","","Offensive rebound by S. Adams"
"54","5:10.0","","","13-21","","Shooting foul by O. Porter (drawn by S. Adams)"
"55","5:10.0","","","13-22","+1","S. Adams makes free throw 1 of 2"
"56","5:10.0","","","13-22","","Z. Williams enters the game for D. Bane"
"57","5:10.0","","","13-22","","S. Adams misses free throw 2 of 2"
"58","5:08.0","Defensive rebound by D. Green","","13-22","",""
"59","5:00.0","A. Wiggins makes 2-pt jump shot from 20 ft (assist by D. Green)","+2","15-22","",""
"60","4:47.0","","","15-24","+2","T. Jones makes 2-pt layup from 8 ft"
"61","4:39.0","S. Curry makes 3-pt jump shot from 27 ft","+3","18-24","",""
"62","4:22.0","","","18-24","","S. Adams misses 2-pt layup from 1 ft"
"63","4:20.0","","","18-24","","Offensive rebound by S. Adams"
"64","4:20.0","","","18-24","","S. Adams misses 2-pt layup from 2 ft"
"65","4:19.0","","","18-24","","Offensive rebound by S. Adams"
"66","4:18.0","","","18-24","","S. Adams misses 2-pt layup from 1 ft (block by J. Poole)"
"67","4:18.0","Defensive rebound by S. Curry","","18-24","",""
"68","4:11.0","S. Curry makes 3-pt jump shot from 25 ft","+3","21-24","",""
"69","3:49.0","","","21-24","","J. Jackson misses 2-pt hook shot from 9 ft"
"70","3:45.0","Defensive rebound by S. Curry","","21-24","",""
"71","3:36.0","O. Porter misses 3-pt jump shot from 26 ft","","21-24","",""
"72","3:34.0","","","21-24","","Defensive rebound by S. Adams"
"73","3:23.0","","","21-24","","Z. Williams misses 3-pt jump shot from 24 ft"
"74","3:22.0","Defensive rebound by Team","","21-24","",""
"75","3:22.0","K. Looney enters the game for D. Green","","21-24","",""
"76","3:22.0","K. Thompson enters the game for A. Wiggins","","21-24","",""
"77","3:22.0","","","21-24","","K. Anderson enters the game for S. Adams"
"78","3:22.0","","","21-24","","B. Clarke enters the game for J. Jackson"
"79","3:10.0","K. Looney makes 2-pt layup from 1 ft (assist by S. Curry)","+2","23-24","",""
"80","2:57.0","","","23-26","+2","Z. Williams makes 2-pt jump shot from 11 ft (assist by T. Jones)"
"81","2:40.0","S. Curry misses 3-pt jump shot from 26 ft","","23-26","",""
"82","2:38.0","","","23-26","","Defensive rebound by D. Brooks"
"83","2:33.0","","","23-26","","D. Brooks misses 2-pt layup from 4 ft"
"84","2:33.0","","","23-26","","Offensive rebound by Team"
"85","2:33.0","Golden State full timeout","","23-26","",""
"86","2:33.0","","","23-26","","D. Melton enters the game for D. Brooks"
"87","2:26.0","","","23-26","","Shooting foul by J. Poole (drawn by Z. Williams)"
"88","2:26.0","","","23-27","+1","Z. Williams makes free throw 1 of 2"
"89","2:26.0","","","23-27","","D. Bane enters the game for T. Jones"
"90","2:26.0","","","23-28","+1","Z. Williams makes free throw 2 of 2"
"91","2:12.0","K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry)","+2","25-28","",""
"92","2:02.0","","","25-28","","Shooting foul by K. Looney (drawn by B. Clarke)"
"93","2:02.0","","","25-29","+1","B. Clarke makes free throw 1 of 2"
"94","2:02.0","","","25-29","","B. Clarke misses free throw 2 of 2"
"95","2:00.0","Defensive rebound by K. Looney","","25-29","",""
"96","1:46.0","S. Curry misses 2-pt jump shot from 17 ft","","25-29","",""
"97","1:44.0","","","25-29","","Defensive rebound by K. Anderson"
"98","1:39.0","","","25-29","","Z. Williams misses 3-pt jump shot from 25 ft"
"99","1:35.0","","","25-29","","Offensive rebound by D. Melton"
"100","1:34.0","","","25-29","","D. Bane misses 3-pt jump shot from 26 ft"
"101","1:32.0","Defensive rebound by K. Thompson","","25-29","",""
"102","1:21.0","K. Thompson makes 3-pt jump shot from 26 ft","+3","28-29","",""
"103","1:08.0","","","28-31","+2","B. Clarke makes 2-pt dunk at rim (assist by K. Anderson)"
"104","0:58.0","Turnover by S. Curry (bad pass; steal by D. Bane)","","28-31","",""
"105","0:54.0","","","28-34","+3","D. Melton makes 3-pt jump shot from 26 ft (assist by K. Anderson)"
"106","0:44.0","S. Curry misses 3-pt jump shot from 27 ft","","28-34","",""
"107","0:42.0","","","28-34","","Defensive rebound by K. Anderson"
"108","0:30.0","","","28-37","+3","D. Melton makes 3-pt jump shot from 25 ft (assist by K. Anderson)"
"109","0:11.0","Turnover by J. Poole (bad pass; steal by K. Anderson)","","28-37","",""
"110","0:10.0","","","28-37","","Personal take foul by J. Poole (drawn by K. Anderson)"
"111","0:10.0","","","28-37","","K. Anderson misses free throw 1 of 2"
"112","0:10.0","","","28-37","","Offensive rebound by Team"
"113","0:10.0","","","28-37","","J. Konchar enters the game for D. Bane"
"114","0:10.0","","","28-38","+1","K. Anderson makes free throw 2 of 2"
"115","0:06.0","Personal take foul by J. Konchar (drawn by S. Curry)","","28-38","",""
"116","0:00.0","O. Porter misses 3-pt jump shot from 26 ft","","28-38","",""
"117","0:00.0","Offensive rebound by Team","","28-38","",""
"118","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"119","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"120","Time","Golden State","","Score","","Memphis"
"121","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"122","11:46.0","J. Poole misses 3-pt jump shot from 25 ft","","28-38","",""
"123","11:42.0","","","28-38","","Defensive rebound by K. Anderson"
"124","11:23.0","","","28-40","+2","K. Anderson makes 2-pt hook shot from 10 ft"
"125","11:02.0","K. Thompson makes 3-pt jump shot from 28 ft (assist by J. Poole)","+3","31-40","",""
"126","10:46.0","","","31-40","","K. Anderson misses 2-pt jump shot from 10 ft"
"127","10:41.0","","","31-40","","Offensive rebound by B. Clarke"
"128","10:41.0","","","31-42","+2","B. Clarke makes 2-pt layup at rim"
"129","10:27.0","D. Lee makes 3-pt jump shot from 25 ft (assist by J. Poole)","+3","34-42","",""
"130","10:17.0","","","34-42","","D. Melton misses 2-pt jump shot from 23 ft"
"131","10:14.0","Defensive rebound by D. Lee","","34-42","",""
"132","10:01.0","J. Poole misses 3-pt jump shot from 24 ft","","34-42","",""
"133","9:58.0","","","34-42","","Defensive rebound by Z. Williams"
"134","9:50.0","","","34-44","+2","B. Clarke makes 2-pt jump shot from 8 ft (assist by K. Anderson)"
"135","9:33.0","Turnover by K. Thompson (traveling)","","34-44","",""
"136","9:19.0","","","34-44","","Turnover by K. Anderson (bad pass; steal by K. Looney)"
"137","9:12.0","Shooting foul by D. Bane (drawn by K. Thompson)","","34-44","",""
"138","9:12.0","K. Thompson makes free throw 1 of 2","+1","35-44","",""
"139","9:12.0","A. Wiggins enters the game for O. Porter","","35-44","",""
"140","9:12.0","","","35-44","","J. Jackson enters the game for K. Anderson"
"141","9:12.0","K. Thompson makes free throw 2 of 2","+1","36-44","",""
"142","8:59.0","","","36-46","+2","B. Clarke makes 2-pt jump shot from 12 ft (assist by Z. Williams)"
"143","8:46.0","Turnover by J. Poole (out of bounds lost ball)","","36-46","",""
"144","8:27.0","","","36-46","","J. Jackson misses 2-pt layup from 1 ft"
"145","8:26.0","","","36-46","","Offensive rebound by J. Jackson"
"146","8:26.0","","","36-46","","Shooting foul by K. Looney (drawn by J. Jackson)"
"147","8:26.0","","","36-47","+1","J. Jackson makes free throw 1 of 2"
"148","8:26.0","","","36-48","+1","J. Jackson makes free throw 2 of 2"
"149","8:20.0","Offensive foul by D. Lee (drawn by Z. Williams)","","36-48","",""
"150","8:20.0","Turnover by D. Lee (offensive foul)","","36-48","",""
"151","8:20.0","D. Green enters the game for K. Looney","","36-48","",""
"152","8:20.0","","","36-48","","D. Brooks enters the game for Z. Williams"
"153","8:09.0","","","36-48","","D. Brooks misses 2-pt jump shot from 4 ft"
"154","8:04.0","","","36-48","","Offensive rebound by B. Clarke"
"155","8:04.0","","","36-50","+2","B. Clarke makes 2-pt layup at rim"
"156","7:51.0","Turnover by J. Poole (lost ball; steal by D. Melton)","","36-50","",""
"157","7:46.0","","","36-50","","D. Melton misses 2-pt layup from 1 ft"
"158","7:44.0","","","36-50","","Offensive rebound by B. Clarke"
"159","7:44.0","","","36-50","","B. Clarke misses 2-pt layup at rim"
"160","7:44.0","","","36-50","","Offensive rebound by B. Clarke"
"161","7:44.0","","","36-50","","B. Clarke misses 2-pt layup at rim"
"162","7:44.0","","","36-50","","Offensive rebound by Team"
"163","7:44.0","S. Curry enters the game for J. Poole","","36-50","",""
"164","7:39.0","","","36-50","","Shooting foul by K. Thompson (drawn by J. Jackson)"
"165","7:39.0","","","36-50","","J. Jackson misses free throw 1 of 2"
"166","7:39.0","","","36-50","","Offensive rebound by Team"
"167","7:39.0","","","36-50","","S. Adams enters the game for B. Clarke"
"168","7:39.0","","","36-51","+1","J. Jackson makes free throw 2 of 2"
"169","7:19.0","A. Wiggins misses 2-pt jump shot from 11 ft","","36-51","",""
"170","7:17.0","","","36-51","","Defensive rebound by D. Brooks"
"171","7:09.0","","","36-53","+2","D. Brooks makes 2-pt jump shot from 10 ft (assist by D. Melton)"
"172","7:06.0","Golden State full timeout","","36-53","",""
"173","7:06.0","K. Looney enters the game for D. Lee","","36-53","",""
"174","6:55.0","S. Curry makes 2-pt layup from 1 ft","+2","38-53","",""
"175","6:41.0","","","38-53","","D. Bane misses 2-pt jump shot from 20 ft"
"176","6:38.0","Defensive rebound by K. Looney","","38-53","",""
"177","6:35.0","Turnover by D. Green (bad pass)","","38-53","",""
"178","6:35.0","","","38-53","","T. Jones enters the game for D. Bane"
"179","6:24.0","","","38-55","+2","T. Jones makes 2-pt layup from 1 ft (assist by S. Adams)"
"180","6:10.0","A. Wiggins makes 3-pt jump shot from 27 ft (assist by K. Looney)","+3","41-55","",""
"181","5:53.0","","","41-57","+2","D. Brooks makes 2-pt hook shot from 9 ft (assist by T. Jones)"
"182","5:44.0","Shooting foul by D. Brooks (drawn by S. Curry)","","41-57","",""
"183","5:44.0","S. Curry makes free throw 1 of 2","+1","42-57","",""
"184","5:44.0","J. Poole enters the game for K. Thompson","","42-57","",""
"185","5:44.0","S. Curry makes free throw 2 of 2","+1","43-57","",""
"186","5:33.0","","","43-57","","J. Jackson misses 3-pt jump shot from 23 ft"
"187","5:31.0","","","43-57","","Offensive rebound by S. Adams"
"188","5:28.0","","","43-57","","D. Brooks misses 3-pt jump shot from 25 ft"
"189","5:25.0","Defensive rebound by K. Looney","","43-57","",""
"190","5:13.0","J. Poole makes 3-pt jump shot from 24 ft (assist by S. Curry)","+3","46-57","",""
"191","4:57.0","","","46-57","","D. Melton misses 3-pt jump shot from 25 ft"
"192","4:55.0","Defensive rebound by S. Curry","","46-57","",""
"193","4:49.0","Turnover by D. Green (lost ball; steal by D. Melton)","","46-57","",""
"194","4:46.0","","","46-60","+3","T. Jones makes 3-pt jump shot from 25 ft (assist by D. Melton)"
"195","4:32.0","Turnover by K. Looney (bad pass; steal by D. Brooks)","","46-60","",""
"196","4:28.0","","","46-62","+2","D. Melton makes 2-pt layup from 1 ft (assist by D. Brooks)"
"197","4:14.0","Turnover by D. Green (bad pass)","","46-62","",""
"198","4:02.0","","","46-64","+2","S. Adams makes 2-pt layup from 2 ft (assist by D. Melton)"
"199","4:02.0","","","46-64","","Shooting foul by A. Wiggins (drawn by S. Adams)"
"200","4:02.0","","","46-64","","S. Adams misses free throw 1 of 1"
