"","Time","New Orleans","","Score","","Phoenix"
"2","12:00.0","Jump ball: J. Valanciunas vs. D. Ayton (C. Johnson gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (C. Johnson gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (C. Johnson gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (C. Johnson gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (C. Johnson gains possession)"
"3","11:36.0","","","0-2","+2","D. Ayton makes 2-pt jump shot from 7 ft (assist by C. Paul)"
"4","11:09.0","J. Hayes makes 2-pt jump shot from 7 ft","+2","2-2","",""
"5","10:56.0","","","2-2","","M. Bridges misses 2-pt layup from 2 ft"
"6","10:53.0","Defensive rebound by J. Valanciunas","","2-2","",""
"7","10:44.0","B. Ingram misses 2-pt layup from 1 ft","","2-2","",""
"8","10:42.0","","","2-2","","Defensive rebound by C. Paul"
"9","10:38.0","","","2-2","","C. Johnson misses 3-pt jump shot from 23 ft"
"10","10:35.0","Defensive rebound by Team","","2-2","",""
"11","10:13.0","J. Hayes misses 3-pt jump shot from 23 ft","","2-2","",""
"12","10:11.0","","","2-2","","Defensive rebound by C. Paul"
"13","10:03.0","","","2-2","","D. Ayton misses 3-pt jump shot from 25 ft"
"14","10:00.0","Defensive rebound by H. Jones","","2-2","",""
"15","9:54.0","C. McCollum misses 3-pt jump shot from 26 ft","","2-2","",""
"16","9:52.0","","","2-2","","Defensive rebound by D. Ayton"
"17","9:46.0","","","2-4","+2","D. Ayton makes 2-pt jump shot from 16 ft (assist by C. Paul)"
"18","9:24.0","H. Jones misses 3-pt jump shot from 25 ft","","2-4","",""
"19","9:21.0","","","2-4","","Defensive rebound by M. Bridges"
"20","9:14.0","","","2-4","","Turnover by C. Johnson (bad pass; steal by J. Valanciunas)"
"21","9:05.0","B. Ingram makes 2-pt jump shot from 10 ft","+2","4-4","",""
"22","8:43.0","","","4-6","+2","D. Ayton makes 2-pt layup from 2 ft (assist by J. Crowder)"
"23","8:23.0","C. McCollum misses 3-pt jump shot from 25 ft","","4-6","",""
"24","8:21.0","","","4-6","","Defensive rebound by C. Johnson"
"25","8:12.0","","","4-6","","C. Johnson misses 3-pt jump shot from 24 ft"
"26","8:09.0","Defensive rebound by J. Valanciunas","","4-6","",""
"27","8:02.0","B. Ingram misses 2-pt jump shot from 13 ft","","4-6","",""
"28","7:58.0","Offensive rebound by J. Valanciunas","","4-6","",""
"29","7:58.0","J. Valanciunas makes 2-pt layup at rim","+2","6-6","",""
"30","7:44.0","","","6-8","+2","C. Paul makes 2-pt jump shot from 9 ft"
"31","7:39.0","Personal foul by J. Crowder (drawn by B. Ingram)","","6-8","",""
"32","7:33.0","H. Jones misses 2-pt layup from 2 ft","","6-8","",""
"33","7:31.0","Offensive rebound by J. Valanciunas","","6-8","",""
"34","7:31.0","J. Valanciunas makes 2-pt layup from 1 ft","+2","8-8","",""
"35","7:19.0","","","8-8","","J. Crowder misses 3-pt jump shot from 26 ft"
"36","7:17.0","Defensive rebound by J. Hayes","","8-8","",""
"37","7:06.0","J. Valanciunas misses 3-pt jump shot from 25 ft","","8-8","",""
"38","7:04.0","","","8-8","","Defensive rebound by J. Crowder"
"39","6:55.0","","","8-10","+2","J. Crowder makes 2-pt dunk from 1 ft (assist by D. Ayton)"
"40","6:30.0","J. Valanciunas misses 2-pt jump shot from 11 ft","","8-10","",""
"41","6:29.0","","","8-10","","Defensive rebound by C. Johnson"
"42","6:21.0","","","8-12","+2","C. Paul makes 2-pt jump shot from 16 ft"
"43","6:07.0","Turnover by B. Ingram (lost ball; steal by C. Paul)","","8-12","",""
"44","6:01.0","","","8-14","+2","D. Ayton makes 2-pt dunk from 2 ft (assist by C. Johnson)"
"45","6:01.0","New Orleans full timeout","","8-14","",""
"46","6:01.0","T. Murphy enters the game for J. Hayes","","8-14","",""
"47","6:01.0","L. Nance enters the game for J. Valanciunas","","8-14","",""
"48","5:45.0","H. Jones makes 3-pt jump shot from 26 ft (assist by B. Ingram)","+3","11-14","",""
"49","5:27.0","","","11-16","+2","C. Johnson makes 2-pt layup from 1 ft (assist by C. Paul)"
"50","5:27.0","","","11-16","","Shooting foul by T. Murphy (drawn by C. Johnson)"
"51","5:27.0","","","11-16","","J. McGee enters the game for D. Ayton"
"52","5:27.0","","","11-17","+1","C. Johnson makes free throw 1 of 1"
"53","5:10.0","B. Ingram makes 2-pt layup from 3 ft (assist by C. McCollum)","+2","13-17","",""
"54","5:01.0","","","13-17","","Personal foul by L. Nance (drawn by J. McGee)"
"55","4:55.0","","","13-19","+2","C. Paul makes 2-pt jump shot from 10 ft"
"56","4:39.0","B. Ingram makes 3-pt jump shot from 26 ft (assist by L. Nance)","+3","16-19","",""
"57","4:28.0","","","16-19","","M. Bridges misses 2-pt jump shot from 14 ft"
"58","4:24.0","","","16-19","","Offensive rebound by C. Johnson"
"59","4:21.0","","","16-21","+2","M. Bridges makes 2-pt layup from 3 ft (assist by C. Johnson)"
"60","3:58.0","C. McCollum makes 2-pt layup from 3 ft","+2","18-21","",""
"61","3:51.0","","","18-21","","C. Paul misses 3-pt jump shot from 26 ft"
"62","3:50.0","","","18-21","","Offensive rebound by J. McGee"
"63","3:47.0","","","18-21","","J. McGee misses 2-pt jump shot from 3 ft (block by T. Murphy)"
"64","3:44.0","Defensive rebound by C. McCollum","","18-21","",""
"65","3:41.0","Offensive foul by C. McCollum (drawn by C. Paul)","","18-21","",""
"66","3:41.0","Turnover by C. McCollum (offensive foul)","","18-21","",""
"67","3:41.0","D. Graham enters the game for H. Jones","","18-21","",""
"68","3:41.0","J. Valanciunas enters the game for C. McCollum","","18-21","",""
"69","3:41.0","","","18-21","","C. Payne enters the game for M. Bridges"
"70","3:41.0","","","18-21","","L. Shamet enters the game for C. Paul"
"71","3:30.0","","","18-21","","Personal foul by J. Valanciunas (drawn by J. McGee)"
