"","Time","Phoenix","","Score","","New Orleans"
"2","12:00.0","Jump ball: D. Ayton vs. J. Hayes (C. Paul gains possession)","Jump ball: D. Ayton vs. J. Hayes (C. Paul gains possession)","Jump ball: D. Ayton vs. J. Hayes (C. Paul gains possession)","Jump ball: D. Ayton vs. J. Hayes (C. Paul gains possession)","Jump ball: D. Ayton vs. J. Hayes (C. Paul gains possession)"
"3","11:36.0","J. Crowder makes 3-pt jump shot from 26 ft (assist by D. Booker)","+3","3-0","",""
"4","11:18.0","","","3-0","","B. Ingram misses 2-pt jump shot from 16 ft"
"5","11:15.0","Defensive rebound by M. Bridges","","3-0","",""
"6","11:12.0","Personal foul by J. Hayes (drawn by D. Ayton)","","3-0","",""
"7","11:04.0","J. Crowder misses 3-pt jump shot from 26 ft","","3-0","",""
"8","11:01.0","","","3-0","","Defensive rebound by J. Valanciunas"
"9","10:49.0","","","3-2","+2","J. Hayes makes 2-pt layup from 2 ft (assist by C. McCollum)"
"10","10:37.0","C. Paul makes 2-pt jump shot from 17 ft","+2","5-2","",""
"11","10:13.0","","","5-2","","J. Hayes misses 2-pt layup from 6 ft"
"12","10:13.0","Defensive rebound by D. Booker","","5-2","",""
"13","10:03.0","D. Ayton makes 2-pt jump shot from 20 ft (assist by D. Booker)","+2","7-2","",""
"14","9:48.0","","","7-4","+2","J. Hayes makes 2-pt layup from 2 ft (assist by J. Valanciunas)"
"15","9:36.0","C. Paul makes 2-pt jump shot from 12 ft","+2","9-4","",""
"16","9:18.0","","","9-4","","C. McCollum misses 3-pt jump shot from 26 ft"
"17","9:14.0","Defensive rebound by D. Ayton","","9-4","",""
"18","9:03.0","D. Booker makes 2-pt jump shot from 16 ft","+2","11-4","",""
"19","8:45.0","","","11-4","","H. Jones misses 2-pt jump shot from 21 ft"
"20","8:45.0","","","11-4","","Offensive rebound by Team"
"21","8:41.0","","","11-4","","J. Hayes misses 3-pt jump shot from 24 ft"
"22","8:38.0","Defensive rebound by M. Bridges","","11-4","",""
"23","8:27.0","J. Crowder misses 3-pt jump shot from 25 ft","","11-4","",""
"24","8:25.0","","","11-4","","Defensive rebound by J. Valanciunas"
"25","8:16.0","","","11-6","+2","J. Valanciunas makes 2-pt layup from 3 ft (assist by B. Ingram)"
"26","7:54.0","Turnover by D. Booker (lost ball; steal by H. Jones)","","11-6","",""
"27","7:51.0","","","11-8","+2","J. Hayes makes 2-pt dunk at rim (assist by B. Ingram)"
"28","7:33.0","Personal foul by J. Valanciunas (drawn by D. Ayton)","","11-8","",""
"29","7:29.0","Shooting foul by J. Hayes (drawn by D. Ayton)","","11-8","",""
"30","7:29.0","D. Ayton makes free throw 1 of 2","+1","12-8","",""
"31","7:29.0","D. Ayton makes free throw 2 of 2","+1","13-8","",""
"32","7:06.0","","","13-11","+3","B. Ingram makes 3-pt jump shot from 26 ft (assist by H. Jones)"
