Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
6:04.0,S.Curry,1,37-38,2.0,3-pt,jump,30,misses,Golden State,2022-09-15 06:04:00
5:41.0,S.Curry,1,39-38,2.0,2-pt,jump,11,misses,Golden State,2022-09-15 05:41:00
5:04.0,S.Curry,1,41-40,2.0,3-pt,jump,28,misses,Golden State,2022-09-15 05:04:00
4:07.0,S.Curry,1,43-40,2.0,3-pt,jump,25,misses,Golden State,2022-09-15 04:07:00
2:09.0,S.Curry,1,43-48,2.0,2-pt,jump,19,misses,Golden State,2022-09-15 02:09:00
1:14.0,S.Curry,1,45-53,2.0,2-pt,layup,6,makes,Golden State,2022-09-15 01:14:00
0:41.0,S.Curry,1,45-53,2.0,2-pt,jump,15,misses,Golden State,2022-09-15 00:41:00
0:04.0,S.Curry,1,47-58,2.0,3-pt,jump,28,makes,Golden State,2022-09-15 00:04:00
3:38.0,S.Curry,1,67-76,3.0,2-pt,jump,9,misses,Golden State,2022-09-15 03:38:00
2:47.0,S.Curry,1,67-81,3.0,3-pt,jump,29,makes,Golden State,2022-09-15 02:47:00
2:23.0,S.Curry,1,68-82,3.0,free,throw,3,makes,Golden State,2022-09-15 02:23:00
2:23.0,S.Curry,1,68-83,3.0,free,throw,3,makes,Golden State,2022-09-15 02:23:00
2:23.0,S.Curry,1,68-84,3.0,free,throw,3,makes,Golden State,2022-09-15 02:23:00
0:03.0,S.Curry,1,70-90,3.0,2-pt,jump,11,misses,Golden State,2022-09-15 00:03:00
4:46.0,S.Curry,1,90-112,4.0,3-pt,jump,25,makes,Golden State,2022-09-15 04:46:00
4:00.0,S.Curry,1,94-114,4.0,2-pt,jump,17,makes,Golden State,2022-09-15 04:00:00
5:56.0,S.Curry,2,13-9,1.0,2-pt,jump,16,makes,Golden State,2022-09-15 05:56:00
3:34.0,S.Curry,2,24-15,1.0,3-pt,jump,28,misses,Golden State,2022-09-15 03:34:00
2:28.0,S.Curry,2,26-18,1.0,3-pt,jump,27,makes,Golden State,2022-09-15 02:28:00
0:02.0,S.Curry,2,26-25,1.0,3-pt,jump,28,misses,Golden State,2022-09-15 00:02:00
5:43.0,S.Curry,2,43-38,2.0,technical,free,,makes,Golden State,2022-09-15 05:43:00
4:36.0,S.Curry,2,43-42,2.0,2-pt,layup,6,makes,Golden State,2022-09-15 04:36:00
4:11.0,S.Curry,2,43-44,2.0,2-pt,layup,5,makes,Golden State,2022-09-15 04:11:00
2:22.0,S.Curry,2,47-52,2.0,3-pt,jump,27,makes,Golden State,2022-09-15 02:22:00
1:00.0,S.Curry,2,49-57,2.0,3-pt,jump,29,makes,Golden State,2022-09-15 01:00:00
0:08.0,S.Curry,2,51-57,2.0,free,throw,1,misses,Golden State,2022-09-15 00:08:00
0:02.0,S.Curry,2,51-57,2.0,3-pt,jump,27,misses,Golden State,2022-09-15 00:02:00
