Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
9:55.0,S.Curry,1,6-6,1.0,3-pt,jump,26,makes,Golden State,2022-09-15 09:55:00
8:35.0,S.Curry,1,10-8,1.0,2-pt,layup,1,makes,Golden State,2022-09-15 08:35:00
6:54.0,S.Curry,1,12-12,1.0,3-pt,jump,26,misses,Golden State,2022-09-15 06:54:00
6:11.0,S.Curry,1,15-16,1.0,3-pt,jump,27,makes,Golden State,2022-09-15 06:11:00
3:08.0,S.Curry,1,20-25,1.0,3-pt,jump,25,misses,Golden State,2022-09-15 03:08:00
2:30.0,S.Curry,1,20-25,1.0,2-pt,jump,10,misses,Golden State,2022-09-15 02:30:00
0:57.0,S.Curry,1,20-30,1.0,2-pt,jump,4,misses,Golden State,2022-09-15 00:57:00
4:46.0,S.Curry,1,42-48,2.0,2-pt,layup,ft,misses,Golden State,2022-09-15 04:46:00
0:51.0,S.Curry,1,53-57,2.0,2-pt,jump,2,misses,Golden State,2022-09-15 00:51:00
9:04.0,S.Curry,1,63-66,3.0,2-pt,jump,22,makes,Golden State,2022-09-15 09:04:00
8:35.0,S.Curry,1,65-66,3.0,2-pt,jump,18,makes,Golden State,2022-09-15 08:35:00
8:07.0,S.Curry,1,68-66,3.0,free,throw,1,misses,Golden State,2022-09-15 08:07:00
8:07.0,S.Curry,1,68-66,3.0,3-pt,jump,23,makes,Golden State,2022-09-15 08:07:00
7:17.0,S.Curry,1,68-66,3.0,3-pt,jump,25,misses,Golden State,2022-09-15 07:17:00
6:02.0,S.Curry,1,69-71,3.0,free,throw,3,makes,Golden State,2022-09-15 06:02:00
6:02.0,S.Curry,1,70-71,3.0,free,throw,3,makes,Golden State,2022-09-15 06:02:00
6:02.0,S.Curry,1,71-71,3.0,free,throw,3,makes,Golden State,2022-09-15 06:02:00
4:15.0,S.Curry,1,79-79,3.0,2-pt,jump,18,misses,Golden State,2022-09-15 04:15:00
2:20.0,S.Curry,1,87-85,3.0,3-pt,jump,25,makes,Golden State,2022-09-15 02:20:00
6:01.0,S.Curry,1,103-102,4.0,3-pt,jump,25,misses,Golden State,2022-09-15 06:01:00
4:26.0,S.Curry,1,108-104,4.0,3-pt,jump,26,makes,Golden State,2022-09-15 04:26:00
3:49.0,S.Curry,1,108-104,4.0,3-pt,jump,26,misses,Golden State,2022-09-15 03:49:00
2:08.0,S.Curry,1,110-112,4.0,3-pt,jump,26,misses,Golden State,2022-09-15 02:08:00
0:49.0,S.Curry,1,114-116,4.0,3-pt,jump,27,misses,Golden State,2022-09-15 00:49:00
6:18.0,S.Curry,2,8-10,1.0,3-pt,jump,31,misses,Golden State,2022-09-15 06:18:00
6:15.0,S.Curry,2,10-10,1.0,2-pt,jump,13,makes,Golden State,2022-09-15 06:15:00
5:07.0,S.Curry,2,12-13,1.0,2-pt,jump,8,makes,Golden State,2022-09-15 05:07:00
3:46.0,S.Curry,2,17-20,1.0,3-pt,jump,23,makes,Golden State,2022-09-15 03:46:00
2:57.0,S.Curry,2,19-22,1.0,2-pt,jump,14,makes,Golden State,2022-09-15 02:57:00
1:25.0,S.Curry,2,21-26,1.0,2-pt,jump,13,misses,Golden State,2022-09-15 01:25:00
1:08.0,S.Curry,2,22-28,1.0,free,throw,2,makes,Golden State,2022-09-15 01:08:00
1:08.0,S.Curry,2,23-28,1.0,free,throw,2,makes,Golden State,2022-09-15 01:08:00
0:45.0,S.Curry,2,23-30,1.0,3-pt,jump,25,misses,Golden State,2022-09-15 00:45:00
0:00.0,S.Curry,2,25-33,1.0,3-pt,jump,50,misses,Golden State,2022-09-15 00:00:00
5:19.0,S.Curry,2,38-42,2.0,2-pt,jump,13,makes,Golden State,2022-09-15 05:19:00
1:36.0,S.Curry,2,44-46,2.0,2-pt,layup,ft,misses,Golden State,2022-09-15 01:36:00
0:47.0,S.Curry,2,47-49,2.0,2-pt,layup,ft,misses,Golden State,2022-09-15 00:47:00
0:32.0,S.Curry,2,49-52,2.0,2-pt,layup,1,makes,Golden State,2022-09-15 00:32:00
11:49.0,S.Curry,2,51-56,3.0,3-pt,jump,25,misses,Golden State,2022-09-15 11:49:00
11:35.0,S.Curry,2,51-56,3.0,3-pt,jump,27,misses,Golden State,2022-09-15 11:35:00
11:00.0,S.Curry,2,51-59,3.0,2-pt,layup,ft,misses,Golden State,2022-09-15 11:00:00
3:39.0,S.Curry,2,67-74,3.0,3-pt,jump,25,misses,Golden State,2022-09-15 03:39:00
3:02.0,S.Curry,2,71-74,3.0,2-pt,layup,1,makes,Golden State,2022-09-15 03:02:00
1:31.0,S.Curry,2,75-77,3.0,2-pt,jump,12,makes,Golden State,2022-09-15 01:31:00
0:27.0,S.Curry,2,77-77,3.0,2-pt,layup,ft,misses,Golden State,2022-09-15 00:27:00
4:53.0,S.Curry,2,92-89,4.0,3-pt,jump,26,makes,Golden State,2022-09-15 04:53:00
4:33.0,S.Curry,2,95-91,4.0,3-pt,jump,25,makes,Golden State,2022-09-15 04:33:00
2:50.0,S.Curry,2,97-95,4.0,3-pt,jump,26,misses,Golden State,2022-09-15 02:50:00
2:06.0,S.Curry,2,99-98,4.0,2-pt,jump,2,makes,Golden State,2022-09-15 02:06:00
1:32.0,S.Curry,2,99-100,4.0,2-pt,layup,ft,misses,Golden State,2022-09-15 01:32:00
0:10.0,S.Curry,2,101-106,4.0,3-pt,jump,30,misses,Golden State,2022-09-15 00:10:00
10:32.0,S.Curry,3,3-2,1.0,3-pt,jump,26,misses,Golden State,2022-09-15 10:32:00
2:14.0,S.Curry,3,25-19,1.0,3-pt,jump,27,misses,Golden State,2022-09-15 02:14:00
0:01.0,S.Curry,3,28-26,1.0,3-pt,jump,27,makes,Golden State,2022-09-15 00:01:00
5:08.0,S.Curry,3,40-48,2.0,2-pt,jump,6,makes,Golden State,2022-09-15 05:08:00
4:07.0,S.Curry,3,42-52,2.0,free,throw,3,makes,Golden State,2022-09-15 04:07:00
4:07.0,S.Curry,3,42-53,2.0,free,throw,3,makes,Golden State,2022-09-15 04:07:00
4:07.0,S.Curry,3,42-54,2.0,free,throw,3,makes,Golden State,2022-09-15 04:07:00
2:13.0,S.Curry,3,50-58,2.0,2-pt,layup,5,makes,Golden State,2022-09-15 02:13:00
2:13.0,S.Curry,3,50-59,2.0,free,throw,1,makes,Golden State,2022-09-15 02:13:00
1:05.0,S.Curry,3,52-61,2.0,2-pt,layup,5,makes,Golden State,2022-09-15 01:05:00
11:22.0,S.Curry,3,57-68,3.0,free,throw,2,makes,Golden State,2022-09-15 11:22:00
11:22.0,S.Curry,3,57-69,3.0,free,throw,2,makes,Golden State,2022-09-15 11:22:00
9:46.0,S.Curry,3,59-76,3.0,2-pt,layup,6,makes,Golden State,2022-09-15 09:46:00
8:57.0,S.Curry,3,61-79,3.0,free,throw,2,makes,Golden State,2022-09-15 08:57:00
8:57.0,S.Curry,3,61-80,3.0,free,throw,2,makes,Golden State,2022-09-15 08:57:00
8:35.0,S.Curry,3,61-80,3.0,3-pt,jump,31,misses,Golden State,2022-09-15 08:35:00
7:21.0,S.Curry,3,66-82,3.0,3-pt,jump,23,misses,Golden State,2022-09-15 07:21:00
2:13.0,S.Curry,3,73-95,3.0,2-pt,layup,5,makes,Golden State,2022-09-15 02:13:00
1:35.0,S.Curry,3,76-95,3.0,2-pt,jump,8,misses,Golden State,2022-09-15 01:35:00
0:38.0,S.Curry,3,78-99,3.0,3-pt,jump,29,misses,Golden State,2022-09-15 00:38:00
0:28.0,S.Curry,3,78-100,3.0,free,throw,2,makes,Golden State,2022-09-15 00:28:00
0:28.0,S.Curry,3,78-101,3.0,free,throw,2,makes,Golden State,2022-09-15 00:28:00
8:00.0,S.Curry,3,94-114,4.0,free,throw,2,makes,Golden State,2022-09-15 08:00:00
8:00.0,S.Curry,3,94-115,4.0,free,throw,2,makes,Golden State,2022-09-15 08:00:00
7:13.0,S.Curry,3,97-115,4.0,3-pt,jump,23,misses,Golden State,2022-09-15 07:13:00
6:19.0,S.Curry,3,99-116,4.0,technical,free,,makes,Golden State,2022-09-15 06:19:00
6:19.0,S.Curry,3,99-117,4.0,technical,free,,makes,Golden State,2022-09-15 06:19:00
5:39.0,S.Curry,3,99-122,4.0,3-pt,jump,29,makes,Golden State,2022-09-15 05:39:00
11:20.0,S.Curry,4,2-0,1.0,3-pt,jump,23,misses,Golden State,2022-09-15 11:20:00
8:10.0,S.Curry,4,8-6,1.0,2-pt,layup,5,makes,Golden State,2022-09-15 08:10:00
5:54.0,S.Curry,4,13-8,1.0,3-pt,jump,24,misses,Golden State,2022-09-15 05:54:00
3:37.0,S.Curry,4,15-12,1.0,2-pt,layup,4,makes,Golden State,2022-09-15 03:37:00
1:23.0,S.Curry,4,24-20,1.0,2-pt,layup,4,makes,Golden State,2022-09-15 01:23:00
1:07.0,S.Curry,4,24-20,1.0,3-pt,jump,28,misses,Golden State,2022-09-15 01:07:00
0:58.0,S.Curry,4,24-20,1.0,3-pt,jump,26,misses,Golden State,2022-09-15 00:58:00
2:40.0,S.Curry,4,36-31,2.0,3-pt,jump,27,misses,Golden State,2022-09-15 02:40:00
2:12.0,S.Curry,4,39-33,2.0,2-pt,layup,4,makes,Golden State,2022-09-15 02:12:00
1:46.0,S.Curry,4,39-33,2.0,2-pt,layup,ft,misses,Golden State,2022-09-15 01:46:00
0:46.0,S.Curry,4,41-38,2.0,3-pt,jump,27,makes,Golden State,2022-09-15 00:46:00
9:47.0,S.Curry,4,47-43,3.0,3-pt,jump,27,misses,Golden State,2022-09-15 09:47:00
7:33.0,S.Curry,4,54-50,3.0,3-pt,jump,26,misses,Golden State,2022-09-15 07:33:00
5:08.0,S.Curry,4,58-52,3.0,2-pt,layup,ft,misses,Golden State,2022-09-15 05:08:00
4:36.0,S.Curry,4,58-52,3.0,3-pt,jump,24,misses,Golden State,2022-09-15 04:36:00
2:33.0,S.Curry,4,62-60,3.0,3-pt,jump,26,makes,Golden State,2022-09-15 02:33:00
2:02.0,S.Curry,4,62-60,3.0,2-pt,jump,20,misses,Golden State,2022-09-15 02:02:00
1:01.0,S.Curry,4,66-60,3.0,2-pt,jump,19,misses,Golden State,2022-09-15 01:01:00
7:55.0,S.Curry,4,82-76,4.0,free,throw,1,misses,Golden State,2022-09-15 07:55:00
7:55.0,S.Curry,4,82-76,4.0,2-pt,layup,6,makes,Golden State,2022-09-15 07:55:00
7:24.0,S.Curry,4,82-79,4.0,3-pt,jump,27,makes,Golden State,2022-09-15 07:24:00
6:33.0,S.Curry,4,82-79,4.0,3-pt,jump,27,misses,Golden State,2022-09-15 06:33:00
5:01.0,S.Curry,4,87-86,4.0,3-pt,jump,27,makes,Golden State,2022-09-15 05:01:00
4:29.0,S.Curry,4,89-86,4.0,2-pt,layup,ft,misses,Golden State,2022-09-15 04:29:00
3:25.0,S.Curry,4,90-90,4.0,2-pt,jump,14,makes,Golden State,2022-09-15 03:25:00
2:48.0,S.Curry,4,92-90,4.0,3-pt,jump,27,misses,Golden State,2022-09-15 02:48:00
0:45.0,S.Curry,4,93-93,4.0,free,throw,2,makes,Golden State,2022-09-15 00:45:00
0:45.0,S.Curry,4,93-94,4.0,free,throw,2,makes,Golden State,2022-09-15 00:45:00
0:25.0,S.Curry,4,93-95,4.0,free,throw,2,makes,Golden State,2022-09-15 00:25:00
0:25.0,S.Curry,4,93-96,4.0,free,throw,2,makes,Golden State,2022-09-15 00:25:00
0:19.0,S.Curry,4,95-97,4.0,free,throw,2,makes,Golden State,2022-09-15 00:19:00
0:19.0,S.Curry,4,95-98,4.0,free,throw,2,makes,Golden State,2022-09-15 00:19:00
0:09.0,S.Curry,4,95-99,4.0,free,throw,2,makes,Golden State,2022-09-15 00:09:00
0:09.0,S.Curry,4,95-100,4.0,free,throw,2,makes,Golden State,2022-09-15 00:09:00
4:39.0,S.Curry,5,18-24,1.0,3-pt,jump,27,makes,Golden State,2022-09-15 04:39:00
4:11.0,S.Curry,5,21-24,1.0,3-pt,jump,25,makes,Golden State,2022-09-15 04:11:00
2:40.0,S.Curry,5,23-26,1.0,3-pt,jump,26,misses,Golden State,2022-09-15 02:40:00
1:46.0,S.Curry,5,25-29,1.0,2-pt,jump,17,misses,Golden State,2022-09-15 01:46:00
0:44.0,S.Curry,5,28-34,1.0,3-pt,jump,27,misses,Golden State,2022-09-15 00:44:00
6:55.0,S.Curry,5,38-53,2.0,2-pt,layup,1,makes,Golden State,2022-09-15 06:55:00
5:44.0,S.Curry,5,42-57,2.0,free,throw,2,makes,Golden State,2022-09-15 05:44:00
5:44.0,S.Curry,5,43-57,2.0,free,throw,2,makes,Golden State,2022-09-15 05:44:00
3:09.0,S.Curry,5,46-66,2.0,3-pt,jump,27,misses,Golden State,2022-09-15 03:09:00
1:35.0,S.Curry,5,49-71,2.0,3-pt,jump,26,makes,Golden State,2022-09-15 01:35:00
0:53.0,S.Curry,5,49-75,2.0,free,throw,2,misses,Golden State,2022-09-15 00:53:00
0:53.0,S.Curry,5,50-75,2.0,free,throw,2,makes,Golden State,2022-09-15 00:53:00
0:27.0,S.Curry,5,50-77,2.0,3-pt,jump,29,misses,Golden State,2022-09-15 00:27:00
11:06.0,S.Curry,5,50-80,3.0,3-pt,jump,26,misses,Golden State,2022-09-15 11:06:00
10:37.0,S.Curry,6,2-0,1.0,2-pt,jump,11,misses,Golden State,2022-09-15 10:37:00
10:13.0,S.Curry,6,4-3,1.0,3-pt,jump,27,makes,Golden State,2022-09-15 10:13:00
9:09.0,S.Curry,6,4-5,1.0,3-pt,jump,27,misses,Golden State,2022-09-15 09:09:00
4:27.0,S.Curry,6,16-16,1.0,3-pt,jump,24,misses,Golden State,2022-09-15 04:27:00
1:47.0,S.Curry,6,20-25,1.0,3-pt,jump,26,makes,Golden State,2022-09-15 01:47:00
1:13.0,S.Curry,6,23-25,1.0,2-pt,layup,ft,misses,Golden State,2022-09-15 01:13:00
8:23.0,S.Curry,6,37-42,2.0,3-pt,jump,25,makes,Golden State,2022-09-15 08:23:00
