Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:12.0,G.Antetokounmpo,1,2-3,1.0,2-pt,dunk,4,makes,Milwaukee,2022-06-05 11:12:00
7:52.0,G.Antetokounmpo,1,10-10,1.0,2-pt,jump,17,makes,Milwaukee,2022-06-05 07:52:00
7:04.0,G.Antetokounmpo,1,10-10,1.0,2-pt,jump,17,misses,Milwaukee,2022-06-05 07:04:00
5:11.0,G.Antetokounmpo,1,12-16,1.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 05:11:00
3:35.0,G.Antetokounmpo,1,14-19,1.0,2-pt,jump,5,makes,Milwaukee,2022-06-05 03:35:00
1:25.0,G.Antetokounmpo,1,22-24,1.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 01:25:00
0:00.0,G.Antetokounmpo,1,27-24,1.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 00:00:00
0:00.0,G.Antetokounmpo,1,27-24,1.0,2-pt,jump,14,misses,Milwaukee,2022-06-05 00:00:00
7:04.0,G.Antetokounmpo,1,36-32,2.0,3-pt,jump,28,misses,Milwaukee,2022-06-05 07:04:00
6:46.0,G.Antetokounmpo,1,36-32,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 06:46:00
5:53.0,G.Antetokounmpo,1,39-34,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 05:53:00
2:30.0,G.Antetokounmpo,1,50-43,2.0,2-pt,layup,4,makes,Milwaukee,2022-06-05 02:30:00
1:56.0,G.Antetokounmpo,1,51-46,2.0,free,throw,2,makes,Milwaukee,2022-06-05 01:56:00
1:56.0,G.Antetokounmpo,1,52-46,2.0,free,throw,2,makes,Milwaukee,2022-06-05 01:56:00
1:28.0,G.Antetokounmpo,1,54-46,2.0,2-pt,jump,18,makes,Milwaukee,2022-06-05 01:28:00
0:28.0,G.Antetokounmpo,1,55-46,2.0,free,throw,2,makes,Milwaukee,2022-06-05 00:28:00
0:28.0,G.Antetokounmpo,1,56-46,2.0,free,throw,2,makes,Milwaukee,2022-06-05 00:28:00
9:42.0,G.Antetokounmpo,1,58-49,3.0,2-pt,hook,9,misses,Milwaukee,2022-06-05 09:42:00
9:16.0,G.Antetokounmpo,1,58-52,3.0,free,throw,2,misses,Milwaukee,2022-06-05 09:16:00
9:16.0,G.Antetokounmpo,1,59-52,3.0,free,throw,2,makes,Milwaukee,2022-06-05 09:16:00
7:31.0,G.Antetokounmpo,1,64-54,3.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 07:31:00
7:12.0,G.Antetokounmpo,1,64-56,3.0,3-pt,jump,25,misses,Milwaukee,2022-06-05 07:12:00
6:21.0,G.Antetokounmpo,1,66-56,3.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 06:21:00
4:19.0,G.Antetokounmpo,1,68-62,3.0,2-pt,jump,10,misses,Milwaukee,2022-06-05 04:19:00
4:04.0,G.Antetokounmpo,1,70-62,3.0,free,throw,1,misses,Milwaukee,2022-06-05 04:04:00
4:04.0,G.Antetokounmpo,1,70-62,3.0,2-pt,layup,4,makes,Milwaukee,2022-06-05 04:04:00
10:41.0,G.Antetokounmpo,1,80-70,4.0,free,throw,2,misses,Milwaukee,2022-06-05 10:41:00
10:41.0,G.Antetokounmpo,1,80-70,4.0,free,throw,2,misses,Milwaukee,2022-06-05 10:41:00
10:15.0,G.Antetokounmpo,1,80-72,4.0,2-pt,jump,20,misses,Milwaukee,2022-06-05 10:15:00
9:43.0,G.Antetokounmpo,1,82-72,4.0,2-pt,jump,15,makes,Milwaukee,2022-06-05 09:43:00
