"","Time","Boston","","Score","","Milwaukee"
"2","12:00.0","Jump ball: R. Williams vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: R. Williams vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: R. Williams vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: R. Williams vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: R. Williams vs. B. Lopez (G. Antetokounmpo gains possession)"
"3","11:45.0","","","0-0","","J. Holiday misses 2-pt jump shot from 17 ft"
"4","11:42.0","Defensive rebound by M. Smart","","0-0","",""
"5","11:32.0","A. Horford misses 2-pt jump shot from 22 ft","","0-0","",""
"6","11:30.0","","","0-0","","Defensive rebound by J. Holiday"
"7","11:22.0","","","0-0","","G. Antetokounmpo misses 2-pt layup from 6 ft (block by R. Williams)"
"8","11:19.0","Defensive rebound by J. Brown","","0-0","",""
"9","11:11.0","J. Tatum makes 2-pt jump shot from 8 ft (assist by R. Williams)","+2","2-0","",""
"10","10:59.0","","","2-2","+2","B. Lopez makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo)"
"11","10:36.0","R. Williams makes 2-pt dunk at rim (assist by J. Brown)","+2","4-2","",""
"12","10:21.0","","","4-2","","G. Allen misses 3-pt jump shot from 26 ft"
"13","10:21.0","Defensive rebound by Team","","4-2","",""
"14","9:56.0","J. Tatum misses 2-pt jump shot from 13 ft","","4-2","",""
"15","9:53.0","","","4-2","","Defensive rebound by G. Allen"
"16","9:48.0","","","4-2","","Shooting foul by M. Smart (drawn by B. Lopez)"
"17","9:48.0","","","4-3","+1","B. Lopez makes free throw 1 of 2"
"18","9:48.0","","","4-4","+1","B. Lopez makes free throw 2 of 2"
"19","9:28.0","A. Horford misses 2-pt hook shot from 4 ft","","4-4","",""
"20","9:20.0","Offensive rebound by R. Williams","","4-4","",""
"21","9:20.0","R. Williams makes 2-pt layup at rim","+2","6-4","",""
"22","9:17.0","","","6-4","","J. Holiday misses 3-pt jump shot from 28 ft"
"23","9:15.0","Defensive rebound by A. Horford","","6-4","",""
"24","9:11.0","R. Williams misses 2-pt layup from 3 ft","","6-4","",""
"25","9:09.0","","","6-4","","Defensive rebound by B. Lopez"
"26","8:58.0","","","6-6","+2","G. Antetokounmpo makes 2-pt layup from 4 ft (assist by B. Lopez)"
"27","8:48.0","J. Brown misses 3-pt jump shot from 27 ft","","6-6","",""
"28","8:45.0","","","6-6","","Defensive rebound by G. Antetokounmpo"
"29","8:38.0","","","6-6","","G. Antetokounmpo misses 3-pt jump shot from 27 ft"
"30","8:36.0","Defensive rebound by J. Brown","","6-6","",""
"31","8:29.0","J. Brown misses 2-pt jump shot from 13 ft","","6-6","",""
"32","8:26.0","","","6-6","","Defensive rebound by B. Lopez"
"33","8:20.0","","","6-6","","Turnover by J. Holiday (bad pass)"
"34","8:20.0","G. Williams enters the game for R. Williams","","6-6","",""
"35","8:05.0","G. Williams misses 3-pt jump shot from 27 ft","","6-6","",""
"36","8:02.0","","","6-6","","Defensive rebound by G. Allen"
"37","7:59.0","","","6-8","+2","G. Antetokounmpo makes 2-pt jump shot from 10 ft"
"38","7:59.0","","","6-8","","Shooting foul by A. Horford (drawn by G. Antetokounmpo)"
"39","7:59.0","","","6-9","+1","G. Antetokounmpo makes free throw 1 of 1"
"40","7:37.0","A. Horford makes 3-pt jump shot from 23 ft (assist by G. Williams)","+3","9-9","",""
"41","7:22.0","","","9-9","","Personal foul by G. Williams (drawn by B. Lopez)"
"42","7:14.0","","","9-11","+2","J. Holiday makes 2-pt layup from 5 ft"
"43","6:56.0","J. Tatum misses 2-pt jump shot from 20 ft","","9-11","",""
"44","6:56.0","","","9-11","","Defensive rebound by G. Antetokounmpo"
"45","6:46.0","","","9-13","+2","G. Antetokounmpo makes 2-pt jump shot from 18 ft"
"46","6:41.0","","","9-13","","Milwaukee full timeout"
"47","6:41.0","R. Williams enters the game for A. Horford","","9-13","",""
"48","6:41.0","","","9-13","","P. Connaughton enters the game for G. Allen"
"49","6:41.0","","","9-13","","B. Portis enters the game for B. Lopez"
"50","6:41.0","Turnover by M. Smart (back court)","","9-13","",""
"51","6:24.0","","","9-13","","B. Portis misses 3-pt jump shot from 23 ft"
"52","6:21.0","Defensive rebound by J. Brown","","9-13","",""
"53","6:15.0","R. Williams misses 2-pt layup from 5 ft","","9-13","",""
"54","6:11.0","","","9-13","","Defensive rebound by G. Antetokounmpo"
"55","5:58.0","","","9-13","","P. Connaughton misses 3-pt jump shot from 27 ft"
"56","5:56.0","Defensive rebound by J. Brown","","9-13","",""
"57","5:55.0","Turnover by J. Brown (lost ball; steal by J. Holiday)","","9-13","",""
"58","5:54.0","","","9-13","","Turnover by J. Holiday (bad pass; steal by R. Williams)"
"59","5:48.0","R. Williams makes 2-pt dunk from 3 ft","+2","11-13","",""
"60","5:33.0","","","11-13","","G. Antetokounmpo misses 2-pt jump shot from 15 ft"
"61","5:33.0","Defensive rebound by J. Brown","","11-13","",""
