"","Time","Milwaukee","","Score","","Boston"
"2","12:00.0","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. A. Horford (G. Antetokounmpo gains possession)"
"3","11:46.0","G. Allen makes 3-pt jump shot from 27 ft (assist by B. Lopez)","+3","3-0","",""
"4","11:24.0","","","3-2","+2","A. Horford makes 2-pt jump shot from 15 ft (assist by J. Brown)"
"5","11:15.0","J. Holiday makes 3-pt jump shot from 26 ft","+3","6-2","",""
"6","10:54.0","","","6-2","","J. Tatum misses 3-pt jump shot from 25 ft"
"7","10:51.0","Defensive rebound by G. Antetokounmpo","","6-2","",""
"8","10:38.0","J. Holiday misses 3-pt jump shot from 26 ft","","6-2","",""
"9","10:36.0","","","6-2","","Defensive rebound by M. Smart"
"10","10:29.0","","","6-2","","M. Smart misses 2-pt hook shot from 6 ft"
"11","10:27.0","Defensive rebound by G. Antetokounmpo","","6-2","",""
"12","10:16.0","W. Matthews makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo)","+3","9-2","",""
"13","9:57.0","","","9-5","+3","J. Tatum makes 3-pt jump shot from 26 ft"
"14","9:45.0","G. Allen misses 3-pt jump shot from 26 ft","","9-5","",""
"15","9:43.0","","","9-5","","Defensive rebound by J. Tatum"
"16","9:27.0","","","9-5","","J. Brown misses 3-pt jump shot from 25 ft"
"17","9:26.0","Defensive rebound by G. Antetokounmpo","","9-5","",""
"18","9:11.0","Turnover by G. Allen (traveling)","","9-5","",""
"19","9:00.0","","","9-8","+3","J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford)"
"20","8:42.0","G. Antetokounmpo makes 2-pt jump shot from 16 ft (assist by G. Allen)","+2","11-8","",""
"21","8:18.0","","","11-8","","J. Tatum misses 3-pt jump shot from 26 ft"
"22","8:14.0","Defensive rebound by G. Antetokounmpo","","11-8","",""
"23","8:06.0","Turnover by G. Antetokounmpo (lost ball; steal by A. Horford)","","11-8","",""
"24","7:57.0","","","11-8","","J. Tatum misses 3-pt jump shot from 25 ft"
"25","7:54.0","Defensive rebound by G. Antetokounmpo","","11-8","",""
"26","7:42.0","B. Lopez misses 3-pt jump shot from 27 ft","","11-8","",""
"27","7:40.0","","","11-8","","Defensive rebound by A. Horford"
"28","7:32.0","","","11-8","","Personal foul by G. Allen (drawn by G. Williams)"
"29","7:32.0","P. Connaughton enters the game for G. Allen","","11-8","",""
"30","7:32.0","B. Portis enters the game for B. Lopez","","11-8","",""
"31","7:32.0","Violation by Team (kicked ball)","","11-8","",""
"32","7:24.0","","","11-10","+2","J. Brown makes 2-pt dunk from 1 ft (assist by G. Williams)"
"33","7:15.0","G. Antetokounmpo misses 2-pt jump shot from 19 ft","","11-10","",""
"34","7:13.0","","","11-10","","Defensive rebound by J. Brown"
"35","7:08.0","","","11-10","","J. Brown misses 3-pt jump shot from 26 ft"
"36","7:05.0","Defensive rebound by B. Portis","","11-10","",""
"37","6:57.0","Personal foul by J. Tatum (drawn by G. Antetokounmpo)","","11-10","",""
"38","6:57.0","","","11-10","","Boston full timeout"
"39","6:49.0","Shooting foul by J. Brown (drawn by G. Antetokounmpo)","","11-10","",""
"40","6:49.0","G. Antetokounmpo makes free throw 1 of 2","+1","12-10","",""
"41","6:49.0","G. Antetokounmpo makes free throw 2 of 2","+1","13-10","",""
"42","6:35.0","","","13-10","","M. Smart misses 2-pt jump shot from 15 ft"
"43","6:32.0","Defensive rebound by W. Matthews","","13-10","",""
"44","6:24.0","G. Antetokounmpo misses 2-pt jump shot from 13 ft","","13-10","",""
"45","6:21.0","","","13-10","","Defensive rebound by M. Smart"
"46","6:07.0","","","13-12","+2","A. Horford makes 2-pt layup from 3 ft (assist by M. Smart)"
"47","5:50.0","B. Portis misses 2-pt jump shot from 15 ft","","13-12","",""
"48","5:47.0","","","13-12","","Defensive rebound by J. Tatum"
"49","5:41.0","","","13-14","+2","J. Tatum makes 2-pt jump shot from 19 ft"
"50","5:28.0","J. Holiday makes 2-pt jump shot from 21 ft","+2","15-14","",""
"51","5:16.0","","","15-14","","A. Horford misses 3-pt jump shot from 27 ft"
"52","5:14.0","Defensive rebound by B. Portis","","15-14","",""
"53","5:04.0","G. Antetokounmpo misses 3-pt jump shot from 27 ft","","15-14","",""
"54","5:02.0","","","15-14","","Defensive rebound by J. Brown"
"55","4:56.0","","","15-14","","J. Brown misses 3-pt jump shot from 28 ft"
"56","4:53.0","Defensive rebound by W. Matthews","","15-14","",""
"57","4:49.0","Milwaukee full timeout","","15-14","",""
"58","4:49.0","G. Hill enters the game for G. Antetokounmpo","","15-14","",""
"59","4:49.0","B. Lopez enters the game for W. Matthews","","15-14","",""
"60","4:49.0","","","15-14","","D. Theis enters the game for A. Horford"
"61","4:49.0","","","15-14","","D. White enters the game for J. Tatum"
"62","4:44.0","J. Holiday misses 2-pt layup from 3 ft","","15-14","",""
"63","4:42.0","Offensive rebound by B. Portis","","15-14","",""
"64","4:42.0","B. Portis makes 2-pt layup at rim","+2","17-14","",""
"65","4:22.0","","","17-14","","G. Williams misses 3-pt jump shot from 24 ft"
"66","4:19.0","Defensive rebound by G. Hill","","17-14","",""
"67","4:08.0","J. Holiday makes 2-pt jump shot from 7 ft","+2","19-14","",""
"68","3:49.0","","","19-14","","Boston full timeout"
"69","3:44.0","","","19-16","+2","M. Smart makes 2-pt jump shot from 22 ft (assist by D. White)"
"70","3:31.0","J. Holiday misses 2-pt jump shot from 20 ft","","19-16","",""
"71","3:31.0","","","19-16","","Defensive rebound by D. White"
"72","3:31.0","","","19-16","","J. Tatum enters the game for J. Brown"
"73","3:17.0","","","19-18","+2","D. Theis makes 2-pt jump shot from 6 ft (assist by J. Tatum)"
"74","3:02.0","B. Portis misses 2-pt jump shot from 17 ft","","19-18","",""
"75","2:59.0","Offensive rebound by P. Connaughton","","19-18","",""
"76","2:57.0","Turnover by P. Connaughton (lost ball; steal by J. Tatum)","","19-18","",""
"77","2:52.0","","","19-20","+2","M. Smart makes 2-pt layup from 2 ft (assist by J. Tatum)"
"78","2:37.0","P. Connaughton makes 3-pt jump shot from 23 ft (assist by J. Holiday)","+3","22-20","",""
"79","2:21.0","","","22-20","","M. Smart misses 3-pt jump shot from 26 ft"
"80","2:18.0","Defensive rebound by B. Lopez","","22-20","",""
"81","2:10.0","B. Portis makes 2-pt layup from 4 ft","+2","24-20","",""
"82","1:54.0","","","24-22","+2","D. Theis makes 2-pt hook shot from 3 ft (assist by J. Tatum)"
"83","1:41.0","Shooting foul by D. Theis (drawn by J. Holiday)","","24-22","",""
"84","1:41.0","J. Holiday makes free throw 1 of 2","+1","25-22","",""
"85","1:41.0","G. Allen enters the game for G. Hill","","25-22","",""
"86","1:41.0","G. Antetokounmpo enters the game for B. Portis","","25-22","",""
"87","1:41.0","","","25-22","","A. Horford enters the game for G. Williams"
"88","1:41.0","J. Holiday makes free throw 2 of 2","+1","26-22","",""
"89","1:27.0","","","26-24","+2","D. White makes 2-pt layup from 4 ft"
"90","1:27.0","Violation by Team (def goaltending)","","26-24","",""
"91","1:20.0","G. Allen makes 2-pt layup from 2 ft (assist by J. Holiday)","+2","28-24","",""
"92","1:04.0","","","28-26","+2","D. Theis makes 2-pt dunk from 2 ft (assist by D. White)"
"93","0:43.0","Turnover by G. Antetokounmpo (bad pass; steal by M. Smart)","","28-26","",""
"94","0:43.0","G. Hill enters the game for J. Holiday","","28-26","",""
"95","0:23.0","","","28-26","","J. Tatum misses 2-pt jump shot from 18 ft"
"96","0:20.0","Defensive rebound by G. Hill","","28-26","",""
"97","0:00.0","P. Connaughton misses 2-pt jump shot from 13 ft","","28-26","",""
"98","0:00.0","Offensive rebound by Team","","28-26","",""
"99","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"100","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"101","Time","Milwaukee","","Score","","Boston"
"102","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
