"","Time","Milwaukee","","Score","","Boston"
"2","12:00.0","Jump ball: B. Portis vs. R. Williams (J. Tatum gains possession)","Jump ball: B. Portis vs. R. Williams (J. Tatum gains possession)","Jump ball: B. Portis vs. R. Williams (J. Tatum gains possession)","Jump ball: B. Portis vs. R. Williams (J. Tatum gains possession)","Jump ball: B. Portis vs. R. Williams (J. Tatum gains possession)"
"3","11:41.0","","","0-2","+2","R. Williams makes 2-pt dunk from 2 ft (assist by A. Horford)"
"4","11:21.0","G. Hill misses 3-pt jump shot from 27 ft","","0-2","",""
"5","11:17.0","Offensive rebound by J. Holiday","","0-2","",""
"6","11:17.0","J. Holiday misses 3-pt jump shot from 26 ft","","0-2","",""
"7","11:16.0","","","0-2","","Defensive rebound by R. Williams"
"8","11:06.0","","","0-2","","A. Horford misses 2-pt jump shot from 12 ft"
"9","11:03.0","Defensive rebound by G. Hill","","0-2","",""
"10","10:51.0","B. Portis makes 2-pt hook shot from 9 ft (assist by G. Hill)","+2","2-2","",""
"11","10:39.0","","","2-2","","Personal foul by P. Connaughton (drawn by A. Horford)"
"12","10:26.0","","","2-2","","D. Schröder misses 3-pt jump shot from 26 ft"
"13","10:24.0","","","2-2","","Offensive rebound by A. Horford"
"14","10:24.0","","","2-4","+2","A. Horford makes 2-pt layup at rim"
"15","10:02.0","G. Allen makes 3-pt jump shot from 28 ft (assist by J. Holiday)","+3","5-4","",""
"16","9:56.0","","","5-4","","A. Horford misses 2-pt hook shot from 2 ft"
"17","9:54.0","","","5-4","","Offensive rebound by A. Horford"
"18","9:51.0","","","5-7","+3","D. Schröder makes 3-pt jump shot from 25 ft (assist by A. Horford)"
"19","9:39.0","B. Portis makes 2-pt jump shot from 8 ft","+2","7-7","",""
"20","9:29.0","","","7-7","","A. Horford misses 3-pt jump shot from 23 ft"
"21","9:27.0","","","7-7","","Offensive rebound by R. Williams"
"22","9:25.0","","","7-7","","D. Schröder misses 3-pt jump shot from 26 ft"
"23","9:23.0","","","7-7","","Offensive rebound by R. Williams"
"24","9:12.0","","","7-7","","Turnover by A. Horford (lost ball; steal by P. Connaughton)"
"25","9:02.0","J. Holiday misses 3-pt jump shot from 27 ft","","7-7","",""
"26","8:58.0","","","7-7","","Defensive rebound by J. Tatum"
"27","8:51.0","","","7-9","+2","J. Tatum makes 2-pt layup from 5 ft"
"28","8:40.0","G. Allen misses 3-pt jump shot from 24 ft","","7-9","",""
"29","8:38.0","","","7-9","","Defensive rebound by A. Horford"
"30","8:29.0","","","7-11","+2","J. Tatum makes 2-pt jump shot from 17 ft"
"31","8:11.0","Shooting foul by M. Smart (drawn by J. Holiday)","","7-11","",""
"32","8:11.0","J. Holiday makes free throw 1 of 2","+1","8-11","",""
"33","8:11.0","S. Ojeleye enters the game for P. Connaughton","","8-11","",""
"34","8:11.0","J. Holiday makes free throw 2 of 2","+1","9-11","",""
"35","8:00.0","","","9-11","","D. Schröder misses 2-pt jump shot from 16 ft"
"36","7:57.0","Defensive rebound by G. Allen","","9-11","",""
"37","7:53.0","G. Allen misses 3-pt jump shot from 30 ft","","9-11","",""
"38","7:49.0","","","9-11","","Defensive rebound by D. Schröder"
"39","7:37.0","","","9-11","","M. Smart misses 3-pt jump shot from 24 ft"
"40","7:34.0","","","9-11","","Offensive rebound by R. Williams"
"41","7:32.0","","","9-11","","Turnover by R. Williams (back court)"
"42","7:23.0","B. Portis makes 2-pt jump shot from 18 ft (assist by J. Holiday)","+2","11-11","",""
"43","7:07.0","","","11-11","","J. Tatum misses 3-pt jump shot from 27 ft"
"44","7:05.0","Defensive rebound by J. Holiday","","11-11","",""
"45","6:57.0","J. Holiday misses 3-pt jump shot from 25 ft","","11-11","",""
"46","6:53.0","","","11-11","","Defensive rebound by J. Tatum"
"47","6:36.0","","","11-11","","Turnover by A. Horford (lost ball; steal by G. Hill)"
"48","6:31.0","B. Portis makes 2-pt layup from 8 ft","+2","13-11","",""
"49","6:31.0","","","13-11","","Boston full timeout"
"50","6:31.0","P. Connaughton enters the game for G. Allen","","13-11","",""
"51","6:31.0","J. Nwora enters the game for G. Hill","","13-11","",""
"52","6:31.0","","","13-11","","J. Richardson enters the game for A. Horford"
"53","6:17.0","","","13-14","+3","J. Tatum makes 3-pt jump shot from 25 ft"
"54","6:04.0","B. Portis misses 3-pt jump shot from 28 ft","","13-14","",""
"55","6:00.0","","","13-14","","Defensive rebound by J. Tatum"
"56","5:49.0","","","13-16","+2","D. Schröder makes 2-pt layup from 4 ft (assist by R. Williams)"
"57","5:32.0","J. Holiday misses 2-pt layup from 3 ft","","13-16","",""
"58","5:30.0","","","13-16","","Defensive rebound by M. Smart"
"59","5:21.0","","","13-16","","M. Smart misses 2-pt jump shot from 4 ft"
"60","5:18.0","Defensive rebound by B. Portis","","13-16","",""
"61","5:16.0","J. Nwora makes 2-pt layup from 3 ft (assist by J. Holiday)","+2","15-16","",""
"62","4:53.0","","","15-16","","J. Tatum misses 2-pt jump shot from 18 ft"
"63","4:49.0","Defensive rebound by B. Portis","","15-16","",""
"64","4:37.0","B. Portis makes 2-pt jump shot from 16 ft (assist by J. Nwora)","+2","17-16","",""
"65","4:24.0","","","17-19","+3","D. Schröder makes 3-pt jump shot from 24 ft"
"66","4:11.0","J. Holiday misses 2-pt layup from 3 ft","","17-19","",""
"67","4:09.0","","","17-19","","Defensive rebound by D. Schröder"
"68","4:01.0","","","17-21","+2","D. Schröder makes 2-pt layup from 10 ft (assist by J. Tatum)"
"69","3:47.0","P. Connaughton misses 3-pt jump shot from 26 ft","","17-21","",""
"70","3:45.0","","","17-21","","Defensive rebound by J. Tatum"
"71","3:38.0","","","17-21","","D. Schröder misses 3-pt jump shot from 30 ft"
"72","3:35.0","Defensive rebound by J. Nwora","","17-21","",""
"73","3:31.0","Milwaukee full timeout","","17-21","",""
"74","3:31.0","T. Antetokounmpo enters the game for J. Holiday","","17-21","",""
"75","3:31.0","G. Hill enters the game for B. Portis","","17-21","",""
"76","3:31.0","","","17-21","","R. Langford enters the game for M. Smart"
"77","3:20.0","J. Nwora misses 3-pt jump shot from 27 ft (block by R. Williams)","","17-21","",""
"78","3:16.0","Offensive rebound by T. Antetokounmpo","","17-21","",""
"79","3:14.0","T. Antetokounmpo makes 2-pt layup from 1 ft","+2","19-21","",""
"80","3:04.0","","","19-21","","Turnover by R. Williams (bad pass; steal by P. Connaughton)"
"81","2:56.0","J. Nwora misses 2-pt jump shot from 19 ft","","19-21","",""
"82","2:56.0","","","19-21","","Defensive rebound by J. Tatum"
"83","2:53.0","","","19-21","","Violation by Team (kicked ball)"
"84","2:53.0","G. Allen enters the game for P. Connaughton","","19-21","",""
"85","2:53.0","","","19-21","","A. Horford enters the game for R. Williams"
"86","2:42.0","G. Allen misses 2-pt layup from 2 ft (block by A. Horford)","","19-21","",""
"87","2:35.0","","","19-21","","Defensive rebound by A. Horford"
"88","2:30.0","","","19-21","","J. Tatum misses 3-pt jump shot from 28 ft"
"89","2:27.0","Defensive rebound by S. Ojeleye","","19-21","",""
"90","2:20.0","T. Antetokounmpo makes 2-pt layup from 2 ft (assist by J. Nwora)","+2","21-21","",""
"91","2:05.0","","","21-23","+2","D. Schröder makes 2-pt jump shot from 15 ft"
"92","1:48.0","T. Antetokounmpo makes 2-pt layup from 4 ft (assist by G. Hill)","+2","23-23","",""
"93","1:30.0","","","23-26","+3","A. Horford makes 3-pt jump shot from 25 ft (assist by J. Richardson)"
"94","1:22.0","G. Allen misses 3-pt jump shot from 27 ft","","23-26","",""
"95","1:21.0","","","23-26","","Defensive rebound by Team"
"96","1:21.0","R. Hood enters the game for S. Ojeleye","","23-26","",""
"97","1:21.0","","","23-26","","G. Williams enters the game for J. Tatum"
"98","1:09.0","","","23-28","+2","D. Schröder makes 2-pt layup from 2 ft"
"99","0:54.0","G. Hill makes 2-pt layup from 4 ft","+2","25-28","",""
"100","0:40.0","","","25-30","+2","G. Williams makes 2-pt layup from 8 ft (assist by A. Horford)"
"101","0:32.0","G. Hill makes 2-pt jump shot from 22 ft","+2","27-30","",""
"102","0:12.0","","","27-30","","D. Schröder misses 2-pt layup from 4 ft"
"103","0:10.0","Defensive rebound by G. Hill","","27-30","",""
"104","0:04.0","Shooting foul by J. Richardson (drawn by G. Allen)","","27-30","",""
"105","0:04.0","G. Allen makes free throw 1 of 3","+1","28-30","",""
"106","0:04.0","G. Allen makes free throw 2 of 3","+1","29-30","",""
"107","0:04.0","S. Ojeleye enters the game for J. Nwora","","29-30","",""
"108","0:04.0","G. Allen makes free throw 3 of 3","+1","30-30","",""
"109","0:01.0","","","30-30","","D. Schröder misses 3-pt jump shot from 27 ft"
"110","0:01.0","","","30-30","","Offensive rebound by Team"
