"","Time","Boston","","Score","","Milwaukee"
"2","12:00.0","Jump ball: R. Williams vs. D. Cousins (M. Smart gains possession)","Jump ball: R. Williams vs. D. Cousins (M. Smart gains possession)","Jump ball: R. Williams vs. D. Cousins (M. Smart gains possession)","Jump ball: R. Williams vs. D. Cousins (M. Smart gains possession)","Jump ball: R. Williams vs. D. Cousins (M. Smart gains possession)"
"3","11:44.0","R. Langford makes 3-pt jump shot from 23 ft (assist by J. Brown)","+3","3-0","",""
"4","11:27.0","","","3-0","","Personal foul by R. Langford (drawn by G. Antetokounmpo)"
"5","11:21.0","","","3-3","+3","K. Middleton makes 3-pt jump shot from 27 ft (assist by J. Holiday)"
"6","11:07.0","R. Langford makes 2-pt dunk from 1 ft (assist by R. Williams)","+2","5-3","",""
"7","10:56.0","","","5-3","","D. Cousins misses 3-pt jump shot from 23 ft"
"8","10:54.0","Defensive rebound by J. Tatum","","5-3","",""
"9","10:45.0","Turnover by J. Tatum (bad pass)","","5-3","",""
"10","10:34.0","","","5-3","","Personal foul by J. Brown (drawn by G. Antetokounmpo)"
"11","10:18.0","","","5-3","","G. Antetokounmpo misses 2-pt jump shot from 16 ft"
"12","10:16.0","Defensive rebound by J. Tatum","","5-3","",""
"13","10:11.0","J. Tatum misses 3-pt jump shot from 29 ft","","5-3","",""
"14","10:08.0","Offensive rebound by R. Williams","","5-3","",""
"15","10:05.0","R. Williams makes 2-pt dunk from 2 ft (assist by M. Smart)","+2","7-3","",""
"16","9:54.0","","","7-3","","G. Antetokounmpo misses 2-pt layup from 3 ft (block by J. Tatum)"
"17","9:53.0","","","7-3","","Offensive rebound by G. Antetokounmpo"
"18","9:52.0","","","7-5","+2","G. Antetokounmpo makes 2-pt dunk at rim"
"19","9:39.0","J. Brown makes 2-pt layup from 3 ft (assist by M. Smart)","+2","9-5","",""
"20","9:39.0","Shooting foul by D. Cousins (drawn by J. Brown)","","9-5","",""
"21","9:39.0","J. Brown makes free throw 1 of 1","+1","10-5","",""
"22","9:19.0","","","10-5","","Turnover by K. Middleton (bad pass; steal by R. Langford)"
"23","9:16.0","J. Brown makes 2-pt layup from 2 ft (assist by M. Smart)","+2","12-5","",""
"24","9:16.0","","","12-5","","Milwaukee full timeout"
"25","8:57.0","","","12-5","","G. Antetokounmpo misses 2-pt jump shot from 10 ft"
"26","8:55.0","Defensive rebound by M. Smart","","12-5","",""
"27","8:44.0","Personal foul by G. Antetokounmpo (drawn by R. Williams)","","12-5","",""
"28","8:29.0","J. Brown makes 3-pt jump shot from 27 ft","+3","15-5","",""
"29","8:17.0","","","15-5","","Turnover by K. Middleton (bad pass; steal by J. Tatum)"
"30","8:11.0","J. Brown makes 2-pt jump shot from 16 ft (assist by J. Tatum)","+2","17-5","",""
"31","7:52.0","","","17-5","","Turnover by D. Cousins (bad pass; steal by R. Langford)"
"32","7:45.0","Turnover by M. Smart (bad pass; steal by K. Middleton)","","17-5","",""
"33","7:40.0","","","17-7","+2","D. Cousins makes 2-pt layup from 2 ft (assist by K. Middleton)"
"34","7:40.0","","","17-7","","Shooting foul by R. Langford (drawn by D. Cousins)"
"35","7:40.0","J. Hernangómez enters the game for R. Langford","","17-7","",""
"36","7:40.0","","","17-7","","D. DiVincenzo enters the game for G. Antetokounmpo"
"37","7:40.0","","","17-7","","D. Cousins misses free throw 1 of 1"
"38","7:35.0","Defensive rebound by J. Brown","","17-7","",""
"39","7:18.0","J. Brown makes 2-pt jump shot from 19 ft","+2","19-7","",""
"40","6:59.0","","","19-7","","K. Middleton misses 3-pt jump shot from 26 ft"
"41","6:57.0","","","19-7","","Offensive rebound by D. Cousins"
"42","6:56.0","","","19-9","+2","D. Cousins makes 2-pt dunk from 1 ft"
"43","6:39.0","J. Tatum misses 2-pt jump shot from 15 ft","","19-9","",""
"44","6:37.0","","","19-9","","Defensive rebound by D. DiVincenzo"
"45","6:29.0","","","19-9","","D. Cousins misses 2-pt layup from 3 ft"
"46","6:27.0","Defensive rebound by R. Williams","","19-9","",""
"47","6:20.0","J. Tatum misses 3-pt jump shot from 27 ft","","19-9","",""
"48","6:16.0","","","19-9","","Defensive rebound by D. Cousins"
"49","6:10.0","","","19-11","+2","J. Holiday makes 2-pt layup from 1 ft"
"50","6:10.0","P. Pritchard enters the game for J. Tatum","","19-11","",""
"51","6:10.0","","","19-11","","P. Connaughton enters the game for G. Allen"
"52","6:10.0","","","19-11","","B. Portis enters the game for D. Cousins"
"53","5:46.0","J. Hernangómez misses 2-pt layup from 11 ft (block by K. Middleton)","","19-11","",""
"54","5:42.0","Offensive rebound by R. Williams","","19-11","",""
"55","5:40.0","R. Williams makes 2-pt jump shot from 8 ft","+2","21-11","",""
"56","5:28.0","","","21-13","+2","K. Middleton makes 2-pt jump shot from 11 ft (assist by P. Connaughton)"
"57","5:13.0","P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Brown)","+3","24-13","",""
"58","5:01.0","","","24-13","","D. DiVincenzo misses 2-pt layup from 2 ft"
"59","4:59.0","Defensive rebound by R. Williams","","24-13","",""
