"","Time","Boston","","Score","","Miami"
"2","12:00.0","Jump ball: R. Williams vs. B. Adebayo (K. Lowry gains possession)","Jump ball: R. Williams vs. B. Adebayo (K. Lowry gains possession)","Jump ball: R. Williams vs. B. Adebayo (K. Lowry gains possession)","Jump ball: R. Williams vs. B. Adebayo (K. Lowry gains possession)","Jump ball: R. Williams vs. B. Adebayo (K. Lowry gains possession)"
"3","11:40.0","","","0-0","","K. Lowry misses 3-pt jump shot from 25 ft"
"4","11:35.0","Defensive rebound by R. Williams","","0-0","",""
"5","11:19.0","J. Brown misses 2-pt jump shot from 13 ft","","0-0","",""
"6","11:13.0","","","0-0","","Defensive rebound by P. Tucker"
"7","11:08.0","","","0-0","","P. Tucker misses 2-pt hook shot from 4 ft"
"8","11:06.0","Defensive rebound by J. Brown","","0-0","",""
"9","10:57.0","M. Smart misses 3-pt jump shot from 25 ft","","0-0","",""
"10","10:53.0","","","0-0","","Defensive rebound by K. Lowry"
"11","10:53.0","","","0-0","","Personal foul by A. Horford (drawn by J. Butler)"
"12","10:45.0","","","0-0","","P. Tucker misses 3-pt jump shot from 23 ft"
"13","10:42.0","Defensive rebound by A. Horford","","0-0","",""
"14","10:26.0","Turnover by M. Smart (bad pass; steal by K. Lowry)","","0-0","",""
"15","10:06.0","","","0-0","","J. Butler misses 2-pt jump shot from 16 ft"
"16","10:03.0","Defensive rebound by J. Tatum","","0-0","",""
"17","9:51.0","M. Smart misses 3-pt jump shot from 24 ft","","0-0","",""
"18","9:48.0","","","0-0","","Defensive rebound by K. Lowry"
"19","9:37.0","","","0-0","","B. Adebayo misses 2-pt jump shot from 11 ft"
"20","9:34.0","","","0-0","","Offensive rebound by P. Tucker"
"21","9:33.0","","","0-0","","D. Robinson misses 3-pt jump shot from 26 ft"
"22","9:28.0","Defensive rebound by A. Horford","","0-0","",""
"23","9:10.0","J. Tatum misses 3-pt jump shot from 25 ft","","0-0","",""
"24","9:07.0","","","0-0","","Defensive rebound by D. Robinson"
