"","Time","Miami","","Score","","Boston"
"2","12:00.0","Jump ball: B. Adebayo vs. R. Williams (A. Horford gains possession)","Jump ball: B. Adebayo vs. R. Williams (A. Horford gains possession)","Jump ball: B. Adebayo vs. R. Williams (A. Horford gains possession)","Jump ball: B. Adebayo vs. R. Williams (A. Horford gains possession)","Jump ball: B. Adebayo vs. R. Williams (A. Horford gains possession)"
"3","11:39.0","","","0-0","","Shooting foul by D. Robinson (drawn by R. Williams)"
"4","11:39.0","","","0-0","","R. Williams misses free throw 1 of 2"
"5","11:39.0","","","0-0","","Offensive rebound by Team"
"6","11:39.0","","","0-0","","R. Williams misses free throw 2 of 2"
"7","11:35.0","","","0-0","","Offensive rebound by R. Williams"
"8","11:31.0","","","0-0","","J. Tatum misses 2-pt layup from 5 ft (block by B. Adebayo)"
"9","11:29.0","Defensive rebound by M. Strus","","0-0","",""
"10","11:24.0","M. Strus misses 3-pt jump shot from 24 ft","","0-0","",""
"11","11:23.0","","","0-0","","Defensive rebound by M. Smart"
"12","11:01.0","","","0-0","","Turnover by M. Smart (bad pass; steal by D. Robinson)"
"13","10:55.0","Turnover by B. Adebayo (bad pass)","","0-0","",""
"14","10:42.0","","","0-2","+2","R. Williams makes 2-pt dunk from 1 ft (assist by M. Smart)"
"15","10:23.0","M. Strus misses 2-pt layup from 3 ft (block by A. Horford)","","0-2","",""
"16","10:22.0","","","0-2","","Defensive rebound by J. Brown"
"17","10:15.0","","","0-2","","Turnover by A. Horford (bad pass; steal by B. Adebayo)"
"18","9:57.0","B. Adebayo misses 2-pt jump shot from 17 ft","","0-2","",""
"19","9:55.0","","","0-2","","Defensive rebound by R. Williams"
"20","9:36.0","","","0-5","+3","J. Tatum makes 3-pt jump shot from 28 ft"
"21","9:24.0","D. Robinson misses 3-pt jump shot from 25 ft","","0-5","",""
"22","9:21.0","","","0-5","","Defensive rebound by J. Tatum"
"23","9:15.0","","","0-5","","Personal foul by B. Adebayo (drawn by J. Brown)"
"24","9:07.0","","","0-7","+2","J. Tatum makes 2-pt jump shot from 14 ft"
"25","8:51.0","C. Martin makes 2-pt layup from 3 ft (assist by B. Adebayo)","+2","2-7","",""
"26","8:36.0","","","2-9","+2","J. Brown makes 2-pt jump shot from 16 ft"
"27","8:22.0","B. Adebayo misses 2-pt layup from 4 ft","","2-9","",""
"28","8:19.0","","","2-9","","Defensive rebound by R. Williams"
"29","8:07.0","","","2-12","+3","M. Smart makes 3-pt jump shot from 22 ft (assist by J. Tatum)"
"30","7:48.0","M. Strus makes 3-pt jump shot from 24 ft (assist by C. Martin)","+3","5-12","",""
"31","7:36.0","","","5-12","","Shooting foul by D. Robinson (drawn by A. Horford)"
"32","7:36.0","","","5-12","","A. Horford misses free throw 1 of 2"
"33","7:36.0","","","5-12","","Offensive rebound by Team"
"34","7:36.0","T. Herro enters the game for D. Robinson","","5-12","",""
"35","7:36.0","","","5-13","+1","A. Horford makes free throw 2 of 2"
