"","Time","Dallas","","Score","","Phoenix"
"2","12:00.0","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)"
"3","11:37.0","","","0-2","+2","M. Bridges makes 2-pt jump shot from 7 ft (assist by D. Booker)"
"4","11:16.0","Turnover by L. Doncic (bad pass)","","0-2","",""
"5","11:05.0","","","0-5","+3","M. Bridges makes 3-pt jump shot from 24 ft (assist by C. Paul)"
"6","10:50.0","D. Powell misses 2-pt layup from 2 ft","","0-5","",""
"7","10:48.0","","","0-5","","Defensive rebound by D. Ayton"
"8","10:33.0","","","0-7","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by M. Bridges)"
"9","10:09.0","Turnover by Team (shot clock)","","0-7","",""
"10","9:58.0","","","0-7","","D. Booker misses 2-pt jump shot from 5 ft"
"11","9:57.0","Defensive rebound by L. Doncic","","0-7","",""
"12","9:52.0","L. Doncic misses 3-pt jump shot from 27 ft","","0-7","",""
"13","9:49.0","","","0-7","","Defensive rebound by J. Crowder"
"14","9:39.0","","","0-9","+2","D. Ayton makes 2-pt jump shot from 14 ft (assist by D. Booker)"
"15","9:31.0","J. Brunson misses 2-pt jump shot from 16 ft","","0-9","",""
"16","9:27.0","","","0-9","","Defensive rebound by C. Paul"
"17","9:21.0","","","0-9","","Offensive foul by D. Ayton (drawn by J. Brunson)"
"18","9:21.0","","","0-9","","Turnover by D. Ayton (offensive foul)"
"19","9:02.0","L. Doncic makes 2-pt jump shot from 9 ft","+2","2-9","",""
"20","8:51.0","","","2-9","","C. Paul misses 2-pt jump shot from 7 ft"
"21","8:51.0","","","2-9","","Offensive rebound by Team"
"22","8:47.0","","","2-11","+2","D. Booker makes 2-pt jump shot from 14 ft"
"23","8:47.0","","","2-11","","Shooting foul by J. Brunson (drawn by D. Booker)"
"24","8:47.0","","","2-12","+1","D. Booker makes free throw 1 of 1"
"25","8:28.0","R. Bullock makes 3-pt jump shot from 24 ft (assist by L. Doncic)","+3","5-12","",""
"26","8:07.0","","","5-14","+2","D. Booker makes 2-pt jump shot from 8 ft"
"27","7:51.0","R. Bullock makes 2-pt jump shot from 18 ft (assist by J. Brunson)","+2","7-14","",""
"28","7:30.0","","","7-14","","D. Ayton misses 2-pt hook shot from 10 ft"
"29","7:28.0","Defensive rebound by L. Doncic","","7-14","",""
"30","7:18.0","D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Doncic)","+2","9-14","",""
"31","7:03.0","","","9-14","","Turnover by D. Booker (bad pass; steal by J. Brunson)"
"32","6:56.0","R. Bullock misses 3-pt jump shot from 23 ft","","9-14","",""
"33","6:53.0","","","9-14","","Defensive rebound by D. Booker"
"34","6:53.0","","","9-14","","Phoenix full timeout"
"35","6:53.0","M. Kleber enters the game for D. Powell","","9-14","",""
"36","6:36.0","","","9-17","+3","J. Crowder makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"37","6:12.0","J. Brunson misses 2-pt jump shot from 14 ft","","9-17","",""
"38","6:10.0","","","9-17","","Defensive rebound by J. Crowder"
"39","6:07.0","","","9-17","","Personal foul by J. Brunson (drawn by D. Ayton)"
"40","6:03.0","","","9-19","+2","M. Bridges makes 2-pt jump shot from 5 ft (assist by J. Crowder)"
"41","5:49.0","M. Kleber makes 2-pt layup from 2 ft (assist by L. Doncic)","+2","11-19","",""
"42","5:41.0","","","11-19","","Personal foul by D. Finney-Smith (drawn by D. Booker)"
"43","5:41.0","S. Dinwiddie enters the game for J. Brunson","","11-19","",""
"44","5:31.0","","","11-21","+2","D. Ayton makes 2-pt hook shot from 8 ft"
"45","5:22.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","14-21","",""
"46","5:04.0","","","14-21","","J. Crowder misses 2-pt layup from 2 ft"
"47","5:02.0","Defensive rebound by D. Finney-Smith","","14-21","",""
"48","4:54.0","L. Doncic makes 2-pt layup from 4 ft","+2","16-21","",""
"49","4:50.0","","","16-21","","Personal foul by R. Bullock (drawn by C. Paul)"
"50","4:40.0","","","16-21","","Shooting foul by D. Finney-Smith (drawn by J. Crowder)"
"51","4:40.0","","","16-22","+1","J. Crowder makes free throw 1 of 3"
"52","4:40.0","","","16-22","","J. Crowder misses free throw 2 of 3"
"53","4:40.0","","","16-22","","Offensive rebound by Team"
"54","4:40.0","","","16-23","+1","J. Crowder makes free throw 3 of 3"
"55","4:25.0","L. Doncic misses 3-pt jump shot from 25 ft","","16-23","",""
"56","4:21.0","","","16-23","","Defensive rebound by D. Booker"
"57","4:15.0","","","16-23","","Shooting foul by M. Kleber (drawn by D. Ayton)"
"58","4:15.0","","","16-24","+1","D. Ayton makes free throw 1 of 2"
"59","4:15.0","","","16-24","","C. Johnson enters the game for J. Crowder"
"60","4:15.0","","","16-24","","C. Payne enters the game for C. Paul"
"61","4:15.0","","","16-24","","D. Ayton misses free throw 2 of 2"
"62","4:13.0","Defensive rebound by M. Kleber","","16-24","",""
"63","3:55.0","L. Doncic makes 2-pt jump shot from 10 ft","+2","18-24","",""
"64","3:34.0","","","18-26","+2","D. Booker makes 2-pt jump shot from 21 ft"
"65","3:18.0","L. Doncic makes 2-pt layup from 6 ft","+2","20-26","",""
"66","3:18.0","Shooting foul by C. Johnson (drawn by L. Doncic)","","20-26","",""
"67","3:18.0","L. Doncic makes free throw 1 of 1","+1","21-26","",""
"68","2:57.0","","","21-26","","D. Ayton misses 2-pt jump shot from 13 ft"
"69","2:56.0","Defensive rebound by L. Doncic","","21-26","",""
"70","2:42.0","L. Doncic misses 3-pt jump shot from 26 ft","","21-26","",""
"71","2:33.0","","","21-26","","Defensive rebound by C. Payne"
"72","2:27.0","","","21-26","","C. Johnson misses 3-pt jump shot from 24 ft"
"73","2:27.0","","","21-26","","Offensive rebound by D. Ayton"
"74","2:27.0","","","21-26","","Shooting foul by D. Finney-Smith (drawn by D. Ayton)"
"75","2:27.0","Dallas full timeout","","21-26","",""
"76","2:27.0","D. Bertans enters the game for D. Finney-Smith","","21-26","",""
"77","2:27.0","","","21-27","+1","D. Ayton makes free throw 1 of 2"
"78","2:27.0","","","21-28","+1","D. Ayton makes free throw 2 of 2"
"79","2:12.0","Personal foul by C. Johnson (drawn by L. Doncic)","","21-28","",""
"80","2:12.0","","","21-28","","J. McGee enters the game for D. Ayton"
"81","2:05.0","M. Kleber misses 3-pt jump shot from 26 ft","","21-28","",""
"82","2:02.0","","","21-28","","Defensive rebound by Team"
"83","2:01.0","Loose ball foul by D. Bertans (drawn by C. Johnson)","","21-28","",""
"84","2:01.0","","","21-29","+1","C. Johnson makes free throw 1 of 2"
"85","2:01.0","","","21-30","+1","C. Johnson makes free throw 2 of 2"
"86","1:40.0","L. Doncic misses 2-pt jump shot from 6 ft","","21-30","",""
"87","1:39.0","Offensive rebound by Team","","21-30","",""
"88","1:39.0","","","21-30","","L. Shamet enters the game for D. Booker"
"89","1:28.0","S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","24-30","",""
"90","1:14.0","","","24-30","","Offensive foul by J. McGee (drawn by L. Doncic)"
"91","1:14.0","","","24-30","","Turnover by J. McGee (offensive foul)"
"92","1:14.0","J. Green enters the game for R. Bullock","","24-30","",""
"93","1:00.0","Turnover by L. Doncic (bad pass)","","24-30","",""
"94","0:40.0","","","24-30","","Turnover by C. Johnson (lost ball; steal by M. Kleber)"
"95","0:37.0","M. Kleber makes 2-pt dunk from 1 ft (assist by D. Bertans)","+2","26-30","",""
