"","Time","Phoenix","","Score","","Dallas"
"2","12:00.0","Jump ball: D. Ayton vs. D. Powell (C. Paul gains possession)","Jump ball: D. Ayton vs. D. Powell (C. Paul gains possession)","Jump ball: D. Ayton vs. D. Powell (C. Paul gains possession)","Jump ball: D. Ayton vs. D. Powell (C. Paul gains possession)","Jump ball: D. Ayton vs. D. Powell (C. Paul gains possession)"
"3","11:49.0","D. Booker makes 3-pt jump shot from 24 ft (assist by C. Paul)","+3","3-0","",""
"4","11:34.0","","","3-0","","Personal foul by C. Paul (drawn by D. Finney-Smith)"
"5","11:26.0","","","3-3","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"6","11:06.0","D. Ayton misses 2-pt layup from 1 ft","","3-3","",""
"7","11:03.0","","","3-3","","Defensive rebound by J. Brunson"
"8","10:54.0","","","3-3","","R. Bullock misses 3-pt jump shot from 27 ft"
"9","10:52.0","Defensive rebound by D. Booker","","3-3","",""
"10","10:42.0","D. Booker makes 2-pt jump shot from 16 ft","+2","5-3","",""
"11","10:30.0","","","5-5","+2","L. Doncic makes 2-pt jump shot from 14 ft"
"12","10:09.0","M. Bridges misses 2-pt layup from 3 ft","","5-5","",""
"13","10:06.0","","","5-5","","Defensive rebound by D. Powell"
"14","10:01.0","","","5-5","","Turnover by L. Doncic (out of bounds lost ball)"
"15","9:43.0","D. Ayton makes 2-pt layup at rim (assist by M. Bridges)","+2","7-5","",""
"16","9:30.0","","","7-7","+2","J. Brunson makes 2-pt jump shot from 11 ft"
"17","9:30.0","","","7-7","","Technical foul by L. Doncic"
"18","9:30.0","D. Booker makes technical free throw","+1","8-7","",""
"19","9:19.0","Personal foul by L. Doncic (drawn by J. Crowder)","","8-7","",""
"20","9:13.0","Offensive foul by D. Booker (drawn by L. Doncic)","","8-7","",""
"21","9:13.0","Turnover by D. Booker (offensive foul)","","8-7","",""
"22","9:02.0","","","8-10","+3","L. Doncic makes 3-pt jump shot from 25 ft"
"23","8:44.0","J. Crowder misses 2-pt jump shot from 23 ft","","8-10","",""
"24","8:43.0","","","8-10","","Defensive rebound by D. Finney-Smith"
"25","8:36.0","","","8-10","","L. Doncic misses 3-pt jump shot from 25 ft"
"26","8:34.0","","","8-10","","Offensive rebound by D. Finney-Smith"
"27","8:29.0","","","8-13","+3","D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by R. Bullock)"
"28","8:28.0","Phoenix full timeout","","8-13","",""
"29","8:13.0","J. Crowder misses 3-pt jump shot from 23 ft","","8-13","",""
"30","8:08.0","","","8-13","","Defensive rebound by D. Finney-Smith"
"31","7:56.0","","","8-15","+2","L. Doncic makes 2-pt jump shot from 10 ft"
"32","7:39.0","Shooting foul by D. Powell (drawn by D. Booker)","","8-15","",""
"33","7:39.0","Technical foul by D. Booker","","8-15","",""
"34","7:39.0","","","8-16","+1","R. Bullock makes technical free throw"
"35","7:39.0","D. Booker makes free throw 1 of 2","+1","9-16","",""
"36","7:39.0","D. Booker makes free throw 2 of 2","+1","10-16","",""
"37","7:22.0","","","10-16","","D. Finney-Smith misses 3-pt jump shot from 24 ft"
"38","7:19.0","Defensive rebound by C. Paul","","10-16","",""
"39","7:16.0","Shooting foul by D. Finney-Smith (drawn by D. Booker)","","10-16","",""
"40","7:16.0","D. Booker misses free throw 1 of 2","","10-16","",""
"41","7:16.0","Offensive rebound by Team","","10-16","",""
"42","7:16.0","","","10-16","","M. Kleber enters the game for D. Powell"
"43","7:16.0","D. Booker makes free throw 2 of 2","+1","11-16","",""
"44","6:57.0","","","11-19","+3","M. Kleber makes 3-pt jump shot from 23 ft (assist by J. Brunson)"
"45","6:44.0","D. Booker misses 2-pt jump shot from 14 ft","","11-19","",""
"46","6:40.0","","","11-19","","Defensive rebound by L. Doncic"
"47","6:29.0","","","11-19","","Turnover by M. Kleber (3 sec)"
"48","6:18.0","D. Ayton makes 2-pt dunk from 1 ft (assist by C. Paul)","+2","13-19","",""
"49","6:04.0","","","13-19","","Personal foul by M. Bridges (drawn by L. Doncic)"
"50","5:54.0","","","13-19","","Turnover by L. Doncic (lost ball; steal by M. Bridges)"
"51","5:44.0","Offensive foul by C. Paul (drawn by L. Doncic)","","13-19","",""
"52","5:44.0","Turnover by C. Paul (offensive foul)","","13-19","",""
"53","5:29.0","","","13-21","+2","J. Brunson makes 2-pt jump shot from 16 ft"
"54","5:17.0","Turnover by J. Crowder (bad pass)","","13-21","",""
"55","5:12.0","","","13-24","+3","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Doncic)"
"56","5:11.0","Phoenix full timeout","","13-24","",""
"57","5:11.0","C. Johnson enters the game for J. Crowder","","13-24","",""
"58","4:58.0","D. Ayton misses 2-pt jump shot from 9 ft","","13-24","",""
"59","4:57.0","Offensive rebound by Team","","13-24","",""
"60","4:57.0","Turnover by D. Ayton (off goaltending)","","13-24","",""
"61","4:37.0","","","13-24","","Offensive foul by L. Doncic (drawn by C. Paul)"
"62","4:37.0","","","13-24","","Turnover by L. Doncic (offensive foul)"
"63","4:27.0","M. Bridges makes 2-pt layup from 1 ft (assist by D. Ayton)","+2","15-24","",""
"64","4:04.0","","","15-26","+2","L. Doncic makes 2-pt layup from 1 ft"
"65","3:50.0","Turnover by D. Ayton (3 sec)","","15-26","",""
"66","3:50.0","C. Payne enters the game for C. Paul","","15-26","",""
"67","3:50.0","","","15-26","","S. Dinwiddie enters the game for J. Brunson"
"68","3:41.0","","","15-26","","M. Kleber misses 3-pt jump shot from 25 ft"
"69","3:37.0","Defensive rebound by C. Payne","","15-26","",""
"70","3:33.0","C. Johnson makes 3-pt jump shot from 25 ft (assist by C. Payne)","+3","18-26","",""
"71","3:21.0","","","18-26","","S. Dinwiddie misses 2-pt jump shot from 6 ft"
"72","3:20.0","","","18-26","","Offensive rebound by D. Finney-Smith"
"73","3:06.0","","","18-29","+3","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"74","2:42.0","D. Booker misses 2-pt jump shot from 11 ft","","18-29","",""
"75","2:40.0","","","18-29","","Defensive rebound by L. Doncic"
"76","2:32.0","","","18-29","","Shooting foul by D. Ayton (drawn by S. Dinwiddie)"
"77","2:32.0","","","18-30","+1","S. Dinwiddie makes free throw 1 of 2"
"78","2:32.0","J. McGee enters the game for D. Ayton","","18-30","",""
"79","2:32.0","","","18-30","","D. Bertans enters the game for R. Bullock"
"80","2:32.0","","","18-31","+1","S. Dinwiddie makes free throw 2 of 2"
"81","2:19.0","J. McGee makes 2-pt layup from 1 ft (assist by D. Booker)","+2","20-31","",""
"82","2:19.0","Shooting foul by D. Finney-Smith (drawn by J. McGee)","","20-31","",""
"83","2:19.0","","","20-31","","F. Ntilikina enters the game for D. Finney-Smith"
"84","2:19.0","J. McGee makes free throw 1 of 1","+1","21-31","",""
"85","2:02.0","","","21-31","","L. Doncic misses 2-pt jump shot from 13 ft"
"86","1:59.0","Defensive rebound by J. McGee","","21-31","",""
"87","1:44.0","D. Booker misses 3-pt jump shot from 22 ft","","21-31","",""
"88","1:43.0","","","21-31","","Defensive rebound by Team"
"89","1:43.0","Loose ball foul by J. McGee (drawn by L. Doncic)","","21-31","",""
"90","1:26.0","","","21-34","+3","D. Bertans makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie)"
"91","1:11.0","C. Johnson misses 2-pt jump shot from 15 ft","","21-34","",""
