"","Time","Dallas","","Score","","Phoenix"
"2","12:00.0","Jump ball: K. Porzingis vs. D. Ayton (J. Brunson gains possession)","Jump ball: K. Porzingis vs. D. Ayton (J. Brunson gains possession)","Jump ball: K. Porzingis vs. D. Ayton (J. Brunson gains possession)","Jump ball: K. Porzingis vs. D. Ayton (J. Brunson gains possession)","Jump ball: K. Porzingis vs. D. Ayton (J. Brunson gains possession)"
"3","12:00.0","Violation by Team (jump ball)","","0-0","",""
"4","11:45.0","","","0-0","","D. Ayton misses 2-pt jump shot from 13 ft"
"5","11:42.0","Defensive rebound by K. Porzingis","","0-0","",""
"6","11:32.0","J. Brunson makes 2-pt layup from 3 ft","+2","2-0","",""
"7","11:20.0","","","2-3","+3","M. Bridges makes 3-pt jump shot from 24 ft (assist by D. Booker)"
"8","11:00.0","T. Hardaway makes 2-pt jump shot from 20 ft (assist by D. Powell)","+2","4-3","",""
"9","10:45.0","","","4-3","","D. Booker misses 3-pt jump shot from 23 ft"
"10","10:42.0","Defensive rebound by J. Brunson","","4-3","",""
"11","10:29.0","K. Porzingis makes 2-pt dunk from 1 ft (assist by J. Brunson)","+2","6-3","",""
"12","10:02.0","","","6-5","+2","M. Bridges makes 2-pt jump shot from 10 ft (assist by C. Paul)"
"13","9:38.0","K. Porzingis misses 2-pt jump shot from 12 ft","","6-5","",""
"14","9:36.0","","","6-5","","Defensive rebound by M. Bridges"
"15","9:20.0","","","6-5","","Turnover by M. Bridges (bad pass; steal by J. Brunson)"
"16","9:15.0","J. Brunson makes 2-pt layup from 2 ft","+2","8-5","",""
"17","9:06.0","","","8-5","","Personal foul by T. Hardaway (drawn by C. Paul)"
"18","9:02.0","","","8-5","","D. Booker misses 3-pt jump shot from 26 ft"
"19","8:58.0","Defensive rebound by K. Porzingis","","8-5","",""
"20","8:48.0","K. Porzingis makes 3-pt jump shot from 28 ft (assist by J. Brunson)","+3","11-5","",""
"21","8:37.0","","","11-7","+2","D. Booker makes 2-pt jump shot from 8 ft"
"22","8:24.0","T. Hardaway misses 3-pt jump shot from 27 ft","","11-7","",""
"23","8:20.0","","","11-7","","Defensive rebound by D. Ayton"
"24","8:14.0","","","11-9","+2","C. Paul makes 2-pt jump shot from 8 ft"
"25","7:58.0","Personal foul by D. Booker (drawn by J. Brunson)","","11-9","",""
"26","7:49.0","J. Brunson misses 2-pt jump shot from 20 ft","","11-9","",""
"27","7:45.0","","","11-9","","Defensive rebound by M. Bridges"
"28","7:34.0","","","11-9","","J. Crowder misses 3-pt jump shot from 24 ft"
"29","7:30.0","Defensive rebound by D. Powell","","11-9","",""
"30","7:26.0","Turnover by J. Brunson (bad pass; steal by J. Crowder)","","11-9","",""
"31","7:24.0","","","11-9","","Personal foul by J. Brunson (drawn by M. Bridges)"
"32","7:13.0","","","11-11","+2","D. Ayton makes 2-pt dunk from 2 ft (assist by C. Paul)"
"33","6:55.0","K. Porzingis makes 3-pt jump shot from 28 ft (assist by J. Brunson)","+3","14-11","",""
"34","6:46.0","","","14-13","+2","M. Bridges makes 2-pt layup from 2 ft (assist by C. Paul)"
"35","6:37.0","K. Porzingis misses 3-pt jump shot from 26 ft","","14-13","",""
"36","6:34.0","","","14-13","","Defensive rebound by C. Paul"
"37","6:18.0","","","14-16","+3","M. Bridges makes 3-pt jump shot from 24 ft (assist by D. Ayton)"
"38","6:18.0","Dallas full timeout","","14-16","",""
"39","6:18.0","R. Bullock enters the game for J. Brunson","","14-16","",""
"40","6:18.0","F. Ntilikina enters the game for K. Porzingis","","14-16","",""
"41","6:04.0","D. Finney-Smith misses 2-pt layup from 4 ft","","14-16","",""
"42","6:01.0","","","14-16","","Defensive rebound by D. Ayton"
"43","5:51.0","","","14-16","","C. Paul misses 3-pt jump shot from 25 ft"
"44","5:47.0","Defensive rebound by R. Bullock","","14-16","",""
"45","5:37.0","D. Finney-Smith misses 3-pt jump shot from 25 ft","","14-16","",""
"46","5:35.0","","","14-16","","Defensive rebound by J. Crowder"
"47","5:23.0","","","14-18","+2","D. Booker makes 2-pt jump shot from 19 ft"
"48","5:23.0","W. Cauley-Stein enters the game for D. Powell","","14-18","",""
"49","5:23.0","","","14-18","","C. Johnson enters the game for M. Bridges"
"50","5:23.0","","","14-18","","C. Payne enters the game for J. Crowder"
"51","5:23.0","","","14-18","","L. Shamet enters the game for C. Paul"
"52","5:03.0","T. Hardaway misses 2-pt jump shot from 15 ft","","14-18","",""
"53","5:00.0","","","14-18","","Defensive rebound by D. Ayton"
"54","4:42.0","","","14-18","","C. Johnson misses 3-pt jump shot from 24 ft"
"55","4:38.0","Defensive rebound by F. Ntilikina","","14-18","",""
"56","4:33.0","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein)","+3","17-18","",""
"57","4:19.0","","","17-18","","C. Payne misses 2-pt layup from 1 ft"
"58","4:17.0","Defensive rebound by W. Cauley-Stein","","17-18","",""
"59","4:12.0","T. Hardaway misses 2-pt layup from 3 ft","","17-18","",""
"60","4:09.0","","","17-18","","Defensive rebound by D. Ayton"
"61","4:09.0","","","17-18","","J. McGee enters the game for D. Ayton"
"62","3:59.0","","","17-18","","Turnover by J. McGee (back court)"
"63","3:51.0","Offensive foul by F. Ntilikina (drawn by C. Payne)","","17-18","",""
"64","3:51.0","Turnover by F. Ntilikina (offensive foul)","","17-18","",""
"65","3:38.0","","","17-18","","D. Booker misses 2-pt jump shot from 7 ft"
"66","3:36.0","Defensive rebound by F. Ntilikina","","17-18","",""
"67","3:35.0","Personal foul by D. Booker (drawn by F. Ntilikina)","","17-18","",""
"68","3:29.0","Shooting foul by J. McGee (drawn by W. Cauley-Stein)","","17-18","",""
"69","3:29.0","W. Cauley-Stein misses free throw 1 of 2","","17-18","",""
"70","3:29.0","Offensive rebound by Team","","17-18","",""
"71","3:29.0","W. Cauley-Stein makes free throw 2 of 2","+1","18-18","",""
"72","3:09.0","","","18-18","","D. Booker misses 3-pt jump shot from 27 ft"
"73","3:05.0","Defensive rebound by D. Finney-Smith","","18-18","",""
"74","2:59.0","Turnover by D. Finney-Smith (bad pass; steal by J. McGee)","","18-18","",""
"75","2:54.0","","","18-18","","L. Shamet misses 3-pt jump shot from 26 ft"
"76","2:51.0","","","18-18","","Offensive rebound by D. Booker"
"77","2:41.0","","","18-18","","D. Booker misses 2-pt jump shot from 12 ft"
"78","2:39.0","Defensive rebound by F. Ntilikina","","18-18","",""
"79","2:27.0","T. Hardaway misses 3-pt jump shot from 26 ft","","18-18","",""
"80","2:24.0","Offensive rebound by W. Cauley-Stein","","18-18","",""
"81","2:21.0","R. Bullock makes 2-pt layup from 12 ft (assist by D. Finney-Smith)","+2","20-18","",""
"82","2:19.0","","","20-18","","Phoenix full timeout"
"83","2:19.0","S. Brown enters the game for D. Finney-Smith","","20-18","",""
"84","2:19.0","","","20-18","","A. Nader enters the game for D. Booker"
"85","2:05.0","","","20-21","+3","C. Johnson makes 3-pt jump shot from 28 ft (assist by J. McGee)"
"86","1:43.0","F. Ntilikina misses 3-pt jump shot from 26 ft","","20-21","",""
"87","1:40.0","","","20-21","","Defensive rebound by A. Nader"
"88","1:31.0","","","20-23","+2","J. McGee makes 2-pt layup from 1 ft (assist by C. Payne)"
"89","1:19.0","Shooting foul by A. Nader (drawn by F. Ntilikina)","","20-23","",""
"90","1:19.0","F. Ntilikina makes free throw 1 of 2","+1","21-23","",""
"91","1:19.0","J. Brunson enters the game for R. Bullock","","21-23","",""
"92","1:19.0","T. Burke enters the game for W. Cauley-Stein","","21-23","",""
"93","1:19.0","K. Porzingis enters the game for T. Hardaway","","21-23","",""
"94","1:19.0","F. Ntilikina makes free throw 2 of 2","+1","22-23","",""
"95","1:05.0","","","22-25","+2","J. McGee makes 2-pt dunk from 2 ft (assist by L. Shamet)"
"96","0:39.0","F. Ntilikina misses 2-pt jump shot from 13 ft","","22-25","",""
"97","0:36.0","","","22-25","","Defensive rebound by J. McGee"
"98","0:25.0","","","22-25","","C. Payne misses 2-pt jump shot from 6 ft"
"99","0:23.0","","","22-25","","Offensive rebound by C. Payne"
"100","0:23.0","","","22-27","+2","C. Payne makes 2-pt layup at rim"
"101","0:03.0","K. Porzingis makes 2-pt jump shot from 11 ft (assist by F. Ntilikina)","+2","24-27","",""
"102","0:00.0","","","24-27","","Personal take foul by F. Ntilikina (drawn by C. Payne)"
"103","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"104","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"105","Time","Dallas","","Score","","Phoenix"
"106","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"107","11:42.0","Personal foul by A. Nader (drawn by K. Porzingis)","","24-27","",""
"108","11:29.0","J. Brunson makes 2-pt jump shot from 18 ft","+2","26-27","",""
"109","11:03.0","","","26-27","","Turnover by C. Payne (lost ball; steal by T. Burke)"
"110","10:59.0","R. Bullock makes 2-pt layup from 1 ft (assist by T. Burke)","+2","28-27","",""
"111","10:40.0","","","28-29","+2","J. McGee makes 2-pt jump shot from 16 ft"
"112","10:26.0","J. Brunson misses 2-pt layup from 5 ft (block by C. Payne)","","28-29","",""
"113","10:24.0","","","28-29","","Defensive rebound by L. Shamet"
"114","10:22.0","","","28-29","","L. Shamet misses 2-pt layup from 2 ft"
"115","10:20.0","","","28-29","","Offensive rebound by J. McGee"
"116","10:18.0","","","28-29","","J. McGee misses 2-pt layup from 1 ft"
"117","10:17.0","Defensive rebound by S. Brown","","28-29","",""
"118","10:09.0","T. Burke misses 3-pt jump shot from 25 ft","","28-29","",""
"119","10:09.0","Offensive rebound by Team","","28-29","",""
"120","10:09.0","","","28-29","","M. Bridges enters the game for A. Nader"
"121","10:09.0","","","28-29","","C. Paul enters the game for C. Payne"
"122","9:58.0","K. Porzingis makes 2-pt jump shot from 2 ft","+2","30-29","",""
"123","9:45.0","","","30-29","","J. McGee misses 2-pt layup from 4 ft (block by K. Porzingis)"
"124","9:41.0","Defensive rebound by J. Brunson","","30-29","",""
"125","9:40.0","R. Bullock misses 3-pt jump shot from 26 ft","","30-29","",""
"126","9:37.0","","","30-29","","Defensive rebound by C. Paul"
"127","9:32.0","","","30-29","","C. Johnson misses 3-pt jump shot from 24 ft"
"128","9:24.0","Defensive rebound by S. Brown","","30-29","",""
"129","9:16.0","J. Brunson makes 2-pt layup from 2 ft","+2","32-29","",""
"130","9:06.0","","","32-31","+2","C. Johnson makes 2-pt dunk from 1 ft (assist by M. Bridges)"
"131","8:50.0","K. Porzingis misses 3-pt jump shot from 26 ft","","32-31","",""
"132","8:48.0","","","32-31","","Defensive rebound by M. Bridges"
"133","8:44.0","","","32-34","+3","L. Shamet makes 3-pt jump shot from 23 ft (assist by C. Johnson)"
"134","8:44.0","Dallas full timeout","","32-34","",""
"135","8:44.0","","","32-34","","D. Ayton enters the game for J. McGee"
"136","8:30.0","S. Brown makes 3-pt jump shot from 24 ft (assist by J. Brunson)","+3","35-34","",""
"137","8:15.0","","","35-34","","L. Shamet misses 3-pt jump shot from 26 ft"
"138","8:12.0","Defensive rebound by K. Porzingis","","35-34","",""
"139","8:07.0","Personal foul by D. Ayton (drawn by J. Brunson)","","35-34","",""
"140","8:07.0","D. Powell enters the game for K. Porzingis","","35-34","",""
"141","7:58.0","J. Brunson misses 2-pt jump shot from 10 ft","","35-34","",""
"142","7:54.0","","","35-34","","Defensive rebound by C. Johnson"
"143","7:39.0","","","35-36","+2","M. Bridges makes 2-pt jump shot from 9 ft"
"144","7:18.0","T. Burke misses 2-pt layup from 3 ft","","35-36","",""
"145","7:15.0","","","35-36","","Defensive rebound by D. Ayton"
"146","7:12.0","","","35-36","","Turnover by C. Paul (bad pass; steal by R. Bullock)"
"147","7:06.0","T. Burke makes 2-pt layup from 1 ft (assist by S. Brown)","+2","37-36","",""
"148","6:50.0","","","37-36","","Shooting foul by T. Burke (drawn by C. Paul)"
"149","6:50.0","","","37-37","+1","C. Paul makes free throw 1 of 2"
"150","6:50.0","D. Finney-Smith enters the game for S. Brown","","37-37","",""
"151","6:50.0","T. Hardaway enters the game for T. Burke","","37-37","",""
"152","6:50.0","","","37-37","","D. Booker enters the game for C. Johnson"
"153","6:50.0","","","37-37","","J. Crowder enters the game for L. Shamet"
"154","6:50.0","","","37-38","+1","C. Paul makes free throw 2 of 2"
"155","6:37.0","Personal foul by D. Ayton (drawn by D. Powell)","","37-38","",""
"156","6:37.0","F. Ntilikina enters the game for J. Brunson","","37-38","",""
"157","6:30.0","D. Powell makes 2-pt dunk from 1 ft (assist by F. Ntilikina)","+2","39-38","",""
"158","6:19.0","","","39-38","","J. Crowder misses 2-pt jump shot from 16 ft"
"159","6:15.0","","","39-38","","Offensive rebound by D. Ayton"
"160","6:12.0","","","39-38","","D. Ayton misses 2-pt jump shot from 12 ft"
"161","6:10.0","Defensive rebound by D. Finney-Smith","","39-38","",""
"162","6:07.0","Personal foul by J. Crowder (drawn by D. Powell)","","39-38","",""
"163","6:02.0","F. Ntilikina misses 3-pt jump shot from 27 ft","","39-38","",""
"164","5:59.0","","","39-38","","Defensive rebound by D. Ayton"
"165","5:46.0","","","39-38","","D. Booker misses 3-pt jump shot from 27 ft"
"166","5:46.0","Defensive rebound by Team","","39-38","",""
"167","5:33.0","T. Hardaway misses 2-pt jump shot from 21 ft","","39-38","",""
"168","5:29.0","Offensive rebound by D. Powell","","39-38","",""
"169","5:15.0","T. Hardaway misses 3-pt jump shot from 27 ft","","39-38","",""
"170","5:12.0","Offensive rebound by D. Finney-Smith","","39-38","",""
"171","5:10.0","D. Finney-Smith misses 3-pt jump shot from 27 ft","","39-38","",""
"172","5:10.0","","","39-38","","Defensive rebound by J. Crowder"
"173","5:03.0","","","39-41","+3","M. Bridges makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"174","4:44.0","D. Powell misses 2-pt jump shot from 4 ft","","39-41","",""
"175","4:41.0","","","39-41","","Defensive rebound by D. Ayton"
"176","4:37.0","","","39-44","+3","C. Paul makes 3-pt jump shot from 26 ft"
"177","4:18.0","F. Ntilikina misses 2-pt jump shot from 19 ft","","39-44","",""
"178","4:15.0","Offensive rebound by D. Powell","","39-44","",""
"179","4:14.0","R. Bullock makes 2-pt jump shot from 11 ft (assist by D. Powell)","+2","41-44","",""
"180","4:02.0","","","41-47","+3","C. Paul makes 3-pt jump shot from 28 ft"
"181","3:44.0","F. Ntilikina misses 2-pt layup from 5 ft (block by D. Ayton)","","41-47","",""
"182","3:40.0","","","41-47","","Defensive rebound by J. Crowder"
"183","3:38.0","","","41-47","","Shooting foul by R. Bullock (drawn by M. Bridges)"
"184","3:38.0","","","41-48","+1","M. Bridges makes free throw 1 of 2"
"185","3:38.0","J. Brunson enters the game for R. Bullock","","41-48","",""
"186","3:38.0","K. Porzingis enters the game for D. Powell","","41-48","",""
"187","3:38.0","","","41-49","+1","M. Bridges makes free throw 2 of 2"
"188","3:18.0","T. Hardaway misses 3-pt jump shot from 27 ft","","41-49","",""
"189","3:16.0","","","41-49","","Defensive rebound by Team"
"190","3:07.0","","","41-49","","C. Paul misses 2-pt jump shot from 4 ft"
"191","3:04.0","Defensive rebound by K. Porzingis","","41-49","",""
"192","3:00.0","T. Hardaway makes 3-pt jump shot from 26 ft (assist by J. Brunson)","+3","44-49","",""
"193","2:41.0","","","44-49","","Turnover by D. Booker (bad pass; steal by F. Ntilikina)"
"194","2:30.0","K. Porzingis misses 2-pt jump shot from 11 ft","","44-49","",""
"195","2:27.0","","","44-49","","Defensive rebound by C. Paul"
"196","2:22.0","","","44-49","","J. Crowder misses 3-pt jump shot from 27 ft"
"197","2:18.0","Defensive rebound by J. Brunson","","44-49","",""
"198","2:15.0","Shooting foul by C. Paul (drawn by J. Brunson)","","44-49","",""
"199","2:15.0","","","44-49","","Phoenix full timeout"
"200","2:15.0","R. Bullock enters the game for F. Ntilikina","","44-49","",""
"201","2:15.0","","","44-49","","C. Payne enters the game for C. Paul"
"202","2:15.0","J. Brunson makes free throw 1 of 2","+1","45-49","",""
"203","2:15.0","J. Brunson makes free throw 2 of 2","+1","46-49","",""
"204","2:02.0","","","46-51","+2","D. Booker makes 2-pt jump shot from 20 ft (assist by D. Ayton)"
"205","1:44.0","T. Hardaway makes 2-pt jump shot from 4 ft (assist by K. Porzingis)","+2","48-51","",""
"206","1:44.0","Shooting foul by D. Ayton (drawn by T. Hardaway)","","48-51","",""
"207","1:44.0","","","48-51","","J. McGee enters the game for D. Ayton"
"208","1:44.0","T. Hardaway makes free throw 1 of 1","+1","49-51","",""
"209","1:28.0","","","49-51","","D. Booker misses 2-pt jump shot from 12 ft"
"210","1:28.0","","","49-51","","Offensive rebound by Team"
"211","1:28.0","Loose ball foul by D. Finney-Smith (drawn by J. McGee)","","49-51","",""
"212","1:17.0","","","49-51","","D. Booker misses 2-pt jump shot from 14 ft"
"213","1:14.0","Defensive rebound by T. Hardaway","","49-51","",""
"214","1:05.0","R. Bullock misses 3-pt jump shot from 23 ft","","49-51","",""
"215","1:02.0","","","49-51","","Defensive rebound by J. McGee"
"216","0:58.0","","","49-53","+2","J. McGee makes 2-pt dunk at rim (assist by J. Crowder)"
"217","0:49.0","K. Porzingis misses 3-pt jump shot from 28 ft","","49-53","",""
"218","0:44.0","","","49-53","","Defensive rebound by C. Payne"
"219","0:31.0","","","49-53","","Shooting foul by K. Porzingis (drawn by C. Payne)"
"220","0:31.0","","","49-54","+1","C. Payne makes free throw 1 of 2"
"221","0:31.0","","","49-54","","C. Johnson enters the game for J. McGee"
"222","0:31.0","","","49-55","+1","C. Payne makes free throw 2 of 2"
"223","0:10.0","T. Hardaway makes 2-pt jump shot from 2 ft","+2","51-55","",""
"224","0:00.0","","","51-55","","D. Booker misses 2-pt jump shot from 23 ft"
"225","0:00.0","Defensive rebound by T. Hardaway","","51-55","",""
"226","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"227","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"228","Time","Dallas","","Score","","Phoenix"
"229","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"230","11:44.0","K. Porzingis makes 2-pt jump shot from 17 ft (assist by J. Brunson)","+2","53-55","",""
"231","11:24.0","","","53-55","","C. Paul misses 2-pt jump shot from 12 ft"
"232","11:21.0","Defensive rebound by K. Porzingis","","53-55","",""
"233","11:05.0","J. Brunson misses 2-pt jump shot from 14 ft","","53-55","",""
"234","11:01.0","","","53-55","","Defensive rebound by J. Crowder"
"235","10:53.0","","","53-57","+2","M. Bridges makes 2-pt layup from 1 ft (assist by C. Paul)"
"236","10:33.0","T. Hardaway makes 3-pt jump shot from 28 ft (assist by J. Brunson)","+3","56-57","",""
"237","10:22.0","","","56-59","+2","D. Booker makes 2-pt jump shot from 18 ft (assist by C. Paul)"
"238","9:57.0","K. Porzingis makes 2-pt jump shot from 12 ft","+2","58-59","",""
"239","9:44.0","","","58-59","","J. Crowder misses 3-pt jump shot from 27 ft"
"240","9:41.0","Defensive rebound by T. Hardaway","","58-59","",""
"241","9:40.0","Shooting foul by J. Crowder (drawn by K. Porzingis)","","58-59","",""
"242","9:40.0","K. Porzingis makes free throw 1 of 2","+1","59-59","",""
"243","9:40.0","K. Porzingis makes free throw 2 of 2","+1","60-59","",""
"244","9:29.0","","","60-59","","Turnover by D. Ayton (bad pass; steal by K. Porzingis)"
"245","9:23.0","J. Brunson misses 3-pt jump shot from 27 ft","","60-59","",""
"246","9:20.0","","","60-59","","Defensive rebound by D. Ayton"
"247","9:02.0","","","60-61","+2","J. Crowder makes 2-pt jump shot from 9 ft (assist by C. Paul)"
"248","8:41.0","T. Hardaway misses 3-pt jump shot from 28 ft","","60-61","",""
"249","8:37.0","","","60-61","","Defensive rebound by D. Ayton"
"250","8:31.0","","","60-64","+3","D. Booker makes 3-pt jump shot from 30 ft"
"251","8:30.0","Dallas full timeout","","60-64","",""
"252","8:10.0","J. Brunson makes 2-pt jump shot from 1 ft","+2","62-64","",""
"253","7:43.0","","","62-64","","Turnover by Team (shot clock)"
