"","Time","Phoenix","","Score","","Dallas"
"2","12:00.0","Jump ball: J. McGee vs. K. Porzingis (M. Kleber gains possession)","Jump ball: J. McGee vs. K. Porzingis (M. Kleber gains possession)","Jump ball: J. McGee vs. K. Porzingis (M. Kleber gains possession)","Jump ball: J. McGee vs. K. Porzingis (M. Kleber gains possession)","Jump ball: J. McGee vs. K. Porzingis (M. Kleber gains possession)"
"3","11:41.0","","","0-0","","Turnover by L. Doncic (bad pass; steal by M. Bridges)"
"4","11:39.0","Personal foul by L. Doncic (drawn by M. Bridges)","","0-0","",""
"5","11:28.0","D. Booker makes 3-pt jump shot from 23 ft (assist by C. Paul)","+3","3-0","",""
"6","11:06.0","","","3-0","","M. Kleber misses 3-pt jump shot from 26 ft"
"7","11:03.0","Defensive rebound by D. Booker","","3-0","",""
"8","10:52.0","D. Booker misses 3-pt jump shot from 26 ft","","3-0","",""
"9","10:50.0","","","3-0","","Defensive rebound by K. Porzingis"
"10","10:40.0","","","3-0","","L. Doncic misses 3-pt jump shot from 26 ft"
"11","10:36.0","Defensive rebound by J. Crowder","","3-0","",""
"12","10:32.0","J. McGee makes 2-pt layup from 3 ft (assist by D. Booker)","+2","5-0","",""
"13","10:16.0","","","5-0","","L. Doncic misses 2-pt jump shot from 6 ft"
"14","10:14.0","Defensive rebound by D. Booker","","5-0","",""
"15","10:11.0","Personal foul by D. Finney-Smith (drawn by D. Booker)","","5-0","",""
"16","10:05.0","M. Bridges misses 3-pt jump shot from 25 ft","","5-0","",""
"17","10:02.0","Offensive rebound by J. McGee","","5-0","",""
"18","9:53.0","D. Booker misses 2-pt jump shot from 11 ft","","5-0","",""
"19","9:50.0","","","5-0","","Defensive rebound by D. Finney-Smith"
"20","9:27.0","","","5-2","+2","J. Brunson makes 2-pt jump shot from 11 ft (assist by K. Porzingis)"
"21","9:18.0","J. Crowder misses 2-pt jump shot from 10 ft","","5-2","",""
"22","9:15.0","","","5-2","","Defensive rebound by K. Porzingis"
"23","9:06.0","","","5-2","","Def 3 sec tech foul by Team"
"24","9:06.0","","","5-3","+1","K. Porzingis makes technical free throw"
"25","8:58.0","","","5-3","","M. Kleber misses 3-pt jump shot from 26 ft"
"26","8:55.0","Defensive rebound by C. Paul","","5-3","",""
"27","8:55.0","Offensive foul by J. McGee (drawn by M. Kleber)","","5-3","",""
"28","8:55.0","Turnover by J. McGee (offensive foul)","","5-3","",""
"29","8:43.0","","","5-3","","M. Kleber misses 3-pt jump shot from 23 ft"
"30","8:40.0","","","5-3","","Offensive rebound by M. Kleber"
"31","8:39.0","","","5-3","","M. Kleber misses 3-pt jump shot from 26 ft"
