"","Time","Dallas","","Score","","Golden State"
"2","12:00.0","Jump ball: D. Powell vs. K. Looney (L. Doncic gains possession)","Jump ball: D. Powell vs. K. Looney (L. Doncic gains possession)","Jump ball: D. Powell vs. K. Looney (L. Doncic gains possession)","Jump ball: D. Powell vs. K. Looney (L. Doncic gains possession)","Jump ball: D. Powell vs. K. Looney (L. Doncic gains possession)"
"3","11:37.0","J. Brunson misses 3-pt jump shot from 24 ft","","0-0","",""
"4","11:34.0","","","0-0","","Defensive rebound by K. Looney"
"5","11:22.0","","","0-3","+3","A. Wiggins makes 3-pt jump shot from 28 ft (assist by S. Curry)"
"6","11:01.0","J. Brunson makes 2-pt jump shot from 14 ft","+2","2-3","",""
"7","10:44.0","","","2-5","+2","K. Looney makes 2-pt dunk from 3 ft (assist by S. Curry)"
"8","10:29.0","L. Doncic misses 3-pt jump shot from 29 ft","","2-5","",""
"9","10:26.0","Offensive rebound by D. Powell","","2-5","",""
"10","10:24.0","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Doncic)","+3","5-5","",""
"11","10:10.0","","","5-5","","S. Curry misses 3-pt jump shot from 26 ft"
"12","10:07.0","Defensive rebound by L. Doncic","","5-5","",""
"13","10:00.0","L. Doncic makes 2-pt jump shot from 7 ft","+2","7-5","",""
"14","9:51.0","","","7-5","","K. Thompson misses 3-pt jump shot from 24 ft"
"15","9:48.0","","","7-5","","Offensive rebound by K. Looney"
"16","9:42.0","","","7-7","+2","D. Green makes 2-pt jump shot from 13 ft (assist by K. Thompson)"
"17","9:20.0","L. Doncic misses 2-pt jump shot from 15 ft","","7-7","",""
"18","9:17.0","","","7-7","","Defensive rebound by S. Curry"
"19","9:01.0","","","7-7","","A. Wiggins misses 2-pt jump shot from 8 ft"
"20","8:59.0","","","7-7","","Offensive rebound by K. Looney"
"21","8:56.0","","","7-9","+2","K. Looney makes 2-pt layup at rim"
"22","8:49.0","Turnover by J. Brunson (step out of bounds)","","7-9","",""
"23","8:41.0","","","7-9","","Shooting foul by D. Powell (drawn by S. Curry)"
"24","8:41.0","","","7-9","","S. Curry misses free throw 1 of 2"
"25","8:41.0","","","7-9","","Offensive rebound by Team"
"26","8:41.0","","","7-9","","S. Curry misses free throw 2 of 2"
"27","8:39.0","","","7-9","","Offensive rebound by S. Curry"
"28","8:37.0","","","7-11","+2","S. Curry makes 2-pt jump shot from 18 ft"
"29","8:19.0","L. Doncic misses 3-pt jump shot from 25 ft","","7-11","",""
"30","8:16.0","Offensive rebound by D. Finney-Smith","","7-11","",""
"31","8:14.0","D. Finney-Smith misses 2-pt jump shot from 7 ft","","7-11","",""
"32","8:11.0","","","7-11","","Defensive rebound by D. Green"
"33","8:10.0","","","7-11","","S. Curry misses 3-pt jump shot from 27 ft"
"34","8:08.0","Defensive rebound by L. Doncic","","7-11","",""
"35","7:59.0","R. Bullock misses 3-pt jump shot from 25 ft","","7-11","",""
"36","7:57.0","Offensive rebound by Team","","7-11","",""
"37","7:57.0","M. Kleber enters the game for D. Powell","","7-11","",""
"38","7:49.0","L. Doncic makes 2-pt layup from 5 ft","+2","9-11","",""
"39","7:49.0","Shooting foul by A. Wiggins (drawn by L. Doncic)","","9-11","",""
"40","7:49.0","L. Doncic makes free throw 1 of 1","+1","10-11","",""
"41","7:31.0","","","10-11","","Turnover by A. Wiggins (traveling)"
"42","7:23.0","L. Doncic makes 3-pt jump shot from 27 ft","+3","13-11","",""
"43","7:09.0","","","13-14","+3","A. Wiggins makes 3-pt jump shot from 27 ft (assist by D. Green)"
"44","6:46.0","M. Kleber misses 3-pt jump shot from 24 ft","","13-14","",""
"45","6:43.0","","","13-14","","Defensive rebound by K. Thompson"
"46","6:37.0","","","13-16","+2","K. Looney makes 2-pt layup from 5 ft (assist by K. Thompson)"
"47","6:17.0","J. Brunson misses 3-pt jump shot from 26 ft","","13-16","",""
"48","6:14.0","","","13-16","","Defensive rebound by D. Green"
"49","6:12.0","","","13-16","","Shooting foul by M. Kleber (drawn by A. Wiggins)"
"50","6:12.0","","","13-16","","Golden State full timeout"
"51","6:12.0","","","13-16","","J. Poole enters the game for K. Looney"
"52","6:12.0","","","13-16","","O. Porter enters the game for K. Thompson"
"53","6:12.0","","","13-16","","A. Wiggins misses free throw 1 of 2"
"54","6:12.0","","","13-16","","Offensive rebound by Team"
"55","6:12.0","","","13-16","","A. Wiggins misses free throw 2 of 2"
"56","6:10.0","Defensive rebound by D. Finney-Smith","","13-16","",""
"57","5:56.0","R. Bullock misses 3-pt jump shot from 25 ft","","13-16","",""
"58","5:53.0","Offensive rebound by M. Kleber","","13-16","",""
"59","5:52.0","R. Bullock misses 3-pt jump shot from 27 ft","","13-16","",""
"60","5:50.0","Offensive rebound by D. Finney-Smith","","13-16","",""
"61","5:46.0","J. Brunson misses 3-pt jump shot from 26 ft","","13-16","",""
"62","5:43.0","","","13-16","","Defensive rebound by A. Wiggins"
"63","5:38.0","","","13-16","","S. Curry misses 3-pt jump shot from 28 ft"
"64","5:36.0","Defensive rebound by Team","","13-16","",""
"65","5:36.0","","","13-16","","Loose ball foul by D. Green (drawn by J. Brunson)"
"66","5:16.0","M. Kleber misses 3-pt jump shot from 27 ft","","13-16","",""
"67","5:14.0","","","13-16","","Defensive rebound by O. Porter"
"68","5:00.0","","","13-18","+2","J. Poole makes 2-pt jump shot from 19 ft"
"69","4:41.0","R. Bullock makes 3-pt jump shot from 28 ft (assist by J. Brunson)","+3","16-18","",""
"70","4:29.0","","","16-18","","D. Green misses 3-pt jump shot from 24 ft"
"71","4:26.0","Defensive rebound by L. Doncic","","16-18","",""
"72","4:17.0","Turnover by L. Doncic (lost ball; steal by D. Green)","","16-18","",""
"73","4:17.0","","","16-18","","Personal take foul by M. Kleber (drawn by D. Green)"
"74","4:17.0","S. Dinwiddie enters the game for J. Brunson","","16-18","",""
"75","3:57.0","","","16-20","+2","O. Porter makes 2-pt jump shot from 15 ft (assist by S. Curry)"
"76","3:35.0","L. Doncic misses 3-pt jump shot from 24 ft","","16-20","",""
"77","3:32.0","","","16-20","","Defensive rebound by S. Curry"
"78","3:29.0","","","16-20","","Personal foul by R. Bullock (drawn by S. Curry)"
"79","3:29.0","D. Bertans enters the game for M. Kleber","","16-20","",""
"80","3:23.0","","","16-22","+2","A. Wiggins makes 2-pt jump shot from 20 ft (assist by O. Porter)"
"81","2:58.0","R. Bullock misses 3-pt jump shot from 26 ft","","16-22","",""
"82","2:56.0","","","16-22","","Defensive rebound by O. Porter"
"83","2:48.0","","","16-22","","Turnover by J. Poole (traveling)"
"84","2:48.0","Dallas full timeout","","16-22","",""
"85","2:30.0","S. Dinwiddie makes 2-pt jump shot from 9 ft","+2","18-22","",""
"86","2:07.0","","","18-24","+2","A. Wiggins makes 2-pt jump shot from 12 ft"
"87","1:51.0","S. Dinwiddie misses 3-pt jump shot from 28 ft","","18-24","",""
"88","1:49.0","","","18-24","","Defensive rebound by A. Wiggins"
"89","1:29.0","","","18-26","+2","J. Poole makes 2-pt layup from 4 ft"
"90","1:08.0","D. Finney-Smith misses 3-pt jump shot from 30 ft","","18-26","",""
"91","1:04.0","","","18-26","","Defensive rebound by D. Green"
"92","1:00.0","","","18-26","","Shooting foul by D. Bertans (drawn by S. Curry)"
"93","1:00.0","","","18-27","+1","S. Curry makes free throw 1 of 3"
"94","1:00.0","","","18-27","","S. Curry misses free throw 2 of 3"
"95","1:00.0","","","18-27","","Offensive rebound by Team"
"96","1:00.0","F. Ntilikina enters the game for R. Bullock","","18-27","",""
"97","1:00.0","","","18-27","","K. Looney enters the game for D. Green"
"98","1:00.0","","","18-27","","K. Thompson enters the game for A. Wiggins"
"99","1:00.0","","","18-28","+1","S. Curry makes free throw 3 of 3"
"100","0:42.0","L. Doncic misses 2-pt jump shot from 5 ft (block by K. Looney)","","18-28","",""
"101","0:40.0","","","18-28","","Defensive rebound by S. Curry"
"102","0:31.0","","","18-28","","S. Curry misses 3-pt jump shot from 29 ft"
"103","0:29.0","Defensive rebound by L. Doncic","","18-28","",""
"104","0:27.0","Personal take foul by K. Looney (drawn by L. Doncic)","","18-28","",""
"105","0:27.0","","","18-28","","D. Green enters the game for J. Poole"
"106","0:05.0","D. Finney-Smith misses 3-pt jump shot from 23 ft (block by D. Green)","","18-28","",""
"107","0:04.0","Offensive rebound by Team","","18-28","",""
"108","0:02.0","D. Bertans misses 3-pt jump shot from 26 ft","","18-28","",""
"109","0:01.0","","","18-28","","Defensive rebound by S. Curry"
"110","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"111","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"112","Time","Dallas","","Score","","Golden State"
"113","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"114","11:40.0","","","18-28","","Offensive foul by K. Looney (drawn by F. Ntilikina)"
"115","11:40.0","","","18-28","","Turnover by K. Looney (offensive foul)"
"116","11:27.0","S. Dinwiddie misses 2-pt layup from 6 ft","","18-28","",""
"117","11:25.0","","","18-28","","Defensive rebound by K. Looney"
"118","11:04.0","","","18-30","+2","O. Porter makes 2-pt jump shot from 14 ft"
"119","10:43.0","J. Brunson makes 2-pt jump shot from 9 ft","+2","20-30","",""
"120","10:33.0","","","20-30","","K. Thompson misses 3-pt jump shot from 27 ft"
"121","10:31.0","Defensive rebound by J. Brunson","","20-30","",""
"122","10:27.0","Personal foul by D. Lee (drawn by D. Powell)","","20-30","",""
"123","10:14.0","J. Brunson misses 2-pt jump shot from 12 ft","","20-30","",""
"124","10:11.0","Offensive rebound by D. Powell","","20-30","",""
"125","10:10.0","D. Bertans misses 3-pt jump shot from 26 ft","","20-30","",""
"126","10:08.0","","","20-30","","Defensive rebound by K. Thompson"
"127","9:58.0","","","20-30","","Turnover by K. Thompson (out of bounds lost ball)"
"128","9:58.0","R. Bullock enters the game for D. Bertans","","20-30","",""
"129","9:50.0","Shooting foul by O. Porter (drawn by S. Dinwiddie)","","20-30","",""
"130","9:50.0","S. Dinwiddie makes free throw 1 of 2","+1","21-30","",""
"131","9:50.0","S. Dinwiddie makes free throw 2 of 2","+1","22-30","",""
"132","9:40.0","","","22-32","+2","J. Poole makes 2-pt layup from 4 ft"
"133","9:27.0","F. Ntilikina misses 3-pt jump shot from 25 ft","","22-32","",""
"134","9:25.0","","","22-32","","Defensive rebound by D. Lee"
"135","9:14.0","","","22-32","","J. Poole misses 2-pt jump shot from 20 ft"
"136","9:11.0","Defensive rebound by R. Bullock","","22-32","",""
"137","9:00.0","Turnover by S. Dinwiddie (lost ball; steal by J. Poole)","","22-32","",""
"138","9:00.0","M. Kleber enters the game for D. Powell","","22-32","",""
"139","8:37.0","","","22-34","+2","K. Looney makes 2-pt jump shot from 21 ft (assist by J. Poole)"
"140","8:19.0","J. Brunson makes 2-pt layup from 4 ft","+2","24-34","",""
"141","8:07.0","","","24-34","","O. Porter misses 3-pt jump shot from 27 ft"
"142","8:05.0","Defensive rebound by R. Bullock","","24-34","",""
"143","8:00.0","R. Bullock makes 2-pt layup from 3 ft","+2","26-34","",""
"144","8:00.0","","","26-34","","Golden State full timeout"
"145","8:00.0","","","26-34","","D. Green enters the game for K. Looney"
"146","8:00.0","","","26-34","","A. Wiggins enters the game for O. Porter"
"147","7:45.0","","","26-34","","K. Thompson misses 2-pt layup from 6 ft"
"148","7:45.0","","","26-34","","Offensive rebound by D. Green"
"149","7:45.0","","","26-34","","Shooting foul by R. Bullock (drawn by D. Green)"
"150","7:45.0","","","26-35","+1","D. Green makes free throw 1 of 2"
