"","Time","Golden State","","Score","","Dallas"
"2","12:00.0","Jump ball: K. Looney vs. D. Powell (L. Doncic gains possession)","Jump ball: K. Looney vs. D. Powell (L. Doncic gains possession)","Jump ball: K. Looney vs. D. Powell (L. Doncic gains possession)","Jump ball: K. Looney vs. D. Powell (L. Doncic gains possession)","Jump ball: K. Looney vs. D. Powell (L. Doncic gains possession)"
"3","11:41.0","","","0-0","","Turnover by L. Doncic (bad pass; steal by K. Looney)"
"4","11:26.0","A. Wiggins misses 2-pt jump shot from 16 ft","","0-0","",""
"5","11:23.0","","","0-0","","Defensive rebound by L. Doncic"
"6","11:09.0","","","0-0","","Shooting foul by K. Thompson (drawn by L. Doncic)"
"7","11:09.0","","","0-0","","L. Doncic misses free throw 1 of 2"
"8","11:09.0","","","0-0","","Offensive rebound by Team"
"9","11:09.0","","","0-1","+1","L. Doncic makes free throw 2 of 2"
"10","10:56.0","K. Looney makes 2-pt layup from 1 ft (assist by S. Curry)","+2","2-1","",""
"11","10:45.0","","","2-3","+2","L. Doncic makes 2-pt layup from 2 ft"
"12","10:31.0","Shooting foul by D. Powell (drawn by K. Thompson)","","2-3","",""
"13","10:31.0","K. Thompson makes free throw 1 of 2","+1","3-3","",""
"14","10:31.0","K. Thompson makes free throw 2 of 2","+1","4-3","",""
"15","10:21.0","","","4-3","","J. Brunson misses 3-pt jump shot from 25 ft"
"16","10:17.0","Defensive rebound by K. Thompson","","4-3","",""
"17","10:07.0","K. Looney makes 2-pt layup from 3 ft (assist by S. Curry)","+2","6-3","",""
"18","9:55.0","","","6-5","+2","D. Powell makes 2-pt layup at rim (assist by D. Finney-Smith)"
"19","9:40.0","K. Thompson misses 2-pt jump shot from 10 ft","","6-5","",""
"20","9:37.0","Offensive rebound by K. Looney","","6-5","",""
"21","9:37.0","K. Looney misses 2-pt layup at rim","","6-5","",""
"22","9:36.0","Offensive rebound by S. Curry","","6-5","",""
"23","9:33.0","A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Thompson)","+3","9-5","",""
"24","9:21.0","","","9-5","","Shooting foul by A. Wiggins (drawn by L. Doncic)"
"25","9:21.0","","","9-6","+1","L. Doncic makes free throw 1 of 2"
"26","9:21.0","","","9-7","+1","L. Doncic makes free throw 2 of 2"
"27","9:06.0","Turnover by D. Green (traveling)","","9-7","",""
"28","8:57.0","","","9-7","","R. Bullock misses 3-pt jump shot from 25 ft"
"29","8:53.0","Defensive rebound by D. Green","","9-7","",""
"30","8:49.0","S. Curry makes 2-pt layup from 1 ft","+2","11-7","",""
"31","8:49.0","Shooting foul by D. Powell (drawn by S. Curry)","","11-7","",""
"32","8:49.0","","","11-7","","M. Kleber enters the game for D. Powell"
"33","8:49.0","S. Curry makes free throw 1 of 1","+1","12-7","",""
"34","8:23.0","","","12-7","","R. Bullock misses 3-pt jump shot from 23 ft"
"35","8:21.0","Defensive rebound by A. Wiggins","","12-7","",""
"36","8:14.0","K. Thompson makes 2-pt jump shot from 18 ft (assist by A. Wiggins)","+2","14-7","",""
"37","7:56.0","","","14-7","","R. Bullock misses 3-pt jump shot from 22 ft"
"38","7:52.0","Defensive rebound by K. Looney","","14-7","",""
"39","7:45.0","S. Curry misses 3-pt jump shot from 26 ft","","14-7","",""
"40","7:43.0","","","14-7","","Defensive rebound by L. Doncic"
"41","7:35.0","","","14-7","","J. Brunson misses 3-pt jump shot from 25 ft"
"42","7:31.0","Defensive rebound by A. Wiggins","","14-7","",""
"43","7:19.0","A. Wiggins misses 3-pt jump shot from 24 ft","","14-7","",""
"44","7:16.0","","","14-7","","Defensive rebound by L. Doncic"
"45","7:10.0","","","14-7","","L. Doncic misses 3-pt jump shot from 27 ft"
"46","7:07.0","Defensive rebound by A. Wiggins","","14-7","",""
"47","7:05.0","Shooting foul by D. Finney-Smith (drawn by K. Thompson)","","14-7","",""
"48","7:05.0","K. Thompson makes free throw 1 of 2","+1","15-7","",""
"49","7:05.0","K. Thompson makes free throw 2 of 2","+1","16-7","",""
"50","6:47.0","","","16-7","","Def 3 sec tech foul by Team"
"51","6:47.0","","","16-7","","Dallas full timeout"
"52","6:47.0","","","16-7","","R. Bullock misses technical free throw"
"53","6:47.0","","","16-7","","Offensive rebound by Team"
"54","6:39.0","","","16-7","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"55","6:37.0","Defensive rebound by D. Green","","16-7","",""
"56","6:26.0","S. Curry makes 3-pt jump shot from 24 ft (assist by K. Looney)","+3","19-7","",""
"57","6:07.0","","","19-7","","J. Brunson misses 2-pt jump shot from 8 ft"
"58","6:05.0","","","19-7","","Offensive rebound by D. Finney-Smith"
"59","6:01.0","","","19-9","+2","L. Doncic makes 2-pt jump shot from 8 ft (assist by D. Finney-Smith)"
"60","5:49.0","K. Thompson misses 3-pt jump shot from 24 ft","","19-9","",""
"61","5:48.0","","","19-9","","Defensive rebound by J. Brunson"
"62","5:36.0","","","19-11","+2","D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Doncic)"
"63","5:19.0","A. Wiggins makes 2-pt layup at rim (assist by D. Green)","+2","21-11","",""
"64","5:06.0","","","21-14","+3","J. Brunson makes 3-pt jump shot from 25 ft (assist by R. Bullock)"
"65","4:58.0","S. Curry misses 3-pt jump shot from 28 ft","","21-14","",""
"66","4:56.0","","","21-14","","Defensive rebound by J. Brunson"
"67","4:41.0","","","21-14","","M. Kleber misses 3-pt jump shot from 25 ft"
"68","4:38.0","Defensive rebound by S. Curry","","21-14","",""
"69","4:32.0","Turnover by D. Green (bad pass; steal by R. Bullock)","","21-14","",""
"70","4:24.0","","","21-14","","L. Doncic misses 2-pt jump shot from 4 ft"
"71","4:22.0","Defensive rebound by K. Thompson","","21-14","",""
"72","4:18.0","D. Green misses 2-pt layup from 4 ft","","21-14","",""
"73","4:16.0","","","21-14","","Defensive rebound by J. Brunson"
"74","4:03.0","","","21-14","","Turnover by D. Finney-Smith (bad pass; steal by D. Green)"
"75","4:00.0","Personal take foul by J. Brunson (drawn by A. Wiggins)","","21-14","",""
"76","4:00.0","Golden State full timeout","","21-14","",""
"77","4:00.0","J. Poole enters the game for K. Looney","","21-14","",""
"78","4:00.0","O. Porter enters the game for K. Thompson","","21-14","",""
"79","4:00.0","","","21-14","","S. Dinwiddie enters the game for J. Brunson"
"80","4:00.0","","","21-14","","F. Ntilikina enters the game for R. Bullock"
"81","3:50.0","D. Green misses 2-pt jump shot from 21 ft","","21-14","",""
"82","3:48.0","","","21-14","","Defensive rebound by L. Doncic"
"83","3:28.0","","","21-14","","F. Ntilikina misses 3-pt jump shot from 22 ft"
"84","3:25.0","Defensive rebound by D. Green","","21-14","",""
"85","3:15.0","D. Green misses 2-pt jump shot from 8 ft","","21-14","",""
"86","3:12.0","Offensive rebound by A. Wiggins","","21-14","",""
"87","3:11.0","A. Wiggins makes 2-pt layup at rim","+2","23-14","",""
"88","2:53.0","","","23-14","","M. Kleber misses 3-pt jump shot from 25 ft"
"89","2:50.0","Defensive rebound by S. Curry","","23-14","",""
"90","2:47.0","S. Curry misses 3-pt jump shot from 30 ft","","23-14","",""
"91","2:43.0","","","23-14","","Defensive rebound by L. Doncic"
"92","2:36.0","","","23-14","","Personal foul by S. Curry (drawn by M. Kleber)"
"93","2:36.0","","","23-14","","R. Bullock enters the game for D. Finney-Smith"
"94","2:25.0","","","23-14","","L. Doncic misses 2-pt jump shot from 8 ft"
"95","2:23.0","Defensive rebound by O. Porter","","23-14","",""
"96","2:18.0","A. Wiggins misses 3-pt jump shot from 24 ft","","23-14","",""
"97","2:14.0","","","23-14","","Defensive rebound by M. Kleber"
"98","2:01.0","","","23-17","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by F. Ntilikina)"
"99","1:34.0","Turnover by Team (shot clock)","","23-17","",""
"100","1:34.0","K. Looney enters the game for D. Green","","23-17","",""
"101","1:22.0","Violation by Team (kicked ball)","","23-17","",""
"102","1:11.0","","","23-17","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"103","1:08.0","Defensive rebound by S. Curry","","23-17","",""
