"","Time","Utah","","Score","","Dallas"
"2","12:00.0","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)","Jump ball: R. Gobert vs. D. Powell (R. O'Neale gains possession)"
"3","11:43.0","Turnover by M. Conley (bad pass; steal by D. Finney-Smith)","","0-0","",""
"4","11:29.0","","","0-2","+2","S. Dinwiddie makes 2-pt jump shot from 13 ft (assist by D. Powell)"
"5","11:15.0","Shooting foul by S. Dinwiddie (drawn by R. Gobert)","","0-2","",""
"6","11:15.0","R. Gobert makes free throw 1 of 2","+1","1-2","",""
"7","11:15.0","R. Gobert makes free throw 2 of 2","+1","2-2","",""
"8","10:55.0","","","2-2","","S. Dinwiddie misses 2-pt jump shot from 9 ft"
"9","10:51.0","Defensive rebound by M. Conley","","2-2","",""
"10","10:41.0","M. Conley makes 2-pt jump shot from 9 ft (assist by B. Bogdanovic)","+2","4-2","",""
"11","10:25.0","","","4-2","","J. Brunson misses 2-pt jump shot from 6 ft"
"12","10:22.0","Defensive rebound by R. Gobert","","4-2","",""
"13","10:12.0","D. Mitchell misses 3-pt jump shot from 26 ft","","4-2","",""
"14","10:09.0","","","4-2","","Defensive rebound by J. Brunson"
"15","10:02.0","","","4-2","","J. Brunson misses 2-pt jump shot from 9 ft"
"16","9:59.0","Defensive rebound by R. Gobert","","4-2","",""
"17","9:41.0","D. Mitchell misses 2-pt layup from 11 ft","","4-2","",""
"18","9:39.0","Offensive rebound by R. Gobert","","4-2","",""
"19","9:39.0","R. Gobert misses 2-pt dunk from 3 ft","","4-2","",""
"20","9:37.0","","","4-2","","Defensive rebound by D. Finney-Smith"
"21","9:33.0","","","4-2","","R. Bullock misses 3-pt jump shot from 24 ft"
"22","9:33.0","Defensive rebound by B. Bogdanovic","","4-2","",""
"23","9:24.0","B. Bogdanovic misses 3-pt jump shot from 26 ft","","4-2","",""
"24","9:20.0","","","4-2","","Defensive rebound by D. Powell"
"25","9:11.0","","","4-2","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"26","9:09.0","Defensive rebound by R. Gobert","","4-2","",""
"27","8:46.0","D. Mitchell misses 2-pt layup from 2 ft","","4-2","",""
"28","8:44.0","Offensive rebound by Team","","4-2","",""
"29","8:38.0","M. Conley makes 2-pt jump shot from 7 ft","+2","6-2","",""
"30","8:20.0","","","6-2","","J. Brunson misses 2-pt jump shot from 12 ft"
"31","8:17.0","Defensive rebound by R. O'Neale","","6-2","",""
"32","8:07.0","B. Bogdanovic makes 2-pt jump shot from 5 ft","+2","8-2","",""
"33","7:50.0","","","8-4","+2","J. Brunson makes 2-pt hook shot from 4 ft"
"34","7:32.0","M. Conley misses 2-pt jump shot from 4 ft","","8-4","",""
"35","7:28.0","","","8-4","","Defensive rebound by J. Brunson"
