"","Time","Dallas","","Score","","Utah"
"2","12:00.0","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)","Jump ball: D. Powell vs. R. Gobert (R. O'Neale gains possession)"
"3","11:47.0","","","0-0","","D. Mitchell misses 3-pt jump shot from 27 ft"
"4","11:44.0","Defensive rebound by J. Brunson","","0-0","",""
"5","11:24.0","J. Brunson misses 2-pt layup from 7 ft","","0-0","",""
"6","11:23.0","","","0-0","","Defensive rebound by B. Bogdanovic"
"7","11:15.0","","","0-0","","M. Conley misses 3-pt jump shot from 26 ft"
"8","11:11.0","","","0-0","","Offensive rebound by B. Bogdanovic"
"9","11:11.0","","","0-0","","B. Bogdanovic misses 2-pt layup at rim"
"10","11:11.0","Defensive rebound by D. Powell","","0-0","",""
"11","11:00.0","J. Brunson misses 2-pt jump shot from 7 ft","","0-0","",""
"12","10:59.0","","","0-0","","Defensive rebound by R. Gobert"
"13","10:49.0","","","0-2","+2","B. Bogdanovic makes 2-pt jump shot from 6 ft (assist by M. Conley)"
"14","10:33.0","Turnover by L. Doncic (bad pass; steal by B. Bogdanovic)","","0-2","",""
"15","10:27.0","","","0-4","+2","M. Conley makes 2-pt layup from 6 ft (assist by B. Bogdanovic)"
"16","10:08.0","J. Brunson makes 2-pt jump shot from 8 ft","+2","2-4","",""
"17","9:54.0","","","2-4","","R. O'Neale misses 3-pt jump shot from 26 ft"
"18","9:53.0","","","2-4","","Offensive rebound by Team"
"19","9:53.0","Loose ball foul by D. Finney-Smith (drawn by D. Mitchell)","","2-4","",""
"20","9:47.0","","","2-4","","B. Bogdanovic misses 2-pt layup from 3 ft (block by L. Doncic)"
"21","9:47.0","","","2-4","","Offensive rebound by Team"
"22","9:41.0","","","2-4","","R. O'Neale misses 3-pt jump shot from 23 ft"
"23","9:38.0","Defensive rebound by D. Finney-Smith","","2-4","",""
"24","9:17.0","D. Finney-Smith misses 2-pt layup from 7 ft (block by D. Mitchell)","","2-4","",""
"25","9:14.0","","","2-4","","Defensive rebound by D. Mitchell"
"26","9:13.0","","","2-4","","Turnover by D. Mitchell (bad pass; steal by J. Brunson)"
"27","9:11.0","J. Brunson makes 2-pt layup from 2 ft","+2","4-4","",""
"28","9:06.0","","","4-4","","Turnover by M. Conley (bad pass; steal by L. Doncic)"
"29","9:03.0","J. Brunson makes 2-pt layup from 2 ft (assist by L. Doncic)","+2","6-4","",""
"30","8:42.0","","","6-7","+3","D. Mitchell makes 3-pt jump shot from 24 ft"
"31","8:13.0","D. Powell misses 2-pt layup from 3 ft","","6-7","",""
"32","8:12.0","","","6-7","","Defensive rebound by R. O'Neale"
"33","8:05.0","","","6-7","","D. Mitchell misses 2-pt jump shot from 7 ft"
"34","8:03.0","","","6-7","","Offensive rebound by D. Mitchell"
"35","8:02.0","","","6-9","+2","D. Mitchell makes 2-pt layup from 1 ft"
"36","7:46.0","L. Doncic makes 2-pt jump shot from 8 ft","+2","8-9","",""
"37","7:31.0","","","8-9","","R. Gobert misses 2-pt layup from 3 ft"
"38","7:31.0","Defensive rebound by Team","","8-9","",""
"39","7:31.0","M. Kleber enters the game for D. Powell","","8-9","",""
"40","7:06.0","L. Doncic misses 2-pt jump shot from 13 ft","","8-9","",""
"41","7:04.0","","","8-9","","Defensive rebound by R. Gobert"
"42","6:53.0","","","8-9","","D. Mitchell misses 3-pt jump shot from 28 ft"
"43","6:50.0","Defensive rebound by L. Doncic","","8-9","",""
"44","6:45.0","D. Finney-Smith misses 3-pt jump shot from 25 ft","","8-9","",""
"45","6:43.0","","","8-9","","Defensive rebound by D. Mitchell"
"46","6:39.0","","","8-9","","Turnover by D. Mitchell (bad pass)"
"47","6:39.0","","","8-9","","Utah full timeout"
"48","6:39.0","","","8-9","","J. Clarkson enters the game for M. Conley"
"49","6:39.0","","","8-9","","H. Whiteside enters the game for R. Gobert"
"50","6:24.0","M. Kleber misses 3-pt jump shot from 26 ft","","8-9","",""
"51","6:20.0","","","8-9","","Defensive rebound by H. Whiteside"
"52","6:11.0","","","8-9","","Shooting foul by M. Kleber (drawn by B. Bogdanovic)"
"53","6:11.0","","","8-9","","B. Bogdanovic misses free throw 1 of 2"
"54","6:11.0","","","8-9","","Offensive rebound by Team"
"55","6:11.0","","","8-9","","B. Bogdanovic misses free throw 2 of 2"
"56","6:09.0","Defensive rebound by M. Kleber","","8-9","",""
"57","6:00.0","M. Kleber makes 2-pt layup from 4 ft (assist by L. Doncic)","+2","10-9","",""
"58","5:36.0","","","10-11","+2","D. Mitchell makes 2-pt jump shot from 6 ft"
"59","5:21.0","L. Doncic misses 3-pt jump shot from 27 ft","","10-11","",""
"60","5:19.0","Offensive rebound by D. Finney-Smith","","10-11","",""
"61","5:15.0","M. Kleber misses 3-pt jump shot from 25 ft","","10-11","",""
"62","5:12.0","","","10-11","","Defensive rebound by J. Clarkson"
"63","5:05.0","","","10-11","","R. O'Neale misses 3-pt jump shot from 27 ft"
"64","5:03.0","Defensive rebound by J. Brunson","","10-11","",""
"65","4:49.0","D. Finney-Smith makes 2-pt layup from 2 ft (assist by L. Doncic)","+2","12-11","",""
"66","4:34.0","","","12-13","+2","D. Mitchell makes 2-pt layup from 5 ft"
"67","4:15.0","M. Kleber misses 3-pt jump shot from 25 ft","","12-13","",""
"68","4:14.0","","","12-13","","Defensive rebound by B. Bogdanovic"
"69","4:04.0","","","12-15","+2","J. Clarkson makes 2-pt jump shot from 5 ft"
"70","3:39.0","J. Brunson makes 2-pt jump shot from 9 ft","+2","14-15","",""
"71","3:24.0","","","14-15","","B. Bogdanovic misses 3-pt jump shot from 23 ft"
"72","3:21.0","Defensive rebound by L. Doncic","","14-15","",""
"73","3:05.0","D. Finney-Smith misses 3-pt jump shot from 23 ft","","14-15","",""
"74","3:04.0","","","14-15","","Defensive rebound by H. Whiteside"
"75","2:55.0","","","14-15","","Turnover by J. Clarkson (bad pass; steal by R. Bullock)"
"76","2:49.0","R. Bullock misses 3-pt jump shot from 30 ft","","14-15","",""
"77","2:46.0","","","14-15","","Defensive rebound by H. Whiteside"
"78","2:27.0","","","14-15","","Turnover by D. Mitchell (lost ball; steal by J. Brunson)"
"79","2:21.0","Shooting foul by R. O'Neale (drawn by J. Brunson)","","14-15","",""
"80","2:21.0","Dallas full timeout","","14-15","",""
"81","2:21.0","S. Dinwiddie enters the game for R. Bullock","","14-15","",""
"82","2:21.0","J. Green enters the game for L. Doncic","","14-15","",""
"83","2:21.0","","","14-15","","M. Conley enters the game for B. Bogdanovic"
"84","2:21.0","","","14-15","","R. Gobert enters the game for D. Mitchell"
"85","2:21.0","","","14-15","","J. Hernangómez enters the game for R. O'Neale"
"86","2:21.0","","","14-15","","D. House enters the game for H. Whiteside"
"87","2:21.0","J. Brunson misses free throw 1 of 2","","14-15","",""
"88","2:21.0","Offensive rebound by Team","","14-15","",""
"89","2:21.0","D. Bertans enters the game for D. Finney-Smith","","14-15","",""
"90","2:21.0","J. Brunson makes free throw 2 of 2","+1","15-15","",""
"91","2:03.0","","","15-15","","J. Clarkson misses 2-pt layup from 5 ft (block by M. Kleber)"
"92","2:01.0","Defensive rebound by M. Kleber","","15-15","",""
"93","1:57.0","D. Bertans misses 3-pt jump shot from 26 ft","","15-15","",""
"94","1:54.0","Offensive rebound by J. Green","","15-15","",""
"95","1:43.0","S. Dinwiddie misses 3-pt jump shot from 27 ft","","15-15","",""
"96","1:41.0","","","15-15","","Defensive rebound by R. Gobert"
"97","1:27.0","","","15-15","","J. Hernangómez misses 2-pt hook shot from 5 ft"
"98","1:25.0","Defensive rebound by M. Kleber","","15-15","",""
"99","1:05.0","Turnover by M. Kleber (bad pass; steal by M. Conley)","","15-15","",""
"100","1:00.0","","","15-18","+3","J. Clarkson makes 3-pt jump shot from 26 ft (assist by M. Conley)"
"101","0:44.0","S. Dinwiddie misses 2-pt layup from 4 ft (block by M. Conley)","","15-18","",""
"102","0:40.0","","","15-18","","Defensive rebound by R. Gobert"
"103","0:38.0","","","15-18","","M. Conley misses 3-pt jump shot from 25 ft"
"104","0:37.0","","","15-18","","Offensive rebound by Team"
"105","0:37.0","Loose ball foul by D. Bertans (drawn by J. Hernangómez)","","15-18","",""
"106","0:32.0","","","15-21","+3","M. Conley makes 3-pt jump shot from 26 ft"
"107","0:20.0","J. Green misses 3-pt jump shot from 22 ft","","15-21","",""
"108","0:17.0","","","15-21","","Defensive rebound by M. Conley"
"109","0:01.0","","","15-21","","J. Clarkson misses 2-pt jump shot from 8 ft"
"110","0:01.0","","","15-21","","Offensive rebound by J. Clarkson"
"111","0:00.0","","","15-21","","D. House misses 3-pt jump shot from 22 ft"
"112","0:00.0","","","15-21","","Offensive rebound by Team"
"113","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"114","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"115","Time","Dallas","","Score","","Utah"
"116","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"117","11:44.0","Shooting foul by D. House (drawn by L. Doncic)","","15-21","",""
"118","11:44.0","L. Doncic makes free throw 1 of 2","+1","16-21","",""
"119","11:44.0","L. Doncic makes free throw 2 of 2","+1","17-21","",""
"120","11:31.0","","","17-21","","M. Conley misses 3-pt jump shot from 25 ft"
"121","11:28.0","","","17-21","","Offensive rebound by D. House"
"122","11:27.0","","","17-21","","Shooting foul by D. Finney-Smith (drawn by D. House)"
"123","11:27.0","","","17-22","+1","D. House makes free throw 1 of 2"
"124","11:27.0","","","17-22","","D. House misses free throw 2 of 2"
"125","11:26.0","Defensive rebound by D. Finney-Smith","","17-22","",""
"126","11:02.0","L. Doncic misses 2-pt jump shot from 18 ft","","17-22","",""
"127","11:00.0","Offensive rebound by Team","","17-22","",""
"128","10:51.0","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by L. Doncic)","+3","20-22","",""
"129","10:38.0","","","20-22","","Turnover by M. Conley (bad pass; steal by R. Bullock)"
"130","10:32.0","D. Finney-Smith makes 2-pt dunk from 2 ft (assist by S. Dinwiddie)","+2","22-22","",""
"131","10:22.0","","","22-25","+3","J. Clarkson makes 3-pt jump shot from 25 ft (assist by J. Hernangómez)"
"132","9:59.0","L. Doncic makes 2-pt jump shot from 12 ft","+2","24-25","",""
"133","9:47.0","","","24-28","+3","J. Hernangómez makes 3-pt jump shot from 23 ft (assist by M. Conley)"
"134","9:34.0","Turnover by L. Doncic (bad pass; steal by J. Hernangómez)","","24-28","",""
"135","9:31.0","","","24-28","","J. Hernangómez misses 2-pt dunk from 4 ft (block by L. Doncic)"
"136","9:27.0","Defensive rebound by D. Finney-Smith","","24-28","",""
"137","9:26.0","S. Dinwiddie makes 2-pt layup from 1 ft (assist by D. Finney-Smith)","+2","26-28","",""
"138","9:01.0","","","26-30","+2","D. House makes 2-pt layup from 2 ft (assist by M. Conley)"
"139","9:01.0","","","26-30","","B. Bogdanovic enters the game for M. Conley"
"140","9:01.0","","","26-30","","D. Mitchell enters the game for R. Gobert"
"141","9:01.0","","","26-30","","H. Whiteside enters the game for J. Hernangómez"
"142","8:38.0","L. Doncic misses 2-pt jump shot from 9 ft","","26-30","",""
"143","8:35.0","","","26-30","","Defensive rebound by D. House"
"144","8:29.0","","","26-30","","Shooting foul by R. Bullock (drawn by J. Clarkson)"
"145","8:29.0","","","26-31","+1","J. Clarkson makes free throw 1 of 2"
"146","8:29.0","M. Kleber enters the game for D. Powell","","26-31","",""
"147","8:29.0","","","26-31","","J. Clarkson misses free throw 2 of 2"
"148","8:27.0","","","26-31","","Offensive rebound by H. Whiteside"
"149","8:26.0","","","26-31","","H. Whiteside misses 2-pt layup from 4 ft"
"150","8:24.0","Defensive rebound by D. Finney-Smith","","26-31","",""
"151","8:20.0","S. Dinwiddie makes 2-pt jump shot from 8 ft","+2","28-31","",""
"152","8:20.0","Shooting foul by B. Bogdanovic (drawn by S. Dinwiddie)","","28-31","",""
"153","8:20.0","S. Dinwiddie makes free throw 1 of 1","+1","29-31","",""
"154","8:01.0","","","29-31","","D. House misses 3-pt jump shot from 25 ft"
"155","7:58.0","Defensive rebound by Team","","29-31","",""
"156","7:34.0","D. Finney-Smith makes 2-pt jump shot from 10 ft","+2","31-31","",""
"157","7:16.0","","","31-33","+2","D. House makes 2-pt jump shot from 5 ft (assist by D. Mitchell)"
"158","6:57.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","34-33","",""
