"","Time","New Orleans","","Score","","Phoenix"
"2","12:00.0","Jump ball: J. Valanciunas vs. D. Ayton (D. Booker gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (D. Booker gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (D. Booker gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (D. Booker gains possession)","Jump ball: J. Valanciunas vs. D. Ayton (D. Booker gains possession)"
"3","11:45.0","","","0-0","","J. Crowder misses 3-pt jump shot from 23 ft (block by J. Hayes)"
"4","11:43.0","Defensive rebound by C. McCollum","","0-0","",""
"5","11:33.0","C. McCollum misses 2-pt jump shot from 19 ft","","0-0","",""
"6","11:30.0","Offensive rebound by J. Hayes","","0-0","",""
"7","11:19.0","B. Ingram makes 2-pt jump shot from 15 ft","+2","2-0","",""
"8","11:01.0","","","2-2","+2","D. Booker makes 2-pt jump shot from 15 ft"
"9","10:42.0","B. Ingram misses 2-pt jump shot from 12 ft","","2-2","",""
"10","10:39.0","Offensive rebound by J. Hayes","","2-2","",""
"11","10:33.0","J. Hayes misses 3-pt jump shot from 24 ft","","2-2","",""
"12","10:29.0","","","2-2","","Defensive rebound by D. Booker"
"13","10:21.0","","","2-2","","D. Booker misses 2-pt jump shot from 11 ft"
"14","10:18.0","Defensive rebound by B. Ingram","","2-2","",""
"15","10:05.0","J. Valanciunas misses 2-pt jump shot from 7 ft","","2-2","",""
"16","10:03.0","Offensive rebound by J. Valanciunas","","2-2","",""
"17","10:01.0","J. Valanciunas misses 2-pt layup from 1 ft (block by J. Crowder)","","2-2","",""
"18","10:01.0","","","2-2","","Defensive rebound by J. Crowder"
"19","9:55.0","","","2-4","+2","J. Crowder makes 2-pt jump shot from 11 ft"
"20","9:55.0","","","2-4","","Shooting foul by J. Hayes (drawn by J. Crowder)"
"21","9:55.0","","","2-5","+1","J. Crowder makes free throw 1 of 1"
"22","9:39.0","Turnover by B. Ingram (lost ball; steal by J. Crowder)","","2-5","",""
"23","9:34.0","","","2-8","+3","D. Booker makes 3-pt jump shot from 26 ft"
"24","9:16.0","C. McCollum misses 2-pt jump shot from 17 ft","","2-8","",""
"25","9:13.0","","","2-8","","Defensive rebound by C. Paul"
"26","9:04.0","","","2-8","","C. Paul misses 2-pt jump shot from 10 ft"
"27","9:02.0","Defensive rebound by J. Valanciunas","","2-8","",""
"28","8:54.0","J. Valanciunas makes 2-pt layup from 3 ft (assist by B. Ingram)","+2","4-8","",""
"29","8:39.0","","","4-8","","J. Crowder misses 3-pt jump shot from 25 ft"
"30","8:36.0","Defensive rebound by J. Valanciunas","","4-8","",""
"31","8:31.0","B. Ingram misses 2-pt jump shot from 17 ft","","4-8","",""
"32","8:29.0","","","4-8","","Defensive rebound by J. Crowder"
"33","8:14.0","","","4-8","","J. Crowder misses 2-pt layup from 5 ft (block by C. McCollum)"
"34","8:12.0","Defensive rebound by C. McCollum","","4-8","",""
"35","8:10.0","B. Ingram makes 2-pt layup from 2 ft (assist by C. McCollum)","+2","6-8","",""
"36","8:10.0","Shooting foul by M. Bridges (drawn by B. Ingram)","","6-8","",""
"37","8:10.0","B. Ingram makes free throw 1 of 1","+1","7-8","",""
"38","7:57.0","","","7-11","+3","M. Bridges makes 3-pt jump shot from 27 ft (assist by C. Paul)"
"39","7:43.0","C. McCollum makes 3-pt jump shot from 27 ft (assist by B. Ingram)","+3","10-11","",""
"40","7:27.0","","","10-11","","C. Paul misses 2-pt jump shot from 18 ft"
"41","7:25.0","Defensive rebound by C. McCollum","","10-11","",""
"42","7:21.0","C. McCollum makes 3-pt jump shot from 26 ft","+3","13-11","",""
"43","7:03.0","","","13-14","+3","D. Booker makes 3-pt jump shot from 26 ft (assist by D. Ayton)"
"44","6:52.0","J. Valanciunas misses 2-pt jump shot from 12 ft","","13-14","",""
