"","Time","Phoenix","","Score","","New Orleans"
"2","12:00.0","Jump ball: D. Ayton vs. J. Valanciunas (C. Johnson gains possession)","Jump ball: D. Ayton vs. J. Valanciunas (C. Johnson gains possession)","Jump ball: D. Ayton vs. J. Valanciunas (C. Johnson gains possession)","Jump ball: D. Ayton vs. J. Valanciunas (C. Johnson gains possession)","Jump ball: D. Ayton vs. J. Valanciunas (C. Johnson gains possession)"
"3","11:45.0","D. Ayton misses 2-pt hook shot from 10 ft","","0-0","",""
"4","11:40.0","","","0-0","","Defensive rebound by J. Hayes"
"5","11:34.0","","","0-2","+2","J. Hayes makes 2-pt dunk from 2 ft (assist by B. Ingram)"
"6","11:16.0","C. Paul misses 2-pt jump shot from 12 ft","","0-2","",""
"7","11:14.0","","","0-2","","Defensive rebound by J. Hayes"
"8","11:05.0","","","0-2","","Turnover by J. Valanciunas (bad pass)"
"9","10:46.0","M. Bridges misses 3-pt jump shot from 25 ft","","0-2","",""
"10","10:43.0","","","0-2","","Defensive rebound by J. Hayes"
"11","10:32.0","","","0-2","","Turnover by J. Hayes (bad pass; steal by D. Ayton)"
"12","10:25.0","M. Bridges misses 2-pt layup from 5 ft (block by J. Valanciunas)","","0-2","",""
"13","10:17.0","","","0-2","","Defensive rebound by B. Ingram"
"14","10:14.0","","","0-2","","C. McCollum misses 2-pt layup from 6 ft (block by D. Ayton)"
"15","10:10.0","Defensive rebound by C. Johnson","","0-2","",""
"16","10:09.0","Turnover by C. Johnson (bad pass; steal by C. McCollum)","","0-2","",""
"17","10:09.0","","","0-2","","Personal foul by C. Johnson (drawn by C. McCollum)"
"18","10:00.0","","","0-2","","J. Valanciunas misses 2-pt hook shot from 6 ft"
"19","9:57.0","Defensive rebound by D. Ayton","","0-2","",""
"20","9:54.0","J. Crowder misses 3-pt jump shot from 26 ft","","0-2","",""
"21","9:51.0","","","0-2","","Defensive rebound by J. Hayes"
"22","9:28.0","","","0-2","","B. Ingram misses 2-pt jump shot from 13 ft"
"23","9:24.0","Defensive rebound by J. Crowder","","0-2","",""
"24","9:20.0","C. Paul makes 3-pt jump shot from 26 ft","+3","3-2","",""
"25","9:01.0","","","3-2","","C. McCollum misses 3-pt jump shot from 27 ft"
"26","9:00.0","","","3-2","","Offensive rebound by Team"
"27","9:00.0","Loose ball foul by D. Ayton (drawn by J. Valanciunas)","","3-2","",""
"28","8:52.0","","","3-2","","C. McCollum misses 2-pt jump shot from 14 ft"
"29","8:48.0","","","3-2","","Offensive rebound by H. Jones"
"30","8:45.0","","","3-5","+3","C. McCollum makes 3-pt jump shot from 25 ft (assist by H. Jones)"
"31","8:31.0","D. Ayton makes 2-pt layup from 9 ft (assist by C. Paul)","+2","5-5","",""
"32","8:11.0","","","5-5","","C. McCollum misses 2-pt jump shot from 21 ft"
"33","8:08.0","Defensive rebound by D. Ayton","","5-5","",""
"34","8:04.0","Personal foul by C. McCollum (drawn by M. Bridges)","","5-5","",""
"35","8:00.0","C. Johnson makes 2-pt hook shot from 6 ft (assist by M. Bridges)","+2","7-5","",""
"36","7:40.0","","","7-5","","Turnover by H. Jones (bad pass; steal by J. Crowder)"
"37","7:35.0","C. Johnson makes 3-pt jump shot from 27 ft (assist by C. Paul)","+3","10-5","",""
"38","7:20.0","","","10-8","+3","B. Ingram makes 3-pt jump shot from 27 ft (assist by C. McCollum)"
"39","7:09.0","J. Crowder misses 3-pt jump shot from 26 ft","","10-8","",""
"40","7:06.0","","","10-8","","Defensive rebound by B. Ingram"
"41","6:58.0","","","10-10","+2","B. Ingram makes 2-pt layup from 5 ft"
"42","6:34.0","J. Crowder misses 2-pt layup from 4 ft","","10-10","",""
"43","6:30.0","","","10-10","","Defensive rebound by J. Hayes"
"44","6:29.0","","","10-12","+2","H. Jones makes 2-pt layup from 3 ft (assist by C. McCollum)"
"45","6:28.0","Phoenix full timeout","","10-12","",""
"46","6:13.0","D. Ayton makes 2-pt hook shot from 9 ft","+2","12-12","",""
"47","5:52.0","","","12-12","","Personal foul by C. Johnson (drawn by C. McCollum)"
"48","5:52.0","L. Shamet enters the game for C. Johnson","","12-12","",""
"49","5:45.0","","","12-12","","B. Ingram misses 2-pt jump shot from 17 ft"
"50","5:43.0","Defensive rebound by Team","","12-12","",""
"51","5:30.0","D. Ayton makes 2-pt jump shot from 6 ft (assist by C. Paul)","+2","14-12","",""
"52","5:11.0","","","14-14","+2","C. McCollum makes 2-pt jump shot from 16 ft"
"53","5:02.0","D. Ayton makes 3-pt jump shot from 25 ft (assist by M. Bridges)","+3","17-14","",""
