Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:04.0,D.Booker,1,0-6,1.0,2-pt,layup,3,makes,Phoenix,2022-06-05 11:04:00
10:31.0,D.Booker,1,0-6,1.0,2-pt,jump,20,misses,Phoenix,2022-06-05 10:31:00
7:22.0,D.Booker,1,4-13,1.0,free,throw,2,makes,Phoenix,2022-06-05 07:22:00
7:22.0,D.Booker,1,4-14,1.0,free,throw,2,makes,Phoenix,2022-06-05 07:22:00
6:11.0,D.Booker,1,6-16,1.0,2-pt,layup,ft,misses,Phoenix,2022-06-05 06:11:00
6:09.0,D.Booker,1,6-18,1.0,2-pt,layup,2,makes,Phoenix,2022-06-05 06:09:00
4:58.0,D.Booker,1,7-21,1.0,free,throw,2,makes,Phoenix,2022-06-05 04:58:00
4:58.0,D.Booker,1,7-22,1.0,free,throw,2,makes,Phoenix,2022-06-05 04:58:00
2:19.0,D.Booker,1,18-29,1.0,3-pt,jump,26,makes,Phoenix,2022-06-05 02:19:00
1:56.0,D.Booker,1,18-31,1.0,2-pt,jump,16,makes,Phoenix,2022-06-05 01:56:00
1:15.0,D.Booker,1,21-31,1.0,2-pt,jump,17,misses,Phoenix,2022-06-05 01:15:00
0:31.0,D.Booker,1,23-33,1.0,3-pt,jump,26,misses,Phoenix,2022-06-05 00:31:00
3:23.0,D.Booker,1,48-57,2.0,2-pt,dunk,,makes,Phoenix,2022-06-05 03:23:00
11:20.0,D.Booker,1,58-71,3.0,2-pt,jump,15,makes,Phoenix,2022-06-05 11:20:00
9:00.0,D.Booker,1,65-78,3.0,2-pt,jump,11,makes,Phoenix,2022-06-05 09:00:00
8:17.0,D.Booker,1,68-78,3.0,3-pt,jump,23,misses,Phoenix,2022-06-05 08:17:00
8:09.0,D.Booker,1,68-78,3.0,3-pt,jump,25,misses,Phoenix,2022-06-05 08:09:00
7:53.0,D.Booker,1,68-78,3.0,2-pt,jump,11,misses,Phoenix,2022-06-05 07:53:00
2:43.0,D.Booker,1,75-93,3.0,2-pt,jump,17,misses,Phoenix,2022-06-05 02:43:00
0:42.0,D.Booker,1,79-96,3.0,2-pt,jump,8,misses,Phoenix,2022-06-05 00:42:00
0:02.0,D.Booker,1,79-96,3.0,2-pt,jump,21,misses,Phoenix,2022-06-05 00:02:00
4:44.0,D.Booker,1,93-109,4.0,2-pt,jump,7,misses,Phoenix,2022-06-05 04:44:00
4:13.0,D.Booker,1,95-109,4.0,3-pt,jump,27,misses,Phoenix,2022-06-05 04:13:00
1:26.0,D.Booker,1,102-113,4.0,2-pt,layup,ft,misses,Phoenix,2022-06-05 01:26:00
0:47.0,D.Booker,1,107-114,4.0,free,throw,2,makes,Phoenix,2022-06-05 00:47:00
0:47.0,D.Booker,1,107-115,4.0,free,throw,2,makes,Phoenix,2022-06-05 00:47:00
0:07.0,D.Booker,1,114-120,4.0,free,throw,2,makes,Phoenix,2022-06-05 00:07:00
0:07.0,D.Booker,1,114-121,4.0,free,throw,2,makes,Phoenix,2022-06-05 00:07:00
9:58.0,D.Booker,2,0-7,1.0,2-pt,jump,5,misses,Phoenix,2022-06-05 09:58:00
8:47.0,D.Booker,2,2-11,1.0,2-pt,jump,14,makes,Phoenix,2022-06-05 08:47:00
8:47.0,D.Booker,2,2-12,1.0,free,throw,1,makes,Phoenix,2022-06-05 08:47:00
8:07.0,D.Booker,2,5-14,1.0,2-pt,jump,8,makes,Phoenix,2022-06-05 08:07:00
3:34.0,D.Booker,2,18-26,1.0,2-pt,jump,21,makes,Phoenix,2022-06-05 03:34:00
8:05.0,D.Booker,2,38-38,2.0,2-pt,jump,15,misses,Phoenix,2022-06-05 08:05:00
5:20.0,D.Booker,2,45-43,2.0,3-pt,jump,27,misses,Phoenix,2022-06-05 05:20:00
3:32.0,D.Booker,2,49-47,2.0,2-pt,jump,10,misses,Phoenix,2022-06-05 03:32:00
2:57.0,D.Booker,2,51-49,2.0,2-pt,layup,2,makes,Phoenix,2022-06-05 02:57:00
11:33.0,D.Booker,2,60-61,3.0,3-pt,jump,26,makes,Phoenix,2022-06-05 11:33:00
11:11.0,D.Booker,2,60-64,3.0,3-pt,jump,26,makes,Phoenix,2022-06-05 11:11:00
10:36.0,D.Booker,2,62-66,3.0,2-pt,jump,16,makes,Phoenix,2022-06-05 10:36:00
10:01.0,D.Booker,2,64-66,3.0,3-pt,jump,26,misses,Phoenix,2022-06-05 10:01:00
9:35.0,D.Booker,2,64-66,3.0,3-pt,jump,25,misses,Phoenix,2022-06-05 09:35:00
8:30.0,D.Booker,2,66-69,3.0,free,throw,2,makes,Phoenix,2022-06-05 08:30:00
8:30.0,D.Booker,2,66-70,3.0,free,throw,2,makes,Phoenix,2022-06-05 08:30:00
7:18.0,D.Booker,2,66-70,3.0,2-pt,layup,ft,misses,Phoenix,2022-06-05 07:18:00
1:32.0,D.Booker,2,80-84,3.0,2-pt,jump,17,misses,Phoenix,2022-06-05 01:32:00
1:06.0,D.Booker,2,82-86,3.0,2-pt,jump,8,makes,Phoenix,2022-06-05 01:06:00
5:15.0,D.Booker,2,95-113,4.0,3-pt,jump,27,makes,Phoenix,2022-06-05 05:15:00
4:46.0,D.Booker,2,95-116,4.0,3-pt,jump,27,makes,Phoenix,2022-06-05 04:46:00
4:13.0,D.Booker,2,95-119,4.0,3-pt,jump,26,makes,Phoenix,2022-06-05 04:13:00
9:58.0,D.Booker,2,0-7,1.0,2-pt,jump,5,misses,Phoenix,2022-06-05 09:58:00
8:47.0,D.Booker,2,2-11,1.0,2-pt,jump,14,makes,Phoenix,2022-06-05 08:47:00
8:47.0,D.Booker,2,2-12,1.0,free,throw,1,makes,Phoenix,2022-06-05 08:47:00
8:07.0,D.Booker,2,5-14,1.0,2-pt,jump,8,makes,Phoenix,2022-06-05 08:07:00
3:34.0,D.Booker,2,18-26,1.0,2-pt,jump,21,makes,Phoenix,2022-06-05 03:34:00
8:05.0,D.Booker,2,38-38,2.0,2-pt,jump,15,misses,Phoenix,2022-06-05 08:05:00
5:20.0,D.Booker,2,45-43,2.0,3-pt,jump,27,misses,Phoenix,2022-06-05 05:20:00
3:32.0,D.Booker,2,49-47,2.0,2-pt,jump,10,misses,Phoenix,2022-06-05 03:32:00
2:57.0,D.Booker,2,51-49,2.0,2-pt,layup,2,makes,Phoenix,2022-06-05 02:57:00
11:33.0,D.Booker,2,60-61,3.0,3-pt,jump,26,makes,Phoenix,2022-06-05 11:33:00
11:11.0,D.Booker,2,60-64,3.0,3-pt,jump,26,makes,Phoenix,2022-06-05 11:11:00
10:36.0,D.Booker,2,62-66,3.0,2-pt,jump,16,makes,Phoenix,2022-06-05 10:36:00
10:01.0,D.Booker,2,64-66,3.0,3-pt,jump,26,misses,Phoenix,2022-06-05 10:01:00
9:35.0,D.Booker,2,64-66,3.0,3-pt,jump,25,misses,Phoenix,2022-06-05 09:35:00
8:30.0,D.Booker,2,66-69,3.0,free,throw,2,makes,Phoenix,2022-06-05 08:30:00
8:30.0,D.Booker,2,66-70,3.0,free,throw,2,makes,Phoenix,2022-06-05 08:30:00
7:18.0,D.Booker,2,66-70,3.0,2-pt,layup,ft,misses,Phoenix,2022-06-05 07:18:00
1:32.0,D.Booker,2,80-84,3.0,2-pt,jump,17,misses,Phoenix,2022-06-05 01:32:00
1:06.0,D.Booker,2,82-86,3.0,2-pt,jump,8,makes,Phoenix,2022-06-05 01:06:00
5:15.0,D.Booker,2,95-113,4.0,3-pt,jump,27,makes,Phoenix,2022-06-05 05:15:00
4:46.0,D.Booker,2,95-116,4.0,3-pt,jump,27,makes,Phoenix,2022-06-05 04:46:00
4:13.0,D.Booker,2,95-119,4.0,3-pt,jump,26,makes,Phoenix,2022-06-05 04:13:00
11:42.0,D.Booker,3,3-0,1.0,3-pt,jump,26,makes,Phoenix,2022-06-05 11:42:00
10:37.0,D.Booker,3,6-3,1.0,3-pt,jump,23,makes,Phoenix,2022-06-05 10:37:00
7:46.0,D.Booker,3,9-5,1.0,2-pt,jump,18,misses,Phoenix,2022-06-05 07:46:00
3:06.0,D.Booker,3,15-22,1.0,free,throw,2,misses,Phoenix,2022-06-05 03:06:00
3:06.0,D.Booker,3,16-22,1.0,free,throw,2,makes,Phoenix,2022-06-05 03:06:00
2:01.0,D.Booker,3,16-24,1.0,3-pt,jump,25,misses,Phoenix,2022-06-05 02:01:00
0:02.0,D.Booker,3,20-29,1.0,3-pt,jump,25,misses,Phoenix,2022-06-05 00:02:00
5:26.0,D.Booker,3,29-39,2.0,2-pt,jump,14,makes,Phoenix,2022-06-05 05:26:00
3:01.0,D.Booker,3,34-45,2.0,2-pt,jump,5,misses,Phoenix,2022-06-05 03:01:00
0:05.0,D.Booker,3,44-51,2.0,2-pt,jump,10,misses,Phoenix,2022-06-05 00:05:00
6:46.0,D.Booker,3,51-69,3.0,2-pt,layup,ft,misses,Phoenix,2022-06-05 06:46:00
5:47.0,D.Booker,3,55-71,3.0,2-pt,jump,14,makes,Phoenix,2022-06-05 05:47:00
2:38.0,D.Booker,3,63-75,3.0,3-pt,jump,25,makes,Phoenix,2022-06-05 02:38:00
1:13.0,D.Booker,3,63-80,3.0,free,throw,2,misses,Phoenix,2022-06-05 01:13:00
1:13.0,D.Booker,3,64-80,3.0,free,throw,2,makes,Phoenix,2022-06-05 01:13:00
7:52.0,D.Booker,3,76-90,4.0,3-pt,jump,25,makes,Phoenix,2022-06-05 07:52:00
