Time,player_name,Regular Season Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:43.0,D.Booker,1,0-0,1.0,3-pt,jump,24,misses,Phoenix,2022-06-12 11:43:00
10:33.0,D.Booker,1,0-0,1.0,3-pt,jump,25,misses,Phoenix,2022-06-12 10:33:00
8:33.0,D.Booker,1,6-0,1.0,2-pt,jump,7,misses,Phoenix,2022-06-12 08:33:00
6:52.0,D.Booker,1,8-4,1.0,2-pt,layup,3,makes,Phoenix,2022-06-12 06:52:00
6:31.0,D.Booker,1,8-7,1.0,3-pt,jump,26,makes,Phoenix,2022-06-12 06:31:00
5:15.0,D.Booker,1,14-11,1.0,2-pt,jump,21,makes,Phoenix,2022-06-12 05:15:00
4:53.0,D.Booker,1,14-13,1.0,free,throw,1,misses,Phoenix,2022-06-12 04:53:00
4:53.0,D.Booker,1,14-13,1.0,2-pt,layup,3,makes,Phoenix,2022-06-12 04:53:00
3:51.0,D.Booker,1,14-15,1.0,2-pt,jump,10,makes,Phoenix,2022-06-12 03:51:00
6:35.0,D.Booker,1,33-34,2.0,2-pt,jump,10,misses,Phoenix,2022-06-12 06:35:00
3:28.0,D.Booker,1,41-43,2.0,2-pt,jump,19,makes,Phoenix,2022-06-12 03:28:00
1:40.0,D.Booker,1,43-45,2.0,2-pt,jump,16,makes,Phoenix,2022-06-12 01:40:00
0:45.0,D.Booker,1,43-45,2.0,2-pt,jump,7,misses,Phoenix,2022-06-12 00:45:00
10:02.0,D.Booker,1,49-48,3.0,2-pt,jump,12,misses,Phoenix,2022-06-12 10:02:00
9:37.0,D.Booker,1,52-48,3.0,2-pt,jump,14,misses,Phoenix,2022-06-12 09:37:00
5:59.0,D.Booker,1,59-55,3.0,2-pt,jump,11,misses,Phoenix,2022-06-12 05:59:00
5:27.0,D.Booker,1,59-57,3.0,2-pt,jump,18,makes,Phoenix,2022-06-12 05:27:00
4:30.0,D.Booker,1,65-59,3.0,2-pt,layup,6,makes,Phoenix,2022-06-12 04:30:00
3:54.0,D.Booker,1,65-59,3.0,2-pt,layup,ft,misses,Phoenix,2022-06-12 03:54:00
3:01.0,D.Booker,1,65-61,3.0,2-pt,jump,19,misses,Phoenix,2022-06-12 03:01:00
5:32.0,D.Booker,1,86-87,4.0,2-pt,layup,6,makes,Phoenix,2022-06-12 05:32:00
0:50.0,D.Booker,1,96-103,4.0,3-pt,jump,27,makes,Phoenix,2022-06-12 00:50:00
10:45.0,D.Booker,2,4-3,1.0,3-pt,jump,23,misses,Phoenix,2022-06-12 10:45:00
9:02.0,D.Booker,2,8-5,1.0,3-pt,jump,26,misses,Phoenix,2022-06-12 09:02:00
8:37.0,D.Booker,2,11-7,1.0,2-pt,jump,8,makes,Phoenix,2022-06-12 08:37:00
5:23.0,D.Booker,2,14-18,1.0,2-pt,jump,19,makes,Phoenix,2022-06-12 05:23:00
3:38.0,D.Booker,2,17-18,1.0,2-pt,jump,7,misses,Phoenix,2022-06-12 03:38:00
3:09.0,D.Booker,2,18-18,1.0,3-pt,jump,27,misses,Phoenix,2022-06-12 03:09:00
2:41.0,D.Booker,2,18-18,1.0,2-pt,jump,12,misses,Phoenix,2022-06-12 02:41:00
5:46.0,D.Booker,2,39-38,2.0,3-pt,jump,27,misses,Phoenix,2022-06-12 05:46:00
2:02.0,D.Booker,2,46-51,2.0,2-pt,jump,20,makes,Phoenix,2022-06-12 02:02:00
1:28.0,D.Booker,2,49-51,2.0,2-pt,jump,12,misses,Phoenix,2022-06-12 01:28:00
1:17.0,D.Booker,2,49-51,2.0,2-pt,jump,14,misses,Phoenix,2022-06-12 01:17:00
0:00.0,D.Booker,2,51-55,2.0,2-pt,jump,23,misses,Phoenix,2022-06-12 00:00:00
10:22.0,D.Booker,2,56-59,3.0,2-pt,jump,18,makes,Phoenix,2022-06-12 10:22:00
8:31.0,D.Booker,2,60-64,3.0,3-pt,jump,30,makes,Phoenix,2022-06-12 08:31:00
5:51.0,D.Booker,2,68-64,3.0,2-pt,jump,17,misses,Phoenix,2022-06-12 05:51:00
5:47.0,D.Booker,2,68-65,3.0,free,throw,2,makes,Phoenix,2022-06-12 05:47:00
5:47.0,D.Booker,2,68-66,3.0,free,throw,2,makes,Phoenix,2022-06-12 05:47:00
3:15.0,D.Booker,2,75-71,3.0,2-pt,layup,ft,misses,Phoenix,2022-06-12 03:15:00
4:14.0,D.Booker,2,90-103,4.0,3-pt,jump,25,makes,Phoenix,2022-06-12 04:14:00
2:56.0,D.Booker,2,95-108,4.0,3-pt,jump,26,makes,Phoenix,2022-06-12 02:56:00
2:03.0,D.Booker,2,95-108,4.0,3-pt,jump,27,misses,Phoenix,2022-06-12 02:03:00
1:35.0,D.Booker,2,97-110,4.0,2-pt,jump,16,misses,Phoenix,2022-06-12 01:35:00
11:28.0,D.Booker,3,3-0,1.0,3-pt,jump,23,makes,Phoenix,2022-06-12 11:28:00
10:52.0,D.Booker,3,3-0,1.0,3-pt,jump,26,misses,Phoenix,2022-06-12 10:52:00
9:53.0,D.Booker,3,5-0,1.0,2-pt,jump,11,misses,Phoenix,2022-06-12 09:53:00
6:41.0,D.Booker,3,11-10,1.0,2-pt,jump,17,makes,Phoenix,2022-06-12 06:41:00
6:23.0,D.Booker,3,11-13,1.0,3-pt,jump,26,misses,Phoenix,2022-06-12 06:23:00
5:40.0,D.Booker,3,13-13,1.0,2-pt,jump,13,makes,Phoenix,2022-06-12 05:40:00
4:11.0,D.Booker,3,17-17,1.0,2-pt,jump,9,makes,Phoenix,2022-06-12 04:11:00
4:11.0,D.Booker,3,18-17,1.0,free,throw,1,makes,Phoenix,2022-06-12 04:11:00
2:33.0,D.Booker,3,20-19,1.0,3-pt,jump,26,misses,Phoenix,2022-06-12 02:33:00
2:25.0,D.Booker,3,20-19,1.0,3-pt,jump,23,misses,Phoenix,2022-06-12 02:25:00
0:42.0,D.Booker,3,22-26,1.0,2-pt,jump,10,makes,Phoenix,2022-06-12 00:42:00
6:01.0,D.Booker,3,32-38,2.0,2-pt,jump,16,misses,Phoenix,2022-06-12 06:01:00
5:27.0,D.Booker,3,32-38,2.0,3-pt,jump,23,misses,Phoenix,2022-06-12 05:27:00
4:23.0,D.Booker,3,34-42,2.0,2-pt,layup,2,makes,Phoenix,2022-06-12 04:23:00
3:08.0,D.Booker,3,40-42,2.0,2-pt,layup,4,makes,Phoenix,2022-06-12 03:08:00
1:47.0,D.Booker,3,42-45,2.0,2-pt,jump,11,misses,Phoenix,2022-06-12 01:47:00
11:12.0,D.Booker,3,45-55,3.0,2-pt,jump,15,misses,Phoenix,2022-06-12 11:12:00
10:02.0,D.Booker,3,50-59,3.0,2-pt,layup,4,makes,Phoenix,2022-06-12 10:02:00
6:34.0,D.Booker,3,61-66,3.0,2-pt,layup,2,makes,Phoenix,2022-06-12 06:34:00
4:55.0,D.Booker,3,69-68,3.0,2-pt,layup,3,makes,Phoenix,2022-06-12 04:55:00
2:16.0,D.Booker,3,72-74,3.0,3-pt,jump,27,misses,Phoenix,2022-06-12 02:16:00
0:43.0,D.Booker,3,74-80,3.0,2-pt,jump,13,misses,Phoenix,2022-06-12 00:43:00
5:33.0,D.Booker,3,92-95,4.0,2-pt,jump,20,misses,Phoenix,2022-06-12 05:33:00
5:14.0,D.Booker,3,92-95,4.0,2-pt,layup,ft,misses,Phoenix,2022-06-12 05:14:00
5:10.0,D.Booker,3,93-95,4.0,free,throw,2,makes,Phoenix,2022-06-12 05:10:00
5:10.0,D.Booker,3,94-95,4.0,free,throw,2,makes,Phoenix,2022-06-12 05:10:00
4:53.0,D.Booker,3,96-95,4.0,2-pt,layup,4,makes,Phoenix,2022-06-12 04:53:00
2:25.0,D.Booker,3,101-99,4.0,3-pt,jump,26,misses,Phoenix,2022-06-12 02:25:00
0:09.0,D.Booker,3,108-101,4.0,free,throw,2,makes,Phoenix,2022-06-12 00:09:00
0:09.0,D.Booker,3,109-101,4.0,free,throw,2,makes,Phoenix,2022-06-12 00:09:00
