"","Time","Milwaukee","","Score","","Chicago"
"2","12:00.0","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)","Jump ball: B. Lopez vs. N. Vucevic (G. Antetokounmpo gains possession)"
"3","11:47.0","J. Holiday makes 2-pt jump shot from 14 ft (assist by W. Matthews)","+2","2-0","",""
"4","11:29.0","","","2-0","","N. Vucevic misses 3-pt jump shot from 23 ft"
"5","11:26.0","Defensive rebound by B. Portis","","2-0","",""
"6","11:21.0","Turnover by J. Holiday (bad pass; steal by D. DeRozan)","","2-0","",""
"7","11:17.0","","","2-2","+2","D. DeRozan makes 2-pt layup from 2 ft"
"8","11:03.0","B. Portis misses 2-pt jump shot from 16 ft","","2-2","",""
"9","10:59.0","","","2-2","","Defensive rebound by N. Vucevic"
"10","10:50.0","","","2-2","","Z. LaVine misses 2-pt jump shot from 19 ft"
"11","10:46.0","Defensive rebound by J. Holiday","","2-2","",""
"12","10:41.0","Personal foul by A. Caruso (drawn by J. Holiday)","","2-2","",""
"13","10:33.0","G. Antetokounmpo misses 2-pt layup from 2 ft (block by A. Caruso)","","2-2","",""
"14","10:29.0","","","2-2","","Defensive rebound by A. Caruso"
"15","10:29.0","","","2-2","","Personal foul by J. Holiday (drawn by A. Caruso)"
"16","10:27.0","","","2-2","","Personal foul by W. Matthews (drawn by D. DeRozan)"
"17","10:17.0","","","2-5","+3","Z. LaVine makes 3-pt jump shot from 30 ft (assist by A. Caruso)"
"18","10:01.0","G. Antetokounmpo makes 2-pt jump shot from 6 ft","+2","4-5","",""
"19","9:48.0","","","4-5","","N. Vucevic misses 3-pt jump shot from 25 ft"
"20","9:46.0","Defensive rebound by B. Portis","","4-5","",""
"21","9:36.0","B. Lopez misses 3-pt jump shot from 25 ft","","4-5","",""
"22","9:31.0","","","4-5","","Defensive rebound by N. Vucevic"
"23","9:21.0","","","4-5","","D. DeRozan misses 2-pt jump shot from 17 ft"
"24","9:19.0","Defensive rebound by G. Antetokounmpo","","4-5","",""
"25","9:07.0","J. Holiday makes 3-pt jump shot from 26 ft","+3","7-5","",""
"26","8:44.0","","","7-5","","P. Williams misses 2-pt layup from 2 ft (block by B. Lopez)"
"27","8:42.0","Defensive rebound by B. Lopez","","7-5","",""
"28","8:40.0","Shooting foul by D. DeRozan (drawn by G. Antetokounmpo)","","7-5","",""
"29","8:40.0","G. Antetokounmpo misses free throw 1 of 2","","7-5","",""
"30","8:40.0","Offensive rebound by Team","","7-5","",""
"31","8:40.0","G. Antetokounmpo makes free throw 2 of 2","+1","8-5","",""
"32","8:27.0","","","8-8","+3","Z. LaVine makes 3-pt jump shot from 25 ft (assist by N. Vucevic)"
"33","8:06.0","J. Holiday makes 3-pt jump shot from 24 ft (assist by B. Lopez)","+3","11-8","",""
"34","7:39.0","","","11-8","","D. DeRozan misses 3-pt jump shot from 25 ft"
"35","7:36.0","Defensive rebound by W. Matthews","","11-8","",""
"36","7:26.0","G. Antetokounmpo misses 2-pt layup from 3 ft (block by A. Caruso)","","11-8","",""
"37","7:26.0","Offensive rebound by Team","","11-8","",""
"38","7:26.0","J. Carter enters the game for J. Holiday","","11-8","",""
"39","7:18.0","W. Matthews misses 3-pt jump shot from 25 ft","","11-8","",""
"40","7:15.0","","","11-8","","Defensive rebound by N. Vucevic"
"41","7:08.0","","","11-10","+2","N. Vucevic makes 2-pt layup from 2 ft (assist by Z. LaVine)"
"42","6:56.0","B. Lopez misses 2-pt jump shot from 15 ft","","11-10","",""
"43","6:53.0","","","11-10","","Defensive rebound by Z. LaVine"
"44","6:37.0","","","11-10","","P. Williams misses 3-pt jump shot from 23 ft"
"45","6:34.0","Defensive rebound by W. Matthews","","11-10","",""
"46","6:26.0","W. Matthews misses 3-pt jump shot from 25 ft","","11-10","",""
"47","6:24.0","Offensive rebound by G. Antetokounmpo","","11-10","",""
"48","6:23.0","B. Lopez misses 3-pt jump shot from 25 ft","","11-10","",""
"49","6:22.0","","","11-10","","Defensive rebound by Z. LaVine"
"50","6:22.0","","","11-10","","Chicago full timeout"
"51","6:22.0","G. Allen enters the game for G. Antetokounmpo","","11-10","",""
"52","6:22.0","J. Holiday enters the game for W. Matthews","","11-10","",""
"53","6:22.0","","","11-10","","T. Thompson enters the game for A. Caruso"
"54","6:22.0","","","11-10","","C. White enters the game for N. Vucevic"
"55","6:01.0","","","11-10","","C. White misses 3-pt jump shot from 24 ft"
"56","5:58.0","Defensive rebound by J. Carter","","11-10","",""
"57","5:48.0","Shooting foul by P. Williams (drawn by B. Portis)","","11-10","",""
"58","5:48.0","B. Portis misses free throw 1 of 3","","11-10","",""
"59","5:48.0","Offensive rebound by Team","","11-10","",""
"60","5:48.0","B. Portis makes free throw 2 of 3","+1","12-10","",""
"61","5:48.0","B. Portis misses free throw 3 of 3","","12-10","",""
"62","5:44.0","","","12-10","","Defensive rebound by P. Williams"
"63","5:36.0","","","12-10","","Turnover by C. White (lost ball; steal by G. Allen)"
"64","5:36.0","Personal foul by C. White (drawn by G. Allen)","","12-10","",""
"65","5:21.0","B. Portis makes 2-pt hook shot from 5 ft","+2","14-10","",""
"66","5:08.0","","","14-12","+2","D. DeRozan makes 2-pt jump shot from 21 ft (assist by Z. LaVine)"
"67","4:54.0","B. Portis makes 2-pt jump shot from 16 ft","+2","16-12","",""
"68","4:29.0","","","16-12","","Turnover by C. White (lost ball; steal by G. Allen)"
"69","4:24.0","G. Allen makes 2-pt layup from 1 ft","+2","18-12","",""
"70","4:13.0","","","18-12","","Personal foul by J. Carter (drawn by Z. LaVine)"
"71","4:13.0","P. Connaughton enters the game for J. Carter","","18-12","",""
"72","4:13.0","","","18-12","","D. Jones enters the game for T. Thompson"
"73","4:13.0","","","18-12","","N. Vucevic enters the game for P. Williams"
"74","3:57.0","","","18-12","","Z. LaVine misses 2-pt jump shot from 20 ft"
"75","3:56.0","Defensive rebound by B. Lopez","","18-12","",""
"76","3:48.0","B. Portis makes 2-pt jump shot from 19 ft","+2","20-12","",""
"77","3:20.0","","","20-12","","N. Vucevic misses 2-pt jump shot from 14 ft"
"78","3:18.0","Defensive rebound by B. Portis","","20-12","",""
"79","3:11.0","Milwaukee full timeout","","20-12","",""
"80","3:11.0","G. Antetokounmpo enters the game for B. Lopez","","20-12","",""
"81","3:11.0","","","20-12","","A. Caruso enters the game for D. DeRozan"
"82","3:11.0","","","20-12","","A. Dosunmu enters the game for C. White"
"83","3:06.0","Turnover by B. Portis (traveling)","","20-12","",""
"84","2:50.0","","","20-14","+2","N. Vucevic makes 2-pt hook shot from 5 ft (assist by Z. LaVine)"
"85","2:31.0","G. Allen makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo)","+3","23-14","",""
"86","2:04.0","","","23-16","+2","N. Vucevic makes 2-pt jump shot from 14 ft (assist by Z. LaVine)"
"87","1:54.0","Turnover by J. Holiday (bad pass; steal by A. Caruso)","","23-16","",""
"88","1:49.0","","","23-18","+2","Z. LaVine makes 2-pt layup from 2 ft (assist by A. Caruso)"
"89","1:33.0","J. Holiday misses 3-pt jump shot from 25 ft","","23-18","",""
"90","1:31.0","","","23-18","","Defensive rebound by N. Vucevic"
"91","1:25.0","","","23-20","+2","Z. LaVine makes 2-pt jump shot from 7 ft (assist by A. Caruso)"
"92","1:04.0","G. Antetokounmpo makes 2-pt dunk from 1 ft","+2","25-20","",""
"93","0:40.0","","","25-22","+2","Z. LaVine makes 2-pt jump shot from 22 ft (assist by N. Vucevic)"
"94","0:31.0","B. Portis misses 3-pt jump shot from 27 ft","","25-22","",""
"95","0:28.0","","","25-22","","Defensive rebound by D. Jones"
"96","0:06.0","","","25-22","","Z. LaVine misses 2-pt jump shot from 17 ft"
"97","0:06.0","","","25-22","","Offensive rebound by Team"
"98","0:06.0","","","25-22","","Turnover by Team (shot clock)"
"99","0:00.0","Turnover by G. Antetokounmpo (lost ball; steal by D. Jones)","","25-22","",""
"100","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"101","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"102","Time","Milwaukee","","Score","","Chicago"
"103","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"104","11:36.0","","","25-22","","D. Jones misses 2-pt layup from 3 ft (block by P. Connaughton)"
"105","11:36.0","","","25-22","","Offensive rebound by Team"
"106","11:32.0","","","25-22","","D. DeRozan misses 2-pt jump shot from 16 ft"
"107","11:29.0","Defensive rebound by P. Connaughton","","25-22","",""
"108","11:20.0","G. Allen misses 2-pt jump shot from 3 ft","","25-22","",""
"109","11:18.0","","","25-22","","Defensive rebound by N. Vucevic"
"110","11:13.0","","","25-24","+2","D. Jones makes 2-pt dunk at rim (assist by A. Caruso)"
"111","10:53.0","P. Connaughton misses 3-pt jump shot from 25 ft","","25-24","",""
"112","10:50.0","","","25-24","","Defensive rebound by Team"
"113","10:50.0","J. Holiday enters the game for J. Carter","","25-24","",""
"114","10:36.0","","","25-24","","A. Caruso misses 3-pt jump shot from 26 ft"
"115","10:33.0","Defensive rebound by G. Allen","","25-24","",""
"116","10:28.0","Offensive foul by G. Antetokounmpo (drawn by N. Vucevic)","","25-24","",""
"117","10:28.0","Turnover by G. Antetokounmpo (offensive foul)","","25-24","",""
"118","10:09.0","","","25-24","","N. Vucevic misses 3-pt jump shot from 23 ft"
"119","10:07.0","Defensive rebound by G. Antetokounmpo","","25-24","",""
"120","10:01.0","G. Allen makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)","+3","28-24","",""
"121","9:43.0","","","28-24","","Turnover by D. DeRozan (bad pass; steal by G. Allen)"
"122","9:38.0","P. Connaughton makes 3-pt jump shot from 25 ft (assist by J. Holiday)","+3","31-24","",""
"123","9:37.0","","","31-24","","Chicago full timeout"
"124","9:19.0","","","31-26","+2","N. Vucevic makes 2-pt jump shot from 6 ft (assist by D. DeRozan)"
"125","9:09.0","G. Antetokounmpo makes 2-pt layup from 1 ft","+2","33-26","",""
"126","9:09.0","Shooting foul by A. Caruso (drawn by G. Antetokounmpo)","","33-26","",""
"127","9:09.0","","","33-26","","Z. LaVine enters the game for A. Dosunmu"
"128","9:09.0","G. Antetokounmpo makes free throw 1 of 1","+1","34-26","",""
"129","8:53.0","","","34-28","+2","D. DeRozan makes 2-pt jump shot from 18 ft (assist by Z. LaVine)"
"130","8:39.0","G. Allen makes 3-pt jump shot from 23 ft (assist by J. Holiday)","+3","37-28","",""
"131","8:24.0","","","37-28","","Personal foul by W. Matthews (drawn by D. DeRozan)"
"132","8:18.0","","","37-28","","Turnover by D. Jones (off goaltending)"
"133","8:01.0","G. Antetokounmpo makes 2-pt jump shot from 5 ft","+2","39-28","",""
"134","7:42.0","","","39-31","+3","D. Jones makes 3-pt jump shot from 23 ft (assist by Z. LaVine)"
"135","7:34.0","J. Holiday misses 2-pt jump shot from 14 ft","","39-31","",""
"136","7:28.0","","","39-31","","Defensive rebound by A. Caruso"
"137","7:23.0","","","39-31","","D. Jones misses 3-pt jump shot from 23 ft"
"138","7:20.0","Defensive rebound by P. Connaughton","","39-31","",""
"139","7:12.0","G. Antetokounmpo misses 3-pt jump shot from 26 ft","","39-31","",""
"140","7:10.0","","","39-31","","Defensive rebound by A. Caruso"
"141","6:50.0","","","39-31","","Turnover by D. Jones (traveling)"
"142","6:50.0","B. Lopez enters the game for G. Allen","","39-31","",""
"143","6:50.0","B. Portis enters the game for G. Antetokounmpo","","39-31","",""
"144","6:50.0","","","39-31","","T. Thompson enters the game for D. Jones"
"145","6:50.0","","","39-31","","P. Williams enters the game for N. Vucevic"
"146","6:37.0","J. Holiday misses 2-pt jump shot from 5 ft","","39-31","",""
"147","6:34.0","","","39-31","","Defensive rebound by A. Caruso"
"148","6:27.0","","","39-31","","Offensive foul by T. Thompson (drawn by B. Lopez)"
"149","6:27.0","","","39-31","","Turnover by T. Thompson (offensive foul)"
"150","6:27.0","J. Carter enters the game for W. Matthews","","39-31","",""
"151","6:03.0","B. Portis misses 2-pt jump shot from 10 ft","","39-31","",""
"152","6:01.0","","","39-31","","Defensive rebound by D. DeRozan"
"153","5:56.0","","","39-31","","P. Williams misses 2-pt jump shot from 6 ft"
"154","5:54.0","Defensive rebound by P. Connaughton","","39-31","",""
"155","5:49.0","B. Portis makes 2-pt jump shot from 5 ft (assist by J. Holiday)","+2","41-31","",""
"156","5:49.0","","","41-31","","Chicago full timeout"
"157","5:49.0","","","41-31","","A. Dosunmu enters the game for A. Caruso"
"158","5:34.0","","","41-31","","Z. LaVine misses 3-pt jump shot from 27 ft"
"159","5:31.0","Defensive rebound by B. Portis","","41-31","",""
"160","5:16.0","B. Portis makes 2-pt jump shot from 8 ft","+2","43-31","",""
"161","5:03.0","","","43-34","+3","P. Williams makes 3-pt jump shot from 23 ft (assist by T. Thompson)"
"162","4:53.0","Offensive foul by B. Lopez (drawn by D. DeRozan)","","43-34","",""
"163","4:53.0","Turnover by B. Lopez (offensive foul)","","43-34","",""
"164","4:44.0","","","43-34","","Offensive foul by T. Thompson (drawn by P. Connaughton)"
"165","4:44.0","","","43-34","","Turnover by T. Thompson (offensive foul)"
"166","4:44.0","G. Antetokounmpo enters the game for P. Connaughton","","43-34","",""
"167","4:19.0","J. Carter makes 3-pt jump shot from 26 ft (assist by J. Holiday)","+3","46-34","",""
"168","4:04.0","","","46-36","+2","P. Williams makes 2-pt jump shot from 17 ft"
"169","3:47.0","J. Holiday misses 2-pt jump shot from 21 ft","","46-36","",""
"170","3:47.0","","","46-36","","Defensive rebound by T. Thompson"
"171","3:44.0","","","46-36","","Turnover by T. Thompson (bad pass; steal by B. Lopez)"
"172","3:42.0","Offensive foul by G. Antetokounmpo (drawn by D. DeRozan)","","46-36","",""
"173","3:42.0","Turnover by G. Antetokounmpo (offensive foul)","","46-36","",""
"174","3:42.0","","","46-36","","A. Caruso enters the game for A. Dosunmu"
"175","3:42.0","","","46-36","","N. Vucevic enters the game for T. Thompson"
"176","3:21.0","","","46-36","","Z. LaVine misses 2-pt layup from 2 ft (block by G. Antetokounmpo)"
"177","3:16.0","Defensive rebound by B. Lopez","","46-36","",""
"178","3:14.0","G. Antetokounmpo makes 2-pt jump shot from 4 ft","+2","48-36","",""
"179","3:00.0","","","48-36","","Personal foul by J. Holiday (drawn by D. DeRozan)"
"180","3:00.0","G. Allen enters the game for B. Portis","","48-36","",""
"181","2:51.0","","","48-39","+3","N. Vucevic makes 3-pt jump shot from 27 ft (assist by Z. LaVine)"
"182","2:39.0","G. Allen makes 3-pt jump shot from 26 ft (assist by J. Holiday)","+3","51-39","",""
"183","2:20.0","","","51-39","","D. DeRozan misses 3-pt jump shot from 23 ft"
"184","2:18.0","Defensive rebound by G. Antetokounmpo","","51-39","",""
"185","2:07.0","J. Holiday makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)","+3","54-39","",""
"186","1:51.0","","","54-39","","Z. LaVine misses 3-pt jump shot from 26 ft"
"187","1:49.0","Defensive rebound by G. Antetokounmpo","","54-39","",""
"188","1:44.0","Offensive foul by J. Carter (drawn by A. Caruso)","","54-39","",""
"189","1:44.0","Turnover by J. Carter (offensive foul)","","54-39","",""
"190","1:44.0","W. Matthews enters the game for G. Antetokounmpo","","54-39","",""
"191","1:44.0","B. Portis enters the game for J. Holiday","","54-39","",""
"192","1:44.0","","","54-39","","A. Dosunmu enters the game for A. Caruso"
