"","Time","Chicago","","Score","","Milwaukee"
"2","12:00.0","Jump ball: N. Vucevic vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: N. Vucevic vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: N. Vucevic vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: N. Vucevic vs. B. Lopez (G. Antetokounmpo gains possession)","Jump ball: N. Vucevic vs. B. Lopez (G. Antetokounmpo gains possession)"
"3","11:37.0","","","0-0","","B. Portis misses 3-pt jump shot from 23 ft"
"4","11:36.0","","","0-0","","Offensive rebound by G. Antetokounmpo"
"5","11:35.0","","","0-2","+2","G. Antetokounmpo makes 2-pt dunk at rim"
"6","11:18.0","N. Vucevic misses 2-pt jump shot from 17 ft","","0-2","",""
"7","11:14.0","","","0-2","","Defensive rebound by W. Matthews"
"8","11:11.0","","","0-2","","Shooting foul by P. Williams (drawn by G. Antetokounmpo)"
"9","11:11.0","","","0-2","","G. Antetokounmpo misses free throw 1 of 2"
"10","11:11.0","","","0-2","","Offensive rebound by Team"
"11","11:11.0","","","0-3","+1","G. Antetokounmpo makes free throw 2 of 2"
"12","10:57.0","P. Williams makes 2-pt jump shot from 15 ft","+2","2-3","",""
"13","10:36.0","","","2-3","","B. Portis misses 3-pt jump shot from 23 ft"
"14","10:33.0","Defensive rebound by N. Vucevic","","2-3","",""
"15","10:30.0","N. Vucevic misses 3-pt jump shot from 27 ft","","2-3","",""
"16","10:26.0","","","2-3","","Defensive rebound by B. Portis"
"17","10:18.0","","","2-3","","B. Lopez misses 2-pt jump shot from 10 ft"
"18","10:15.0","Defensive rebound by N. Vucevic","","2-3","",""
"19","10:02.0","P. Williams misses 2-pt jump shot from 16 ft","","2-3","",""
"20","9:59.0","","","2-3","","Defensive rebound by G. Antetokounmpo"
"21","9:57.0","","","2-3","","Personal foul by J. Green (drawn by G. Antetokounmpo)"
"22","9:48.0","","","2-3","","Turnover by J. Holiday (bad pass; steal by J. Green)"
"23","9:43.0","J. Green makes 2-pt layup from 1 ft","+2","4-3","",""
"24","9:25.0","","","4-3","","J. Holiday misses 2-pt jump shot from 18 ft"
"25","9:23.0","Defensive rebound by J. Green","","4-3","",""
"26","9:16.0","A. Dosunmu misses 3-pt jump shot from 26 ft","","4-3","",""
"27","9:12.0","","","4-3","","Defensive rebound by B. Portis"
"28","9:06.0","","","4-3","","Personal foul by N. Vucevic (drawn by G. Antetokounmpo)"
"29","9:06.0","Chicago full timeout","","4-3","",""
"30","8:56.0","","","4-3","","W. Matthews misses 2-pt layup from 3 ft (block by N. Vucevic)"
"31","8:56.0","","","4-3","","Offensive rebound by Team"
"32","8:48.0","","","4-3","","B. Lopez misses 2-pt jump shot from 18 ft"
"33","8:46.0","Defensive rebound by N. Vucevic","","4-3","",""
"34","8:40.0","N. Vucevic misses 3-pt jump shot from 28 ft","","4-3","",""
"35","8:36.0","","","4-3","","Defensive rebound by G. Antetokounmpo"
"36","8:27.0","","","4-6","+3","J. Holiday makes 3-pt jump shot from 25 ft"
"37","8:10.0","Turnover by D. DeRozan (lost ball; steal by W. Matthews)","","4-6","",""
"38","8:04.0","","","4-8","+2","G. Antetokounmpo makes 2-pt layup from 1 ft (assist by J. Holiday)"
"39","7:51.0","P. Williams makes 3-pt jump shot from 25 ft (assist by N. Vucevic)","+3","7-8","",""
"40","7:38.0","Violation by Team (kicked ball)","","7-8","",""
"41","7:28.0","","","7-10","+2","B. Lopez makes 2-pt layup from 3 ft"
"42","7:13.0","A. Dosunmu misses 3-pt jump shot from 26 ft","","7-10","",""
"43","7:10.0","","","7-10","","Defensive rebound by J. Holiday"
"44","7:04.0","","","7-10","","Turnover by B. Portis (lost ball; steal by J. Green)"
"45","7:02.0","Turnover by J. Green (bad pass)","","7-10","",""
"46","7:02.0","","","7-10","","G. Allen enters the game for B. Lopez"
"47","6:56.0","","","7-12","+2","G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by J. Holiday)"
"48","6:32.0","J. Green misses 3-pt jump shot from 24 ft","","7-12","",""
"49","6:29.0","","","7-12","","Defensive rebound by G. Allen"
"50","6:27.0","","","7-14","+2","G. Allen makes 2-pt layup from 3 ft"
"51","6:08.0","A. Dosunmu misses 2-pt jump shot from 11 ft","","7-14","",""
"52","6:04.0","","","7-14","","Defensive rebound by B. Portis"
"53","5:57.0","","","7-14","","Offensive foul by G. Antetokounmpo (drawn by D. DeRozan)"
"54","5:57.0","","","7-14","","Turnover by G. Antetokounmpo (offensive foul)"
"55","5:57.0","C. White enters the game for A. Dosunmu","","7-14","",""
"56","5:57.0","","","7-14","","B. Lopez enters the game for G. Antetokounmpo"
"57","5:36.0","D. DeRozan misses 2-pt jump shot from 18 ft","","7-14","",""
"58","5:33.0","","","7-14","","Defensive rebound by G. Allen"
"59","5:25.0","","","7-14","","Turnover by J. Holiday (bad pass; steal by C. White)"
"60","5:22.0","Turnover by J. Green (out of bounds lost ball)","","7-14","",""
"61","5:22.0","T. Brown enters the game for J. Green","","7-14","",""
"62","5:04.0","","","7-16","+2","J. Holiday makes 2-pt hook shot from 6 ft"
"63","4:52.0","Offensive foul by D. DeRozan (drawn by W. Matthews)","","7-16","",""
"64","4:52.0","Turnover by D. DeRozan (offensive foul)","","7-16","",""
"65","4:52.0","","","7-16","","P. Connaughton enters the game for W. Matthews"
"66","4:37.0","","","7-18","+2","G. Allen makes 2-pt jump shot from 12 ft"
"67","4:10.0","T. Brown misses 3-pt jump shot from 24 ft","","7-18","",""
"68","4:07.0","","","7-18","","Defensive rebound by B. Lopez"
"69","3:55.0","","","7-20","+2","B. Lopez makes 2-pt layup from 1 ft (assist by J. Holiday)"
"70","3:42.0","C. White makes 3-pt jump shot from 27 ft (assist by T. Brown)","+3","10-20","",""
"71","3:37.0","","","10-20","","Milwaukee full timeout"
"72","3:37.0","D. Jones enters the game for P. Williams","","10-20","",""
"73","3:37.0","","","10-20","","G. Antetokounmpo enters the game for B. Lopez"
"74","3:37.0","","","10-20","","J. Carter enters the game for B. Portis"
"75","3:24.0","","","10-23","+3","P. Connaughton makes 3-pt jump shot from 27 ft (assist by J. Holiday)"
"76","3:11.0","T. Brown misses 3-pt jump shot from 26 ft","","10-23","",""
"77","3:08.0","","","10-23","","Defensive rebound by G. Antetokounmpo"
"78","3:03.0","","","10-25","+2","G. Antetokounmpo makes 2-pt layup from 2 ft"
"79","2:49.0","D. Jones makes 3-pt jump shot from 25 ft (assist by D. DeRozan)","+3","13-25","",""
"80","2:49.0","P. Williams enters the game for N. Vucevic","","13-25","",""
"81","2:24.0","","","13-25","","P. Connaughton misses 3-pt jump shot from 28 ft"
"82","2:22.0","Defensive rebound by T. Brown","","13-25","",""
"83","2:09.0","T. Brown misses 3-pt jump shot from 25 ft","","13-25","",""
"84","2:05.0","","","13-25","","Defensive rebound by G. Antetokounmpo"
"85","2:03.0","","","13-25","","Personal foul by D. Jones (drawn by G. Antetokounmpo)"
"86","1:57.0","","","13-25","","Turnover by J. Holiday (bad pass; steal by D. DeRozan)"
"87","1:51.0","C. White misses 3-pt jump shot from 26 ft","","13-25","",""
"88","1:48.0","","","13-25","","Defensive rebound by J. Holiday"
"89","1:47.0","","","13-25","","Shooting foul by D. DeRozan (drawn by G. Antetokounmpo)"
"90","1:47.0","","","13-25","","G. Antetokounmpo misses free throw 1 of 2"
"91","1:47.0","","","13-25","","Offensive rebound by Team"
"92","1:47.0","","","13-26","+1","G. Antetokounmpo makes free throw 2 of 2"
"93","1:34.0","P. Williams makes 3-pt jump shot from 27 ft (assist by C. White)","+3","16-26","",""
"94","1:24.0","","","16-26","","G. Allen misses 3-pt jump shot from 27 ft"
"95","1:21.0","Defensive rebound by D. DeRozan","","16-26","",""
"96","1:14.0","D. Jones makes 2-pt layup from 3 ft (assist by D. DeRozan)","+2","18-26","",""
"97","0:55.0","","","18-29","+3","P. Connaughton makes 3-pt jump shot from 23 ft (assist by G. Allen)"
"98","0:37.0","D. Jones misses 3-pt jump shot from 23 ft","","18-29","",""
"99","0:34.0","","","18-29","","Defensive rebound by G. Antetokounmpo"
"100","0:30.0","","","18-29","","Shooting foul by D. Jones (drawn by G. Antetokounmpo)"
"101","0:30.0","","","18-29","","Violation by Team (delay of game)"
"102","0:30.0","","","18-30","+1","G. Antetokounmpo makes free throw 1 of 2"
"103","0:30.0","","","18-30","","W. Matthews enters the game for G. Allen"
"104","0:30.0","","","18-31","+1","G. Antetokounmpo makes free throw 2 of 2"
"105","0:09.0","T. Brown misses 3-pt jump shot from 28 ft","","18-31","",""
"106","0:06.0","","","18-31","","Defensive rebound by P. Connaughton"
"107","0:02.0","","","18-33","+2","G. Antetokounmpo makes 2-pt layup from 1 ft (assist by J. Holiday)"
"108","0:02.0","","","18-33","","Shooting foul by D. Jones (drawn by G. Antetokounmpo)"
"109","0:02.0","","","18-33","","T. Antetokounmpo enters the game for J. Holiday"
"110","0:02.0","Chicago full timeout","","18-33","",""
"111","0:02.0","","","18-33","","J. Holiday enters the game for T. Antetokounmpo"
"112","0:02.0","Instant Replay (Challenge: Stands)","","18-33","",""
"113","0:02.0","N. Vucevic enters the game for D. Jones","","18-33","",""
"114","0:02.0","","","18-33","","T. Antetokounmpo enters the game for J. Holiday"
"115","0:02.0","","","18-34","+1","G. Antetokounmpo makes free throw 1 of 1"
"116","0:00.0","C. White misses 3-pt jump shot from 63 ft","","18-34","",""
"117","0:00.0","Offensive rebound by Team","","18-34","",""
"118","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"119","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"120","Time","Chicago","","Score","","Milwaukee"
"121","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"122","11:38.0","N. Vucevic makes 2-pt layup from 4 ft","+2","20-34","",""
"123","11:19.0","","","20-34","","J. Carter misses 2-pt jump shot from 10 ft"
"124","11:17.0","Defensive rebound by N. Vucevic","","20-34","",""
"125","11:09.0","Personal foul by J. Carter (drawn by C. White)","","20-34","",""
"126","11:03.0","Turnover by T. Brown (traveling)","","20-34","",""
"127","10:41.0","","","20-36","+2","G. Antetokounmpo makes 2-pt hook shot from 3 ft (assist by J. Carter)"
"128","10:31.0","Turnover by P. Williams (bad pass)","","20-36","",""
"129","10:11.0","","","20-38","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"130","9:54.0","A. Dosunmu misses 2-pt jump shot from 18 ft","","20-38","",""
"131","9:49.0","","","20-38","","Defensive rebound by B. Portis"
"132","9:41.0","","","20-40","+2","J. Carter makes 2-pt jump shot from 17 ft"
"133","9:41.0","Chicago full timeout","","20-40","",""
"134","9:41.0","D. DeRozan enters the game for T. Brown","","20-40","",""
"135","9:41.0","J. Green enters the game for A. Dosunmu","","20-40","",""
"136","9:41.0","","","20-40","","W. Matthews enters the game for G. Allen"
"137","9:31.0","Turnover by P. Williams (bad pass; steal by W. Matthews)","","20-40","",""
"138","9:26.0","","","20-42","+2","W. Matthews makes 2-pt layup from 2 ft"
"139","9:17.0","Turnover by P. Williams (bad pass; steal by J. Carter)","","20-42","",""
"140","9:03.0","","","20-44","+2","J. Carter makes 2-pt jump shot from 16 ft (assist by B. Portis)"
"141","8:45.0","P. Williams misses 3-pt jump shot from 24 ft","","20-44","",""
"142","8:44.0","","","20-44","","Defensive rebound by Team"
"143","8:44.0","","","20-44","","B. Lopez enters the game for P. Connaughton"
"144","8:34.0","","","20-46","+2","B. Portis makes 2-pt hook shot from 3 ft"
"145","8:22.0","N. Vucevic misses 3-pt jump shot from 27 ft","","20-46","",""
"146","8:19.0","","","20-46","","Defensive rebound by B. Portis"
"147","8:01.0","","","20-46","","J. Carter misses 3-pt jump shot from 26 ft"
"148","7:58.0","Defensive rebound by N. Vucevic","","20-46","",""
"149","7:54.0","J. Green misses 3-pt jump shot from 26 ft","","20-46","",""
"150","7:49.0","Offensive rebound by N. Vucevic","","20-46","",""
"151","7:41.0","C. White misses 3-pt jump shot from 30 ft","","20-46","",""
"152","7:38.0","","","20-46","","Defensive rebound by B. Portis"
"153","7:25.0","","","20-49","+3","W. Matthews makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo)"
"154","7:11.0","P. Williams makes 2-pt jump shot from 19 ft","+2","22-49","",""
"155","7:00.0","","","22-49","","Offensive foul by B. Lopez (drawn by J. Green)"
"156","7:00.0","","","22-49","","Turnover by B. Lopez (offensive foul)"
"157","7:00.0","D. Jones enters the game for N. Vucevic","","22-49","",""
"158","7:00.0","T. Thompson enters the game for P. Williams","","22-49","",""
"159","7:00.0","","","22-49","","G. Allen enters the game for G. Antetokounmpo"
"160","7:00.0","","","22-49","","J. Holiday enters the game for J. Carter"
"161","6:54.0","D. DeRozan misses 2-pt jump shot from 14 ft (block by B. Lopez)","","22-49","",""
"162","6:50.0","","","22-49","","Defensive rebound by B. Portis"
"163","6:42.0","","","22-49","","G. Allen misses 3-pt jump shot from 26 ft"
"164","6:39.0","","","22-49","","Offensive rebound by J. Holiday"
"165","6:35.0","","","22-49","","Turnover by J. Holiday (bad pass; steal by J. Green)"
"166","6:33.0","C. White makes 2-pt layup from 2 ft (assist by J. Green)","+2","24-49","",""
"167","6:33.0","Shooting foul by G. Allen (drawn by C. White)","","24-49","",""
"168","6:33.0","C. White makes free throw 1 of 1","+1","25-49","",""
"169","6:14.0","","","25-49","","B. Portis misses 3-pt jump shot from 28 ft"
"170","6:12.0","Defensive rebound by C. White","","25-49","",""
"171","6:07.0","C. White misses 3-pt jump shot from 27 ft","","25-49","",""
"172","6:04.0","","","25-49","","Defensive rebound by B. Portis"
"173","5:55.0","","","25-49","","G. Allen misses 2-pt jump shot from 14 ft"
"174","5:53.0","Defensive rebound by T. Thompson","","25-49","",""
"175","5:39.0","D. DeRozan makes 2-pt layup from 1 ft (assist by J. Green)","+2","27-49","",""
"176","5:27.0","","","27-49","","J. Holiday misses 3-pt jump shot from 26 ft"
"177","5:24.0","Defensive rebound by C. White","","27-49","",""
"178","5:18.0","J. Green misses 3-pt jump shot from 25 ft","","27-49","",""
"179","5:13.0","","","27-49","","Defensive rebound by B. Lopez"
"180","5:06.0","","","27-49","","B. Lopez misses 2-pt jump shot from 12 ft"
"181","5:03.0","Defensive rebound by T. Thompson","","27-49","",""
"182","4:57.0","Turnover by J. Green (step out of bounds)","","27-49","",""
"183","4:57.0","","","27-49","","Milwaukee full timeout"
"184","4:57.0","T. Brown enters the game for J. Green","","27-49","",""
"185","4:57.0","","","27-49","","P. Connaughton enters the game for W. Matthews"
"186","4:40.0","","","27-49","","P. Connaughton misses 2-pt jump shot from 16 ft"
"187","4:38.0","Defensive rebound by D. Jones","","27-49","",""
"188","4:32.0","D. DeRozan misses 2-pt jump shot from 14 ft","","27-49","",""
"189","4:31.0","","","27-49","","Defensive rebound by Team"
"190","4:14.0","","","27-49","","J. Holiday misses 2-pt jump shot from 19 ft"
"191","4:12.0","Defensive rebound by T. Brown","","27-49","",""
"192","3:59.0","C. White makes 2-pt jump shot from 16 ft","+2","29-49","",""
"193","3:40.0","","","29-49","","J. Holiday misses 2-pt layup from 4 ft"
"194","3:39.0","","","29-49","","Offensive rebound by B. Lopez"
"195","3:38.0","","","29-51","+2","B. Lopez makes 2-pt layup at rim"
"196","3:16.0","D. Jones misses 3-pt jump shot from 24 ft","","29-51","",""
"197","3:13.0","","","29-51","","Defensive rebound by B. Lopez"
"198","3:06.0","","","29-53","+2","B. Lopez makes 2-pt dunk from 3 ft (assist by J. Holiday)"
"199","2:49.0","D. Jones misses 3-pt jump shot from 25 ft","","29-53","",""
"200","2:45.0","Offensive rebound by T. Brown","","29-53","",""
"201","2:42.0","C. White makes 3-pt jump shot from 26 ft (assist by T. Brown)","+3","32-53","",""
"202","2:31.0","","","32-53","","Personal foul by D. Jones (drawn by J. Holiday)"
"203","2:31.0","N. Vucevic enters the game for D. Jones","","32-53","",""
"204","2:31.0","P. Williams enters the game for T. Thompson","","32-53","",""
"205","2:31.0","","","32-53","","G. Antetokounmpo enters the game for B. Lopez"
"206","2:31.0","","","32-53","","J. Carter enters the game for B. Portis"
"207","2:22.0","","","32-53","","J. Carter misses 2-pt layup from 1 ft"
"208","2:20.0","Defensive rebound by N. Vucevic","","32-53","",""
"209","2:08.0","T. Brown makes 3-pt jump shot from 24 ft (assist by D. DeRozan)","+3","35-53","",""
"210","1:56.0","","","35-53","","G. Antetokounmpo misses 3-pt jump shot from 26 ft"
"211","1:54.0","","","35-53","","Offensive rebound by J. Carter"
"212","1:51.0","","","35-53","","Shooting foul by N. Vucevic (drawn by G. Antetokounmpo)"
"213","1:51.0","","","35-54","+1","G. Antetokounmpo makes free throw 1 of 2"
"214","1:51.0","","","35-55","+1","G. Antetokounmpo makes free throw 2 of 2"
"215","1:40.0","T. Brown makes 3-pt jump shot from 24 ft (assist by C. White)","+3","38-55","",""
"216","1:28.0","","","38-55","","P. Connaughton misses 3-pt jump shot from 26 ft"
"217","1:24.0","Defensive rebound by T. Brown","","38-55","",""
