"","Time","Denver","","Score","","Golden State"
"2","12:00.0","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)","Jump ball: N. Jokic vs. K. Looney (J. Green gains possession)"
"3","11:45.0","W. Barton misses 2-pt jump shot from 19 ft","","0-0","",""
"4","11:43.0","","","0-0","","Defensive rebound by K. Looney"
"5","11:30.0","","","0-0","","A. Wiggins misses 3-pt jump shot from 27 ft"
"6","11:28.0","","","0-0","","Offensive rebound by K. Looney"
"7","11:24.0","","","0-0","","K. Thompson misses 3-pt jump shot from 26 ft"
"8","11:22.0","Defensive rebound by J. Green","","0-0","",""
"9","11:15.0","W. Barton makes 2-pt layup from 6 ft","+2","2-0","",""
"10","10:54.0","","","2-2","+2","K. Looney makes 2-pt layup from 5 ft (assist by J. Poole)"
"11","10:38.0","N. Jokic makes 2-pt hook shot from 8 ft (assist by M. Morris)","+2","4-2","",""
"12","10:12.0","","","4-2","","Turnover by K. Thompson (lost ball; steal by M. Morris)"
"13","10:02.0","M. Morris misses 3-pt jump shot from 23 ft","","4-2","",""
"14","10:00.0","","","4-2","","Defensive rebound by A. Wiggins"
"15","9:45.0","","","4-4","+2","A. Wiggins makes 2-pt jump shot from 13 ft (assist by K. Thompson)"
"16","9:29.0","N. Jokic misses 2-pt jump shot from 18 ft","","4-4","",""
"17","9:27.0","Offensive rebound by A. Gordon","","4-4","",""
"18","9:25.0","A. Gordon misses 2-pt layup from 6 ft (block by D. Green)","","4-4","",""
"19","9:24.0","Offensive rebound by A. Gordon","","4-4","",""
"20","9:18.0","A. Gordon misses 2-pt jump shot from 7 ft","","4-4","",""
"21","9:16.0","","","4-4","","Defensive rebound by K. Looney"
"22","9:01.0","","","4-6","+2","K. Looney makes 2-pt layup from 5 ft (assist by A. Wiggins)"
"23","8:47.0","J. Green makes 3-pt jump shot from 24 ft (assist by N. Jokic)","+3","7-6","",""
"24","8:24.0","","","7-6","","Turnover by J. Poole (lost ball; steal by N. Jokic)"
"25","8:19.0","M. Morris makes 2-pt jump shot from 15 ft (assist by N. Jokic)","+2","9-6","",""
"26","7:57.0","","","9-6","","Turnover by K. Thompson (lost ball; steal by J. Green)"
"27","7:52.0","W. Barton makes 2-pt layup from 5 ft (assist by M. Morris)","+2","11-6","",""
"28","7:35.0","","","11-9","+3","K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green)"
"29","7:11.0","N. Jokic makes 2-pt jump shot from 8 ft (assist by W. Barton)","+2","13-9","",""
"30","6:54.0","","","13-12","+3","K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green)"
"31","6:31.0","N. Jokic makes 2-pt hook shot from 8 ft","+2","15-12","",""
"32","6:15.0","","","15-15","+3","J. Poole makes 3-pt jump shot from 30 ft (assist by A. Wiggins)"
"33","5:58.0","A. Gordon makes 2-pt dunk from 2 ft (assist by N. Jokic)","+2","17-15","",""
"34","5:58.0","","","17-15","","Golden State full timeout"
"35","5:58.0","","","17-15","","S. Curry enters the game for K. Looney"
"36","5:58.0","","","17-15","","O. Porter enters the game for J. Poole"
"37","5:46.0","","","17-15","","K. Thompson misses 2-pt layup from 4 ft"
"38","5:43.0","Defensive rebound by N. Jokic","","17-15","",""
"39","5:38.0","Personal foul by O. Porter (drawn by A. Gordon)","","17-15","",""
"40","5:30.0","J. Green makes 3-pt jump shot from 25 ft (assist by W. Barton)","+3","20-15","",""
"41","5:12.0","","","20-17","+2","A. Wiggins makes 2-pt layup from 6 ft (assist by O. Porter)"
"42","4:55.0","M. Morris makes 2-pt layup from 5 ft","+2","22-17","",""
"43","4:55.0","Shooting foul by S. Curry (drawn by M. Morris)","","22-17","",""
"44","4:55.0","M. Morris makes free throw 1 of 1","+1","23-17","",""
"45","4:45.0","","","23-20","+3","K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry)"
