"","Time","Golden State","","Score","","Memphis"
"2","12:00.0","Jump ball: D. Green vs. J. Jackson (J. Morant gains possession)","Jump ball: D. Green vs. J. Jackson (J. Morant gains possession)","Jump ball: D. Green vs. J. Jackson (J. Morant gains possession)","Jump ball: D. Green vs. J. Jackson (J. Morant gains possession)","Jump ball: D. Green vs. J. Jackson (J. Morant gains possession)"
"3","11:40.0","","","0-3","+3","J. Jackson makes 3-pt jump shot from 25 ft (assist by J. Morant)"
"4","11:22.0","Turnover by D. Green (bad pass; steal by X. Tillman)","","0-3","",""
"5","11:15.0","","","0-6","+3","J. Morant makes 3-pt jump shot from 25 ft"
"6","10:59.0","A. Wiggins misses 3-pt jump shot from 26 ft","","0-6","",""
"7","10:57.0","","","0-6","","Defensive rebound by J. Jackson"
"8","10:51.0","","","0-6","","D. Brooks misses 3-pt jump shot from 25 ft"
"9","10:47.0","Defensive rebound by S. Curry","","0-6","",""
"10","10:28.0","A. Wiggins misses 2-pt jump shot from 6 ft","","0-6","",""
"11","10:24.0","Offensive rebound by A. Wiggins","","0-6","",""
"12","10:24.0","A. Wiggins misses 2-pt layup at rim","","0-6","",""
"13","10:23.0","","","0-6","","Defensive rebound by X. Tillman"
"14","10:14.0","","","0-8","+2","X. Tillman makes 2-pt layup from 1 ft (assist by J. Morant)"
"15","9:54.0","K. Thompson misses 2-pt layup from 1 ft","","0-8","",""
"16","9:52.0","","","0-8","","Defensive rebound by D. Bane"
"17","9:40.0","","","0-8","","J. Morant misses 3-pt jump shot from 25 ft"
"18","9:36.0","Defensive rebound by A. Wiggins","","0-8","",""
"19","9:28.0","Turnover by D. Green (bad pass; steal by D. Brooks)","","0-8","",""
"20","9:24.0","","","0-8","","D. Brooks misses 2-pt layup from 4 ft"
"21","9:20.0","Defensive rebound by S. Curry","","0-8","",""
"22","9:18.0","Turnover by A. Wiggins (out of bounds lost ball)","","0-8","",""
"23","9:13.0","","","0-8","","D. Brooks misses 2-pt jump shot from 20 ft"
"24","9:10.0","Defensive rebound by D. Green","","0-8","",""
"25","9:08.0","Flagrant foul type 2 by D. Brooks (drawn by G. Payton)","","0-8","",""
"26","9:08.0","Instant Replay (Request: Ruling Stands)","","0-8","",""
"27","9:08.0","","","0-8","","D. Brooks ejected from game"
"28","9:08.0","","","0-8","","D. Melton enters the game for D. Brooks"
"29","9:08.0","G. Payton misses flagrant free throw 1 of 2","","0-8","",""
"30","9:08.0","Offensive rebound by Team","","0-8","",""
"31","9:08.0","G. Payton makes flagrant free throw 2 of 2","+1","1-8","",""
"32","9:08.0","J. Poole enters the game for G. Payton","","1-8","",""
"33","9:01.0","Turnover by S. Curry (bad pass; steal by X. Tillman)","","1-8","",""
"34","8:54.0","","","1-8","","Turnover by J. Morant (out of bounds lost ball)"
"35","8:54.0","Golden State full timeout","","1-8","",""
