"","Time","Memphis","","Score","","Golden State"
"2","12:00.0","Jump ball: S. Adams vs. K. Looney (T. Jones gains possession)","Jump ball: S. Adams vs. K. Looney (T. Jones gains possession)","Jump ball: S. Adams vs. K. Looney (T. Jones gains possession)","Jump ball: S. Adams vs. K. Looney (T. Jones gains possession)","Jump ball: S. Adams vs. K. Looney (T. Jones gains possession)"
"3","11:40.0","J. Jackson misses 2-pt jump shot from 8 ft","","0-0","",""
"4","11:37.0","Offensive rebound by Team","","0-0","",""
"5","11:37.0","","","0-0","","Loose ball foul by D. Green (drawn by S. Adams)"
"6","11:31.0","D. Bane misses 3-pt jump shot from 27 ft","","0-0","",""
"7","11:29.0","","","0-0","","Defensive rebound by D. Green"
"8","11:07.0","","","0-0","","A. Wiggins misses 3-pt jump shot from 26 ft"
"9","11:05.0","Defensive rebound by T. Jones","","0-0","",""
"10","10:52.0","D. Bane makes 2-pt jump shot from 17 ft","+2","2-0","",""
"11","10:37.0","","","2-0","","S. Curry misses 2-pt jump shot from 11 ft"
"12","10:34.0","Defensive rebound by S. Adams","","2-0","",""
"13","10:28.0","D. Bane makes 2-pt layup from 5 ft","+2","4-0","",""
"14","10:13.0","","","4-3","+3","S. Curry makes 3-pt jump shot from 27 ft (assist by K. Looney)"
"15","9:56.0","D. Brooks misses 3-pt jump shot from 28 ft","","4-3","",""
"16","9:53.0","","","4-3","","Defensive rebound by K. Looney"
"17","9:50.0","","","4-5","+2","D. Green makes 2-pt layup from 5 ft (assist by S. Curry)"
"18","9:41.0","D. Brooks misses 3-pt jump shot from 27 ft","","4-5","",""
"19","9:38.0","","","4-5","","Defensive rebound by D. Green"
"20","9:33.0","","","4-5","","Offensive foul by K. Looney (drawn by D. Brooks)"
"21","9:33.0","","","4-5","","Turnover by K. Looney (offensive foul)"
"22","9:14.0","J. Jackson misses 2-pt jump shot from 11 ft","","4-5","",""
"23","9:11.0","","","4-5","","Defensive rebound by K. Thompson"
"24","9:09.0","","","4-5","","S. Curry misses 3-pt jump shot from 27 ft"
"25","9:07.0","","","4-5","","Offensive rebound by K. Thompson"
"26","9:02.0","","","4-5","","K. Thompson misses 2-pt jump shot from 16 ft"
"27","9:00.0","Defensive rebound by S. Adams","","4-5","",""
"28","8:51.0","Turnover by S. Adams (bad pass; steal by D. Green)","","4-5","",""
"29","8:47.0","","","4-8","+3","K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green)"
"30","8:46.0","Memphis full timeout","","4-8","",""
"31","8:31.0","D. Bane misses 3-pt jump shot from 25 ft","","4-8","",""
"32","8:29.0","","","4-8","","Defensive rebound by D. Green"
"33","8:23.0","","","4-10","+2","D. Green makes 2-pt layup from 4 ft"
"34","8:06.0","D. Brooks makes 3-pt jump shot from 22 ft (assist by T. Jones)","+3","7-10","",""
"35","7:45.0","","","7-13","+3","K. Thompson makes 3-pt jump shot from 26 ft"
"36","7:33.0","T. Jones misses 2-pt jump shot from 13 ft","","7-13","",""
"37","7:31.0","","","7-13","","Defensive rebound by A. Wiggins"
"38","7:21.0","","","7-13","","A. Wiggins misses 2-pt jump shot from 6 ft"
"39","7:19.0","","","7-13","","Offensive rebound by K. Looney"
"40","7:16.0","","","7-13","","K. Looney misses 2-pt layup at rim"
"41","7:14.0","","","7-13","","Offensive rebound by K. Looney"
"42","7:14.0","","","7-13","","K. Looney misses 2-pt layup at rim"
"43","7:14.0","Defensive rebound by S. Adams","","7-13","",""
"44","7:10.0","J. Jackson misses 3-pt jump shot from 29 ft","","7-13","",""
"45","7:08.0","","","7-13","","Defensive rebound by K. Looney"
"46","6:52.0","","","7-13","","Turnover by K. Thompson (bad pass; steal by D. Brooks)"
"47","6:49.0","Shooting foul by S. Curry (drawn by D. Brooks)","","7-13","",""
"48","6:49.0","D. Brooks misses free throw 1 of 2","","7-13","",""
"49","6:49.0","Offensive rebound by Team","","7-13","",""
"50","6:49.0","D. Brooks makes free throw 2 of 2","+1","8-13","",""
"51","6:39.0","","","8-13","","D. Green misses 3-pt jump shot from 26 ft"
"52","6:37.0","Defensive rebound by D. Bane","","8-13","",""
"53","6:29.0","S. Adams misses 2-pt layup from 7 ft","","8-13","",""
"54","6:26.0","","","8-13","","Defensive rebound by K. Looney"
"55","6:18.0","","","8-16","+3","K. Thompson makes 3-pt jump shot from 26 ft"
"56","6:06.0","T. Jones misses 2-pt jump shot from 11 ft","","8-16","",""
"57","6:04.0","","","8-16","","Defensive rebound by S. Curry"
"58","6:04.0","","","8-16","","J. Poole enters the game for K. Looney"
"59","5:48.0","","","8-16","","D. Green misses 2-pt jump shot from 7 ft"
"60","5:45.0","Defensive rebound by S. Adams","","8-16","",""
"61","5:36.0","D. Brooks misses 2-pt jump shot from 13 ft (block by S. Curry)","","8-16","",""
"62","5:34.0","Offensive rebound by D. Brooks","","8-16","",""
"63","5:29.0","Personal foul by S. Curry (drawn by D. Brooks)","","8-16","",""
"64","5:22.0","S. Adams makes 2-pt layup from 7 ft (assist by T. Jones)","+2","10-16","",""
"65","5:18.0","","","10-16","","Turnover by D. Green (bad pass)"
"66","5:09.0","D. Brooks makes 3-pt jump shot from 26 ft (assist by T. Jones)","+3","13-16","",""
"67","4:51.0","","","13-16","","Turnover by S. Curry (bad pass; steal by D. Brooks)"
"68","4:48.0","D. Brooks makes 3-pt jump shot from 28 ft","+3","16-16","",""
"69","4:46.0","","","16-16","","Golden State full timeout"
"70","4:46.0","K. Anderson enters the game for D. Bane","","16-16","",""
"71","4:46.0","Z. Williams enters the game for J. Jackson","","16-16","",""
"72","4:27.0","","","16-16","","S. Curry misses 3-pt jump shot from 24 ft"
"73","4:24.0","Defensive rebound by K. Anderson","","16-16","",""
"74","4:16.0","D. Brooks makes 2-pt jump shot from 13 ft","+2","18-16","",""
"75","4:02.0","","","18-19","+3","J. Poole makes 3-pt jump shot from 26 ft (assist by D. Green)"
"76","3:50.0","S. Adams misses 2-pt jump shot from 11 ft","","18-19","",""
"77","3:48.0","","","18-19","","Defensive rebound by A. Wiggins"
"78","3:42.0","","","18-19","","A. Wiggins misses 2-pt layup from 7 ft (block by D. Brooks)"
"79","3:40.0","Defensive rebound by S. Adams","","18-19","",""
"80","3:28.0","D. Brooks misses 3-pt jump shot from 28 ft","","18-19","",""
"81","3:25.0","","","18-19","","Defensive rebound by D. Green"
"82","3:23.0","","","18-21","+2","A. Wiggins makes 2-pt layup from 6 ft (assist by D. Green)"
"83","3:16.0","D. Brooks misses 2-pt jump shot from 18 ft","","18-21","",""
"84","3:13.0","","","18-21","","Defensive rebound by S. Curry"
"85","3:07.0","","","18-21","","Shooting foul by S. Adams (drawn by A. Wiggins)"
"86","3:07.0","","","18-22","+1","A. Wiggins makes free throw 1 of 2"
"87","3:07.0","D. Bane enters the game for S. Adams","","18-22","",""
"88","3:07.0","B. Clarke enters the game for D. Brooks","","18-22","",""
"89","3:07.0","","","18-22","","D. Lee enters the game for D. Green"
"90","3:07.0","","","18-22","","K. Looney enters the game for K. Thompson"
"91","3:07.0","","","18-22","","A. Wiggins misses free throw 2 of 2"
"92","3:04.0","","","18-22","","Offensive rebound by K. Looney"
"93","3:04.0","","","18-22","","K. Looney misses 2-pt layup at rim"
"94","3:03.0","Defensive rebound by Z. Williams","","18-22","",""
"95","2:54.0","B. Clarke misses 2-pt hook shot from 7 ft","","18-22","",""
"96","2:51.0","","","18-22","","Defensive rebound by K. Looney"
"97","2:48.0","","","18-22","","Turnover by D. Lee (bad pass; steal by Z. Williams)"
"98","2:45.0","Z. Williams makes 2-pt dunk from 4 ft","+2","20-22","",""
"99","2:26.0","","","20-22","","J. Poole misses 3-pt jump shot from 25 ft"
"100","2:23.0","","","20-22","","Offensive rebound by K. Looney"
"101","2:13.0","","","20-22","","J. Poole misses 3-pt jump shot from 27 ft"
"102","2:10.0","Defensive rebound by T. Jones","","20-22","",""
"103","2:03.0","Z. Williams misses 3-pt jump shot from 23 ft","","20-22","",""
"104","2:01.0","","","20-22","","Defensive rebound by K. Looney"
"105","1:47.0","","","20-25","+3","S. Curry makes 3-pt jump shot from 26 ft"
"106","1:34.0","D. Bane makes 3-pt jump shot from 28 ft (assist by B. Clarke)","+3","23-25","",""
"107","1:13.0","","","23-25","","S. Curry misses 2-pt layup from 4 ft"
"108","1:10.0","","","23-25","","Offensive rebound by K. Looney"
"109","1:09.0","","","23-28","+3","D. Lee makes 3-pt jump shot from 26 ft (assist by J. Poole)"
"110","0:53.0","Offensive foul by K. Anderson (drawn by D. Lee)","","23-28","",""
"111","0:53.0","Turnover by K. Anderson (offensive foul)","","23-28","",""
