Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:11.0,L.Doncic,1,0-4,1.0,2-pt,jump,9,misses,Dallas,2022-06-05 11:11:00
9:16.0,L.Doncic,1,2-9,1.0,2-pt,jump,19,makes,Dallas,2022-06-05 09:16:00
7:31.0,L.Doncic,1,4-12,1.0,3-pt,jump,26,misses,Dallas,2022-06-05 07:31:00
7:01.0,L.Doncic,1,6-14,1.0,2-pt,jump,4,makes,Dallas,2022-06-05 07:01:00
5:47.0,L.Doncic,1,6-18,1.0,3-pt,jump,26,misses,Dallas,2022-06-05 05:47:00
5:10.0,L.Doncic,1,7-20,1.0,technical,free,,makes,Dallas,2022-06-05 05:10:00
3:37.0,L.Doncic,1,11-24,1.0,free,throw,2,makes,Dallas,2022-06-05 03:37:00
3:37.0,L.Doncic,1,12-24,1.0,free,throw,2,makes,Dallas,2022-06-05 03:37:00
2:39.0,L.Doncic,1,18-26,1.0,3-pt,jump,25,makes,Dallas,2022-06-05 02:39:00
2:07.0,L.Doncic,1,18-29,1.0,2-pt,jump,6,misses,Dallas,2022-06-05 02:07:00
1:07.0,L.Doncic,1,23-31,1.0,2-pt,layup,3,makes,Dallas,2022-06-05 01:07:00
0:09.0,L.Doncic,1,25-33,1.0,2-pt,jump,rim,makes,Dallas,2022-06-05 00:09:00
8:17.0,L.Doncic,1,35-47,2.0,flagrant,free,of,misses,Dallas,2022-06-05 08:17:00
8:17.0,L.Doncic,1,35-47,2.0,flagrant,free,of,makes,Dallas,2022-06-05 08:17:00
7:22.0,L.Doncic,1,38-49,2.0,3-pt,jump,26,misses,Dallas,2022-06-05 07:22:00
6:49.0,L.Doncic,1,38-51,2.0,2-pt,layup,ft,misses,Dallas,2022-06-05 06:49:00
6:14.0,L.Doncic,1,45-51,2.0,3-pt,jump,26,makes,Dallas,2022-06-05 06:14:00
4:55.0,L.Doncic,1,47-53,2.0,3-pt,jump,24,misses,Dallas,2022-06-05 04:55:00
4:41.0,L.Doncic,1,47-53,2.0,2-pt,jump,10,misses,Dallas,2022-06-05 04:41:00
3:09.0,L.Doncic,1,49-57,2.0,free,throw,2,makes,Dallas,2022-06-05 03:09:00
3:09.0,L.Doncic,1,50-57,2.0,free,throw,2,makes,Dallas,2022-06-05 03:09:00
2:42.0,L.Doncic,1,52-60,2.0,2-pt,layup,3,makes,Dallas,2022-06-05 02:42:00
2:03.0,L.Doncic,1,52-62,2.0,3-pt,jump,25,misses,Dallas,2022-06-05 02:03:00
1:32.0,L.Doncic,1,53-65,2.0,free,throw,2,makes,Dallas,2022-06-05 01:32:00
1:32.0,L.Doncic,1,54-65,2.0,free,throw,2,makes,Dallas,2022-06-05 01:32:00
0:49.0,L.Doncic,1,54-67,2.0,3-pt,jump,26,misses,Dallas,2022-06-05 00:49:00
0:30.0,L.Doncic,1,56-67,2.0,2-pt,layup,4,makes,Dallas,2022-06-05 00:30:00
10:59.0,L.Doncic,1,60-71,3.0,2-pt,jump,13,makes,Dallas,2022-06-05 10:59:00
10:59.0,L.Doncic,1,61-71,3.0,free,throw,1,makes,Dallas,2022-06-05 10:59:00
10:32.0,L.Doncic,1,63-73,3.0,2-pt,layup,3,makes,Dallas,2022-06-05 10:32:00
9:51.0,L.Doncic,1,63-73,3.0,3-pt,jump,25,misses,Dallas,2022-06-05 09:51:00
9:15.0,L.Doncic,1,65-76,3.0,2-pt,jump,10,misses,Dallas,2022-06-05 09:15:00
5:32.0,L.Doncic,1,73-85,3.0,2-pt,layup,ft,misses,Dallas,2022-06-05 05:32:00
5:30.0,L.Doncic,1,73-85,3.0,2-pt,layup,ft,misses,Dallas,2022-06-05 05:30:00
5:05.0,L.Doncic,1,73-85,3.0,2-pt,jump,7,misses,Dallas,2022-06-05 05:05:00
1:16.0,L.Doncic,1,79-96,3.0,free,throw,2,misses,Dallas,2022-06-05 01:16:00
1:16.0,L.Doncic,1,79-96,3.0,free,throw,2,makes,Dallas,2022-06-05 01:16:00
7:25.0,L.Doncic,1,91-106,4.0,free,throw,2,misses,Dallas,2022-06-05 07:25:00
7:25.0,L.Doncic,1,91-106,4.0,free,throw,2,makes,Dallas,2022-06-05 07:25:00
5:57.0,L.Doncic,1,93-106,4.0,2-pt,dunk,1,makes,Dallas,2022-06-05 05:57:00
3:45.0,L.Doncic,1,98-109,4.0,3-pt,jump,26,makes,Dallas,2022-06-05 03:45:00
0:53.0,L.Doncic,1,107-113,4.0,2-pt,dunk,1,makes,Dallas,2022-06-05 00:53:00
0:22.0,L.Doncic,1,111-117,4.0,2-pt,layup,4,makes,Dallas,2022-06-05 00:22:00
0:10.0,L.Doncic,1,114-119,4.0,3-pt,jump,27,makes,Dallas,2022-06-05 00:10:00
9:52.0,L.Doncic,2,0-7,1.0,3-pt,jump,27,misses,Dallas,2022-06-05 09:52:00
9:02.0,L.Doncic,2,2-9,1.0,2-pt,jump,9,makes,Dallas,2022-06-05 09:02:00
5:22.0,L.Doncic,2,14-21,1.0,3-pt,jump,25,makes,Dallas,2022-06-05 05:22:00
4:54.0,L.Doncic,2,16-21,1.0,2-pt,layup,4,makes,Dallas,2022-06-05 04:54:00
4:25.0,L.Doncic,2,16-23,1.0,3-pt,jump,25,misses,Dallas,2022-06-05 04:25:00
