Time,player_name,Regular Season Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
10:40.0,L.Doncic,3,3-0,1.0,3-pt,jump,26,misses,Dallas,2022-06-12 10:40:00
10:16.0,L.Doncic,3,5-0,1.0,2-pt,jump,6,misses,Dallas,2022-06-12 10:16:00
7:48.0,L.Doncic,3,7-5,1.0,2-pt,jump,10,makes,Dallas,2022-06-12 07:48:00
5:25.0,L.Doncic,3,13-14,1.0,free,throw,2,makes,Dallas,2022-06-12 05:25:00
5:25.0,L.Doncic,3,13-15,1.0,free,throw,2,makes,Dallas,2022-06-12 05:25:00
4:50.0,L.Doncic,3,13-17,1.0,2-pt,jump,10,makes,Dallas,2022-06-12 04:50:00
4:17.0,L.Doncic,3,15-17,1.0,2-pt,jump,17,misses,Dallas,2022-06-12 04:17:00
1:13.0,L.Doncic,3,20-22,1.0,free,throw,2,makes,Dallas,2022-06-12 01:13:00
1:13.0,L.Doncic,3,20-23,1.0,free,throw,2,makes,Dallas,2022-06-12 01:13:00
0:56.0,L.Doncic,3,20-26,1.0,3-pt,jump,25,makes,Dallas,2022-06-12 00:56:00
0:28.0,L.Doncic,3,22-26,1.0,2-pt,jump,10,misses,Dallas,2022-06-12 00:28:00
9:16.0,L.Doncic,3,28-26,2.0,3-pt,jump,25,misses,Dallas,2022-06-12 09:16:00
2:02.0,L.Doncic,3,42-45,2.0,3-pt,jump,26,misses,Dallas,2022-06-12 02:02:00
1:43.0,L.Doncic,3,42-46,2.0,technical,free,,makes,Dallas,2022-06-12 01:43:00
1:43.0,L.Doncic,3,42-47,2.0,free,throw,2,makes,Dallas,2022-06-12 01:43:00
1:43.0,L.Doncic,3,42-48,2.0,free,throw,2,makes,Dallas,2022-06-12 01:43:00
0:53.0,L.Doncic,3,45-48,2.0,2-pt,jump,8,misses,Dallas,2022-06-12 00:53:00
0:35.0,L.Doncic,3,45-48,2.0,3-pt,jump,26,misses,Dallas,2022-06-12 00:35:00
0:02.0,L.Doncic,3,45-50,2.0,2-pt,hook,8,makes,Dallas,2022-06-12 00:02:00
0:00.0,L.Doncic,3,45-53,2.0,3-pt,jump,26,makes,Dallas,2022-06-12 00:00:00
10:10.0,L.Doncic,3,48-59,3.0,2-pt,hook,10,makes,Dallas,2022-06-12 10:10:00
9:45.0,L.Doncic,3,50-59,3.0,2-pt,layup,ft,misses,Dallas,2022-06-12 09:45:00
7:15.0,L.Doncic,3,57-65,3.0,2-pt,jump,3,makes,Dallas,2022-06-12 07:15:00
7:15.0,L.Doncic,3,57-66,3.0,free,throw,1,makes,Dallas,2022-06-12 07:15:00
6:43.0,L.Doncic,3,59-66,3.0,3-pt,jump,25,misses,Dallas,2022-06-12 06:43:00
3:09.0,L.Doncic,3,72-71,3.0,free,throw,2,misses,Dallas,2022-06-12 03:09:00
3:09.0,L.Doncic,3,72-71,3.0,free,throw,2,misses,Dallas,2022-06-12 03:09:00
2:43.0,L.Doncic,3,72-72,3.0,3-pt,jump,26,misses,Dallas,2022-06-12 02:43:00
2:07.0,L.Doncic,3,72-74,3.0,3-pt,jump,25,misses,Dallas,2022-06-12 02:07:00
1:02.0,L.Doncic,3,74-77,3.0,2-pt,layup,ft,misses,Dallas,2022-06-12 01:02:00
4:36.0,L.Doncic,3,96-97,4.0,2-pt,jump,6,makes,Dallas,2022-06-12 04:36:00
3:10.0,L.Doncic,3,99-99,4.0,free,throw,1,misses,Dallas,2022-06-12 03:10:00
3:10.0,L.Doncic,3,99-99,4.0,2-pt,jump,14,makes,Dallas,2022-06-12 03:10:00
2:34.0,L.Doncic,3,101-99,4.0,2-pt,jump,6,misses,Dallas,2022-06-12 02:34:00
