Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy,oponent_team
10:29.0,L.Doncic,1,2-5,1.0,3-pt,jump,29,misses,Dallas,2022-08-01 10:29:00,GSW
10:00.0,L.Doncic,1,7-5,1.0,2-pt,jump,7,makes,Dallas,2022-08-01 10:00:00,GSW
9:20.0,L.Doncic,1,7-7,1.0,2-pt,jump,15,misses,Dallas,2022-08-01 09:20:00,GSW
8:19.0,L.Doncic,1,7-11,1.0,3-pt,jump,25,misses,Dallas,2022-08-01 08:19:00,GSW
7:49.0,L.Doncic,1,9-11,1.0,2-pt,layup,5,makes,Dallas,2022-08-01 07:49:00,GSW
7:49.0,L.Doncic,1,10-11,1.0,free,throw,1,makes,Dallas,2022-08-01 07:49:00,GSW
7:23.0,L.Doncic,1,13-11,1.0,3-pt,jump,27,makes,Dallas,2022-08-01 07:23:00,GSW
3:35.0,L.Doncic,1,16-20,1.0,3-pt,jump,24,misses,Dallas,2022-08-01 03:35:00,GSW
0:42.0,L.Doncic,1,18-28,1.0,2-pt,jump,5,misses,Dallas,2022-08-01 00:42:00,GSW
4:25.0,L.Doncic,1,35-38,2.0,free,throw,2,misses,Dallas,2022-08-01 04:25:00,GSW
4:25.0,L.Doncic,1,35-38,2.0,free,throw,2,makes,Dallas,2022-08-01 04:25:00,GSW
3:22.0,L.Doncic,1,36-43,2.0,free,throw,2,makes,Dallas,2022-08-01 03:22:00,GSW
3:22.0,L.Doncic,1,37-43,2.0,free,throw,2,makes,Dallas,2022-08-01 03:22:00,GSW
2:46.0,L.Doncic,1,37-46,2.0,3-pt,jump,28,misses,Dallas,2022-08-01 02:46:00,GSW
2:11.0,L.Doncic,1,40-49,2.0,3-pt,jump,27,makes,Dallas,2022-08-01 02:11:00,GSW
1:33.0,L.Doncic,1,43-51,2.0,3-pt,jump,27,makes,Dallas,2022-08-01 01:33:00,GSW
0:56.0,L.Doncic,1,43-51,2.0,2-pt,jump,7,misses,Dallas,2022-08-01 00:56:00,GSW
0:07.0,L.Doncic,1,44-54,2.0,free,throw,2,misses,Dallas,2022-08-01 00:07:00,GSW
0:07.0,L.Doncic,1,45-54,2.0,free,throw,2,makes,Dallas,2022-08-01 00:07:00,GSW
9:43.0,L.Doncic,1,47-61,3.0,3-pt,jump,28,misses,Dallas,2022-08-01 09:43:00,GSW
8:51.0,L.Doncic,1,49-64,3.0,2-pt,dunk,5,makes,Dallas,2022-08-01 08:51:00,GSW
3:25.0,L.Doncic,1,59-77,3.0,2-pt,jump,7,misses,Dallas,2022-08-01 03:25:00,GSW
11:04.0,L.Doncic,1,69-90,4.0,3-pt,jump,31,misses,Dallas,2022-08-01 11:04:00,GSW
10:26.0,L.Doncic,1,69-92,4.0,3-pt,jump,31,misses,Dallas,2022-08-01 10:26:00,GSW
8:52.0,L.Doncic,1,69-96,4.0,2-pt,layup,ft,misses,Dallas,2022-08-01 08:52:00,GSW
7:10.0,L.Doncic,1,72-98,4.0,technical,free,,misses,Dallas,2022-08-01 07:10:00,GSW
11:18.0,L.Doncic,2,2-0,1.0,2-pt,jump,9,makes,Dallas,2022-08-01 11:18:00,GSW
10:55.0,L.Doncic,2,5-0,1.0,3-pt,jump,28,makes,Dallas,2022-08-01 10:55:00,GSW
8:10.0,L.Doncic,2,10-5,1.0,2-pt,jump,11,misses,Dallas,2022-08-01 08:10:00,GSW
7:29.0,L.Doncic,2,13-8,1.0,free,throw,2,misses,Dallas,2022-08-01 07:29:00,GSW
7:29.0,L.Doncic,2,14-8,1.0,free,throw,2,makes,Dallas,2022-08-01 07:29:00,GSW
6:27.0,L.Doncic,2,19-8,1.0,2-pt,jump,7,makes,Dallas,2022-08-01 06:27:00,GSW
6:27.0,L.Doncic,2,20-8,1.0,free,throw,1,makes,Dallas,2022-08-01 06:27:00,GSW
5:00.0,L.Doncic,2,26-10,1.0,3-pt,jump,26,makes,Dallas,2022-08-01 05:00:00,GSW
2:57.0,L.Doncic,2,26-17,1.0,3-pt,jump,29,misses,Dallas,2022-08-01 02:57:00,GSW
1:33.0,L.Doncic,2,28-23,1.0,2-pt,dunk,4,makes,Dallas,2022-08-01 01:33:00,GSW
1:04.0,L.Doncic,2,30-25,1.0,2-pt,layup,4,makes,Dallas,2022-08-01 01:04:00,GSW
0:31.0,L.Doncic,2,31-25,1.0,free,throw,2,makes,Dallas,2022-08-01 00:31:00,GSW
0:31.0,L.Doncic,2,32-25,1.0,free,throw,2,makes,Dallas,2022-08-01 00:31:00,GSW
0:00.0,L.Doncic,2,32-25,1.0,3-pt,jump,28,misses,Dallas,2022-08-01 00:00:00,GSW
4:52.0,L.Doncic,2,56-41,2.0,2-pt,jump,6,misses,Dallas,2022-08-01 04:52:00,GSW
3:29.0,L.Doncic,2,59-46,2.0,free,throw,2,misses,Dallas,2022-08-01 03:29:00,GSW
3:29.0,L.Doncic,2,60-46,2.0,free,throw,2,makes,Dallas,2022-08-01 03:29:00,GSW
1:42.0,L.Doncic,2,67-48,2.0,2-pt,jump,17,misses,Dallas,2022-08-01 01:42:00,GSW
1:04.0,L.Doncic,2,68-53,2.0,free,throw,2,makes,Dallas,2022-08-01 01:04:00,GSW
1:04.0,L.Doncic,2,69-53,2.0,free,throw,2,makes,Dallas,2022-08-01 01:04:00,GSW
0:13.0,L.Doncic,2,72-58,2.0,3-pt,jump,30,makes,Dallas,2022-08-01 00:13:00,GSW
10:21.0,L.Doncic,2,76-62,3.0,3-pt,jump,30,misses,Dallas,2022-08-01 10:21:00,GSW
5:22.0,L.Doncic,2,79-70,3.0,3-pt,jump,29,misses,Dallas,2022-08-01 05:22:00,GSW
4:21.0,L.Doncic,2,79-71,3.0,2-pt,jump,18,misses,Dallas,2022-08-01 04:21:00,GSW
2:12.0,L.Doncic,2,83-76,3.0,2-pt,layup,5,makes,Dallas,2022-08-01 02:12:00,GSW
0:21.0,L.Doncic,2,85-81,3.0,2-pt,hook,8,makes,Dallas,2022-08-01 00:21:00,GSW
7:35.0,L.Doncic,2,92-97,4.0,2-pt,layup,ft,misses,Dallas,2022-08-01 07:35:00,GSW
6:24.0,L.Doncic,2,95-102,4.0,free,throw,2,makes,Dallas,2022-08-01 06:24:00,GSW
6:24.0,L.Doncic,2,96-102,4.0,free,throw,2,makes,Dallas,2022-08-01 06:24:00,GSW
5:47.0,L.Doncic,2,98-105,4.0,2-pt,jump,8,makes,Dallas,2022-08-01 05:47:00,GSW
5:12.0,L.Doncic,2,98-105,4.0,2-pt,layup,ft,misses,Dallas,2022-08-01 05:12:00,GSW
4:49.0,L.Doncic,2,99-107,4.0,free,throw,2,makes,Dallas,2022-08-01 04:49:00,GSW
4:49.0,L.Doncic,2,100-107,4.0,free,throw,2,makes,Dallas,2022-08-01 04:49:00,GSW
4:17.0,L.Doncic,2,103-110,4.0,3-pt,jump,29,makes,Dallas,2022-08-01 04:17:00,GSW
3:36.0,L.Doncic,2,106-112,4.0,3-pt,jump,30,makes,Dallas,2022-08-01 03:36:00,GSW
2:25.0,L.Doncic,2,109-116,4.0,free,throw,2,makes,Dallas,2022-08-01 02:25:00,GSW
2:25.0,L.Doncic,2,110-116,4.0,free,throw,2,makes,Dallas,2022-08-01 02:25:00,GSW
1:30.0,L.Doncic,2,112-119,4.0,3-pt,jump,30,misses,Dallas,2022-08-01 01:30:00,GSW
11:09.0,L.Doncic,3,0-0,1.0,free,throw,2,misses,Dallas,2022-08-01 11:09:00,GSW
11:09.0,L.Doncic,3,0-1,1.0,free,throw,2,makes,Dallas,2022-08-01 11:09:00,GSW
10:45.0,L.Doncic,3,2-3,1.0,2-pt,layup,2,makes,Dallas,2022-08-01 10:45:00,GSW
9:21.0,L.Doncic,3,9-6,1.0,free,throw,2,makes,Dallas,2022-08-01 09:21:00,GSW
9:21.0,L.Doncic,3,9-7,1.0,free,throw,2,makes,Dallas,2022-08-01 09:21:00,GSW
7:10.0,L.Doncic,3,14-7,1.0,3-pt,jump,27,misses,Dallas,2022-08-01 07:10:00,GSW
6:01.0,L.Doncic,3,19-9,1.0,2-pt,jump,8,makes,Dallas,2022-08-01 06:01:00,GSW
4:24.0,L.Doncic,3,21-14,1.0,2-pt,jump,4,misses,Dallas,2022-08-01 04:24:00,GSW
