Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
10:47.0,G.Antetokounmpo,1,0-6,1.0,2-pt,layup,4,makes,Milwaukee,2022-09-17 10:47:00
10:27.0,G.Antetokounmpo,1,0-9,1.0,3-pt,jump,27,makes,Milwaukee,2022-09-17 10:27:00
7:58.0,G.Antetokounmpo,1,5-11,1.0,3-pt,jump,27,misses,Milwaukee,2022-09-17 07:58:00
7:01.0,G.Antetokounmpo,1,5-16,1.0,2-pt,dunk,2,makes,Milwaukee,2022-09-17 07:01:00
6:29.0,G.Antetokounmpo,1,5-18,1.0,2-pt,layup,4,makes,Milwaukee,2022-09-17 06:29:00
10:59.0,G.Antetokounmpo,1,23-36,2.0,2-pt,dunk,3,makes,Milwaukee,2022-09-17 10:59:00
8:51.0,G.Antetokounmpo,1,27-36,2.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 08:51:00
8:45.0,G.Antetokounmpo,1,27-38,2.0,2-pt,dunk,,makes,Milwaukee,2022-09-17 08:45:00
8:25.0,G.Antetokounmpo,1,27-38,2.0,free,throw,2,misses,Milwaukee,2022-09-17 08:25:00
8:25.0,G.Antetokounmpo,1,27-38,2.0,free,throw,2,misses,Milwaukee,2022-09-17 08:25:00
4:15.0,G.Antetokounmpo,1,39-46,2.0,2-pt,jump,11,makes,Milwaukee,2022-09-17 04:15:00
3:50.0,G.Antetokounmpo,1,39-47,2.0,free,throw,2,misses,Milwaukee,2022-09-17 03:50:00
3:50.0,G.Antetokounmpo,1,39-47,2.0,free,throw,2,makes,Milwaukee,2022-09-17 03:50:00
3:17.0,G.Antetokounmpo,1,39-47,2.0,2-pt,jump,7,misses,Milwaukee,2022-09-17 03:17:00
2:33.0,G.Antetokounmpo,1,39-47,2.0,2-pt,jump,10,misses,Milwaukee,2022-09-17 02:33:00
0:00.0,G.Antetokounmpo,1,43-51,2.0,free,throw,2,misses,Milwaukee,2022-09-17 00:00:00
0:00.0,G.Antetokounmpo,1,43-51,2.0,free,throw,2,makes,Milwaukee,2022-09-17 00:00:00
9:38.0,G.Antetokounmpo,1,49-56,3.0,3-pt,jump,26,misses,Milwaukee,2022-09-17 09:38:00
9:19.0,G.Antetokounmpo,1,51-57,3.0,free,throw,2,misses,Milwaukee,2022-09-17 09:19:00
9:19.0,G.Antetokounmpo,1,51-57,3.0,free,throw,2,makes,Milwaukee,2022-09-17 09:19:00
8:45.0,G.Antetokounmpo,1,54-57,3.0,2-pt,jump,15,misses,Milwaukee,2022-09-17 08:45:00
7:51.0,G.Antetokounmpo,1,54-61,3.0,free,throw,2,makes,Milwaukee,2022-09-17 07:51:00
7:51.0,G.Antetokounmpo,1,54-62,3.0,free,throw,2,makes,Milwaukee,2022-09-17 07:51:00
6:30.0,G.Antetokounmpo,1,56-64,3.0,2-pt,dunk,1,makes,Milwaukee,2022-09-17 06:30:00
5:53.0,G.Antetokounmpo,1,56-64,3.0,3-pt,jump,25,misses,Milwaukee,2022-09-17 05:53:00
1:58.0,G.Antetokounmpo,1,69-68,3.0,2-pt,layup,2,makes,Milwaukee,2022-09-17 01:58:00
0:36.0,G.Antetokounmpo,1,71-73,3.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 00:36:00
0:36.0,G.Antetokounmpo,1,71-74,3.0,free,throw,1,makes,Milwaukee,2022-09-17 00:36:00
0:01.0,G.Antetokounmpo,1,71-74,3.0,2-pt,jump,20,misses,Milwaukee,2022-09-17 00:01:00
9:09.0,G.Antetokounmpo,1,74-75,4.0,2-pt,jump,19,misses,Milwaukee,2022-09-17 09:09:00
10:28.0,G.Antetokounmpo,2,6-0,1.0,2-pt,jump,19,misses,Milwaukee,2022-09-17 10:28:00
8:30.0,G.Antetokounmpo,2,11-7,1.0,2-pt,dunk,3,makes,Milwaukee,2022-09-17 08:30:00
6:51.0,G.Antetokounmpo,2,14-13,1.0,3-pt,jump,27,misses,Milwaukee,2022-09-17 06:51:00
5:46.0,G.Antetokounmpo,2,16-17,1.0,free,throw,2,makes,Milwaukee,2022-09-17 05:46:00
5:46.0,G.Antetokounmpo,2,16-18,1.0,free,throw,2,makes,Milwaukee,2022-09-17 05:46:00
3:36.0,G.Antetokounmpo,2,21-24,1.0,2-pt,layup,,makes,Milwaukee,2022-09-17 03:36:00
10:39.0,G.Antetokounmpo,2,31-28,2.0,2-pt,jump,8,misses,Milwaukee,2022-09-17 10:39:00
10:24.0,G.Antetokounmpo,2,31-30,2.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 10:24:00
10:02.0,G.Antetokounmpo,2,33-30,2.0,free,throw,2,misses,Milwaukee,2022-09-17 10:02:00
10:02.0,G.Antetokounmpo,2,33-30,2.0,free,throw,2,misses,Milwaukee,2022-09-17 10:02:00
9:34.0,G.Antetokounmpo,2,33-31,2.0,free,throw,2,misses,Milwaukee,2022-09-17 09:34:00
