Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy,oponent_team
1:01.0,M.Kleber,1,18-21,1.0,3-pt,jump,26,misses,Dallas,2022-07-03 01:01:00,Jazz
10:08.0,M.Kleber,1,22-30,2.0,3-pt,jump,25,makes,Dallas,2022-07-03 10:08:00,Jazz
9:36.0,M.Kleber,1,22-30,2.0,2-pt,layup,ft,misses,Dallas,2022-07-03 09:36:00,Jazz
7:34.0,M.Kleber,1,26-32,2.0,3-pt,jump,25,misses,Dallas,2022-07-03 07:34:00,Jazz
2:47.0,M.Kleber,1,35-41,2.0,2-pt,jump,7,misses,Dallas,2022-07-03 02:47:00,Jazz
4:58.0,M.Kleber,1,86-80,4.0,free,throw,2,makes,Dallas,2022-07-03 04:58:00,Jazz
4:58.0,M.Kleber,1,86-81,4.0,free,throw,2,makes,Dallas,2022-07-03 04:58:00,Jazz
4:17.0,M.Kleber,1,88-82,4.0,free,throw,2,makes,Dallas,2022-07-03 04:17:00,Jazz
4:17.0,M.Kleber,1,88-83,4.0,free,throw,2,makes,Dallas,2022-07-03 04:17:00,Jazz
2:12.0,M.Kleber,1,92-91,4.0,3-pt,jump,23,makes,Dallas,2022-07-03 02:12:00,Jazz
1:35.0,M.Kleber,1,92-91,4.0,3-pt,jump,24,misses,Dallas,2022-07-03 01:35:00,Jazz
3:40.0,M.Kleber,2,14-18,1.0,3-pt,jump,24,misses,Dallas,2022-07-03 03:40:00,Jazz
3:08.0,M.Kleber,2,16-21,1.0,3-pt,jump,27,makes,Dallas,2022-07-03 03:08:00,Jazz
7:00.0,M.Kleber,2,32-33,2.0,3-pt,jump,25,makes,Dallas,2022-07-03 07:00:00,Jazz
2:53.0,M.Kleber,2,73-71,3.0,3-pt,jump,25,makes,Dallas,2022-07-03 02:53:00,Jazz
2:00.0,M.Kleber,2,73-74,3.0,3-pt,jump,23,makes,Dallas,2022-07-03 02:00:00,Jazz
