Time,player_name,Regular Season Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:14.0,C.Paul,1,0-0,1.0,3-pt,jump,26,misses,Phoenix,2022-06-14 11:14:00
7:25.0,C.Paul,1,8-2,1.0,3-pt,jump,26,misses,Phoenix,2022-06-14 07:25:00
5:51.0,C.Paul,1,11-7,1.0,3-pt,jump,26,misses,Phoenix,2022-06-14 05:51:00
2:59.0,C.Paul,1,41-43,2.0,2-pt,jump,17,misses,Phoenix,2022-06-14 02:59:00
0:30.0,C.Paul,1,46-45,2.0,3-pt,jump,27,misses,Phoenix,2022-06-14 00:30:00
7:15.0,C.Paul,1,59-52,3.0,2-pt,jump,15,misses,Phoenix,2022-06-14 07:15:00
6:19.0,C.Paul,1,59-55,3.0,3-pt,jump,27,misses,Phoenix,2022-06-14 06:19:00
4:57.0,C.Paul,1,62-57,3.0,2-pt,jump,14,misses,Phoenix,2022-06-14 04:57:00
1:01.0,C.Paul,1,67-66,3.0,free,throw,2,misses,Phoenix,2022-06-14 01:01:00
1:01.0,C.Paul,1,67-66,3.0,free,throw,2,makes,Phoenix,2022-06-14 01:01:00
11:07.0,C.Paul,1,75-71,4.0,3-pt,jump,26,misses,Phoenix,2022-06-14 11:07:00
7:50.0,C.Paul,1,84-81,4.0,2-pt,jump,15,makes,Phoenix,2022-06-14 07:50:00
4:55.0,C.Paul,1,89-89,4.0,2-pt,jump,13,makes,Phoenix,2022-06-14 04:55:00
0:19.0,C.Paul,1,98-103,4.0,2-pt,jump,14,misses,Phoenix,2022-06-14 00:19:00
0:19.0,C.Paul,1,98-104,4.0,free,throw,2,makes,Phoenix,2022-06-14 00:19:00
0:19.0,C.Paul,1,98-105,4.0,free,throw,2,makes,Phoenix,2022-06-14 00:19:00
8:14.0,C.Paul,2,11-9,1.0,2-pt,jump,8,makes,Phoenix,2022-06-14 08:14:00
5:51.0,C.Paul,2,14-16,1.0,3-pt,jump,25,misses,Phoenix,2022-06-14 05:51:00
6:50.0,C.Paul,2,37-37,2.0,free,throw,2,makes,Phoenix,2022-06-14 06:50:00
6:50.0,C.Paul,2,37-38,2.0,free,throw,2,makes,Phoenix,2022-06-14 06:50:00
4:37.0,C.Paul,2,39-44,2.0,3-pt,jump,26,makes,Phoenix,2022-06-14 04:37:00
4:02.0,C.Paul,2,41-47,2.0,3-pt,jump,28,makes,Phoenix,2022-06-14 04:02:00
3:07.0,C.Paul,2,41-49,2.0,2-pt,jump,4,misses,Phoenix,2022-06-14 03:07:00
11:24.0,C.Paul,2,53-55,3.0,2-pt,jump,12,misses,Phoenix,2022-06-14 11:24:00
9:32.0,C.Paul,2,86-84,4.0,2-pt,jump,14,misses,Phoenix,2022-06-14 09:32:00
8:57.0,C.Paul,2,86-89,4.0,2-pt,jump,15,makes,Phoenix,2022-06-14 08:57:00
7:55.0,C.Paul,2,86-91,4.0,2-pt,jump,19,makes,Phoenix,2022-06-14 07:55:00
5:43.0,C.Paul,2,90-96,4.0,2-pt,jump,18,misses,Phoenix,2022-06-14 05:43:00
5:12.0,C.Paul,2,90-98,4.0,2-pt,jump,18,makes,Phoenix,2022-06-14 05:12:00
4:49.0,C.Paul,2,90-100,4.0,2-pt,jump,13,makes,Phoenix,2022-06-14 04:49:00
2:23.0,C.Paul,2,95-108,4.0,3-pt,jump,28,misses,Phoenix,2022-06-14 02:23:00
0:50.0,C.Paul,2,100-110,4.0,2-pt,jump,17,misses,Phoenix,2022-06-14 00:50:00
5:14.0,C.Paul,3,13-15,1.0,3-pt,jump,24,misses,Phoenix,2022-06-14 05:14:00
11:18.0,C.Paul,3,26-26,2.0,2-pt,jump,20,makes,Phoenix,2022-06-14 11:18:00
9:34.0,C.Paul,3,28-26,2.0,2-pt,jump,16,makes,Phoenix,2022-06-14 09:34:00
9:05.0,C.Paul,3,28-26,2.0,3-pt,jump,26,misses,Phoenix,2022-06-14 09:05:00
7:58.0,C.Paul,3,32-28,2.0,2-pt,jump,14,misses,Phoenix,2022-06-14 07:58:00
3:57.0,C.Paul,3,36-42,2.0,2-pt,jump,14,makes,Phoenix,2022-06-14 03:57:00
9:33.0,C.Paul,3,52-59,3.0,2-pt,jump,11,makes,Phoenix,2022-06-14 09:33:00
8:33.0,C.Paul,3,55-61,3.0,2-pt,jump,12,misses,Phoenix,2022-06-14 08:33:00
3:41.0,C.Paul,3,71-71,3.0,free,throw,2,makes,Phoenix,2022-06-14 03:41:00
3:41.0,C.Paul,3,72-71,3.0,free,throw,2,makes,Phoenix,2022-06-14 03:41:00
11:33.0,C.Paul,3,77-82,4.0,3-pt,jump,26,makes,Phoenix,2022-06-14 11:33:00
8:51.0,C.Paul,3,82-89,4.0,2-pt,layup,5,makes,Phoenix,2022-06-14 08:51:00
7:40.0,C.Paul,3,87-92,4.0,2-pt,jump,17,makes,Phoenix,2022-06-14 07:40:00
7:11.0,C.Paul,3,87-92,4.0,3-pt,jump,25,misses,Phoenix,2022-06-14 07:11:00
4:11.0,C.Paul,3,96-97,4.0,3-pt,jump,25,misses,Phoenix,2022-06-14 04:11:00
0:26.0,C.Paul,3,107-99,4.0,3-pt,jump,26,makes,Phoenix,2022-06-14 00:26:00
