Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:23.0,C.Paul,1,16-28,2.0,3-pt,jump,33,misses,Phoenix,2022-06-28 11:23:00
10:46.0,C.Paul,1,18-31,2.0,3-pt,jump,28,makes,Phoenix,2022-06-28 10:46:00
10:16.0,C.Paul,1,18-31,2.0,2-pt,jump,9,misses,Phoenix,2022-06-28 10:16:00
7:30.0,C.Paul,1,19-35,2.0,2-pt,jump,18,makes,Phoenix,2022-06-28 07:30:00
0:00.0,C.Paul,1,34-53,2.0,2-pt,layup,1,makes,Phoenix,2022-06-28 00:00:00
11:01.0,C.Paul,1,37-57,3.0,2-pt,jump,15,makes,Phoenix,2022-06-28 11:01:00
8:01.0,C.Paul,1,45-67,3.0,2-pt,jump,17,makes,Phoenix,2022-06-28 08:01:00
7:21.0,C.Paul,1,47-67,3.0,2-pt,jump,2,misses,Phoenix,2022-06-28 07:21:00
11:15.0,C.Paul,1,73-81,4.0,free,throw,2,makes,Phoenix,2022-06-28 11:15:00
11:15.0,C.Paul,1,73-82,4.0,free,throw,2,makes,Phoenix,2022-06-28 11:15:00
10:41.0,C.Paul,1,75-85,4.0,3-pt,jump,27,makes,Phoenix,2022-06-28 10:41:00
9:26.0,C.Paul,1,81-90,4.0,3-pt,jump,28,makes,Phoenix,2022-06-28 09:26:00
8:45.0,C.Paul,1,83-93,4.0,3-pt,jump,27,makes,Phoenix,2022-06-28 08:45:00
8:03.0,C.Paul,1,83-95,4.0,2-pt,layup,1,makes,Phoenix,2022-06-28 08:03:00
7:26.0,C.Paul,1,83-97,4.0,2-pt,jump,5,makes,Phoenix,2022-06-28 07:26:00
6:01.0,C.Paul,1,85-99,4.0,2-pt,layup,1,makes,Phoenix,2022-06-28 06:01:00
0:39.0,C.Paul,1,99-110,4.0,2-pt,jump,8,makes,Phoenix,2022-06-28 00:39:00
0:04.0,C.Paul,1,99-110,4.0,3-pt,jump,26,misses,Phoenix,2022-06-28 00:04:00
9:04.0,C.Paul,2,2-8,1.0,2-pt,jump,10,misses,Phoenix,2022-06-28 09:04:00
7:27.0,C.Paul,2,10-11,1.0,2-pt,jump,18,misses,Phoenix,2022-06-28 07:27:00
9:32.0,C.Paul,2,32-32,2.0,2-pt,jump,16,misses,Phoenix,2022-06-28 09:32:00
6:19.0,C.Paul,2,41-39,2.0,3-pt,jump,25,makes,Phoenix,2022-06-28 06:19:00
0:30.0,C.Paul,2,53-58,2.0,3-pt,jump,26,misses,Phoenix,2022-06-28 00:30:00
10:44.0,C.Paul,2,59-63,3.0,2-pt,jump,12,misses,Phoenix,2022-06-28 10:44:00
9:27.0,C.Paul,2,62-67,3.0,2-pt,jump,13,makes,Phoenix,2022-06-28 09:27:00
9:06.0,C.Paul,2,64-67,3.0,2-pt,jump,13,misses,Phoenix,2022-06-28 09:06:00
7:41.0,C.Paul,2,71-69,3.0,2-pt,jump,17,makes,Phoenix,2022-06-28 07:41:00
6:31.0,C.Paul,2,71-70,3.0,free,throw,3,makes,Phoenix,2022-06-28 06:31:00
6:31.0,C.Paul,2,71-71,3.0,free,throw,3,makes,Phoenix,2022-06-28 06:31:00
6:31.0,C.Paul,2,71-72,3.0,free,throw,3,makes,Phoenix,2022-06-28 06:31:00
5:20.0,C.Paul,2,73-74,3.0,2-pt,jump,10,misses,Phoenix,2022-06-28 05:20:00
4:52.0,C.Paul,2,75-74,3.0,3-pt,jump,25,misses,Phoenix,2022-06-28 04:52:00
7:02.0,C.Paul,2,99-98,4.0,2-pt,jump,13,misses,Phoenix,2022-06-28 07:02:00
5:03.0,C.Paul,2,105-100,4.0,free,throw,2,makes,Phoenix,2022-06-28 05:03:00
5:03.0,C.Paul,2,105-101,4.0,free,throw,2,makes,Phoenix,2022-06-28 05:03:00
3:25.0,C.Paul,2,113-108,4.0,2-pt,layup,2,makes,Phoenix,2022-06-28 03:25:00
2:25.0,C.Paul,2,118-113,4.0,3-pt,jump,25,makes,Phoenix,2022-06-28 02:25:00
1:50.0,C.Paul,2,120-113,4.0,3-pt,jump,27,misses,Phoenix,2022-06-28 01:50:00
0:30.0,C.Paul,2,123-114,4.0,3-pt,jump,26,misses,Phoenix,2022-06-28 00:30:00
