Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
11:46.0,C.Paul,1,0-2,1.0,2-pt,jump,16,makes,Phoenix,2022-06-14 11:46:00
8:24.0,C.Paul,1,2-9,1.0,3-pt,jump,25,misses,Phoenix,2022-06-14 08:24:00
2:26.0,C.Paul,1,52-62,2.0,2-pt,jump,18,makes,Phoenix,2022-06-14 02:26:00
1:42.0,C.Paul,1,52-65,2.0,3-pt,jump,25,makes,Phoenix,2022-06-14 01:42:00
9:35.0,C.Paul,1,65-75,3.0,2-pt,jump,16,makes,Phoenix,2022-06-14 09:35:00
9:35.0,C.Paul,1,65-76,3.0,free,throw,1,makes,Phoenix,2022-06-14 09:35:00
4:36.0,C.Paul,1,75-87,3.0,2-pt,jump,14,makes,Phoenix,2022-06-14 04:36:00
7:43.0,C.Paul,1,90-106,4.0,3-pt,jump,25,misses,Phoenix,2022-06-14 07:43:00
5:16.0,C.Paul,1,93-109,4.0,3-pt,jump,25,makes,Phoenix,2022-06-14 05:16:00
4:48.0,C.Paul,1,93-109,4.0,2-pt,jump,13,misses,Phoenix,2022-06-14 04:48:00
4:17.0,C.Paul,1,95-109,4.0,3-pt,jump,26,misses,Phoenix,2022-06-14 04:17:00
3:57.0,C.Paul,1,95-109,4.0,2-pt,jump,6,misses,Phoenix,2022-06-14 03:57:00
3:19.0,C.Paul,1,98-111,4.0,2-pt,jump,16,makes,Phoenix,2022-06-14 03:19:00
2:40.0,C.Paul,1,98-112,4.0,free,throw,2,makes,Phoenix,2022-06-14 02:40:00
2:40.0,C.Paul,1,98-113,4.0,free,throw,2,makes,Phoenix,2022-06-14 02:40:00
1:37.0,C.Paul,1,102-113,4.0,2-pt,jump,9,misses,Phoenix,2022-06-14 01:37:00
8:51.0,C.Paul,2,2-9,1.0,2-pt,jump,7,misses,Phoenix,2022-06-14 08:51:00
11:19.0,C.Paul,2,28-32,2.0,2-pt,jump,8,misses,Phoenix,2022-06-14 11:19:00
9:01.0,C.Paul,2,33-37,2.0,free,throw,2,makes,Phoenix,2022-06-14 09:01:00
9:01.0,C.Paul,2,33-38,2.0,free,throw,2,makes,Phoenix,2022-06-14 09:01:00
5:48.0,C.Paul,2,43-43,2.0,2-pt,jump,18,makes,Phoenix,2022-06-14 05:48:00
4:52.0,C.Paul,2,48-43,2.0,2-pt,jump,12,misses,Phoenix,2022-06-14 04:52:00
1:13.0,C.Paul,2,57-54,2.0,3-pt,jump,25,misses,Phoenix,2022-06-14 01:13:00
0:56.0,C.Paul,2,57-55,2.0,free,throw,2,makes,Phoenix,2022-06-14 00:56:00
0:56.0,C.Paul,2,57-56,2.0,free,throw,2,makes,Phoenix,2022-06-14 00:56:00
0:27.0,C.Paul,2,60-58,2.0,2-pt,jump,5,makes,Phoenix,2022-06-14 00:27:00
9:27.0,C.Paul,2,64-68,3.0,2-pt,jump,8,makes,Phoenix,2022-06-14 09:27:00
3:56.0,C.Paul,2,75-78,3.0,2-pt,jump,9,makes,Phoenix,2022-06-14 03:56:00
2:46.0,C.Paul,2,78-82,3.0,2-pt,jump,19,makes,Phoenix,2022-06-14 02:46:00
10:58.0,C.Paul,2,86-92,4.0,3-pt,jump,26,makes,Phoenix,2022-06-14 10:58:00
9:42.0,C.Paul,2,88-97,4.0,2-pt,layup,2,makes,Phoenix,2022-06-14 09:42:00
9:10.0,C.Paul,2,90-99,4.0,2-pt,jump,16,makes,Phoenix,2022-06-14 09:10:00
8:05.0,C.Paul,2,93-103,4.0,2-pt,jump,7,makes,Phoenix,2022-06-14 08:05:00
7:27.0,C.Paul,2,93-105,4.0,2-pt,jump,11,makes,Phoenix,2022-06-14 07:27:00
7:04.0,C.Paul,2,93-107,4.0,2-pt,layup,1,makes,Phoenix,2022-06-14 07:04:00
7:04.0,C.Paul,2,93-108,4.0,free,throw,1,makes,Phoenix,2022-06-14 07:04:00
5:57.0,C.Paul,2,93-110,4.0,2-pt,jump,15,misses,Phoenix,2022-06-14 05:57:00
10:01.0,C.Paul,3,6-3,1.0,3-pt,jump,25,misses,Phoenix,2022-06-14 10:01:00
3:51.0,C.Paul,3,15-20,1.0,2-pt,jump,16,makes,Phoenix,2022-06-14 03:51:00
5:48.0,C.Paul,3,27-37,2.0,3-pt,jump,25,misses,Phoenix,2022-06-14 05:48:00
2:33.0,C.Paul,3,36-48,2.0,2-pt,jump,11,makes,Phoenix,2022-06-14 02:33:00
