Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
8:46.0,J.Tatum,1,8-8,1.0,2-pt,layup,ft,misses,Boston,2022-06-05 08:46:00
8:28.0,J.Tatum,1,8-8,1.0,3-pt,jump,25,misses,Boston,2022-06-05 08:28:00
6:56.0,J.Tatum,1,10-10,1.0,free,throw,2,misses,Boston,2022-06-05 06:56:00
6:56.0,J.Tatum,1,10-11,1.0,free,throw,2,makes,Boston,2022-06-05 06:56:00
5:51.0,J.Tatum,1,12-14,1.0,2-pt,jump,4,misses,Boston,2022-06-05 05:51:00
0:11.0,J.Tatum,1,27-24,1.0,2-pt,layup,ft,misses,Boston,2022-06-05 00:11:00
10:11.0,J.Tatum,1,31-29,2.0,3-pt,jump,24,misses,Boston,2022-06-05 10:11:00
6:40.0,J.Tatum,1,36-34,2.0,2-pt,layup,3,makes,Boston,2022-06-05 06:40:00
4:10.0,J.Tatum,1,45-40,2.0,3-pt,jump,26,makes,Boston,2022-06-05 04:10:00
2:39.0,J.Tatum,1,48-43,2.0,3-pt,jump,26,misses,Boston,2022-06-05 02:39:00
2:15.0,J.Tatum,1,50-46,2.0,3-pt,jump,25,makes,Boston,2022-06-05 02:15:00
0:48.0,J.Tatum,1,54-46,2.0,2-pt,layup,ft,misses,Boston,2022-06-05 00:48:00
10:00.0,J.Tatum,1,58-49,3.0,3-pt,jump,26,makes,Boston,2022-06-05 10:00:00
9:32.0,J.Tatum,1,58-52,3.0,3-pt,jump,26,makes,Boston,2022-06-05 09:32:00
4:38.0,J.Tatum,1,68-62,3.0,2-pt,layup,ft,misses,Boston,2022-06-05 04:38:00
4:31.0,J.Tatum,1,68-62,3.0,3-pt,jump,27,misses,Boston,2022-06-05 04:31:00
3:37.0,J.Tatum,1,72-65,3.0,free,throw,2,makes,Boston,2022-06-05 03:37:00
3:37.0,J.Tatum,1,72-66,3.0,free,throw,2,makes,Boston,2022-06-05 03:37:00
2:16.0,J.Tatum,1,74-66,3.0,2-pt,layup,ft,misses,Boston,2022-06-05 02:16:00
0:21.0,J.Tatum,1,78-69,3.0,2-pt,dunk,,misses,Boston,2022-06-05 00:21:00
0:18.0,J.Tatum,1,78-70,3.0,free,throw,2,misses,Boston,2022-06-05 00:18:00
0:18.0,J.Tatum,1,78-70,3.0,free,throw,2,makes,Boston,2022-06-05 00:18:00
5:43.0,J.Tatum,1,94-78,4.0,3-pt,jump,26,misses,Boston,2022-06-05 05:43:00
3:12.0,J.Tatum,1,98-85,4.0,free,throw,2,misses,Boston,2022-06-05 03:12:00
3:12.0,J.Tatum,1,98-85,4.0,free,throw,2,makes,Boston,2022-06-05 03:12:00
2:44.0,J.Tatum,1,99-87,4.0,2-pt,dunk,,makes,Boston,2022-06-05 02:44:00
6:55.0,J.Tatum,2,3-12,1.0,3-pt,jump,24,makes,Boston,2022-06-05 06:55:00
5:17.0,J.Tatum,2,6-18,1.0,2-pt,jump,3,misses,Boston,2022-06-05 05:17:00
1:30.0,J.Tatum,2,15-27,1.0,2-pt,jump,15,misses,Boston,2022-06-05 01:30:00
0:02.0,J.Tatum,2,21-32,1.0,2-pt,layup,2,makes,Boston,2022-06-05 00:02:00
8:10.0,J.Tatum,2,25-37,2.0,3-pt,jump,25,misses,Boston,2022-06-05 08:10:00
4:38.0,J.Tatum,2,29-48,2.0,free,throw,2,makes,Boston,2022-06-05 04:38:00
4:38.0,J.Tatum,2,29-49,2.0,free,throw,2,makes,Boston,2022-06-05 04:38:00
3:08.0,J.Tatum,2,33-54,2.0,3-pt,jump,25,makes,Boston,2022-06-05 03:08:00
1:21.0,J.Tatum,2,40-60,2.0,3-pt,jump,24,misses,Boston,2022-06-05 01:21:00
11:20.0,J.Tatum,2,40-65,3.0,3-pt,jump,23,misses,Boston,2022-06-05 11:20:00
9:47.0,J.Tatum,2,46-70,3.0,3-pt,jump,24,makes,Boston,2022-06-05 09:47:00
5:00.0,J.Tatum,2,54-72,3.0,3-pt,jump,26,misses,Boston,2022-06-05 05:00:00
3:46.0,J.Tatum,2,56-77,3.0,2-pt,jump,20,makes,Boston,2022-06-05 03:46:00
2:42.0,J.Tatum,2,60-79,3.0,free,throw,1,misses,Boston,2022-06-05 02:42:00
2:42.0,J.Tatum,2,60-79,3.0,2-pt,jump,7,makes,Boston,2022-06-05 02:42:00
1:54.0,J.Tatum,2,60-81,3.0,3-pt,jump,26,misses,Boston,2022-06-05 01:54:00
1:42.0,J.Tatum,2,60-83,3.0,2-pt,dunk,2,makes,Boston,2022-06-05 01:42:00
0:07.0,J.Tatum,2,66-83,3.0,2-pt,jump,22,misses,Boston,2022-06-05 00:07:00
9:43.0,J.Tatum,2,70-88,4.0,2-pt,layup,ft,misses,Boston,2022-06-05 09:43:00
6:19.0,J.Tatum,2,77-92,4.0,2-pt,jump,19,misses,Boston,2022-06-05 06:19:00
5:49.0,J.Tatum,2,78-94,4.0,2-pt,layup,3,makes,Boston,2022-06-05 05:49:00
4:05.0,J.Tatum,2,82-97,4.0,3-pt,jump,24,makes,Boston,2022-06-05 04:05:00
2:51.0,J.Tatum,2,86-100,4.0,free,throw,2,makes,Boston,2022-06-05 02:51:00
2:51.0,J.Tatum,2,86-101,4.0,free,throw,2,makes,Boston,2022-06-05 02:51:00
2:28.0,J.Tatum,2,86-104,4.0,3-pt,jump,24,makes,Boston,2022-06-05 02:28:00
11:11.0,J.Tatum,3,2-0,1.0,2-pt,jump,8,makes,Boston,2022-06-05 11:11:00
9:56.0,J.Tatum,3,4-2,1.0,2-pt,jump,13,misses,Boston,2022-06-05 09:56:00
6:56.0,J.Tatum,3,9-11,1.0,2-pt,jump,20,misses,Boston,2022-06-05 06:56:00
0:30.0,J.Tatum,3,19-22,1.0,3-pt,jump,27,misses,Boston,2022-06-05 00:30:00
0:01.0,J.Tatum,3,19-22,1.0,2-pt,jump,18,misses,Boston,2022-06-05 00:01:00
10:03.0,J.Tatum,3,22-26,2.0,3-pt,jump,26,misses,Boston,2022-06-05 10:03:00
8:04.0,J.Tatum,3,29-28,2.0,2-pt,dunk,2,makes,Boston,2022-06-05 08:04:00
